Year,Rain,x-xm,y-ym,(x-xm)^2,(x-xm)(y-ym)
1871,888.9166666667,-70,-17.0076832151,4900,1190.537825057
1872,940.75,-69,-16.0076832151,4761,1104.5301418419
1873,781.25,-68,-15.0076832151,4624,1020.5224586268
1874,1008.6666666667,-67,-14.0076832151,4489,938.5147754117
1875,922.8333333333,-66,-13.0076832151,4356,858.5070921966
1876,761.5833333333,-65,-12.0076832151,4225,780.4994089815
1877,788.3333333333,-64,-11.0076832151,4096,704.4917257664
1878,1024.8333333333,-63,-10.0076832151,3969,630.4840425513
1879,940.4166666667,-62,-9.0076832151,3844,558.4763593362
1880,898.0833333333,-61,-8.0076832151,3721,488.4686761211
1881,887.8333333333,-60,-7.0076832151,3600,420.460992906
1882,957.6666666667,-59,-6.0076832151,3481,354.4533096909
1883,912.4166666667,-58,-5.0076832151,3364,290.4456264758
1884,964.9166666667,-57,-4.0076832151,3249,228.4379432607
1885,924.1666666667,-56,-3.0076832151,3136,168.4302600456
1886,963.6666666667,-55,-2.0076832151,3025,110.4225768305
1887,958.4166666667,-54,-1.0076832151,2916,54.4148936154
1888,861.6666666667,-53,-0.0076832151,2809,0.4072104003
1889,963.5833333333,-52,0.9923167849,2704,-51.6004728148
1890,918.0833333333,-51,1.9923167849,2601,-101.6081560299
1891,847.1666666667,-50,2.9923167849,2500,-149.615839245
1892,1015.4166666667,-49,3.9923167849,2401,-195.6235224601
1893,1112.8333333333,-48,4.9923167849,2304,-239.6312056752
1894,1055.75,-47,5.9923167849,2209,-281.6388888903
1895,864.6666666667,-46,6.9923167849,2116,-321.6465721054
1896,815.3333333333,-45,7.9923167849,2025,-359.6542553205
1897,915.5833333333,-44,8.9923167849,1936,-395.6619385356
1898,913.1666666667,-43,9.9923167849,1849,-429.6696217507
1899,675.8333333333,-42,10.9923167849,1764,-461.6773049658
1900,895,-41,11.9923167849,1681,-491.6849881809
1901,809.3333333333,-40,-96.5910165485,1600,3863.64066194
1902,843.6666666667,-39,-62.2576832151,1521,2428.0496453889
1903,950.5,-38,44.5756501182,1444,-1693.8747044916
1904,811.5833333333,-37,-94.3410165485,1369,3490.6176122945
1905,766.5833333333,-36,-139.3410165485,1296,5016.276595746
1906,922.6666666667,-35,16.7423167849,1225,-585.9810874715
1907,814.4166666667,-34,-91.5076832151,1156,3111.2612293134
1908,863.8333333333,-33,-42.0910165485,1089,1389.0035461005
1909,914.75,-32,8.8256501182,1024,-282.4208037824
1910,963.25,-31,57.3256501182,961,-1777.0951536642
1911,805.5833333333,-30,-100.3410165485,900,3010.230496455
