Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;8;96;11;17;414;3910;4298;1296;2321;0;13;15;1033.25
1872;18;123;79;277;0;3461;4743;3697;1930;462;0;168;1246.5
1873;17;12;262;1;237;774;4077;2627;2205;15;1;440;889
1874;116;130;151;15;133;4198;4565;5299;2156;545;0;4;1442.6666666667
1875;53;68;0;8;177;3613;5172;1855;1998;474;0;0;1118.1666666667
1876;0;0;138;0;290;1418;4667;2587;2957;116;0;0;1014.4166666667
1877;685;238;246;1059;1044;3052;2533;3572;958;744;25;91;1187.25
1878;111;177;32;720;570;730;2658;3700;1826;340;345;88;941.4166666667
1879;0;61;0;0;475;2581;2732;4827;2206;855;17;0;1146.1666666667
1880;0;86;0;0;20;2952;5002;1951;2610;911;167;8;1142.25
1881;0;35;555;49;155;2368;4588;3970;1605;255;158;0;1144.8333333333
1882;32;24;6;198;252;4097;4272;2626;1360;445;607;0;1159.9166666667
1883;98;0;202;0;146;2375;3270;1598;2702;354;257;0;916.8333333333
1884;25;268;12;5;35;3693;6970;4057;4092;495;0;291;1661.9166666667
1885;83;288;130;352;735;5189;4365;3247;789;685;175;412;1370.8333333333
1886;65;3;297;10;405;1641;3273;1761;1353;1615;217;93;894.4166666667
1887;225;0;2;203;18;2216;5095;4073;2171;1323;8;64;1283.1666666667
1888;256;96;37;6;10;1493;4457;4397;1531;95;417;0;1066.25
1889;12;65;32;172;131;2143;3537;5362;1946;939;61;0;1200
1890;0;3;155;143;35;2145;3947;3617;2620;103;465;65;1108.1666666667
1891;140;90;594;188;520;560;4565;3277;4350;365;6;0;1221.25
1892;24;133;6;6;18;2166;6819;2603;2111;736;12;0;1219.5
1893;342;454;494;10;385;2638;3420;4393;3510;913;397;0;1413
1894;25;86;8;8;46;3378;5314;3506;2867;1963;462;133;1483
1895;48;103;158;315;66;4812;3072;4282;951;355;0;6;1180.6666666667
1896;0;1;6;58;24;3547;5390;6099;788;0;402;40;1362.9166666667
1897;172;232;182;555;226;1523;3472;5395;1665;1161;0;0;1215.25
1898;0;460;1;2;66;2141;4755;4451;1831;303;0;2;1167.6666666667
1899;11;55;3;470;247;1873;2021;3705;648;0;0;0;752.75
1900;277;123;24;100;233;1323;3162;3718;4312;810;0;90;1181
1901;329;886;278;98;180;833;3696;4952;1948;270;8;0;1123.1666666667
1902;12;70;0;177;98;440;4235;3472;2111;76;140;30;905.0833333333
1903;30;50;4;35;400;1270;4282;4307;1876;1393;182;10;1153.25
1904;1;22;195;121;612;3972;2668;4321;1145;1216;5;0;1189.8333333333
1905;425;236;276;335;255;745;3937;2601;4000;172;0;0;1081.8333333333
1906;108;748;467;0;100;1858;4863;3091;2181;440;53;252;1180.0833333333
1907;29;302;285;439;30;2343;2283;4535;1791;0;58;98;1016.0833333333
1908;91;585;45;11;173;1661;4175;5249;1210;187;0;6;1116.0833333333
1909;76;35;53;1065;56;2050;5065;2051;1283;136;0;317;1015.5833333333
1910;37;4;30;148;180;2320;3702;4755;3376;764;357;0;1306.0833333333
1911;17;0;188;0;111;3636;2055;5640;2698;1393;252;37;1335.5833333333
1912;25;595;0;183;55;567;3696;4441;2151;133;108;0;996.1666666667
1913;46;716;196;80;357;2206;3407;2611;1978;250;65;166;1006.5
1914;0;59;171;435;675;1516;4321;3285;2245;20;0;41;1064
1915;268;419;272;278;277;975;3378;4241;2163;1115;327;0;1142.75
1916;0;197;3;35;187;3017;2612;3092;1893;1533;335;0;1075.3333333333
1917;16;760;272;81;337;3295;2997;4137;2596;1249;68;0;1317.3333333333
1918;153;22;29;79;935;4240;2488;4172;1576;6;70;115;1157.0833333333
1919;885;580;440;143;335;4161;3760;4578;1376;1244;251;0;1479.4166666667
1920;0;35;220;218;303;673;5212;3185;1250;35;0;0;927.5833333333
1921;439;8;0;146;0;3316;2995;3241;2061;242;0;0;1037.3333333333
1922;291;186;0;86;15;1503;4556;2706;2615;247;435;2;1053.5
1923;58;262;183;51;68;1005;3097;4795;2510;718;61;0;1067.3333333333
1924;330;50;58;232;180;800;2806;3053;2837;823;1110;2;1023.4166666667
1925;0;0;22;172;895;3152;5725;5532;1710;584;165;0;1496.4166666667
1926;535;91;839;589;412;360;3106;5137;2672;694;0;2;1203.0833333333
1927;63;350;173;37;123;1896;4815;4373;1541;866;257;0;1207.8333333333
1928;32;93;143;110;126;2056;3932;2540;2135;905;0;34;1008.8333333333
1929;128;327;0;55;81;2801;5982;4496;2261;880;0;357;1447.3333333333
1930;0;40;75;572;50;2480;4668;2577;1725;317;1050;60;1134.5
1931;103;432;128;71;277;843;2937;4358;2031;1951;502;0;1136.0833333333
1932;0;168;68;79;37;1035;4708;3360;3032;484;497;0;1122.3333333333
1933;222;678;110;190;980;2782;3713;3872;2930;247;148;12;1323.6666666667
1934;18;0;1;238;0;2603;3837;4105;3450;895;158;8;1276.0833333333
1935;64;206;25;370;8;1416;5274;2877;2448;27;0;35;1062.5
1936;282;522;187;50;577;4695;4697;3863;2501;604;167;70;1517.9166666667
1937;0;515;257;720;158;2101;5210;4613;2627;605;0;0;1400.5
1938;98;273;78;55;425;3047;3668;3437;2923;1666;106;0;1314.6666666667
1939;40;251;640;271;18;1728;4167;5460;2501;870;17;0;1330.25
1940;0;240;248;332;397;2600;5405;4522;632;691;68;250;1282.0833333333
1941;192;180;181;35;352;2488;2328;2100;1563;617;69;0;842.0833333333
1942;182;415;55;247;81;1586;4953;4757;2968;135;1;8;1282.3333333333
1943;1091;32;55;193;437;1991;4182;3526;4178;409;10;0;1342
1944;270;619;1000;247;111;1160;5194;4875;2201;1396;20;0;1424.4166666667
1945;262;103;0;924;30;2168;5058;3893;4247;811;40;0;1461.3333333333
1946;0;126;25;306;181;3067;3931;5076;1891;302;308;12;1268.75
1947;270;268;140;55;37;1503;5412;5667;3201;622;6;187;1447.3333333333
1948;311;48;60;191;171;2243;3650;4162;2926;324;680;0;1230.5
1949;6;60;17;81;629;1671;3212;4430;2842;1563;0;5;1209.6666666667
1950;2;477;522;25;78;1801;3971;3581;1583;91;311;0;1036.8333333333
1951;44;8;825;532;400;1220;3591;4512;1833;589;5;0;1129.9166666667
1952;6;178;288;183;208;1028;4132;4937;2438;171;0;17;1132.1666666667
1953;211;60;0;265;64;1065;3622;4222;2546;1071;3;0;1094.0833333333
1954;20;4;75;198;165;1019;3087;3302;3815;126;0;80;990.9166666667
1955;64;10;39;175;292;2757;3117;3503;3032;1836;0;0;1235.4166666667
1956;8;185;45;34;889;2921;4767;4127;2056;771;96;25;1327
1957;110;156;529;133;226;1090;4208;4135;936;248;0;0;980.9166666667
1958;75;415;280;208;280;1001;4562;3042;3245;1440;300;0;1237.3333333333
1959;266;56;0;40;113;1893;3811;4898;3582;870;0;1;1294.1666666667
1960;197;3;450;135;6;1545;4128;4411;1311;1323;2;0;1125.9166666667
1961;49;497;27;111;121;3407;6022;4278;5057;1088;45;113;1734.5833333333
1962;39;65;98;187;271;1371;3490;2181;1903;297;0;330;852.6666666667
1963;3;59;103;313;265;1938;3462;3690;2932;522;0;1;1107.3333333333
1964;0;191;11;167;61;2975;3402;4525;1746;1096;55;0;1185.75
1965;128;60;322;187;128;1420;3081;1915;2597;260;0;0;841.5
1966;247;0;20;86;237;2555;2642;2405;1116;123;131;148;809.1666666667
1967;16;0;1010;227;116;1793;3536;4690;1510;69;0;522;1124.0833333333
1968;282;160;455;248;27;1450;3406;2536;2360;674;0;91;974.0833333333
1969;61;34;2;258;357;823;4298;3022;1921;135;187;0;924.8333333333
1970;198;136;434;24;141;2886;3922;4275;2271;143;0;0;1202.5
1971;203;126;222;372;655;4031;3522;4136;1245;978;0;0;1290.8333333333
1972;1;110;11;111;54;1283;3213;3647;2525;492;375;30;987.6666666667
1973;49;268;29;3;70;1088;4606;3996;2466;1878;11;4;1205.6666666667
1974;0;120;48;1;69;939;2146;3355;894;567;75;0;684.5
1975;65;76;193;49;45;1850;4705;3532;2213;1741;4;0;1206.0833333333
1976;0;54;13;215;322;1283;3797;4213;1286;5;286;3;956.4166666667
1977;6;56;45;472;537;3830;4075;3936;2098;242;266;30;1299.4166666667
1978;50;130;176;162;146;2066;3002;4585;1208;150;53;207;994.5833333333
1979;262;240;40;71;53;1698;2541;2336;1013;192;272;27;728.75
1980;41;27;66;287;105;3405;3648;3628;3261;176;0;188;1236
1981;172;8;70;18;192;870;2923;3247;2530;90;0;15;844.5833333333
1982;268;221;307;120;344;1301;2301;4257;1189;559;17;0;907
1983;0;188;8;101;360;1493;2873;4105;3105;645;0;88;1080.5
1984;417;125;0;552;106;2677;3232;3922;705;387;0;0;1010.25
1985;417;130;0;171;141;1090;3991;3607;2825;883;27;0;1106.8333333333
1986;261;560;83;345;105;4172;3540;2892;1116;610;362;143;1182.4166666667
1987;69;66;167;61;282;798;4606;2276;1716;870;203;35;929.0833333333
1988;4;272;108;55;50;1941;2076;2677;1915;266;0;0;780.3333333333
1989;3;0;45;0;12;2343;3507;2918;1406;113;20;153;876.6666666667
1990;0;103;39;65;943;1856;3207;3497;3513;774;17;8;1168.5
1991;73;12;93;46;35;1458;4166;3616;1075;342;90;88;924.5
1992;0;0;6;20;43;1410;3637;3882;1603;58;37;0;891.3333333333
1993;0;45;55;32;98;1793;3377;2728;2626;525;15;0;941.1666666667
1994;35;65;0;37;83;4368;5725;3982;2123;776;25;0;1434.9166666667
1995;300;32;177;40;300;1270;4482;2997;1376;569;155;65;980.25
1996;205;230;123;183;71;2478;3072;5619;1178;246;65;0;1122.5
1997;128;0;88;830;257;2131;3207;3585;1606;301;803;575;1125.9166666667
1998;763;201;241;192;362;1460;2833;2113;2408;914;984;0;1039.25
1999;0;35;2;0;599;2682;2421;4461;2248;520;37;0;1083.75
2000;29;327;17;53;360;2533;3037;1956;1533;79;0;0;827
2001;37;11;288;247;327;4081;4521;3177;763;519;96;0;1172.25
2002;177;50;116;126;262;2243;1405;3357;1441;215;2;8;783.5
2003;12;352;287;80;20;1381;3808;3958;3336;1351;106;187;1239.8333333333
2004;151;69;65;320;198;2600;3346;3238;1513;392;11;6;992.4166666667
2005;361;251;58;61;214;2352;4020;2893;2239;1160;6;6;1135.0833333333
2006;0;0;363;310;424;901;3841;3274;1543;227;232;4;926.5833333333
2007;0;420;125;52;322;2334;3193;2614;2342;426;262;0;1007.5
2008;39;93;335;139;100;2672;3112;2754;2716;189;32;0;1015.0833333333
2009;12;0;0;14;116;495;4285;2286;806;210;356;1;715.0833333333
2010;51;35;19;56;66;1024;3951;2936;2341;516;172;273;953.3333333333
2011;1;246;21;582;219;2271;2825;3781;3941;135;0;32;1171.1666666667
