Year,Jun,Jul,Aug,Sep,Mean
1871,3910,4298,1296,2321,2956.25
1872,3461,4743,3697,1930,3457.75
1873,774,4077,2627,2205,2420.75
1874,4198,4565,5299,2156,4054.5
1875,3613,5172,1855,1998,3159.5
1876,1418,4667,2587,2957,2907.25
1877,3052,2533,3572,958,2528.75
1878,730,2658,3700,1826,2228.5
1879,2581,2732,4827,2206,3086.5
1880,2952,5002,1951,2610,3128.75
1881,2368,4588,3970,1605,3132.75
1882,4097,4272,2626,1360,3088.75
1883,2375,3270,1598,2702,2486.25
1884,3693,6970,4057,4092,4703
1885,5189,4365,3247,789,3397.5
1886,1641,3273,1761,1353,2007
1887,2216,5095,4073,2171,3388.75
1888,1493,4457,4397,1531,2969.5
1889,2143,3537,5362,1946,3247
1890,2145,3947,3617,2620,3082.25
1891,560,4565,3277,4350,3188
1892,2166,6819,2603,2111,3424.75
1893,2638,3420,4393,3510,3490.25
1894,3378,5314,3506,2867,3766.25
1895,4812,3072,4282,951,3279.25
1896,3547,5390,6099,788,3956
1897,1523,3472,5395,1665,3013.75
1898,2141,4755,4451,1831,3294.5
1899,1873,2021,3705,648,2061.75
1900,1323,3162,3718,4312,3128.75
1901,833,3696,4952,1948,2857.25
1902,440,4235,3472,2111,2564.5
1903,1270,4282,4307,1876,2933.75
1904,3972,2668,4321,1145,3026.5
1905,745,3937,2601,4000,2820.75
1906,1858,4863,3091,2181,2998.25
1907,2343,2283,4535,1791,2738
1908,1661,4175,5249,1210,3073.75
1909,2050,5065,2051,1283,2612.25
1910,2320,3702,4755,3376,3538.25
1911,3636,2055,5640,2698,3507.25
1912,567,3696,4441,2151,2713.75
1913,2206,3407,2611,1978,2550.5
1914,1516,4321,3285,2245,2841.75
1915,975,3378,4241,2163,2689.25
1916,3017,2612,3092,1893,2653.5
1917,3295,2997,4137,2596,3256.25
1918,4240,2488,4172,1576,3119
1919,4161,3760,4578,1376,3468.75
1920,673,5212,3185,1250,2580
1921,3316,2995,3241,2061,2903.25
1922,1503,4556,2706,2615,2845
1923,1005,3097,4795,2510,2851.75
1924,800,2806,3053,2837,2374
1925,3152,5725,5532,1710,4029.75
1926,360,3106,5137,2672,2818.75
1927,1896,4815,4373,1541,3156.25
1928,2056,3932,2540,2135,2665.75
1929,2801,5982,4496,2261,3885
1930,2480,4668,2577,1725,2862.5
1931,843,2937,4358,2031,2542.25
1932,1035,4708,3360,3032,3033.75
1933,2782,3713,3872,2930,3324.25
1934,2603,3837,4105,3450,3498.75
1935,1416,5274,2877,2448,3003.75
1936,4695,4697,3863,2501,3939
1937,2101,5210,4613,2627,3637.75
1938,3047,3668,3437,2923,3268.75
1939,1728,4167,5460,2501,3464
1940,2600,5405,4522,632,3289.75
1941,2488,2328,2100,1563,2119.75
1942,1586,4953,4757,2968,3566
1943,1991,4182,3526,4178,3469.25
1944,1160,5194,4875,2201,3357.5
1945,2168,5058,3893,4247,3841.5
1946,3067,3931,5076,1891,3491.25
1947,1503,5412,5667,3201,3945.75
1948,2243,3650,4162,2926,3245.25
1949,1671,3212,4430,2842,3038.75
1950,1801,3971,3581,1583,2734
1951,1220,3591,4512,1833,2789
1952,1028,4132,4937,2438,3133.75
1953,1065,3622,4222,2546,2863.75
1954,1019,3087,3302,3815,2805.75
1955,2757,3117,3503,3032,3102.25
1956,2921,4767,4127,2056,3467.75
1957,1090,4208,4135,936,2592.25
1958,1001,4562,3042,3245,2962.5
1959,1893,3811,4898,3582,3546
1960,1545,4128,4411,1311,2848.75
1961,3407,6022,4278,5057,4691
1962,1371,3490,2181,1903,2236.25
1963,1938,3462,3690,2932,3005.5
1964,2975,3402,4525,1746,3162
1965,1420,3081,1915,2597,2253.25
1966,2555,2642,2405,1116,2179.5
1967,1793,3536,4690,1510,2882.25
1968,1450,3406,2536,2360,2438
1969,823,4298,3022,1921,2516
1970,2886,3922,4275,2271,3338.5
1971,4031,3522,4136,1245,3233.5
1972,1283,3213,3647,2525,2667
1973,1088,4606,3996,2466,3039
1974,939,2146,3355,894,1833.5
1975,1850,4705,3532,2213,3075
1976,1283,3797,4213,1286,2644.75
1977,3830,4075,3936,2098,3484.75
1978,2066,3002,4585,1208,2715.25
1979,1698,2541,2336,1013,1897
1980,3405,3648,3628,3261,3485.5
1981,870,2923,3247,2530,2392.5
1982,1301,2301,4257,1189,2262
1983,1493,2873,4105,3105,2894
1984,2677,3232,3922,705,2634
1985,1090,3991,3607,2825,2878.25
1986,4172,3540,2892,1116,2930
1987,798,4606,2276,1716,2349
1988,1941,2076,2677,1915,2152.25
1989,2343,3507,2918,1406,2543.5
1990,1856,3207,3497,3513,3018.25
1991,1458,4166,3616,1075,2578.75
1992,1410,3637,3882,1603,2633
1993,1793,3377,2728,2626,2631
1994,4368,5725,3982,2123,4049.5
1995,1270,4482,2997,1376,2531.25
1996,2478,3072,5619,1178,3086.75
1997,2131,3207,3585,1606,2632.25
1998,1460,2833,2113,2408,2203.5
1999,2682,2421,4461,2248,2953
2000,2533,3037,1956,1533,2264.75
2001,4081,4521,3177,763,3135.5
2002,2243,1405,3357,1441,2111.5
2003,1381,3808,3958,3336,3120.75
2004,2600,3346,3238,1513,2674.25
2005,2352,4020,2893,2239,2876
2006,901,3841,3274,1543,2389.75
2007,2334,3193,2614,2342,2620.75
2008,2672,3112,2754,2716,2813.5
2009,495,4285,2286,806,1968
2010,1024,3951,2936,2341,2563
2011,2271,2825,3781,3941,3204.5
