Year,Jun,Jul,Aug,Sep,Mean
1871,8155,10060,3093,2957,6066.25
1872,11014,15215,6972,1863,8766
1873,9414,5982,3466,2321,5295.75
1874,9257,14454,4707,5637,8513.75
1875,8630,9697,5722,2260,6577.25
1876,8924,11210,3621,1700,6363.75
1877,8019,4400,6985,3628,5758
1878,11315,8807,13603,8919,10661
1879,7725,7570,8615,2135,6511.25
1880,9087,9455,2341,2827,5927.5
1881,5360,5147,7420,2875,5200.5
1882,9320,12565,4660,3030,7393.75
1883,9959,12069,5165,3466,7664.75
1884,5927,6322,7920,3522,5922.75
1885,9415,11206,4640,1778,6759.75
1886,9502,13100,3542,1665,6952.25
1887,13649,8242,4882,3671,7611
1888,13765,8022,6170,738,7173.75
1889,16024,11800,5260,5747,9707.75
1890,9117,11146,4531,1341,6533.75
1891,6500,8025,3387,2350,5065.5
1892,5209,11560,10471,3213,7613.25
1893,7847,7920,4157,3083,5751.75
1894,6630,8125,7485,2932,6293
1895,7540,13963,4965,993,6865.25
1896,10184,6027,10094,891,6799
1897,11731,3160,5630,4133,6163.5
1898,10007,10030,4217,5364,7404.5
1899,8600,2206,3713,1496,4003.75
1900,12169,13294,5707,3746,8729
1901,13956,7820,5505,758,7009.75
1902,8745,15389,4146,6802,8770.5
1903,7290,13808,6605,2687,7597.5
1904,13113,10052,3485,2535,7296.25
1905,11265,4932,6612,1433,6060.5
1906,7242,11233,4787,2288,6387.5
1907,8699,9707,6332,1698,6609
1908,9444,16524,7735,1611,8828.5
1909,10685,11204,2915,3041,6961.25
1910,12818,5257,4965,3371,6602.75
1911,7480,7130,4932,1236,5194.5
1912,8592,11615,7335,1064,7151.5
1913,8024,8830,3017,1876,5436.75
1914,8654,14001,9319,3407,8845.25
1915,9017,7039,3342,3731,5782.25
1916,11059,7585,4342,6774,7440
1917,12539,8312,6005,4405,7815.25
1918,6082,4635,4045,1251,4003.25
1919,5957,11190,5327,2521,6248.75
1920,9715,7217,4551,1485,5742
1921,7207,8490,8164,2792,6663.25
1922,8700,12360,4340,2602,7000.5
1923,6802,14211,8070,3412,8123.75
1924,10850,12013,4737,2285,7471.25
1925,12046,9292,6872,485,7173.75
1926,8202,7167,6987,2710,6266.5
1927,7855,11624,4421,3823,6930.75
1928,9967,11684,7919,1245,7703.75
1929,15860,8164,5027,2932,7995.75
1930,10235,6302,3697,3687,5980.25
1931,8200,12795,9155,2196,8086.5
1932,8312,9102,3066,4066,6136.5
1933,12736,13344,5070,5101,9062.75
1934,12746,7612,4980,2033,6842.75
1935,7584,9877,4046,2686,6048.25
1936,12626,9914,4646,1843,7257.25
1937,8224,15184,2823,1881,7028
1938,9417,9634,4238,3968,6814.25
1939,10084,8087,5282,1426,6219.75
1940,7087,11476,13578,1135,8319
1941,8745,4067,4730,2165,4926.75
1942,12096,10871,4118,1820,7226.25
1943,10500,9385,3112,4931,6982
1944,9900,11064,4041,514,6379.75
1945,12168,13373,5205,3122,8467
1946,13801,8872,8914,2076,8415.75
1947,7925,10012,7979,3478,7348.5
1948,9265,10930,7672,3367,7808.5
1949,8770,12549,4580,4935,7708.5
1950,10663,14294,3283,5860,8525
1951,11188,12341,3582,2053,7291
1952,10463,7374,4985,367,5797.25
1953,6695,17185,3855,1853,7397
1954,5895,11558,6947,3402,6950.5
1955,12280,8097,7384,4721,8120.5
1956,10291,9830,3830,1978,6482.25
1957,8182,9697,6835,775,6372.25
1958,10684,8710,6684,2893,7242.75
1959,10850,14175,5247,3677,8487.25
1960,7440,8580,4533,5007,6390
1961,12871,16095,7730,7997,11173.25
1962,3731,10207,10253,4342,7133.25
1963,7340,7540,9412,1595,6471.75
1964,7667,7634,8135,4082,6879.5
1965,7832,8104,5495,1561,5748
1966,7227,10032,2360,2343,5490.5
1967,8409,11895,5552,2961,7204.25
1968,9650,13815,3161,2070,7174
1969,8082,9167,3173,5767,6547.25
1970,10107,11629,12700,3956,9598
1971,10576,11713,5642,2186,7529.25
1972,8359,7992,5147,640,5534.5
1973,8147,8807,11229,1633,7454
1974,6190,14425,6159,5242,8004
1975,17115,12488,11070,5555,11557
1976,5949,10805,5417,3100,6317.75
1977,9362,11860,3482,2856,6890
1978,13918,11173,6152,2857,8525
1979,9485,9777,4228,2183,6418.25
1980,11523,7669,9394,1553,7534.75
1981,12278,9332,8634,2468,8178
1982,9254,10900,12600,1005,8439.75
1983,5240,11513,12068,7722,9135.75
1984,11045,7457,4742,1660,6226
1985,10049,6265,6757,1238,6077.25
1986,9755,5877,7702,1365,6174.75
1987,11929,7890,7489,945,7063.25
1988,11939,10059,8817,5139,8988.5
1989,12005,7799,8192,2923,7729.75
1990,8562,7242,9220,2003,6756.75
1991,10720,12346,7802,630,7874.5
1992,10140,8740,8607,3207,7673.5
1993,6607,13966,4707,1728,6752
1994,13943,11303,7777,1496,8629.75
1995,9220,12261,6155,2261,7474.25
1996,11044,9952,4481,2791,7067
1997,8465,12875,9122,1198,7915
1998,13164,8660,4917,6375,8279
1999,11833,12841,3636,1388,7424.5
2000,11284,8037,6134,1370,6706.25
2001,10505,8750,5824,1628,6676.75
2002,9892,4053,5227,1548,5180
2003,12058,10705,5179,2687,7657.25
2004,7995,7032,6250,1576,5713.25
2005,8680,10705,4217,3431,6758.25
2006,8770,7488,4931,5279,6617
2007,12231,6665,7328,7415,8409.75
2008,8933,6129,5685,2991,5934.5
2009,5213,13886,3921,5169,7047.25
2010,7977,10850,5342,4832,7250.25
2011,11791,9980,7634,5740,8786.25
