EUPRA1871R 96 148 17 101 612 2133 5007 2971 3971 12 0 344 1284.3333333333
EUPRA1872R 445 116 71 24 83 1360 3486 3457 1906 6 0 2 913
EUPRA1873R 45 27 188 6 86 424 3693 2078 1411 4 0 10 664.3333333333
EUPRA1874R 60 145 43 0 64 2917 3287 3038 2323 281 17 1 1014.6666666667
EUPRA1875R 116 148 0 0 223 1210 2773 3656 2045 27 0 16 851.1666666667
EUPRA1876R 24 0 45 85 35 277 2792 1875 2386 730 0 0 687.4166666667
EUPRA1877R 575 327 140 125 136 557 1084 938 514 984 3 307 474.1666666667
EUPRA1878R 537 101 22 173 464 610 2088 2778 1921 25 29 0 729
EUPRA1879R 0 46 0 0 73 1681 4006 3218 2373 1150 0 37 1048.6666666667
EUPRA1880R 1 242 0 0 400 407 3483 1045 799 118 103 29 552.25
EUPRA1881R 11 25 271 6 332 1765 2098 3213 705 377 0 0 733.5833333333
EUPRA1882R 4 64 0 10 262 2058 1701 3128 602 545 70 0 703.6666666667
EUPRA1883R 795 15 81 15 166 1121 3307 861 1249 55 0 1 638.8333333333
EUPRA1884R 2 6 8 2 131 1061 2200 3877 2478 895 0 1 888.4166666667
EUPRA1885R 207 1 20 46 177 1665 3386 3762 1291 40 1 714 942.5
EUPRA1886R 44 3 282 0 307 2000 3218 2642 1436 1065 3 218 934.8333333333
EUPRA1887R 247 0 37 116 81 943 2703 4105 1398 816 2 0 870.6666666667
EUPRA1888R 280 39 70 45 121 695 4573 4008 2173 1 35 0 1003.3333333333
EUPRA1889R 355 288 20 2 140 1843 3956 2908 2430 55 45 0 1003.5
EUPRA1890R 8 18 56 11 136 3217 4067 2561 2351 131 0 20 1048
EUPRA1891R 242 35 427 20 340 696 1048 4548 2697 615 0 0 889
EUPRA1892R 65 212 0 0 60 1066 3192 4583 811 12 11 8 835
EUPRA1893R 335 281 182 75 589 2008 3110 2110 2690 1120 96 3 1049.9166666667
EUPRA1894R 106 464 27 5 16 2736 3061 4458 1920 3552 669 115 1427.4166666667
EUPRA1895R 298 145 75 91 182 1953 2551 2592 1508 10 0 45 787.5
EUPRA1896R 11 12 0 0 37 1254 1758 2503 136 0 91 136 494.8333333333
EUPRA1897R 236 48 96 10 56 1254 2710 3981 1495 859 0 0 895.4166666667
EUPRA1898R 11 542 6 55 136 1518 3503 4792 2235 48 27 43 1076.3333333333
EUPRA1899R 207 35 0 178 350 2476 4961 2548 554 65 0 0 947.8333333333
EUPRA1900R 675 49 3 24 161 462 2786 2181 2561 437 0 320 804.9166666667
EUPRA1901R 632 332 66 10 141 200 2046 2821 2200 46 1 17 709.3333333333
EUPRA1902R 59 16 13 6 212 291 3957 1500 2597 148 10 0 734.0833333333
EUPRA1903R 85 1 3 6 145 673 1265 4272 2461 3357 0 0 1022.3333333333
EUPRA1904R 65 22 93 6 271 1376 3542 3065 995 492 187 286 866.6666666667
EUPRA1905R 162 252 210 40 162 156 2995 3452 1558 37 0 20 753.6666666667
EUPRA1906R 40 600 63 1 133 1495 3470 2893 1270 78 0 0 836.9166666667
EUPRA1907R 15 774 227 167 108 330 1576 2758 220 0 0 0 514.5833333333
EUPRA1908R 181 146 61 3 37 602 2241 2877 825 130 0 6 592.4166666667
EUPRA1909R 81 51 0 610 32 2306 4002 2008 1580 64 0 215 912.4166666667
EUPRA1910R 41 2 6 12 287 1530 2191 3763 1985 989 292 1 924.9166666667
EUPRA1911R 419 1 297 17 27 991 622 3372 3740 1068 402 0 913
EUPRA1912R 148 75 78 35 166 472 3270 3022 1205 12 300 3 732.1666666667
EUPRA1913R 1 345 313 3 650 1596 2056 1991 933 120 0 136 678.6666666667
EUPRA1914R 16 156 212 71 524 415 4358 3183 889 30 0 1 821.25
EUPRA1915R 128 412 251 60 211 1014 3027 3823 4317 893 6 22 1180.3333333333
EUPRA1916R 0 201 0 63 51 2408 3205 3528 1918 525 75 0 997.8333333333
EUPRA1917R 74 312 70 34 342 1505 3487 2101 2836 637 0 45 953.5833333333
EUPRA1918R 4 0 54 22 212 1393 944 2221 1203 0 13 12 506.5
EUPRA1919R 407 93 20 45 96 659 3495 2243 2283 615 1 45 833.5
EUPRA1920R 0 118 90 11 181 870 4680 1393 890 29 0 0 688.5
EUPRA1921R 459 6 32 50 0 1613 1768 4376 2253 118 0 12 890.5833333333
EUPRA1922R 320 50 0 41 29 1283 4662 4952 3070 22 0 171 1216.6666666667
EUPRA1923R 13 357 0 1 60 390 2827 3627 2720 896 12 160 921.9166666667
EUPRA1924R 88 59 8 0 18 335 4947 2548 2712 262 123 105 933.75
EUPRA1925R 40 0 2 156 156 1306 4867 2088 2366 50 131 0 930.1666666667
EUPRA1926R 81 15 504 178 163 196 3731 2737 2435 380 1 12 869.4166666667
EUPRA1927R 65 233 161 20 282 690 2812 3231 1543 774 811 51 889.4166666667
EUPRA1928R 271 950 3 138 125 1075 2775 1063 535 685 1 151 647.6666666667
EUPRA1929R 464 12 138 12 54 1698 3001 3430 455 502 0 482 854
EUPRA1930R 116 178 39 25 45 482 3893 2660 3162 414 50 131 932.9166666667
EUPRA1931R 5 281 17 2 46 387 2982 2166 3823 1105 0 0 901.1666666667
EUPRA1932R 0 53 32 2 64 841 1828 3140 1421 212 287 24 658.6666666667
EUPRA1933R 103 182 25 395 477 1330 2036 2513 1613 976 0 0 804.1666666667
EUPRA1934R 395 8 158 17 6 1608 3560 2506 2356 80 12 37 895.25
EUPRA1935R 180 206 0 130 2 705 2403 3160 1926 0 0 143 737.9166666667
EUPRA1936R 65 296 48 45 195 2103 5844 3502 2666 261 55 218 1274.8333333333
EUPRA1937R 0 602 13 60 195 850 2781 3546 885 664 2 55 804.4166666667
EUPRA1938R 261 115 0 22 377 2992 4346 4142 2331 385 1 0 1247.6666666667
EUPRA1939R 133 178 18 10 17 1673 2775 2336 2321 176 0 0 803.0833333333
EUPRA1940R 91 171 344 41 106 679 2513 3440 1169 35 0 235 735.3333333333
EUPRA1941R 210 45 0 8 187 1175 1303 2673 1698 37 0 0 611.3333333333
EUPRA1942R 605 522 48 63 30 914 2927 3252 1936 0 0 71 864
EUPRA1943R 202 83 0 178 141 691 2418 4867 2755 158 0 0 957.75
EUPRA1944R 197 430 620 128 59 1111 2987 3153 1693 407 0 27 901
EUPRA1945R 445 5 20 178 140 741 2540 2078 2728 1080 0 55 834.1666666667
EUPRA1946R 0 277 3 308 324 971 4132 2243 1450 936 100 15 896.5833333333
EUPRA1947R 145 81 156 12 150 910 4200 2373 1973 192 3 25 851.6666666667
EUPRA1948R 312 88 2 4 160 1080 4291 3857 2765 587 131 0 1106.4166666667
EUPRA1949R 34 402 12 24 297 472 3080 3771 2772 944 2 0 984.1666666667
EUPRA1950R 317 86 228 1 66 1463 2505 3470 970 22 1 286 784.5833333333
EUPRA1951R 291 120 211 50 37 1283 1310 2528 1675 83 18 0 633.8333333333
EUPRA1952R 29 116 350 18 75 2506 1553 3197 1058 50 0 25 748.0833333333
EUPRA1953R 332 73 8 25 83 1441 5025 3451 2592 24 0 18 1089.3333333333
EUPRA1954R 434 362 10 0 37 685 3017 2905 1918 302 0 1 805.9166666667
EUPRA1955R 318 110 6 24 35 1988 5315 3268 2196 1040 0 0 1191.6666666667
EUPRA1956R 225 59 136 1 392 1373 2226 2737 3040 1838 397 75 1041.5833333333
EUPRA1957R 442 1 158 5 2 544 3572 2886 1560 29 0 53 771
EUPRA1958R 153 20 85 25 2 515 2223 3802 1955 1059 0 20 821.5833333333
EUPRA1959R 560 51 45 40 359 414 2121 3001 723 1160 10 0 707
EUPRA1960R 86 0 337 22 56 612 3788 3440 1653 1430 0 0 952
EUPRA1961R 223 280 0 12 91 835 2868 4247 1441 2308 3 106 1034.5
EUPRA1962R 327 153 93 48 30 597 2298 4018 2592 105 0 44 858.75
EUPRA1963R 141 20 105 74 203 849 3176 3370 1478 188 68 12 807
EUPRA1964R 35 49 2 22 407 663 3878 1663 2952 202 0 105 831.5
EUPRA1965R 15 6 91 172 25 158 1873 1943 1686 462 0 5 536.3333333333
EUPRA1966R 106 85 0 0 80 2010 1543 2617 220 136 212 126 594.5833333333
EUPRA1967R 17 0 316 69 83 530 2656 4673 1476 55 4 382 855.0833333333
EUPRA1968R 278 69 27 43 4 790 3182 2388 1109 286 0 27 683.5833333333
EUPRA1969R 25 30 39 54 410 781 3667 3090 2021 79 135 0 860.9166666667
EUPRA1970R 339 420 81 100 337 1963 2235 2416 3407 497 2 0 983.0833333333
EUPRA1971R 161 116 98 500 465 2056 3271 3898 2602 904 10 0 1173.4166666667
EUPRA1972R 68 292 13 8 3 379 1891 2366 1948 365 217 0 629.1666666667
EUPRA1973R 168 153 3 0 231 1125 2927 3548 1843 1400 1 4 950.25
EUPRA1974R 3 46 32 1 64 502 3533 2586 1083 217 16 106 682.4166666667
EUPRA1975R 78 51 113 0 40 2681 3921 2926 1611 380 0 0 983.4166666667
EUPRA1976R 74 54 6 50 225 676 2420 3218 2586 41 5 2 779.75
EUPRA1977R 128 49 0 123 242 572 3322 1913 1179 670 11 136 695.4166666667
EUPRA1978R 307 291 273 39 27 1651 3098 2648 2296 103 12 46 899.25
EUPRA1979R 275 280 11 76 100 855 2705 780 313 180 339 113 502.25
EUPRA1980R 69 30 83 0 120 1691 5719 4147 2776 207 1 148 1249.25
EUPRA1981R 188 32 93 58 347 775 4615 2450 3012 12 123 34 978.25
EUPRA1982R 308 106 399 116 350 1016 1833 3488 3552 130 242 61 966.75
EUPRA1983R 211 8 3 222 365 1076 2572 2430 3500 986 0 167 961.6666666667
EUPRA1984R 245 212 17 69 40 2358 3215 2243 2496 138 0 46 923.25
