Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;0;49;930;903;1996;2968;3367;3881;3098;1713;0;6;1575.9166666667
1872;8;267;51;262;696;2618;2043;2413;1908;2867;18;27;1098.1666666667
1873;12;0;475;475;999;1054;3945;2843;1221;318;75;61;956.5
1874;322;815;207;242;735;2815;1686;2556;2406;2671;131;0;1215.5
1875;267;65;88;629;1558;3156;3068;2997;2115;805;0;1;1229.0833333333
1876;0;22;382;302;816;2530;4287;3448;2371;1813;35;0;1333.8333333333
1877;532;617;295;540;1119;2045;3091;4078;1528;734;4;256;1236.5833333333
1878;71;150;370;587;1578;1323;2420;3967;2906;961;452;106;1240.9166666667
1879;0;325;10;37;663;1701;2621;2438;2551;969;0;101;951.3333333333
1880;50;755;191;369;1468;3423;2747;4441;2768;1838;88;17;1512.9166666667
1881;6;10;643;332;1503;3095;5032;4658;1548;1169;6;34;1503
1882;0;325;291;425;1575;2498;2645;3061;2258;2061;280;0;1284.9166666667
1883;197;148;532;599;856;2631;4066;3226;1425;170;30;352;1186
1884;22;136;48;440;1235;2068;3805;1988;2753;1536;0;5;1169.6666666667
1885;12;648;91;123;699;2465;3715;6157;2551;843;37;262;1466.9166666667
1886;45;3;720;81;1500;2108;3265;2636;3553;1183;55;10;1263.25
1887;256;0;688;407;1751;1771;3635;2867;2023;1140;207;1;1228.8333333333
1888;230;397;101;454;850;1175;4015;5632;1736;474;305;1;1280.8333333333
1889;202;480;53;212;800;2880;2333;2383;1843;1070;1209;1;1122.1666666667
1890;20;5;190;167;1094;3622;3202;2005;2520;2211;100;10;1262.1666666667
1891;61;422;1260;37;1916;1541;3297;3888;2155;130;342;0;1254.0833333333
1892;0;74;0;345;800;2348;2156;1721;2143;1028;869;0;957
1893;196;1140;658;455;3332;4497;3140;2623;3258;1056;17;0;1697.6666666667
1894;3;131;37;312;387;2897;3980;3346;1686;1381;824;37;1251.75
1895;59;20;113;529;955;2676;2388;2038;1773;975;4;6;961.3333333333
1896;15;50;44;93;1288;3277;3285;2628;1710;1;12;0;1033.5833333333
1897;11;320;622;502;1140;2801;2898;3016;1930;2003;39;6;1274
1898;74;64;5;257;871;4157;3070;4001;2508;2053;0;4;1422
1899;252;116;20;497;1861;3058;4847;2556;2630;1016;0;8;1405.0833333333
1900;55;242;156;668;1239;2088;2871;3217;5967;514;1;56;1422.8333333333
