Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1871,2968,3367,3881,3098,3328.5,449.4898049645,442415.83466312,665.1434692329
1872,2618,2043,2413,1908,2245.5,2003.4911347518,,
1873,1054,3945,2843,1221,2265.75,131.6600177305,,
1874,2815,1686,2556,2406,2365.75,12366.8102836879,,
1875,3156,3068,2997,2115,2834,2365.2925531915,,
1876,2530,4287,3448,2371,3159,3352.1719858156,,
1877,2045,3091,4078,1528,2685.5,1466.6493794326,,
1878,1323,2420,3967,2906,2654,520.8581560284,,
1879,1701,2621,2438,2551,2327.75,169.8408687943,,
1880,3423,2747,4441,2768,3344.75,51.2411347518,,
1881,3095,5032,4658,1548,3583.25,2406.4273049645,,
1882,2498,2645,3061,2258,2615.5,5589.3621453901,,
1883,2631,4066,3226,1425,2837,1526.9219858156,,
1884,2068,3805,1988,2753,2653.5,1474.7234042553,,
1885,2465,3715,6157,2551,3722,4088.372783688,,
1886,2108,3265,2636,3553,2890.5,3361.9308510638,,
1887,1771,3635,2867,2023,2574,2196.3989361702,,
1888,1175,4015,5632,1736,3139.5,1306.7770390071,,
1889,2880,2333,2383,1843,2359.75,781.7304964539,,
1890,3622,3202,2005,2520,2837.25,41.5053191489,,
1891,1541,3297,3888,2155,2720.25,2383.7593085106,,
1892,2348,2156,1721,2143,2092,903.8936170213,,
1893,4497,3140,2623,3258,3379.5,2058.5217198582,,
1894,2897,3980,3346,1686,2977.25,206.1719858156,,
1895,2676,2388,2038,1773,2218.75,122.1742021277,,
1896,3277,3285,2628,1710,2725,325.5536347518,,
1897,2801,2898,3016,1930,2661.25,3774.2570921986,,
1898,4157,3070,4001,2508,3434,3852.2624113475,,
1899,3058,4847,2556,2630,3272.75,5395.8869680851,,
1900,2088,2871,3217,5967,3535.75,2645.5004432624,,
1901,1851,2962,2955,2712,2620,13.8869680851,,
1902,1373,3801,2631,2458,2565.75,1997.8408687943,,
1903,2143,1890,2612,2657,2325.5,10.1068262411,,
1904,3200,4102,2830,1573,2926.25,1087.0372340426,,
1905,699,5324,2802,2810,2908.75,1826.640070922,,
1906,1911,3152,2588,2143,2448.5,46.8195921986,,
1907,3470,2216,2812,2336,2708.5,1177.7039007092,,
1908,3548,3695,3060,1711,3003.5,5.170212766,,
1909,3298,2428,5435,2808,3492.25,262.8102836879,,
1910,2396,3085,2285,2328,2523.5,718.3195921986,,
1911,3152,1708,3063,2651,2643.5,3080.0070921986,,
1912,1995,3828,2491,1338,2413,17198.7770390071,,
1913,5002,4753,2938,1881,3643.5,4835.9082446809,,
1914,2426,3887,2173,1653,2534.75,2708.6808510638,,
1915,2233,2563,2545,2551,2473,4008.0004432624,,
1916,4047,1590,3312,3492,3110.25,821.0642730496,,
1917,3982,3631,2336,2006,2988.75,4824.202570922,,
1918,4356,1870,3795,1895,2979,129.2553191489,,
1919,3322,2820,4416,1678,3059,1420.2570921986,,
1920,1190,3816,3220,1773,2499.75,413.6329787234,,
1921,2577,2891,4172,1933,2893.25,236.2145390071,,
1922,5835,2405,4026,2220,3621.5,3738.1276595745,,
1923,1763,3317,4700,1013,2698.25,1349.7451241135,,
1924,1811,3173,2496,2828,2577,109.0496453901,,
1925,1541,3237,2483,1531,2198,18156.0283687943,,
1926,1258,5675,4232,2785,3487.5,4276.2570921986,,
1927,3061,4027,2530,1578,2799,90.1600177305,,
1928,4280,4805,3415,1373,3468.25,593.3727836879,,
1929,2310,4325,3492,1480,2901.75,53.9898049645,,
1930,2226,4412,3061,2608,3076.75,2.1719858156,,
1931,1661,4268,2941,2238,2777,414.4898049645,,
1932,1443,3406,2858,1901,2402,1355.9401595745,,
1933,3052,3945,4842,2906,3686.25,12939.897606383,,
1934,2113,2065,2815,2033,2256.5,21626.8727836879,,
1935,2231,2778,3101,1776,2471.5,4607.3475177305,,
1936,3435,3398,2905,2823,3140.25,3730.4082446809,,
1937,2782,2702,2888,3328,2925,32.7943262411,,
1938,1871,2525,3798,1736,2482.5,9371.2783687943,,
1939,2450,3760,4862,2647,3429.75,7149.0496453901,,
1940,2205,2642,4805,2351,3000.75,2216.1773049645,,
1941,4145,4352,3756,1760,3503.25,1812.2712765958,,
1942,1578,3718,3827,4081,3301,2252.0017730497,,
1943,2196,4383,3257,2602,3109.5,890.0217198582,,
1944,1336,4108,4737,1670,2962.75,169.2925531915,,
1945,2098,1748,2587,2375,2202,3126.9219858156,,
1946,2663,3285,3487,3087,3130.5,2147.3408687943,,
1947,1563,3652,3061,2565,2710.25,4010.6666666667,,
1948,1931,2718,3483,2635,2691.75,16956.6600177305,,
1949,2627,3643,3237,2148,2913.75,10.1068262411,,
1950,4060,3602,3682,1856,3300,5445.4898049645,,
