Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;0;0;0;6;153;1039;1756;3347;562;0;332;40;602.9166666667
1872;0;0;0;2;8;2000;3662;1931;1536;13;0;5;763.0833333333
1873;0;121;0;0;44;803;2897;3762;909;12;0;0;712.3333333333
1874;1;0;0;0;32;1673;3831;2655;899;0;0;0;757.5833333333
1875;0;245;1;51;106;1155;4345;1059;3606;32;0;3;883.5833333333
1876;0;0;3;12;11;460;3201;2906;1536;0;0;0;677.4166666667
1877;25;162;2;18;121;810;928;267;1083;1015;32;95;379.8333333333
1878;0;0;0;15;138;1199;6440;5302;2832;217;0;0;1345.25
1879;0;55;0;0;70;2423;1600;3581;1543;232;0;0;792
1880;0;0;0;0;6;1029;4118;1748;3040;469;5;6;868.4166666667
1881;0;0;8;6;75;640;6517;2712;1431;101;3;54;962.25
1882;11;2;0;0;0;1823;5890;901;1753;0;5;0;865.4166666667
1883;88;0;30;0;263;1695;4486;640;2368;385;0;0;829.5833333333
1884;8;0;0;0;0;785;5675;1743;4771;116;0;37;1094.5833333333
1885;12;0;0;1;86;502;2832;3398;271;377;15;0;624.5
1886;0;0;2;0;111;1956;4927;2208;450;622;0;3;856.5833333333
1887;4;0;0;0;27;2271;4588;1743;447;2;217;39;778.1666666667
1888;83;81;0;0;0;930;1841;2838;54;10;285;0;510.1666666667
1889;6;13;0;0;439;1400;3758;2717;459;226;0;0;751.5
1890;0;0;0;17;0;2223;2722;2193;969;40;5;8;681.4166666667
1891;40;0;24;0;6;168;5370;1713;1375;51;0;0;728.9166666667
1892;25;5;0;0;3;990;3672;3433;4522;165;11;2;1069
1893;1;90;15;5;83;4491;3018;1715;2316;12;377;2;1010.4166666667
1894;35;0;8;4;20;2410;6969;925;2061;1259;0;18;1142.4166666667
1895;0;0;22;6;0;1310;2940;2178;625;307;0;0;615.6666666667
1896;0;0;0;0;0;1830;4948;3227;256;0;217;30;875.6666666667
1897;3;0;0;3;0;492;2933;3131;1811;190;0;0;713.5833333333
1898;0;218;0;0;45;1511;4205;1161;1566;0;6;66;731.5
1899;0;0;0;0;91;1708;126;101;173;12;0;8;184.9166666667
1900;0;0;0;68;25;46;1843;4590;1293;0;0;2;655.5833333333
1901;18;0;6;43;70;462;2403;1628;81;88;0;4;400.25
1902;27;0;0;0;20;222;2348;2912;2910;17;8;81;712.0833333333
1903;2;1;1;0;93;221;4747;1790;1721;20;0;0;716.3333333333
1904;12;115;141;1;27;454;1746;520;851;45;0;6;326.5
1905;0;6;16;2;0;202;6162;242;728;12;2;1;614.4166666667
1906;1;136;0;0;0;1928;3267;2521;1476;32;0;8;780.75
1907;3;201;2;16;0;599;3402;6385;150;0;0;0;896.5
1908;45;1;0;0;0;579;5862;3627;221;1;0;0;861.3333333333
1909;1;4;0;45;4;1613;3620;2328;1373;8;0;50;753.8333333333
1910;8;0;0;1;2;2742;2615;3380;247;203;108;0;775.5
1911;35;0;187;0;0;1470;656;668;574;0;34;0;302
1912;6;0;0;10;13;1004;6145;2855;395;216;355;0;916.5833333333
1913;0;0;2;0;106;3830;4042;2058;1476;4;2;0;960
1914;0;35;0;0;60;2335;4357;1281;2263;81;74;0;873.8333333333
1915;45;12;78;6;22;1261;1250;766;412;970;5;0;402.25
1916;0;0;1;0;56;1050;1800;4401;2056;340;27;0;810.9166666667
1917;10;101;0;59;1240;1548;2981;3570;3523;2440;0;0;1289.3333333333
1918;0;0;2;0;151;419;1118;2025;208;0;0;0;326.9166666667
1919;50;0;0;11;37;893;3458;5012;700;302;115;1;881.5833333333
