Year,Jun,Jul,Aug,Sep,Mean
1871,1039,1756,3347,562,1676
1872,2000,3662,1931,1536,2282.25
1873,803,2897,3762,909,2092.75
1874,1673,3831,2655,899,2264.5
1875,1155,4345,1059,3606,2541.25
1876,460,3201,2906,1536,2025.75
1877,810,928,267,1083,772
1878,1199,6440,5302,2832,3943.25
1879,2423,1600,3581,1543,2286.75
1880,1029,4118,1748,3040,2483.75
1881,640,6517,2712,1431,2825
1882,1823,5890,901,1753,2591.75
1883,1695,4486,640,2368,2297.25
1884,785,5675,1743,4771,3243.5
1885,502,2832,3398,271,1750.75
1886,1956,4927,2208,450,2385.25
1887,2271,4588,1743,447,2262.25
1888,930,1841,2838,54,1415.75
1889,1400,3758,2717,459,2083.5
1890,2223,2722,2193,969,2026.75
1891,168,5370,1713,1375,2156.5
1892,990,3672,3433,4522,3154.25
1893,4491,3018,1715,2316,2885
1894,2410,6969,925,2061,3091.25
1895,1310,2940,2178,625,1763.25
1896,1830,4948,3227,256,2565.25
1897,492,2933,3131,1811,2091.75
1898,1511,4205,1161,1566,2110.75
1899,1708,126,101,173,527
1900,46,1843,4590,1293,1943
1901,462,2403,1628,81,1143.5
1902,222,2348,2912,2910,2098
1903,221,4747,1790,1721,2119.75
1904,454,1746,520,851,892.75
1905,202,6162,242,728,1833.5
1906,1928,3267,2521,1476,2298
1907,599,3402,6385,150,2634
1908,579,5862,3627,221,2572.25
1909,1613,3620,2328,1373,2233.5
1910,2742,2615,3380,247,2246
1911,1470,656,668,574,842
1912,1004,6145,2855,395,2599.75
1913,3830,4042,2058,1476,2851.5
1914,2335,4357,1281,2263,2559
1915,1261,1250,766,412,922.25
1916,1050,1800,4401,2056,2326.75
1917,1548,2981,3570,3523,2905.5
1918,419,1118,2025,208,942.5
1919,893,3458,5012,700,2515.75
1920,1926,2556,970,287,1434.75
1921,335,5530,2003,3887,2938.75
1922,1195,3107,1235,2937,2118.5
1923,8,2311,1366,754,1109.75
1924,905,2993,2046,2011,1988.75
1925,2866,1963,696,108,1408.25
1926,178,4257,4481,3856,3193
1927,1756,8625,1751,935,3266.75
1928,640,3532,1938,1585,1923.75
1929,1596,4100,1568,163,1856.75
1930,1783,4028,1400,1014,2056.25
1931,220,3171,5113,795,2324.75
1932,542,5794,1221,1126,2170.75
1933,1046,2531,5570,2098,2811.25
1934,2313,2765,3996,760,2458.5
1935,866,3611,1010,1861,1837
1936,2136,1325,500,1728,1422.25
1937,2461,6050,267,3098,2969
1938,2876,3133,1273,225,1876.75
1939,247,1891,2866,1003,1501.75
1940,1543,1736,2188,1085,1638
1941,430,7277,2046,335,2522
1942,1246,4358,3603,1500,2676.75
1943,1288,4687,749,1415,2034.75
1944,1196,6327,5002,537,3265.5
1945,1656,5025,2338,3632,3162.75
1946,2475,2722,4342,1253,2698
1947,45,2782,2647,2727,2050.25
1948,619,1753,953,549,968.5
1949,277,3036,2211,2283,1951.75
1950,90,7174,678,3141,2770.75
1951,527,2426,1731,55,1184.75
1952,1611,5145,1443,93,2073
1953,1316,2203,5459,1115,2523.25
1954,1498,4092,2233,5800,3405.75
1955,1005,755,3968,3052,2195
1956,1115,6467,3396,1465,3110.75
1957,1636,2597,1850,90,1543.25
1958,1171,3267,2812,3767,2754.25
1959,1080,6187,2521,3832,3405
1960,1855,2036,1861,821,1643.25
1961,1134,3357,1878,3340,2427.25
1962,460,2481,1398,2056,1598.75
1963,651,3100,4225,2370,2586.5
1964,1078,4353,3353,1300,2521
1965,50,4307,1698,226,1570.25
1966,1155,3242,690,1776,1715.75
1967,1666,4125,2013,1121,2231.25
1968,325,2301,2478,407,1377.75
1969,863,2661,1291,1443,1564.5
1970,2418,2180,4037,3112,2936.75
1971,1675,2593,2000,1338,1901.5
1972,773,1645,1773,150,1085.25
1973,1189,2710,3503,3475,2719.25
1974,256,1323,833,567,744.75
1975,2218,1913,4007,3075,2803.25
1976,2538,4045,3980,1156,2929.75
1977,2326,5322,1706,1303,2664.25
1978,2075,2166,3160,415,1954
1979,1106,1403,3887,507,1725.75
1980,2712,2203,2638,217,1942.5
1981,934,3783,3558,1258,2383.25
1982,322,3063,2195,222,1450.5
1983,1396,4363,3643,1700,2775.5
1984,845,4176,4302,995,2579.5
1985,71,2677,1768,158,1168.5
1986,1918,1308,1371,25,1155.5
1987,733,1218,1706,61,929.5
1988,644,6094,2118,2106,2740.5
1989,1054,3332,2990,515,1972.75
1990,835,1913,5082,1793,2405.75
1991,783,4626,1856,429,1923.5
1992,1591,2326,2901,2331,2287.25
1993,981,5537,615,965,2024.5
1994,2745,4402,3162,3308,3404.25
1995,45,4290,1201,641,1544.25
1996,1135,3941,2323,1160,2139.75
1997,5682,2043,4165,1013,3225.75
1998,1178,3241,1881,3822,2530.5
1999,1670,2173,442,342,1156.75
2000,609,3065,1175,98,1236.75
2001,2466,2822,2158,46,1873
2002,2185,410,2413,960,1492
2003,2170,4932,2826,1120,2762
2004,1763,3192,4032,412,2349.75
2005,3064,3986,2209,3626,3221.25
2006,1328,5255,4080,1073,2934
2007,853,4487,3604,2179,2780.75
2008,883,3017,3458,2024,2345.5
2009,170,3891,1152,520,1433.25
2010,642,3414,3306,2055,2354.25
2011,152,2814,4005,1464,2108.75
