Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1871,8800,9447,2508,2213,5742,20896.2570921986,1510084.05762411,1228.8547748307
1872,7980,7417,4020,4297,5928.5,4.7943262411,,
1873,8312,8567,1886,1283,5012,8333.7304964539,,
1874,10540,6912,3196,2356,5751,0.3727836879,,
1875,8632,6502,3127,1186,4861.75,7411.3125,,
1876,5965,7862,2426,1105,4339.5,1297.6600177305,,
1877,8450,2643,5852,3945,5222.5,2437.5110815603,,
1878,9362,5477,8552,5860,7312.75,47345.8444148936,,
1879,4712,5712,3563,1783,3942.5,1471.4911347518,,
1880,7190,6062,1548,1438,4059.5,2617.420212766,,
1881,2928,3000,5527,1936,3347.75,27650.0017730496,,
1882,9544,11311,3311,2361,6631.75,27454.2996453901,,
1883,6914,7765,3700,844,4805.75,21.2593085106,,
1884,4713,4448,4656,3146,4240.75,3923.1493794326,,
1885,10306,8440,3887,1098,5932.75,44255.3475177305,,
1886,5527,5879,1741,1766,3728.25,1780.1489361702,,
1887,9225,5280,1278,1503,4321.5,22749.5106382979,,
1888,10688,4975,4632,1231,5381.5,3552.5536347518,,
1889,8215,3821,4097,4195,5082,189.5904255319,,
1890,6157,5118,2236,1115,3656.5,16262.0784574468,,
1891,7365,5572,2717,861,4128.75,14916.4898049645,,
1892,3572,10024,4745,1445,4946.5,2790.372783688,,
1893,7480,3640,2551,1565,3809,371.9219858156,,
1894,6010,5038,4047,1430,4131.25,68.4614361702,,
1895,6227,5600,2707,874,3852,9654.6493794326,,
1896,9057,5834,5372,1101,5341,5811.897606383,,
1897,8927,7399,6315,3027,6417,48322.0217198582,,
1898,6760,5987,1070,1941,3939.5,10166.0110815603,,
1899,7097,2742,1209,808,2964,13836.2451241135,,
1900,7622,6560,4420,1671,5068.25,4573.1134751773,,
1901,7805,5980,2897,1768,4612.5,22.8408687943,,
1902,4032,10401,2762,4257,5363,28220.0536347518,,
1903,5765,8515,3577,2883,5185,695.9259751773,,
1904,10751,6315,2737,1983,5446.5,5639.8444148936,,
1905,7340,4972,2548,2006,4216.5,1029.5106382979,,
1906,3976,8585,3532,1143,4309,2982.640070922,,
1907,8139,6535,8602,2668,6486,62717.6529255319,,
1908,5905,9337,3203,2053,5124.5,67.7664007092,,
1909,6285,7777,2276,1943,4570.25,27037.2783687943,,
1910,6804,4496,3821,2216,4334.25,596.4539007092,,
1911,8950,6270,1836,462,4379.5,839.2624113475,,
1912,9944,7235,5116,1473,5942,849.0496453901,,
1913,5167,6530,1961,1881,3884.75,16.8550531915,,
1914,6169,7814,3987,2230,5050,3973.420212766,,
1915,6737,8447,2805,4692,5670.25,147.5749113475,,
1916,8355,5102,3660,3180,5074.25,10721.0656028369,,
1917,7397,3710,3505,4543,4788.75,19011.2593085106,,
1918,5707,1525,3297,971,2875,18127.6706560284,,
1919,5882,6384,4415,2846,4881.75,398.3617021277,,
1920,11114,8562,2241,2026,5985.75,12259.3444148936,,
1921,4792,5480,6539,1385,4549,1073.1985815603,,
1922,7705,10715,2598,2163,5795.25,1921.420212766,,
