Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1871,969,148,535,1651,1981,8800,9447,2508,2213,1393,2166,93,2658.6666666667
1872,0,133,13,800,1853,7980,7417,4020,4297,970,935,379,2399.75
1873,4,780,25,1526,2478,8312,8567,1886,1283,2190,190,141,2281.8333333333
1874,0,113,50,874,5912,10540,6912,3196,2356,2453,775,277,2788.1666666667
1875,16,0,153,924,1160,8632,6502,3127,1186,1571,505,111,1990.5833333333
1876,0,3,375,442,751,5965,7862,2426,1105,545,365,20,1654.9166666667
1877,0,49,211,864,1185,8450,2643,5852,3945,5062,1023,753,2503.0833333333
1878,4,0,163,1033,2000,9362,5477,8552,5860,3003,1246,464,3097
1879,40,35,435,459,5724,4712,5712,3563,1783,2727,1091,435,2226.3333333333
1880,2,116,151,1411,2872,7190,6062,1548,1438,1206,1945,375,2026.3333333333
1881,11,0,235,182,1503,2928,3000,5527,1936,1121,2046,65,1546.1666666667
1882,350,2,6,347,3465,9544,11311,3311,2361,2826,1240,93,2904.6666666667
1883,37,3,385,845,2278,6914,7765,3700,844,2707,1475,242,2266.25
1884,0,6,188,349,1526,4713,4448,4656,3146,2516,1523,192,1938.5833333333
1885,0,34,167,365,926,10306,8440,3887,1098,3950,1105,1025,2608.5833333333
1886,20,17,2,665,3811,5527,5879,1741,1766,2895,985,141,1954.0833333333
1887,0,29,177,1085,921,9225,5280,1278,1503,2943,1481,457,2031.5833333333
1888,0,63,37,954,3571,10688,4975,4632,1231,1488,2226,30,2491.25
1889,0,40,188,1125,1915,8215,3821,4097,4195,2725,985,450,2313
1890,16,247,582,1825,1773,6157,5118,2236,1115,1566,649,242,1793.8333333333
1891,37,258,475,1069,2471,7365,5572,2717,861,4705,1338,659,2293.9166666667
1892,0,81,540,2255,2946,3572,10024,4745,1445,4683,1006,63,2613.3333333333
1893,187,349,1071,645,3273,7480,3640,2551,1565,2636,1923,22,2111.8333333333
1894,53,156,1070,1388,1363,6010,5038,4047,1430,2306,701,98,1971.6666666667
1895,8,0,335,2156,991,6227,5600,2707,874,3002,695,312,1908.9166666667
1896,30,5,192,706,1916,9057,5834,5372,1101,1983,1618,530,2362
1897,20,527,285,1084,1403,8927,7399,6315,3027,1880,1180,172,2684.9166666667
1898,27,250,150,931,1941,6760,5987,1070,1941,2687,1760,162,1972.1666666667
1899,37,265,228,3101,2086,7097,2742,1209,808,3345,320,74,1776
1900,45,37,63,2133,1044,7622,6560,4420,1671,2183,597,330,2225.4166666667
1901,245,364,570,1386,1466,7805,5980,2897,1768,2801,3690,445,2451.4166666667
1902,70,8,567,799,1348,4032,10401,2762,4257,3726,1123,1460,2546.0833333333
