Year,Jun,Jul,Aug,Sep,Mean
1871,4717,5320,2726,1803,3641.5
1872,7522,6552,3116,2831,5005.25
1873,6759,7389,4152,2915,5303.75
1874,7085,15424,4188,3385,7520.5
1875,9124,9082,4016,4768,6747.5
1876,4765,7700,2632,1793,4222.5
1877,7234,3106,3608,2541,4122.25
1878,7882,12346,10315,7000,9385.75
1879,6212,3910,9455,1413,5247.5
1880,6594,8599,2241,4743,5544.25
1881,4675,8175,5097,1936,4970.75
1882,9249,9420,1990,3983,6160.5
1883,7014,10015,3730,3953,6178
1884,3820,8052,6284,5424,5895
1885,3657,7855,6070,3057,5159.75
1886,9712,12025,4310,1263,6827.5
1887,9735,7912,5370,4131,6787
1888,7252,7852,5042,1224,5342.5
1889,8537,10775,3838,1288,6109.5
1890,9617,9227,6095,1920,6714.75
1891,2266,12426,2677,5555,5731
1892,6769,8909,11889,5082,8162.25
1893,8599,5305,4685,2351,5235
1894,6485,9499,3325,3727,5759
1895,4945,8270,4301,2611,5031.75
1896,6480,10303,7047,661,6122.75
1897,4417,14679,5479,4335,7227.5
1898,8920,10796,3190,4586,6873
1899,6330,1946,2321,1601,3049.5
1900,5725,6762,6604,3750,5710.25
1901,7777,7835,5305,784,5425.25
1902,4285,7354,3552,6704,5473.75
1903,4947,10856,5710,2516,6007.25
1904,10695,6704,2358,1598,5338.75
1905,2637,5957,2083,2151,3207
1906,5309,9312,4360,1866,5211.75
1907,6152,10428,5517,1203,5825
1908,4512,9755,4722,2493,5370.5
1909,7327,10022,3261,4051,6165.25
1910,7379,3513,6157,4022,5267.75
1911,4683,5240,5809,1396,4282
1912,6485,9175,3981,930,5142.75
1913,7795,9157,2228,1663,5210.75
1914,7712,10900,6447,5345,7601
1915,8270,6619,3197,4645,5682.75
1916,8025,7837,6497,6410,7192.25
1917,7025,5086,8985,4867,6490.75
1918,3445,2558,3630,884,2629.25
1919,6300,8922,3992,2530,5436
1920,3647,6215,2890,1825,3644.25
1921,8190,9019,4463,2966,6159.5
1922,8162,10333,2488,2086,5767.25
1923,3052,14056,3241,3577,5981.5
1924,5530,8737,4641,2811,5429.75
1925,7347,4187,4402,984,4230
1926,3325,8800,9932,4240,6574.25
1927,7809,7350,2808,2451,5104.5
1928,6609,8764,7457,2416,6311.5
1929,8125,5689,3965,1870,4912.25
1930,9942,4061,3577,5294,5718.5
1931,3752,16009,6805,2096,7165.5
1932,5327,10785,2521,3933,5641.5
1933,7512,7385,6042,3902,6210.25
1934,10863,6825,7505,3355,7137
1935,8257,7187,4256,3883,5895.75
1936,11206,5405,4778,3901,6322.5
1937,9225,12835,1981,3467,6877
1938,10451,6167,5667,3183,6367
1939,4692,10625,5365,2096,5694.5
1940,7410,7765,7117,2541,6208.25
1941,4638,4587,1893,1363,3120.25
1942,11435,9147,3587,2471,6660
1943,7280,9385,1813,4153,5657.75
1944,5272,12311,4402,470,5613.75
1945,6805,9892,5497,2796,6247.5
1946,7360,6927,5947,3871,6026.25
1947,3506,8985,7670,4190,6087.75
1948,5407,10075,7504,4398,6846
1949,4530,9525,5369,9534,7239.5
1950,3898,9752,2123,6555,5582
1951,8827,12236,3232,895,6297.5
1952,6535,7605,3053,1080,4568.25
1953,8824,12704,5659,1656,7210.75
1954,5590,13726,8727,5935,8494.5
1955,8514,9032,11485,3548,8144.75
1956,8479,10356,5405,3993,7058.25
1957,5475,9132,8710,878,6048.75
1958,9420,9832,12348,3495,8773.75
1959,7605,8704,5505,4683,6624.25
1960,10114,8214,3561,2293,6045.5
1961,6879,13058,5485,2962,7096
1962,4140,9552,6339,4912,6235.75
1963,6655,9657,11950,2548,7702.5
1964,7634,6985,6910,3298,6206.75
1965,5957,8757,4820,1323,5214.25
1966,3846,10366,2098,2926,4809
1967,7820,10064,2946,3492,6080.5
1968,4522,7675,2043,1931,4042.75
1969,6310,10575,3917,5610,6603
1970,9917,7772,8667,2398,7188.5
1971,9240,4681,5315,3162,5599.5
1972,7532,5375,2013,1071,3997.75
1973,3707,8060,8932,4028,6181.75
1974,5905,10376,6335,2253,6217.25
1975,8185,9179,7059,5532,7488.75
1976,5237,10323,5597,3175,6083
1977,4812,13005,4567,3537,6480.25
1978,9555,9047,4448,3007,6514.25
1979,7750,6504,5067,2821,5535.5
1980,8139,6097,6670,1878,5696
1981,6275,8340,5490,5874,6494.75
1982,7110,9340,5622,1756,5957
1983,5464,11173,12621,6295,8888.25
1984,7600,9490,4050,2743,5970.75
1985,10037,7287,5575,1670,6142.25
1986,6780,2916,5225,580,3875.25
1987,6870,8032,9009,1503,6353.5
1988,4860,12470,5577,5807,7178.5
1989,8299,9122,5494,2647,6390.5
1990,8060,5387,9575,3936,6739.5
1991,7565,10415,4447,824,5812.75
1992,5245,6092,7977,2838,5538
1993,6024,9522,4307,6404,6564.25
1994,8105,8267,4070,3158,5900
1995,3176,7897,3316,3158,4386.75
1996,5180,10134,3191,2931,5359
1997,7445,7662,6324,2540,5992.75
1998,7627,7600,5947,4965,6534.75
1999,9485,7622,1981,3032,5530
2000,6914,10192,6280,1169,6138.75
2001,5117,6742,4652,1643,4538.5
2002,8537,2578,5975,1693,4695.75
2003,8087,8899,3931,2353,5817.5
2004,5852,7715,6419,2016,5500.5
2005,6538,9697,4978,4818,6507.75
2006,5953,7783,6506,4173,6103.75
2007,9144,6811,7620,5872,7361.75
2008,7745,6663,5076,5000,6121
2009,3333,10726,2188,3294,4885.25
2010,6791,11382,6170,4746,7272.25
2011,8150,11196,6679,4320,7586.25
