Year,Root_Sum_Square
1871,23363.7498210369
1872,23469.4639698765
1873,23546.1175787715
1874,23674.9133264869
1875,23551.8302282434
1876,23520.3622513203
1877,23686.7981479135
1878,23818.9687339734
1879,23505.3032058725
1880,23567.6524488546
1881,23448.5289336026
1882,23559.9824773562
1883,23526.3329261064
1884,23488.5945861674
1885,23512.8788248767
1886,23567.7784775457
1887,23513.6648366434
1888,23518.2254131415
1889,23653.1549900501
1890,23618.3643940473
1891,23587.6939730586
1892,23519.9033341976
1893,23436.8344773066
1894,23690.0589217643
1895,23876.0226475572
1896,24012.4528831743
1897,24007.4511183507
1898,24144.4726169366
1899,24125.9246530919
1900,24276.0486701055
1901,24373.323025048
1902,24424.9709535822
1903,24584.7572830538
1904,24597.9689297037
1905,24590.846180371
1906,24660.3761339252
1907,24713.3605360205
1908,24618.2935300831
1909,24698.090344532
1910,24771.7472116253
1911,24791.1445742225
1912,24778.4834937492
1913,24841.7166419043
1914,24903.376496304
1915,24894.3060638372
1916,24919.5158884892
1917,24867.374612465
1918,24869.0132115584
1919,24995.9096527145
1920,25011.3437870366
1921,25164.9420802036
1922,25151.9386708063
1923,25393.2531006434
1924,25392.578441676
1925,25435.8353492994
1926,25420.7585108444
1927,25405.78575279
1928,25539.1320835954
1929,25544.3703461904
1930,25655.2600019307
1931,25660.9077103026
1932,25553.2554778577
1933,25611.9560700336
1934,25592.3889542054
1935,25426.7350270013
1936,25395.0373941445
1937,25373.706927973
1938,25349.5750960445
1939,25297.1450395099
1940,25324.8374690408
1941,25230.1847651446
1942,25295.1771177169
1943,25239.7049721928
1944,25230.434091919
1945,25287.6367038651
1946,25278.2733880962
1947,25372.4066369353
1948,25374.5397882733
1949,25253.3837313603
1950,25255.8928932108
1951,25394.8442900654
1952,23139.1421513417
1953,23280.4027095037
1954,23502.6509877077
1955,23734.2127595728
1956,23803.3836974914
1957,23715.5625599169
1958,23882.184229044
1959,24074.4758399153
1960,24096.2933045036
1961,24211.7736910509
1962,24260.8605714362
1963,24388.2569416102
1964,24442.9841682639
1965,24535.0176170034
1966,24513.0753051645
1967,24529.615209307
1968,24461.584255045
1969,24492.0310437905
1970,24621.9348528908
1971,24692.3343617677
1972,24635.756065118
1973,24695.5537475878
1974,24592.1011841201
1975,24720.7369439101
1976,24641.1853631273
1977,24640.4483989233
1978,24831.9222634898
1979,24837.7831894609
1980,24940.4457835728
1981,24963.1153070552
1982,24974.9949526188
1983,25204.6902731747
1984,25237.2962874393
1985,25341.8681220755
1986,25193.0432153402
1987,25268.6704105433
1988,25330.3097556399
1989,25418.1064669787
1990,25484.741209202
1991,25392.7223258292
1992,25386.645956421
1993,25410.3857844911
1994,25325.6240591092
1995,25243.8023281623
1996,25184.2845689529
1997,25123.9627089359
1998,25135.4458978418
1999,25125.6494261011
2000,25121.0952790014
2001,25178.6808087053
2002,25060.2838255409
2003,25070.0353224056
2004,25063.3401747785
2005,25080.9935023848
2006,25085.9905471826
2007,25176.8974498448
2008,25127.0613456223
2009,24975.1335094863
2010,25090.857553433
2011,25185.7601602572
