Year,Mean,MovingAvg
1871,3641.5,
1872,5005.25,4650.1666666667
1873,5303.75,5943.1666666667
1874,7520.5,6523.9166666667
1875,6747.5,6163.5
1876,4222.5,5030.75
1877,4122.25,5910.1666666667
1878,9385.75,6251.8333333333
1879,5247.5,6725.8333333333
1880,5544.25,5254.1666666667
1881,4970.75,5558.5
1882,6160.5,5769.75
1883,6178,6077.8333333333
1884,5895,5744.25
1885,5159.75,5960.75
1886,6827.5,6258.0833333333
1887,6787,6319
1888,5342.5,6079.6666666667
1889,6109.5,6055.5833333333
1890,6714.75,6185.0833333333
1891,5731,6869.3333333333
1892,8162.25,6376.0833333333
1893,5235,6385.4166666667
1894,5759,5341.9166666667
1895,5031.75,5637.8333333333
1896,6122.75,6127.3333333333
1897,7227.5,6741.0833333333
1898,6873,5716.6666666667
1899,3049.5,5210.9166666667
1900,5710.25,4728.3333333333
1901,5425.25,5536.4166666667
1902,5473.75,5635.4166666667
1903,6007.25,5606.5833333333
1904,5338.75,4851
1905,3207,4585.8333333333
1906,5211.75,4747.9166666667
1907,5825,5469.0833333333
1908,5370.5,5786.9166666667
1909,6165.25,5601.1666666667
1910,5267.75,5238.3333333333
1911,4282,4897.5
1912,5142.75,4878.5
1913,5210.75,5984.8333333333
1914,7601,6164.8333333333
1915,5682.75,6825.3333333333
1916,7192.25,6455.25
1917,6490.75,5437.4166666667
1918,2629.25,4852
1919,5436,3903.1666666667
1920,3644.25,5079.9166666667
1921,6159.5,5190.3333333333
1922,5767.25,5969.4166666667
1923,5981.5,5726.1666666667
1924,5429.75,5213.75
1925,4230,5411.3333333333
1926,6574.25,5302.9166666667
1927,5104.5,5996.75
1928,6311.5,5442.75
1929,4912.25,5647.4166666667
1930,5718.5,5932.0833333333
1931,7165.5,6175.1666666667
1932,5641.5,6339.0833333333
1933,6210.25,6329.5833333333
1934,7137,6414.3333333333
1935,5895.75,6451.75
1936,6322.5,6365.0833333333
1937,6877,6522.1666666667
1938,6367,6312.8333333333
1939,5694.5,6089.9166666667
1940,6208.25,5007.6666666667
1941,3120.25,5329.5
1942,6660,5146
1943,5657.75,5977.1666666667
1944,5613.75,5839.6666666667
1945,6247.5,5962.5
1946,6026.25,6120.5
1947,6087.75,6320
1948,6846,6724.4166666667
1949,7239.5,6555.8333333333
1950,5582,6373
1951,6297.5,5482.5833333333
1952,4568.25,6025.5
1953,7210.75,6757.8333333333
1954,8494.5,7950
1955,8144.75,7899.1666666667
1956,7058.25,7083.9166666667
1957,6048.75,7293.5833333333
1958,8773.75,7148.9166666667
1959,6624.25,7147.8333333333
1960,6045.5,6588.5833333333
1961,7096,6459.0833333333
1962,6235.75,7011.4166666667
1963,7702.5,6715
1964,6206.75,6374.5
1965,5214.25,5410
1966,4809,5367.9166666667
1967,6080.5,4977.4166666667
1968,4042.75,5575.4166666667
1969,6603,5944.75
1970,7188.5,6463.6666666667
1971,5599.5,5595.25
1972,3997.75,5259.6666666667
1973,6181.75,5465.5833333333
1974,6217.25,6629.25
1975,7488.75,6596.3333333333
1976,6083,6684
1977,6480.25,6359.1666666667
1978,6514.25,6176.6666666667
1979,5535.5,5915.25
1980,5696,5908.75
1981,6494.75,6049.25
1982,5957,7113.3333333333
1983,8888.25,6938.6666666667
1984,5970.75,7000.4166666667
1985,6142.25,5329.4166666667
1986,3875.25,5457
1987,6353.5,5802.4166666667
1988,7178.5,6640.8333333333
1989,6390.5,6769.5
1990,6739.5,6314.25
1991,5812.75,6030.0833333333
1992,5538,5971.6666666667
1993,6564.25,6000.75
1994,5900,5617
1995,4386.75,5215.25
1996,5359,5246.1666666667
1997,5992.75,5962.1666666667
1998,6534.75,6019.1666666667
1999,5530,6067.8333333333
2000,6138.75,5402.4166666667
2001,4538.5,5124.3333333333
2002,4695.75,5017.25
2003,5817.5,5337.9166666667
2004,5500.5,5941.9166666667
2005,6507.75,6037.3333333333
2006,6103.75,6657.75
2007,7361.75,6528.8333333333
2008,6121,6122.6666666667
2009,4885.25,6092.8333333333
2010,7272.25,6581.25
2011,7586.25,
