Year,Jun,Jul,Aug,Sep,Mean
1871,730,711,230,763,608.5
1872,1810,3446,2328,3233,2704.25
1873,1064,1026,2698,3092,1970
1874,1059,4033,557,2283,1983
1875,1856,2001,2206,4062,2531.25
1876,1125,1506,1525,632,1197
1877,1065,650,935,1816,1116.5
1878,935,2503,3347,2086,2217.75
1879,1820,1995,3036,826,1919.25
1880,1738,1433,564,3331,1766.5
1881,1576,1218,1458,1761,1503.25
1882,2892,2458,914,2797,2265.25
1883,2820,1031,3582,3221,2663.5
1884,725,2015,1059,2510,1577.25
1885,562,1188,926,2381,1264.25
1886,2155,2585,1988,980,1927
1887,1270,2058,2768,1936,2008
1888,1713,1763,659,1099,1308.5
1889,1280,2788,1516,2438,2005.5
1890,2168,2258,1411,1621,1864.5
1891,709,1556,1633,2241,1534.75
1892,2321,1696,4931,4053,3250.25
1893,1963,1184,3457,2692,2324
1894,1101,1320,1861,4877,2289.75
1895,1590,1876,1281,3667,2103.5
1896,1666,2233,1266,291,1364
1897,1068,1750,1318,3138,1818.5
1898,888,2568,405,2208,1517.25
1899,883,226,572,1348,757.25
1900,1516,2288,1266,1244,1578.5
1901,2001,1828,2430,750,1752.25
1902,512,1078,835,2905,1332.5
1903,990,2617,2740,1840,2046.75
1904,775,1199,595,3502,1517.75
1905,865,903,1245,1530,1135.75
1906,2233,2645,1675,814,1841.75
1907,920,2008,1575,345,1212
1908,948,1240,1670,2685,1635.75
1909,2273,2056,1740,2401,2117.5
1910,1938,1623,1875,4415,2462.75
1911,923,2441,1728,730,1455.5
1912,663,1821,1450,312,1061.5
1913,1795,2408,770,680,1413.25
1914,3161,1766,1621,2486,2258.5
1915,2166,1475,889,2923,1863.25
1916,1540,3685,1488,3126,2459.75
1917,1783,1391,2595,3328,2274.25
1918,829,658,786,920,798.25
1919,1598,1246,943,2278,1516.25
1920,625,570,809,1170,793.5
1921,1431,1776,688,1148,1260.75
1922,2116,1233,330,2088,1441.75
1923,182,2837,721,2973,1678.25
1924,492,1295,1870,2043,1425
1925,1195,789,1783,765,1133
1926,820,1250,2658,1636,1591
1927,1823,1490,690,1755,1439.5
1928,1600,1508,1386,2772,1816.5
1929,1693,1025,480,1683,1220.25
1930,1336,525,794,2841,1374
1931,1208,2712,1174,2371,1866.25
1932,1085,2546,1668,1701,1750
1933,1910,1873,1798,3183,2191
1934,981,2401,3088,1751,2055.25
1935,2118,1793,1911,2433,2063.75
1936,1093,846,1058,1366,1090.75
1937,788,2406,286,1626,1276.5
1938,2286,3032,1481,2720,2379.75
1939,958,1761,1771,632,1280.5
1940,1973,1756,2131,1333,1798.25
1941,367,1045,1243,2118,1193.25
1942,2421,1718,2720,1169,2007
1943,1835,1253,567,3218,1718.25
1944,891,2190,1121,1553,1438.75
1945,1211,1215,1383,1728,1384.25
1946,1711,1533,1075,1818,1534.25
1947,779,1471,2925,2406,1895.25
1948,2056,2273,1133,1655,1779.25
1949,1960,2095,919,3905,2219.75
1950,680,1370,1181,3063,1573.5
1951,1368,2553,1105,663,1422.25
1952,1368,1698,951,1485,1375.5
1953,2141,2296,1355,2562,2088.5
1954,2013,3120,1065,2831,2257.25
1955,2343,2178,3588,1968,2519.25
1956,919,2741,1670,2053,1845.75
1957,1051,2271,2827,805,1738.5
1958,685,3128,3942,895,2162.5
1959,2130,2128,1963,3006,2306.75
1960,1214,1596,763,2326,1474.75
1961,1686,2893,1788,950,1829.25
1962,845,1401,2293,2881,1855
1963,2106,1803,4276,850,2258.75
1964,1004,2116,1600,2200,1730
1965,1241,2535,2068,729,1643.25
1966,683,2363,854,1973,1468.25
1967,1223,2493,1150,1363,1557.25
1968,810,2278,625,2093,1451.5
1969,1298,2021,1598,2356,1818.25
1970,2173,1165,3907,1898,2285.75
1971,868,267,2013,1613,1190.25
1972,1049,535,855,744,795.75
1973,921,1960,3595,1396,1968
1974,1116,1330,1611,1521,1394.5
1975,1295,2241,2301,3328,2291.25
1976,1150,2013,2066,560,1447.25
1977,1163,1386,1313,1345,1301.75
1978,2308,1941,1200,849,1574.5
1979,1413,1933,1571,2666,1895.75
1980,2063,1179,3098,1134,1868.5
1981,1218,1585,1538,3225,1891.5
1982,729,2493,1005,1928,1538.75
1983,1085,1946,3035,4473,2634.75
1984,397,1190,761,1315,915.75
1985,1185,2115,562,1035,1224.25
1986,1381,1193,1171,1396,1285.25
1987,1518,1306,2133,405,1340.5
1988,1881,2942,3230,4522,3143.75
1989,2061,4267,2546,1665,2634.75
1990,2221,1276,4071,1583,2287.75
1991,2308,2066,360,442,1294
1992,2093,661,1838,1565,1539.25
1993,923,2368,1223,1475,1497.25
1994,1248,855,1413,1269,1196.25
1995,1260,1603,1606,1269,1434.5
1996,367,2178,2013,3242,1950
1997,833,1495,1226,1523,1269.25
1998,1868,2253,2937,2825,2470.75
1999,1825,1133,1403,2752,1778.25
2000,1921,1511,3613,649,1923.5
2001,1316,522,2781,840,1364.75
2002,2657,719,2176,1408,1740
2003,450,3837,1343,495,1531.25
2004,733,1720,617,2268,1334.5
2005,792,5184,1236,2515,2431.75
2006,1487,1370,3618,2551,2256.5
2007,1689,2731,1964,1755,2034.75
2008,1112,933,1063,2730,1459.5
2009,575,1440,1455,1770,1310
2010,1150,3105,2545,1846,2161.5
2011,682,2375,2073,1110,1560
