Year,Jun,Jul,Aug,Sep,Mean
1871,1133,1001,898,850,970.5
1872,1501,2076,622,2465,1666
1873,1413,1541,1333,1613,1475
1874,2191,1921,929,2208,1812.25
1875,1391,2541,1741,2021,1923.5
1876,846,2056,905,246,1013.25
1877,1863,641,1213,1623,1335
1878,876,2463,3286,2787,2353
1879,2011,1265,2303,425,1501
1880,954,1455,524,1978,1227.75
1881,470,1795,1165,1008,1109.5
1882,2728,2600,771,2243,2085.5
1883,2510,1865,1923,2211,2127.25
1884,477,2692,1069,1446,1421
1885,430,1696,1333,1836,1323.75
1886,1973,1668,1218,970,1457.25
1887,1323,2511,1323,1526,1670.75
1888,1090,1840,990,983,1225.75
1889,956,1491,778,2323,1387
1890,1501,1423,1174,1170,1317
1891,622,2478,1310,1118,1382
1892,1913,1780,1541,2413,1911.75
1893,2642,751,1476,693,1390.5
1894,939,2797,756,1498,1497.5
1895,1361,1551,1185,2143,1560
1896,1851,3037,1415,216,1629.75
1897,680,1561,1486,2005,1433
1898,1024,1993,944,1798,1439.75
1899,1176,409,261,735,645.25
1900,795,2165,2186,819,1491.25
1901,1240,1526,1325,780,1217.75
1902,973,1791,801,1825,1347.5
1903,991,2591,1316,1476,1593.5
1904,723,951,420,1788,970.5
1905,600,2285,635,440,990
1906,1735,1473,1708,671,1396.75
1907,1061,2628,2108,1116,1728.25
1908,835,2141,1376,1603,1488.75
1909,1855,1846,1058,1718,1619.25
1910,2023,1493,1846,1868,1807.5
1911,975,1195,1219,212,900.25
1912,544,2681,1150,286,1165.25
1913,2625,1840,876,915,1564
1914,1793,3000,1861,1858,2128
1915,1958,2093,585,2388,1756
1916,1085,2408,1281,1965,1684.75
1917,1403,713,1246,1691,1263.25
1918,424,480,818,380,525.5
1919,1645,1571,945,2195,1589
1920,801,1316,643,1270,1007.5
1921,915,2528,795,958,1299
1922,1518,1448,445,617,1007
1923,233,2428,828,1936,1356.25
1924,656,1341,1921,1928,1461.5
1925,1154,1235,810,1224,1105.75
1926,864,1960,1965,1194,1495.75
1927,1460,1988,505,1676,1407.25
1928,1371,1521,1189,2011,1523
1929,1601,1398,457,1431,1221.75
1930,1401,1556,730,2363,1512.5
1931,1358,2246,1308,1446,1589.5
1932,854,2632,1755,1373,1653.5
1933,1711,1396,2138,2420,1916.25
1934,1140,1926,1898,1378,1585.5
1935,1200,1456,1491,946,1273.25
1936,1413,595,607,1413,1007
1937,985,1993,270,2133,1345.25
1938,1996,2413,1226,1916,1887.75
1939,823,2088,1391,534,1209
1940,1621,1255,1408,1200,1371
1941,577,2431,660,1323,1247.75
1942,1788,2607,1406,475,1569
1943,1274,2136,555,1500,1366.25
1944,1045,3197,1448,1150,1710
1945,770,1751,1805,850,1294
1946,1401,2295,1748,1536,1745
1947,469,1791,2156,1921,1584.25
1948,1315,1703,1426,1336,1445
1949,868,1373,1291,2926,1614.5
1950,352,2711,595,1901,1389.75
1951,925,1568,796,605,973.5
1952,1351,1653,784,404,1048
1953,1209,1703,1528,1130,1392.5
1954,1406,2243,1265,1713,1656.75
1955,1095,1124,1833,2125,1544.25
1956,1059,2390,1803,1638,1722.5
1957,1553,1413,1490,894,1337.5
1958,809,2656,2518,620,1650.75
1959,1421,2393,1405,1645,1716
1960,1288,1498,850,2111,1436.75
1961,1451,2788,953,769,1490.25
1962,424,2243,1125,1616,1352
1963,1296,2233,1926,515,1492.5
1964,1261,1813,1670,2106,1712.5
1965,492,2758,1871,497,1404.5
1966,482,2063,509,1523,1144.25
1967,1264,3201,1181,1418,1766
1968,733,1558,1660,1431,1345.5
1969,1493,2511,1721,2096,1955.25
1970,1901,1253,1683,1386,1555.75
1971,1293,656,1573,1746,1317
1972,612,1260,715,820,851.75
1973,1325,2386,1483,1351,1636.25
1974,698,1505,1476,1910,1397.25
1975,1276,1976,1783,2291,1831.5
1976,1906,2421,1651,604,1645.5
1977,1420,1583,740,666,1102.25
1978,1440,1045,1228,1070,1195.75
1979,803,1546,1923,2546,1704.5
1980,1948,1181,1980,683,1448
1981,1208,2116,1400,2526,1812.5
1982,811,1035,1021,1281,1037
1983,1178,1516,1998,2622,1828.5
1984,816,2176,690,1313,1248.75
1985,773,1274,745,764,889
1986,1918,821,1235,773,1186.75
1987,1016,1126,1778,500,1105
1988,823,2376,1450,2977,1906.5
1989,1320,2121,1106,1886,1608.25
1990,1446,1576,2330,991,1585.75
1991,2587,2196,1030,663,1619
1992,1348,1245,1690,1214,1374.25
1993,1320,1851,1185,1216,1393
1994,2511,1853,1148,923,1608.75
1995,710,1631,1545,923,1202.25
1996,1643,1766,1046,1406,1465.25
1997,1678,1483,1738,724,1405.75
1998,1381,1581,1756,1951,1667.25
1999,1750,1468,452,1360,1257.5
2000,1776,1254,1215,1005,1312.5
2001,1296,825,993,1886,1250
2002,2258,420,1668,748,1273.5
2003,1578,1198,1005,835,1154
2004,1746,1073,2163,1586,1642
2005,2361,2672,1995,2323,2337.75
2006,1694,2760,3198,1555,2301.75
2007,2401,1912,1668,1477,1864.5
2008,1061,967,1498,2590,1529
2009,602,2355,1067,1587,1402.75
2010,1681,2036,1663,1541,1730.25
2011,1094,1867,1653,1346,1490
