Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;999;0;0;143;188;1133;1001;898;850;360;185;0;479.75
1872;0;0;25;151;121;1501;2076;622;2465;208;2;372;628.5833333333
1873;0;121;0;79;625;1413;1541;1333;1613;242;450;1;618.1666666667
1874;0;48;0;138;470;2191;1921;929;2208;845;49;22;735.0833333333
1875;6;1;43;74;136;1391;2541;1741;2021;330;17;197;708.1666666667
1876;0;0;61;15;12;846;2056;905;246;59;27;0;352.25
1877;64;80;37;172;70;1863;641;1213;1623;960;103;95;576.75
1878;0;0;0;207;68;876;2463;3286;2787;1255;133;0;922.9166666667
1879;0;22;1;64;791;2011;1265;2303;425;741;111;6;645
1880;0;0;73;76;193;954;1455;524;1978;885;277;0;534.5833333333
1881;0;0;0;138;285;470;1795;1165;1008;427;312;13;467.75
1882;12;0;41;71;379;2728;2600;771;2243;170;324;45;782
1883;35;0;11;105;201;2510;1865;1923;2211;1806;192;0;904.9166666667
1884;66;0;4;155;12;477;2692;1069;1446;1236;41;525;643.5833333333
1885;0;0;30;74;432;430;1696;1333;1836;1240;210;188;622.4166666667
1886;0;0;0;61;405;1973;1668;1218;970;2283;123;614;776.25
1887;0;0;3;43;382;1323;2511;1323;1526;703;941;44;733.25
1888;263;27;58;40;238;1090;1840;990;983;592;455;3;548.25
1889;0;0;20;136;315;956;1491;778;2323;1438;1;0;621.5
1890;0;0;8;235;24;1501;1423;1174;1170;615;655;437;603.5
1891;0;45;20;108;121;622;2478;1310;1118;843;40;0;558.75
1892;0;25;0;212;405;1913;1780;1541;2413;1958;113;10;864.1666666667
1893;45;0;213;148;980;2642;751;1476;693;976;312;0;686.3333333333
1894;8;168;83;113;105;939;2797;756;1498;970;0;0;619.75
1895;17;66;12;70;86;1361;1551;1185;2143;1571;262;30;696.1666666667
1896;17;0;0;146;217;1851;3037;1415;216;91;151;316;621.4166666667
