Year,June,July,Aug,Sept,Mean
1871,1212,1938,1151,305,1151.5
1872,796,1861,2177,715,1387.25
1873,497,1912,1719,918,1261.5
1874,880,1892,1398,539,1177.25
1875,329,2026,968,2387,1427.5
1876,306,2227,1098,1024,1163.75
1877,384,549,159,790,470.5
1878,785,2756,2698,1043,1820.5
1879,1212,707,2638,739,1324
1880,613,2114,949,1286,1240.5
1881,401,3296,1769,515,1495.25
1882,803,3078,809,946,1409
1883,603,1919,367,1394,1070.75
1884,959,2422,1285,2167,1708.25
1885,603,1597,2362,129,1172.75
1886,1144,2590,1291,228,1313.25
1887,732,2509,1763,407,1352.75
1888,364,1290,2089,257,1000
1889,827,1917,2267,158,1292.25
1890,1073,1708,1254,355,1097.5
1891,114,2123,954,828,1004.75
1892,448,2164,2222,2009,1710.75
1893,1802,2002,1172,1505,1620.25
1894,1793,3126,1048,1031,1749.5
1895,729,1529,1480,206,986
1896,1148,1922,1653,102,1206.25
1897,227,1739,2166,880,1253
1898,643,2098,588,845,1043.5
1899,966,469,100,84,404.75
1900,94,1329,2903,1614,1485
1901,146,1305,1078,92,655.25
1902,370,1305,1248,1297,1055
1903,123,2486,1407,1062,1269.5
1904,290,1259,996,561,776.5
1905,108,1741,189,642,670
1906,732,1652,1272,1256,1228
1907,277,1416,3052,36,1195.25
1908,335,3031,2947,469,1695.5
1909,972,2415,1328,1334,1512.25
1910,1337,1330,2234,592,1373.25
1911,656,261,482,770,542.25
1912,440,2921,1677,353,1347.75
1913,1406,1755,1103,606,1217.5
1914,1085,2262,813,1411,1392.75
1915,429,688,541,411,517.25
1916,543,1359,2724,1226,1463
1917,1055,1745,2795,2574,2042.25
1918,188,387,1036,134,436.25
1919,253,1800,2355,525,1233.25
1920,1180,1838,684,117,954.75
1921,168,2240,1070,1512,1247.5
1922,527,1593,736,1535,1097.75
1923,80,1867,1779,301,1006.75
1924,328,1727,1383,1581,1254.75
1925,1360,1466,506,109,860.25
1926,112,2019,2838,2038,1751.75
1927,462,3100,1589,482,1408.25
1928,254,1873,1548,602,1069.25
1929,491,2354,1311,149,1076.25
1930,850,2268,849,411,1094.5
1931,117,1639,2882,407,1261.25
1932,215,2492,1177,494,1094.5
1933,1030,1565,2928,1429,1738
1934,1055,1207,2618,458,1334.5
1935,323,2459,818,933,1133.25
1936,1152,1013,911,866,985.5
1937,845,2980,249,1155,1307.25
1938,1272,1412,860,81,906.25
1939,350,776,1063,428,654.25
1940,674,1141,2007,304,1031.5
1941,405,2266,1301,304,1069
1942,450,2494,2304,917,1541.25
1943,521,2814,600,837,1193
1944,567,2819,3220,312,1729.5
1945,906,2855,1459,1642,1715.5
1946,1126,1372,2453,516,1366.75
1947,51,949,2143,2118,1315.25
1948,302,1397,1366,494,889.75
1949,295,2382,1220,916,1203.25
1950,99,3457,1078,1651,1571.25
1951,389,1121,1195,78,695.75
1952,743,2621,1438,57,1214.75
1953,580,1511,3084,602,1444.25
1954,521,1986,1084,2206,1449.25
1955,524,562,2628,1756,1367.5
1956,495,3411,1861,587,1588.5
1957,623,1878,1482,412,1098.75
1958,366,1905,1230,2356,1464.25
1959,502,3406,1646,1748,1825.5
1960,720,1588,1739,243,1072.5
1961,885,1913,1645,1996,1609.75
1962,157,1904,1253,1468,1195.5
1963,310,1148,2219,855,1133
1964,547,2358,2124,660,1422.25
1965,42,2220,1031,337,907.5
1966,743,1415,1079,859,1024
1967,663,2291,1719,908,1395.25
1968,131,1767,1398,124,855
1969,252,1553,1083,767,913.75
1970,1007,1284,2623,1500,1603.5
1971,1132,1812,1560,956,1365
1972,578,933,1491,104,776.5
1973,505,1817,2757,1243,1580.5
1974,273,1539,834,354,750
1975,958,1670,2248,1913,1697.25
1976,1009,1930,2374,1043,1589
1977,1175,2742,1286,1150,1588.25
1978,1176,2320,1869,412,1444.25
1979,728,1343,2414,263,1187
1980,1289,2191,1022,288,1197.5
1981,482,2225,1396,633,1184
1982,215,1445,1605,102,841.75
1983,842,2343,2127,797,1527.25
1984,402,1580,1952,945,1219.75
1985,185,1597,1406,223,852.75
1986,816,1455,1003,135,852.25
1987,408,441,1031,90,492.5
1988,448,2869,1579,1356,1563
1989,700,1632,1868,364,1141
1990,434,1850,2664,1120,1517
1991,401,1702,1177,274,888.5
1992,400,1674,2230,1512,1454
1993,953,2737,418,840,1237
1994,1120,2700,1857,1257,1733.5
1995,292,2450,1577,758,1269.25
1996,1655,1869,1640,723,1471.75
1997,1641,1326,2003,719,1422.25
1998,902,1764,1166,1279,1277.75
1999,832,1459,633,401,831.25
2000,461,2184,708,200,888.25
2001,1327,1961,1034,95,1104.25
2002,1044,253,1111,506,728.5
2003,746,2493,1378,538,1288.75
2004,632,1048,2280,240,1050
2005,1062,1860,787,1611,1330
2006,685,2121,2298,731,1458.75
2007,708,1700,2022,1045,1368.75
2008,1085,1385,1646,1119,1308.75
2009,321,2173,796,411,925.25
2010,478,2260,2268,1427,1608.25
2011,696,1575,2425,1475,1542.75
