Year,Jun,Jul,Aug,Sep,Mean
1871,2061,3197,1808,2420,2371.5
1872,4937,3216,3193,2188,3383.5
1873,700,3552,2936,1615,2200.75
1874,2926,3005,4196,1730,2964.25
1875,2063,4736,2618,3788,3301.25
1876,1129,3462,2373,3193,2539.25
1877,1895,2813,2713,1918,2334.75
1878,756,2697,3397,2378,2307
1879,1366,2867,3882,2666,2695.25
1880,3465,3828,4700,2582,3643.75
1881,2550,4093,2981,2285,2977.25
1882,1646,4772,2983,2131,2883
1883,4651,3847,2503,2717,3429.5
1884,3247,3686,2757,3375,3266.25
1885,2546,2770,2160,1461,2234.25
1886,2318,3275,2808,3106,2876.75
1887,1796,3926,3467,1748,2734.25
1888,900,2468,5048,1903,2579.75
1889,2836,3392,4301,1710,3059.75
1890,3287,4253,3098,3145,3445.75
1891,585,2985,4206,4130,2976.5
1892,2640,4587,1940,2772,2984.75
1893,2071,2967,3645,4548,3307.75
1894,2325,5045,2410,2006,2946.5
1895,4626,3581,3947,1928,3520.5
1896,3807,4477,5177,1918,3844.75
1897,1771,3080,3772,2483,2776.5
1898,1761,2747,3103,2411,2505.5
1899,2128,3117,2143,1035,2105.75
1900,2280,2385,4802,3983,3362.5
1901,552,2966,3742,2056,2329
1902,870,4697,3597,1811,2743.75
1903,1598,3778,2641,2858,2718.75
1904,3892,3287,3568,1975,3180.5
1905,799,3472,2872,3946,2772.25
1906,1955,3690,2726,2526,2724.25
1907,2433,2001,5650,1950,3008.5
1908,2151,3527,5822,2071,3392.75
1909,2838,4367,2220,2313,2934.5
1910,2318,3952,4542,2677,3372.25
1911,3526,1580,4412,2625,3035.75
1912,1060,3642,4472,2165,2834.75
1913,2285,4382,3768,1468,2975.75
1914,2947,4276,3172,3197,3398
1915,1283,2076,3332,2691,2345.5
1916,2912,2361,3421,1788,2620.5
1917,2792,3191,3188,2773,2986
1918,4086,2260,3452,1666,2866
1919,3322,3050,5257,1438,3266.75
1920,1638,5607,2957,1631,2958.25
1921,2083,3240,2538,3262,2780.75
1922,2163,4698,3013,3700,3393.5
1923,1024,2783,3593,1881,2320.25
1924,966,2206,3037,2290,2124.75
1925,3597,4472,4002,1948,3504.75
1926,635,2873,5870,2800,3044.5
1927,2582,4135,4281,1961,3239.75
1928,2356,4996,2533,2113,2999.5
1929,1705,5165,4526,1990,3346.5
1930,1833,4143,3187,2802,2991.25
1931,1138,2513,5137,2088,2719
1932,963,5031,2500,2587,2770.25
1933,3071,3998,4926,2967,3740.5
1934,2261,3611,4480,2776,3282
1935,1430,5767,2068,2750,3003.75
1936,5076,3787,3815,2301,3744.75
1937,2461,4107,2681,2892,3035.25
1938,2276,2573,3162,2233,2561
1939,1966,4472,4248,2281,3241.75
1940,3211,6037,4052,1238,3634.5
1941,3012,3520,2841,1956,2832.25
1942,2025,4247,3646,2995,3228.25
1943,1876,5003,4475,3038,3598
1944,1403,5470,4532,1525,3232.5
1945,1601,4232,2872,3837,3135.5
1946,2438,2930,4137,2146,2912.75
1947,2140,3792,4127,1803,2965.5
1948,2151,3016,3682,2381,2807.5
1949,1305,2862,3460,2687,2578.5
1950,2842,3660,3083,2046,2907.75
1951,2040,3751,3395,1786,2743
1952,1888,3492,3971,3195,3136.5
1953,2418,2253,5018,2551,3060
1954,1575,2188,2667,3667,2524.25
1955,2063,2033,3798,3543,2859.25
1956,3680,4500,4408,3242,3957.5
1957,1383,2997,4207,1910,2624.25
1958,1075,4328,2715,3545,2915.75
1959,2136,3593,3186,2698,2903.25
1960,2033,3958,4335,1945,3067.75
1961,2508,3181,3072,4050,3202.75
1962,1768,4230,2861,2473,2833
1963,2356,3128,3367,3107,2989.5
1964,1428,4280,4872,1976,3139
1965,1316,4215,2236,2111,2469.5
1966,2923,3698,1916,1830,2591.75
1967,2053,3122,3938,2520,2908.25
1968,1688,2972,3023,2738,2605.25
1969,1558,4927,2745,2248,2869.5
1970,2120,2388,3217,1209,2233.5
1971,3257,2665,3833,1521,2819
1972,1336,3502,3186,3267,2822.75
1973,1110,4713,3686,2106,2903.75
1974,1023,1733,3267,1525,1887
1975,2236,2446,3957,2313,2738
1976,749,3347,4162,1448,2426.5
1977,1816,3296,3427,2610,2787.25
1978,1625,3078,3806,1543,2513
1979,2188,2448,2443,1623,2175.5
1980,3047,4013,2190,3306,3139
1981,1773,2493,3760,2913,2734.75
1982,1876,1871,5734,1258,2684.75
1983,1451,2567,3077,2995,2522.5
1984,3067,3647,4907,1255,3219
1985,1646,2508,4162,3322,2909.5
1986,3095,4346,3292,1788,3130.25
1987,1213,4236,2035,1603,2271.75
1988,2501,3175,2643,2640,2739.75
1989,3568,2840,4217,2011,3159
1990,2386,2942,4106,2577,3002.75
1991,1433,4441,4505,1855,3058.5
1992,1966,4072,3627,1781,2861.5
1993,2952,3122,3958,2817,3212.25
1994,3017,4702,5132,2607,3864.5
1995,1125,2708,2977,2100,2227.5
1996,2081,2436,3287,921,2181.25
1997,2321,2893,5945,2146,3326.25
1998,1703,2446,2205,2950,2326
1999,2358,2980,3477,2940,2938.75
2000,2597,2916,2520,1423,2364
2001,4352,5727,3310,1120,3627.25
2002,1903,1631,3300,2253,2271.75
2003,2013,3657,4020,2957,3161.75
2004,2193,3297,3402,1656,2637
2005,1905,4663,1886,3458,2978
2006,1934,4264,6696,2184,3769.5
2007,2821,2874,4264,4009,3492
2008,3985,3400,4299,4017,3925.25
2009,972,6255,2905,1608,2935
2010,1618,3215,2774,2279,2471.5
2011,2186,2125,3297,3598,2801.5
