YEARS,JUNE,JULY,AUG,SEP,MEAN
1871,1610,2106,986,1504,1551.5
1872,1817,2221,1631,1743,1853
1873,1499,1625,1340,1109,1393.25
1874,2236,2316,1123,2484,2039.75
1875,1757,1701,1519,1232,1552.25
1876,1395,1852,1292,697,1309
1877,1747,777,1360,2071,1488.75
1878,1881,2199,3001,2295,2344
1879,1473,1980,1713,943,1527.25
1880,1638,1612,1259,917,1356.5
1881,1100,848,2161,1524,1408.25
1882,1790,2649,1497,1553,1872.25
1883,1662,2029,1893,756,1585
1884,1106,1189,1761,1244,1325
1885,2096,1928,1054,1313,1597.75
1886,1734,2378,1841,1382,1833.75
1887,2332,1485,1414,1257,1622
1888,2024,1556,1334,1204,1529.5
1889,2108,1990,1743,2495,2084
1890,1790,1817,1256,1143,1501.5
1891,1433,1482,1019,783,1179.25
1892,1621,2380,2707,1294,2000.5
1893,1991,2007,998,1202,1549.5
1894,1288,1524,1887,1165,1466
1895,1485,2017,1547,1610,1664.75
1896,1996,1645,1779,1201,1655.25
1897,1885,1975,2100,2614,2143.5
1898,1628,1736,983,2205,1638
1899,1365,624,836,1463,1072
1900,1753,2259,1282,1670,1741
1901,1775,1570,1137,1491,1493.25
1902,1289,2312,1473,1894,1742
1903,1601,2540,1817,2202,2040
1904,2035,1862,844,946,1421.75
1905,1705,1126,1803,858,1373
1906,1609,2173,2258,1127,1791.75
1907,1842,1917,1684,1265,1677
1908,1257,2262,1310,1848,1669.25
1909,1515,1952,2359,1536,1840.5
1910,1829,2166,2095,1474,1891
1911,1829,1757,811,1064,1365.25
1912,1716,2096,1930,1530,1818
1913,1243,1927,760,1346,1319
1914,1413,2189,1773,1739,1778.5
1915,1885,2166,1353,1929,1833.25
1916,1804,2568,1720,1667,1939.75
1917,2144,1281,2090,2203,1929.5
1918,1201,729,1082,1031,1010.75
1919,1470,2094,1145,1914,1655.75
1920,1892,1592,1109,1444,1509.25
1921,1300,2162,1927,1223,1653
1922,1559,2201,1184,827,1442.75
1923,1316,2208,1597,1733,1713.5
1924,1834,2893,1568,2072,2091.75
1925,1671,1799,1874,960,1576
1926,1414,2010,1495,1641,1640
1927,1806,2129,1187,1883,1751.25
1928,1407,1735,1705,925,1443
1929,2300,1595,1067,1727,1672.25
1930,1753,1166,929,1622,1367.5
1931,1475,1908,1994,1520,1724.25
1932,1072,1719,1783,1254,1457
1933,1694,2110,2120,1458,1845.5
1934,2023,1555,1181,549,1327
1935,1415,1744,1811,1186,1539
1936,1801,1886,1107,1476,1567.5
1937,1192,2344,1135,1154,1456.25
1938,1676,1778,2061,2011,1881.5
1939,1530,1549,1368,1243,1422.5
1940,1729,2003,1928,1271,1732.75
1941,1871,1132,1255,1723,1495.25
1942,1998,1742,1431,1027,1549.5
1943,1699,1759,915,1401,1443.5
1944,1710,2007,1150,1303,1542.5
1945,1293,2390,1433,1093,1552.25
1946,1937,1764,1896,1396,1748.25
1947,1420,2112,2351,1922,1951.25
1948,1733,1783,1640,1097,1563.25
1949,1574,2413,1967,1918,1968
1950,1413,2283,1513,1654,1715.75
1951,1767,2159,1011,1432,1592.25
1952,1409,1424,1295,514,1160.5
1953,1321,2940,1153,1426,1710
1954,1535,2359,1845,1096,1708.75
1955,1660,1402,1652,1933,1661.75
1956,2044,1930,1281,1565,1705
1957,2208,1930,1491,836,1616.25
1958,1626,1757,2068,1123,1643.5
1959,2160,2618,1372,1608,1939.5
1960,1317,2209,949,2216,1672.75
1961,2473,2894,2091,1570,2257
1962,920,2081,2020,1898,1729.75
1963,1292,1935,2041,1195,1615.75
1964,1231,2519,1874,2309,1983.25
1965,1353,1485,1751,1191,1445
1966,1430,1976,1400,1763,1642.25
1967,1602,2422,1336,1052,1603
1968,1561,2421,815,1698,1623.75
1969,1282,2016,1511,874,1420.75
1970,1609,1749,2212,1342,1728
1971,1753,1651,1727,1563,1673.5
1972,1435,1564,840,1545,1346
1973,1505,1680,1946,1225,1589
1974,1036,2337,1397,2447,1804.25
1975,2287,2240,2076,2015,2154.5
1976,902,1955,1889,811,1389.25
1977,1666,1999,1591,1116,1593
1978,1995,2257,1765,1829,1961.5
1979,1673,1570,1148,1967,1589.5
1980,1940,1900,1616,1092,1637
1981,2020,1850,1840,2244,1988.5
1982,1654,1615,1525,1010,1451
1983,1411,2043,2477,2520,2112.75
1984,1505,2083,826,1310,1431
1985,1831,1497,1496,1134,1489.5
1986,1593,1097,1741,1442,1468.25
1987,1618,943,1706,1118,1346.25
1988,1397,2411,2403,2232,2110.75
1989,1719,2811,1385,1783,1924.5
1990,1280,1451,1697,1191,1404.75
1991,2816,2008,1505,1344,1918.25
1992,1893,1798,1638,1542,1717.75
1993,1594,2066,1340,1201,1550.25
1994,1761,2247,1360,814,1545.5
1995,1403,2038,1575,975,1497.75
1996,2730,1659,1988,2128,2126.25
1997,1499,1982,1547,2119,1786.75
1998,1632,1854,2103,2340,1982.25
1999,1589,1723,1097,1096,1376.25
2000,1803,1271,2471,1326,1717.75
2001,1389,1506,1232,1939,1516.5
2002,1557,737,1297,746,1084.25
2003,1576,1872,1471,858,1444.25
2004,1516,1542,1038,1639,1433.75
2005,1465,2220,1365,1939,1747.25
2006,1843,1247,1368,1658,1529
2007,2641,2006,2178,2027,2213
2008,1299,1691,1966,1205,1540.25
2009,1074,2072,1364,1928,1609.5
2010,1783,2163,1885,1627,1864.5
2011,1788,1743,1978,1277,1696.5
