PUNJB1871R,39,728,0,30,212,1691,1118,298,207,0,0,156,373.25
PUNJB1872R,278,177,113,155,241,467,2786,2376,770,6,0,121,624.1666666667
PUNJB1873R,50,0,83,6,302,66,1700,1405,866,128,0,98,392
PUNJB1874R,367,313,227,43,8,879,905,715,790,0,0,0,353.9166666667
PUNJB1875R,0,277,8,0,223,191,2353,3171,3745,167,0,55,849.1666666667
PUNJB1876R,58,126,347,439,143,105,2466,1043,375,313,0,0,451.25
PUNJB1877R,665,714,233,345,208,302,774,302,1818,153,327,1151,582.6666666667
PUNJB1878R,283,442,51,494,597,136,1906,3151,196,0,0,86,611.8333333333
PUNJB1879R,16,34,250,3,27,1175,597,1461,330,0,0,187,340
PUNJB1880R,81,572,0,6,55,1105,2975,475,324,0,35,211,486.5833333333
PUNJB1881R,29,308,607,138,118,1060,3257,1916,250,6,0,0,640.75
PUNJB1882R,554,310,6,106,54,187,2233,1274,1483,0,0,2,517.4166666667
PUNJB1883R,701,15,73,56,330,93,1214,705,1776,6,121,37,427.25
PUNJB1884R,50,146,162,17,68,685,2136,1306,1143,126,0,13,487.6666666667
PUNJB1885R,716,65,86,255,700,385,953,1229,220,6,0,552,430.5833333333
PUNJB1886R,514,40,660,25,232,1531,2423,1009,230,367,17,172,601.6666666667
PUNJB1887R,325,0,10,11,22,303,1161,2953,704,55,0,17,463.4166666667
PUNJB1888R,318,136,91,22,6,384,1961,2118,602,45,126,6,484.5833333333
PUNJB1889R,605,924,34,27,247,477,1883,1948,170,1,0,0,526.3333333333
PUNJB1890R,58,55,242,115,22,824,1976,1553,162,76,53,440,464.6666666667
PUNJB1891R,883,146,774,101,55,90,1050,823,514,362,5,0,400.25
PUNJB1892R,121,103,12,6,223,126,2461,2957,1606,0,0,252,655.5833333333
PUNJB1893R,773,818,197,141,410,1210,2508,664,2538,0,0,41,775
PUNJB1894R,960,296,276,53,101,3360,2391,1611,694,0,60,699,875.0833333333
PUNJB1895R,689,222,116,151,51,1210,607,2041,0,8,1,3,424.9166666667
PUNJB1896R,125,349,48,5,50,527,860,1508,162,37,13,113,316.4166666667
PUNJB1897R,318,158,108,307,68,320,1375,1761,337,17,0,66,402.9166666667
PUNJB1898R,93,1185,0,3,133,587,2641,527,645,0,0,360,514.5
PUNJB1899R,0,103,8,63,78,610,854,554,40,22,0,0,194.3333333333
PUNJB1900R,420,59,69,226,103,223,1711,3471,3255,0,0,303,820
PUNJB1901R,550,494,291,32,322,85,1738,1305,340,17,0,30,433.6666666667
PUNJB1902R,0,10,118,125,329,484,1236,1119,810,101,0,0,361
PUNJB1903R,267,8,557,15,116,43,2323,1338,1456,91,0,95,525.75
PUNJB1904R,247,16,993,12,135,210,644,1138,726,108,98,287,384.5
PUNJB1905R,585,385,235,4,16,133,1205,435,968,6,0,96,339
PUNJB1906R,51,875,547,22,32,414,1016,1826,1833,0,0,282,574.8333333333
PUNJB1907R,325,1209,537,469,43,207,914,2873,75,10,0,0,555.1666666667
PUNJB1908R,535,96,2,367,105,86,1888,3847,474,0,25,20,620.4166666667
PUNJB1909R,344,263,1,540,25,768,2095,1513,2050,12,0,394,667.0833333333
PUNJB1910R,263,65,10,63,29,1109,1423,2390,893,151,0,50,537.1666666667
PUNJB1911R,1313,79,1094,54,8,785,221,1170,410,135,365,0,469.5
PUNJB1912R,504,48,60,253,111,78,1813,2056,385,0,207,20,461.25
PUNJB1913R,12,562,527,6,487,823,1275,1476,138,10,49,172,461.4166666667
PUNJB1914R,186,310,125,512,221,597,2747,764,2028,454,101,86,677.5833333333
PUNJB1915R,359,612,562,83,61,198,525,731,1328,230,0,27,393
PUNJB1916R,17,207,25,53,65,320,2520,1968,696,156,0,0,502.25
PUNJB1917R,74,30,156,929,385,940,1816,2376,3611,1553,0,86,996.3333333333
PUNJB1918R,40,5,721,490,2,347,425,1515,293,0,41,44,326.9166666667
PUNJB1919R,886,115,128,55,202,61,1728,1086,425,3,34,342,422.0833333333
PUNJB1920R,282,202,223,8,207,414,1691,1084,255,0,0,13,364.9166666667
PUNJB1921R,175,34,3,4,11,177,1081,1169,590,316,0,202,313.5
PUNJB1922R,252,161,12,20,16,617,1418,925,1448,25,0,367,438.4166666667
PUNJB1923R,424,715,64,106,460,288,2296,3047,113,32,29,422,666.3333333333
PUNJB1924R,362,492,25,8,143,13,1846,1190,1483,5,8,360,494.5833333333
PUNJB1925R,202,17,10,76,215,1075,3207,1578,96,79,103,0,554.8333333333
PUNJB1926R,170,76,479,207,316,30,1830,2480,532,1,13,51,515.4166666667
PUNJB1927R,4,362,163,60,212,233,1996,1015,172,85,30,285,384.75
