Year,Jun,Jul,Aug,Sep,Mean
1871,404,510,1888,166,742
1872,1330,2040,716,582,1167
1873,237,1316,1333,300,796.5
1874,1260,1773,770,256,1014.75
1875,404,984,470,570,607
1876,390,1621,875,337,805.75
1877,387,177,55,1803,605.5
1878,2198,4337,2258,1998,2697.75
1879,1139,355,1423,555,868
1880,332,1278,390,1633,908.25
1881,116,4025,970,629,1435
1882,733,3041,420,460,1163.5
1883,790,2937,143,909,1194.75
1884,1583,3603,995,1786,1991.75
1885,313,1861,3035,116,1331.25
1886,975,4275,530,135,1478.75
1887,765,2955,462,100,1070.5
1888,316,1298,1361,8,745.75
1889,382,3287,800,317,1196.5
1890,1109,1055,780,243,796.75
1891,121,2586,277,600,896
1892,322,2100,916,1111,1112.25
1893,2141,1108,285,290,956
1894,1958,6029,173,685,2211.25
1895,592,2108,996,106,950.5
1896,1946,2081,1411,105,1385.75
1897,70,1648,1826,1278,1205.5
1898,715,2081,227,1106,1032.25
1899,597,25,61,133,204
1900,12,1340,4722,644,1679.5
1901,56,724,665,198,410.75
1902,116,1099,1483,1356,1013.5
1903,98,3370,1301,751,1380
1904,46,954,70,555,406.25
1905,37,2088,197,186,627
1906,1146,1551,1456,495,1162
1907,590,1520,1901,25,1009
1908,257,2433,1446,120,1064
1909,1255,2058,510,1900,1430.75
1910,1846,2118,2298,207,1617.25
1911,339,61,275,196,217.75
1912,758,4295,1160,172,1596.25
1913,1651,3112,1283,1034,1770
1914,1650,1128,460,2213,1362.75
1915,427,1116,78,212,458.25
1916,355,1129,1981,841,1076.5
1917,766,1533,2463,1105,1466.75
1918,22,320,417,105,216
1919,257,1416,1556,680,977.25
1920,1846,1521,525,138,1007.5
1921,186,2980,668,1570,1351
1922,276,1171,322,1254,755.75
1923,1,705,945,162,453.25
1924,459,954,678,731,705.5
1925,1726,617,155,98,649
1926,168,2253,2588,3617,2156.5
1927,693,3968,385,648,1423.5
1928,78,2531,981,874,1116
1929,377,2822,555,75,957.25
1930,918,2075,412,322,931.75
1931,68,1118,1110,162,614.5
1932,178,3080,364,121,935.75
1933,534,2253,2366,1071,1556
1934,1253,1179,1124,167,930.75
1935,587,3297,527,291,1175.5
1936,1071,855,146,1070,785.5
1937,891,2428,51,880,1062.5
1938,1358,1078,485,32,738.25
1939,133,502,795,48,369.5
1940,971,794,1091,261,779.25
1941,101,3745,118,88,1013
1942,120,930,1421,292,690.75
1943,665,3157,105,604,1132.75
1944,635,3617,1908,177,1584.25
1945,1175,3097,1080,969,1580.25
1946,1085,1558,1541,237,1105.25
1947,27,698,1950,1618,1073.25
1948,118,123,607,595,360.75
1949,210,2220,2365,530,1331.25
1950,30,4887,216,395,1382
1951,394,1303,648,27,593
1952,517,2830,412,96,963.75
1953,527,954,4336,658,1618.75
1954,349,1486,2061,1286,1295.5
1955,173,260,1145,1683,815.25
1956,589,3127,1678,870,1566
1957,705,1918,893,158,918.5
1958,300,1991,810,1763,1216
1959,669,6717,1164,2170,2680
1960,853,1421,202,302,694.5
1961,1328,3133,1513,1548,1880.5
1962,146,1573,1149,776,911
1963,202,699,1250,671,705.5
1964,1038,1756,1556,505,1213.75
1965,0,2478,1246,292,1004
1966,674,1625,49,659,751.75
1967,610,5134,780,148,1668
1968,101,774,2025,222,780.5
1969,369,1683,227,195,618.5
1970,875,1808,2951,2116,1937.5
1971,930,1648,1100,482,1040
1972,678,1003,355,27,515.75
1973,475,1896,704,609,921
1974,73,308,282,311,243.5
1975,635,530,1558,1483,1051.5
1976,1033,1345,1511,818,1176.75
1977,880,1628,975,1531,1253.5
1978,2086,843,1386,80,1098.75
1979,1698,360,6127,350,2133.75
1980,2336,2817,788,181,1530.5
1981,372,1951,1736,840,1224.75
1982,32,1370,765,155,580.5
1983,1888,1725,2160,296,1517.25
1984,330,813,1174,1563,970
1985,167,634,950,233,496
1986,1320,210,587,15,533
1987,252,178,187,5,155.5
1988,166,4103,1185,1625,1769.75
1989,1523,1878,1351,437,1297.25
1990,258,303,2686,700,986.75
1991,342,1808,497,79,681.5
1992,400,2271,1125,850,1161.5
1993,272,1206,71,632,545.25
1994,834,2942,1079,1591,1611.5
1995,73,2076,302,1201,913
1996,1501,1906,288,85,945
1997,1595,1234,753,1701,1320.75
1998,1084,1956,1421,512,1243.25
1999,760,550,176,242,432
2000,130,1998,730,40,724.5
2001,1791,1636,914,83,1106
2002,1891,203,1200,105,849.75
2003,562,3355,1803,238,1489.5
2004,751,925,2006,253,983.75
2005,1718,1168,526,2290,1425.5
2006,655,3666,1824,623,1692
2007,1105,1936,4542,1800,2345.75
2008,837,1791,906,1980,1378.5
2009,574,4162,829,92,1414.25
2010,600,3948,2723,1668,2234.75
2011,190,2016,2528,1829,1640.75
