Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;0;0;0;2;400;404;510;1888;166;65;278;55;314
1872;0;0;0;0;2;1330;2040;716;582;5;0;1;389.6666666667
1873;1;195;0;0;29;237;1316;1333;300;3;0;15;285.75
1874;35;0;0;0;13;1260;1773;770;256;0;0;0;342.25
1875;0;111;70;41;5;404;984;470;570;0;0;46;225.0833333333
1876;0;0;0;0;10;390;1621;875;337;0;10;0;270.25
1877;50;91;0;5;35;387;177;55;1803;670;29;34;278
1878;6;0;0;1;6;2198;4337;2258;1998;75;0;0;906.5833333333
1879;0;22;0;0;162;1139;355;1423;555;24;0;0;306.6666666667
1880;0;2;0;0;8;332;1278;390;1633;492;0;0;344.5833333333
1881;0;2;0;298;3;116;4025;970;629;0;0;1;503.6666666667
1882;12;1;0;0;0;733;3041;420;460;3;16;0;390.5
1883;61;0;146;2;45;790;2937;143;909;206;0;0;436.5833333333
1884;0;2;2;0;0;1583;3603;995;1786;30;0;29;669.1666666667
1885;17;0;0;0;113;313;1861;3035;116;241;11;4;475.9166666667
1886;11;0;0;0;69;975;4275;530;135;297;6;0;524.8333333333
1887;0;0;0;0;0;765;2955;462;100;4;70;16;364.3333333333
1888;98;242;0;0;0;316;1298;1361;8;2;510;0;319.5833333333
1889;5;0;0;0;143;382;3287;800;317;262;0;0;433
1890;0;0;0;3;10;1109;1055;780;243;58;8;133;283.25
1891;64;6;11;1;1;121;2586;277;600;22;0;0;307.4166666667
1892;0;0;0;0;128;322;2100;916;1111;332;0;2;409.25
1893;10;113;0;0;8;2141;1108;285;290;2;375;17;362.4166666667
1894;8;0;17;0;22;1958;6029;173;685;419;0;13;777
1895;0;18;12;0;0;592;2108;996;106;192;0;0;335.3333333333
1896;0;16;0;0;12;1946;2081;1411;105;0;612;1;515.3333333333
1897;16;0;0;0;3;70;1648;1826;1278;303;0;0;428.6666666667
1898;0;55;0;0;59;715;2081;227;1106;0;32;54;360.75
1899;0;0;0;0;18;597;25;61;133;0;0;0;69.5
1900;6;0;0;13;70;12;1340;4722;644;0;0;0;567.25
1901;0;0;1;1;35;56;724;665;198;29;0;0;142.4166666667
1902;0;0;0;5;12;116;1099;1483;1356;17;0;20;342.3333333333
1903;2;0;27;0;41;98;3370;1301;751;63;0;0;471.0833333333
1904;20;51;158;0;0;46;954;70;555;1;50;0;158.75
1905;17;17;4;30;0;37;2088;197;186;0;0;0;214.6666666667
1906;5;316;0;0;0;1146;1551;1456;495;185;0;5;429.9166666667
1907;0;276;0;17;0;590;1520;1901;25;0;0;0;360.75
