Year,Jun,Jul,Aug,Sep,Mean
1871,3621,6237,4145,4383,4596.5
1872,5537,4875,4897,3941,4812.5
1873,5630,3787,3332,2818,3891.75
1874,5239,5002,3547,8825,5653.25
1875,5449,4602,5615,2036,4425.5
1876,6890,4815,3701,3196,4650.5
1877,2957,5457,1838,6419,4167.75
1878,6815,7412,4892,6372,6372.75
1879,6725,7285,5940,5047,6249.25
1880,7490,4970,5106,1643,4802.25
1881,4471,2970,3696,7114,4562.75
1882,5854,3337,7320,4170,5170.25
1883,6045,4230,6164,4301,5185
1884,5267,3988,5280,1310,3961.25
1885,5297,7965,4056,5265,5645.75
1886,4117,6012,5510,6949,5647
1887,7437,3282,4820,3668,4801.75
1888,4023,6287,4681,2730,4430.25
1889,5895,7675,4328,4622,5630
1890,7637,7765,7020,4962,6846
1891,2575,5215,2418,1838,3011.5
1892,4117,9549,6825,2703,5798.5
1893,4615,7089,4527,5569,5450
1894,4727,4532,5919,6010,5297
1895,2521,8414,5505,2706,4786.5
1896,2351,5457,1810,4425,3510.75
1897,3318,5047,4452,4771,4397
1898,5237,4897,3131,7267,5133
1899,6225,7329,5727,5096,6094.25
1900,4902,6210,2603,3906,4405.25
1901,4291,5445,5850,2231,4454.25
1902,4992,6312,4917,8965,6296.5
1903,5365,3122,5972,4001,4615
1904,2751,4766,4903,2345,3691.25
1905,5185,5470,10129,3671,6113.75
1906,4460,6849,8222,2081,5403
1907,3870,8385,3523,5517,5323.75
1908,3787,3781,2443,4292,3575.75
1909,8939,4142,5155,2822,5264.5
1910,7262,8022,5092,3920,6074
1911,5875,7284,3922,4918,5499.75
1912,3831,6740,4893,3072,4634
1913,7705,5445,3878,4472,5375
1914,3148,3942,7260,2807,4289.25
1915,3152,4715,5702,2617,4046.5
1916,6105,8632,5081,5844,6415.5
1917,6100,6120,3615,5215,5262.5
1918,7102,6905,7522,2917,6111.5
1919,5544,6282,3195,4338,4839.75
1920,5380,4560,6000,8162,6025.5
1921,4793,9500,4785,3661,5684.75
1922,7107,6165,5185,5295,5938
1923,4742,7162,2221,5642,4941.75
1924,6875,7767,5147,3966,5938.75
1925,5202,4580,6084,5865,5432.75
1926,4506,9020,3842,3092,5115
1927,5880,4917,3911,5815,5130.75
1928,4923,6050,5222,3787,4995.5
1929,4718,5672,3480,3713,4395.75
1930,4365,3450,4737,3688,4060
1931,4707,7122,3951,4767,5136.75
1932,6459,3337,5790,3998,4896
1933,5757,5985,4382,2772,4724
1934,4605,5855,5229,4302,4997.75
1935,6280,3896,7894,4797,5716.75
1936,5140,5975,4607,5332,5263.5
1937,2852,4536,6074,3965,4356.75
1938,8615,6770,5430,4620,6358.75
1939,5442,6367,4605,4557,5242.75
1940,4452,6325,3987,3723,4621.75
1941,4068,3926,5425,4327,4436.5
1942,5184,3486,3333,4918,4230.25
1943,7270,3807,5087,5409,5393.25
1944,5072,4336,3625,5767,4700
1945,3853,5098,6347,3996,4823.5
1946,4337,6285,3723,4182,4631.75
1947,2612,6340,3703,4542,4299.25
1948,4741,8052,4206,3012,5002.75
1949,4971,5607,5187,3353,4779.5
1950,9234,5572,6945,4315,6516.5
1951,5289,6415,3795,2640,4534.75
1952,4805,5857,5292,5644,5399.5
1953,4028,6757,2406,4463,4413.5
1954,7280,7870,3033,2230,5103.25
1955,5217,9760,5804,2600,5845.25
1956,7052,4426,4327,3108,4728.25
1957,3963,5607,5430,1240,4060
1958,5567,4260,9059,3495,5595.25
1959,4060,4885,2621,2872,3609.5
1960,2571,5967,3172,6857,4641.75
1961,3988,4670,5435,2645,4184.5
1962,5192,4616,5472,2745,4506.25
1963,4068,6044,7289,2993,5098.5
1964,5242,9505,4568,5507,6205.5
1965,4567,6982,7432,2561,5385.5
1966,3177,7372,6885,3027,5115.25
1967,5542,6267,2376,3651,4459
1968,4651,6055,4477,3583,4691.5
1969,5042,5512,4331,4118,4750.75
1970,4987,6575,3765,5267,5148.5
1971,6914,5207,4190,2992,4825.75
1972,3687,5344,2445,4298,3943.5
1973,5592,3218,4292,4812,4478.5
1974,3640,8094,6605,4477,5704
1975,6507,7434,2093,4921,5238.75
1976,4977,5192,5662,2066,4474.25
1977,3560,4457,5830,2948,4198.75
1978,3061,5845,2792,3312,3752.5
1979,2273,6697,3657,3517,4036
1980,3801,7285,6464,2622,5043
1981,3246,7910,3840,3383,4594.75
1982,3740,7417,2133,3072,4090.5
1983,4676,7515,3153,5165,5127.25
1984,5500,8315,3130,6215,5790
1985,4606,9040,2936,4102,5171
1986,4522,5597,4467,4957,4885.75
1987,5244,7660,9145,4596,6661.25
1988,2982,7360,9170,4961,6118.25
1989,4922,6594,3097,7209,5455.5
1990,4576,5512,4785,4068,4735.25
1991,5944,5420,4456,7947,5941.75
1992,2536,6352,3767,2642,3824.25
1993,3951,6540,4755,3640,4721.5
1994,3545,3211,4070,2752,3394.5
1995,6715,7900,5192,7185,6748
1996,2712,8229,5404,3657,5000.5
1997,6195,4733,3952,4675,4888.75
1998,5650,7627,7267,5645,6547.25
1999,4142,7124,7790,3367,5605.75
2000,6112,6239,4577,4338,5316.5
2001,4952,4073,4068,4640,4433.25
2002,3587,8647,4340,3325,4974.75
2003,5914,5205,3462,3516,4524.25
2004,4578,7142,2877,3996,4648.25
2005,3684,5860,5431,2294,4317.25
2006,3893,5506,2929,4606,4233.5
2007,4335,5693,4813,4397,4809.5
2008,5905,6520,7114,3008,5636.75
2009,3497,4655,5579,1876,3901.75
2010,5780,6777,5728,4411,5674
2011,4469,5859,4445,3876,4662.25
