Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;0;69;699;724;1391;3621;6237;4145;4383;683;49;0;1833.4166666667
1872;168;96;125;1120;1731;5537;4875;4897;3941;2026;2;0;2043.1666666667
1873;29;16;203;1251;604;5630;3787;3332;2818;50;0;24;1478.6666666667
1874;207;215;232;1060;1986;5239;5002;3547;8825;2887;0;3;2433.5833333333
1875;222;45;246;813;2103;5449;4602;5615;2036;51;0;18;1766.6666666667
1876;37;0;25;627;1928;6890;4815;3701;3196;1595;1;29;1903.6666666667
1877;377;128;235;973;2828;2957;5457;1838;6419;382;0;68;1805.1666666667
1878;128;111;187;951;2161;6815;7412;4892;6372;322;143;0;2457.8333333333
1879;17;143;0;182;3581;6725;7285;5940;5047;610;0;15;2462.0833333333
1880;138;485;789;999;2131;7490;4970;5106;1643;1813;13;162;2144.9166666667
1881;0;17;780;305;2541;4471;2970;3696;7114;1356;100;2;1946
1882;25;192;450;470;1638;5854;3337;7320;4170;3161;74;0;2224.25
1883;223;32;22;745;1953;6045;4230;6164;4301;111;0;126;1996
1884;27;141;273;846;3016;5267;3988;5280;1310;1966;0;6;1843.3333333333
1885;118;2;484;685;1671;5297;7965;4056;5265;714;1;151;2200.75
1886;6;98;308;283;1965;4117;6012;5510;6949;793;48;5;2174.5
1887;430;6;594;715;4612;7437;3282;4820;3668;828;0;0;2199.3333333333
1888;103;70;472;1209;1376;4023;6287;4681;2730;282;150;3;1782.1666666667
1889;745;379;20;297;1161;5895;7675;4328;4622;465;158;0;2145.4166666667
1890;49;2;17;1081;1590;7637;7765;7020;4962;3113;2;0;2769.8333333333
1891;123;350;720;427;3030;2575;5215;2418;1838;347;16;0;1421.5833333333
1892;20;181;223;1189;4692;4117;9549;6825;2703;316;83;48;2495.5
1893;113;399;385;1486;1508;4615;7089;4527;5569;1259;51;0;2250.0833333333
1894;0;153;50;1296;1603;4727;4532;5919;6010;2475;70;41;2239.6666666667
1895;18;25;88;1060;2837;2521;8414;5505;2706;230;79;0;1956.9166666667
1896;75;4;12;630;2691;2351;5457;1810;4425;210;17;20;1475.1666666667
1897;61;46;557;337;2196;3318;5047;4452;4771;1865;60;3;1892.75
1898;96;430;30;681;1883;5237;4897;3131;7267;527;55;20;2021.1666666667
1899;330;83;296;637;2078;6225;7329;5727;5096;417;6;15;2353.25
1900;125;182;226;462;2577;4902;6210;2603;3906;156;0;12;1780.0833333333
1901;283;155;173;330;1833;4291;5445;5850;2231;447;177;46;1771.75
1902;2;0;770;845;2378;4992;6312;4917;8965;1028;18;0;2518.9166666667
1903;49;116;165;81;1596;5365;3122;5972;4001;1356;0;0;1818.5833333333
1904;37;357;5;1103;3173;2751;4766;4903;2345;1780;78;2;1775
1905;120;318;537;880;2541;5185;5470;10129;3671;1281;0;73;2517.0833333333
1906;101;559;236;40;1963;4460;6849;8222;2081;1460;81;4;2171.3333333333
1907;8;221;671;1176;1581;3870;8385;3523;5517;187;10;32;2098.4166666667
1908;126;315;146;153;2948;3787;3781;2443;4292;312;0;0;1525.25
1909;27;151;0;1351;1630;8939;4142;5155;2822;1758;0;8;2165.25
1910;6;151;680;350;2066;7262;8022;5092;3920;1621;100;0;2439.1666666667
1911;192;18;404;1396;2468;5875;7284;3922;4918;2673;54;0;2433.6666666667
1912;17;106;865;1230;1831;3831;6740;4893;3072;1296;1310;3;2099.5
1913;1;313;417;187;2273;7705;5445;3878;4472;1528;83;485;2232.25
1914;11;575;106;1666;1756;3148;3942;7260;2807;205;156;6;1803.1666666667
1915;18;500;624;397;2783;3152;4715;5702;2617;1065;167;13;1812.75
1916;12;167;11;1773;2431;6105;8632;5081;5844;2206;37;2;2691.75
1917;0;146;146;161;1943;6100;6120;3615;5215;3831;6;0;2273.5833333333
1918;8;13;207;1321;2787;7102;6905;7522;2917;375;17;3;2431.4166666667
1919;215;98;55;645;1431;5544;6282;3195;4338;1143;41;0;1915.5833333333
1920;0;190;402;367;1488;5380;4560;6000;8162;1278;0;0;2318.9166666667
1921;329;25;653;1810;4046;4793;9500;4785;3661;884;39;15;2545
1922;238;18;65;487;1503;7107;6165;5185;5295;464;1;70;2216.5
1923;0;300;50;1125;2977;4742;7162;2221;5642;1024;0;0;2103.5833333333
1924;3;37;56;1161;2463;6875;7767;5147;3966;900;945;20;2445
1925;6;27;123;1958;1983;5202;4580;6084;5865;973;237;0;2253.1666666667
1926;100;10;745;292;2065;4506;9020;3842;3092;532;4;93;2025.0833333333
1927;162;286;594;773;3032;5880;4917;3911;5815;753;172;2;2191.4166666667
1928;251;136;27;803;2071;4923;6050;5222;3787;3261;80;0;2217.5833333333
1929;469;40;425;855;2243;4718;5672;3480;3713;5532;22;101;2272.5
1930;110;153;550;479;1533;4365;3450;4737;3688;1396;424;25;1742.5
1931;0;78;297;700;2503;4707;7122;3951;4767;994;110;15;2103.6666666667
1932;11;66;96;694;2033;6459;3337;5790;3998;1141;1236;397;2104.8333333333
1933;196;55;6;1116;1758;5757;5985;4382;2772;1461;35;6;1960.75
1934;200;668;4;625;2130;4605;5855;5229;4302;1641;90;95;2120.3333333333
1935;106;262;88;195;2430;6280;3896;7894;4797;180;24;20;2181
1936;17;121;407;806;2668;5140;5975;4607;5332;1195;4;81;2196.0833333333
1937;0;582;3;390;2535;2852;4536;6074;3965;3076;197;16;2018.8333333333
1938;15;95;70;509;4608;8615;6770;5430;4620;825;20;0;2631.4166666667
1939;0;182;69;73;2281;5442;6367;4605;4557;1175;27;0;2064.8333333333
1940;2;449;1135;327;2298;4452;6325;3987;3723;43;85;34;1905
1941;41;59;105;808;3678;4068;3926;5425;4327;1661;172;6;2023
1942;55;208;617;1653;2250;5184;3486;3333;4918;485;3;0;1849.3333333333
1943;218;342;135;1733;1586;7270;3807;5087;5409;337;8;2;2161.1666666667
1944;233;116;470;1225;2171;5072;4336;3625;5767;686;30;0;1977.5833333333
1945;196;282;75;1330;2608;3853;5098;6347;3996;2383;0;4;2181
1946;0;145;247;1491;2038;4337;6285;3723;4182;2708;111;0;2105.5833333333
1947;12;5;500;422;1303;2612;6340;3703;4542;1423;55;8;1743.75
