Year,Jun,Jul,Aug,Sep,Mean,Total,Square,Sum,Root_Sum_Square
1871,1083,1035,689,1286,1023.25,4093,16752649,26351803.7666667,5133.4007993402
1872,811,1313,856,1143,1030.75,4123,16999129,26545541.7666667,5152.2365790661
1873,773,960,1316,953,1000.5,4002,16016004,27001482.95,5196.2951176776
1874,1433,1706,1011,2158,1577,6308,39790864,26933960.9,5189.7939169104
1875,1166,1163,665,569,890.75,3563,12694969,26798123.5833333,5176.690408295
1876,695,1433,1003,492,905.75,3623,13126129,27087961.1833333,5204.609609119
1877,1428,452,951,1778,1152.25,4609,21242881,27129629.1833333,5208.6110608619
1878,890,1241,2086,1485,1425.5,5702,32512804,27323178.2333333,5227.1577586039
1879,1080,1873,1269,741,1240.75,4963,24631369,27080642.2333333,5203.9064397175
1880,1279,1395,1225,814,1178.25,4713,22212369,27123911.4833333,5208.0621620074
1881,502,686,1496,1176,965,3860,14899600,27216587,5216.9518878364
1882,1428,3208,1466,1246,1837,7348,53993104,27359817.15,5230.6612536084
1883,736,1910,2335,385,1341.5,5366,28793956,26740508.9,5171.1225957233
1884,708,710,1383,698,874.75,3499,12243001,26610827.2333333,5158.5683317499
1885,1193,968,795,1430,1096.5,4386,19236996,26673844.0333333,5164.6726937274
1886,1169,1808,1333,1750,1515,6060,36723600,26846091.5,5181.3214048156
1887,1296,1321,963,1063,1160.75,4643,21557449,26757071.5666667,5172.7238053724
1888,935,1620,925,1495,1243.75,4975,24750625,26852094.7666667,5181.9006905446
1889,1155,1583,1651,3142,1882.75,7531,56715961,26802754.75,5177.1376985744
1890,715,1491,1058,935,1049.75,4199,17631601,26368277,5135.0050632887
1891,1165,1525,810,312,953,3812,14531344,26519554.05,5149.7139774943
1892,1446,1870,1583,758,1414.25,5657,32001649,26495048.25,5147.3340915468
1893,1661,1543,813,710,1181.75,4727,22344529,26609607.85,5158.4501403038
1894,740,1045,1285,490,890,3560,12673600,26728614.0333333,5169.9723435753
1895,1436,1296,1190,1565,1371.75,5487,30107169,26880402.1833333,5184.6313449785
1896,1893,1975,1453,1258,1644.75,6579,43283241,26804836.85,5177.3387806865
1897,1431,1530,1911,2890,1940.5,7762,60248644,26341782.3166667,5132.4246040898
1898,1074,1270,795,2676,1453.75,5815,33814225,25832498.2666667,5082.5680779176
1899,1024,390,645,2086,1036.25,4145,17181025,26173963.8666667,5116.0496348908
1900,1321,1741,1431,1298,1447.75,5791,33535681,26228723.05,5121.3985443431
1901,816,1311,760,1621,1127,4508,20322064,26345439.85,5132.7809080459
1902,775,1426,688,1161,1012.5,4050,16402500,26406742.1333333,5138.7490825427
1903,1170,1928,1386,2388,1718,6872,47224384,26485114.4,5146.3690501168
1904,1098,1625,517,873,1028.25,4113,16916769,26546987.4833333,5152.3768770669
1905,795,993,1313,402,875.75,3503,12271009,26534515.35,5151.1664067471
1906,1060,1675,2738,1170,1660.75,6643,44129449,26816538.6833333,5178.4687585553
1907,1090,1771,1473,1441,1443.75,5775,33350625,26410052.0166667,5139.071123916
1908,665,1606,876,865,1003,4012,16096144,26310264.2833333,5129.3532032151
1909,985,1486,1928,1033,1358,5432,29506624,26355054.4833333,5133.7174136617
1910,890,2051,2153,1151,1561.25,6245,39000025,26117818.4833333,5110.5595078556
1911,1280,1666,615,567,1032,4128,17040384,25943434.1333333,5093.469753845
1912,1063,1956,1321,1863,1550.75,6203,38477209,25999633.1333333,5098.9835392295
1913,803,1836,572,1616,1206.75,4827,23299929,25862879.7166667,5085.5559889423
1914,482,1858,1171,1080,1147.75,4591,21077281,25933922.5666667,5092.5359661633
1915,1933,1403,584,1658,1394.5,5578,31114084,26217527.6166667,5120.3054222055
1916,1168,1773,1650,1373,1491,5964,35569296,25865702.3666667,5085.8334977334
1917,1045,693,1558,2393,1422.25,5689,32364721,25700788.9166667,5069.5945515067
1918,395,427,694,1124,660,2640,6969600,25670874.25,5066.643292161
1919,1236,1303,789,2181,1377.25,5509,30349081,26213068,5119.8699202226
1920,948,1355,906,1425,1158.5,4634,21473956,26247041.3333333,5123.1866385418
1921,830,1571,1216,685,1075.5,4302,18507204,26426848.7333333,5140.7050813418
1922,826,1270,910,507,878.25,3513,12341169,26354022,5133.6168536423
1923,570,2587,1199,955,1327.75,5311,28206721,26746537.2,5171.7054440484
1924,905,2710,1205,1371,1547.75,6191,38328481,26691926,5166.4229404879
1925,829,1448,1010,1195,1120.5,4482,20088324,26327303.5833333,5131.0138942838
1926,780,1791,1134,1391,1274,5096,25969216,26507910.2,5148.5833197104
1927,856,1671,759,1575,1215.25,4861,23629321,26421194.0833333,5140.1550641331
1928,976,1336,1336,369,1004.25,4017,16136289,26774199.3333333,5174.379125396
1929,1070,1195,637,1706,1152,4608,21233664,27123193.2,5207.9932027605
1930,844,733,612,1601,947.5,3790,14364100,27002924.4,5196.4338156086
1931,876,1113,1476,1741,1301.5,5206,27102436,27321486,5226.9958867403
1932,530,1591,2188,1018,1331.75,5327,28376929,27448176.75,5239.1007577637
1933,865,1711,2471,1613,1665,6660,44355600,27444101.5333333,5238.7118200311
1934,1060,1054,1011,334,864.75,3459,11964681,27033993.8,5199.4224486956
1935,1331,1341,1913,1040,1406.25,5625,31640625,27139176.2,5209.52744498
1936,1495,1235,924,1831,1371.25,5485,30085225,27215437.85,5216.841750523
1937,617,1571,650,1115,988.25,3953,15626209,27100100.25,5205.7756626655
1938,806,1079,2201,1646,1433,5732,32855824,27610103.45,5254.531706061
1939,639,1206,1463,930,1059.5,4238,17960644,27380496.7833333,5232.6376506819
1940,1470,1360,1218,1170,1304.5,5218,27227524,27496819.9833333,5243.7410293924
1941,1283,1255,1376,1356,1317.5,5270,27772900,27306504.1833333,5225.5625709902
1942,1273,1568,1231,775,1211.75,4847,23493409,26980904.1833333,5194.3146018829
1943,630,1505,545,1423,1025.75,4103,16834609,26721605.5166667,5169.2944892574
1944,895,1766,632,1291,1146,4584,21013056,26881012.7666667,5184.6902286122
1945,517,1958,789,739,1000.75,4003,16024009,27442475.4333333,5238.5566173645
1946,828,1199,1795,1616,1359.5,5438,29571844,27494710.7666667,5243.5399079884
1947,930,1521,1936,1215,1400.5,5602,31382404,27656225.9666667,5258.918706984
1948,1251,1215,2150,605,1305.25,5221,27258841,27728395.5,5265.7758687586
1949,750,1596,1306,1016,1167,4668,21790224,27957174.8833333,5287.4544804975
1950,664,1906,1490,1476,1384,5536,30647296,28112014.9,5302.0764705915
1951,818,1783,602,1965,1292,5168,26708224,27987149.0333333,5290.2881805563
1952,540,1274,1190,610,903.5,3614,13060996,25961687.4333333,5095.2612723327
1953,1216,2745,983,1291,1558.75,6235,38875225,26237199.0333333,5122.2259842117
1954,1000,2193,1833,404,1357.5,5430,29484900,26517387.3666667,5149.5036039085
1955,908,663,1158,1938,1166.75,4667,21780889,26378616.0333333,5136.0116854748
1956,1341,1571,810,1335,1264.25,5057,25573249,26083449.5,5107.1958548699
1957,1346,1298,818,475,984.25,3937,15499969,25337638.25,5033.6505887874
1958,1063,1435,1655,1296,1362.25,5449,29691601,25268927.85,5026.8208492048
