Year;Jun;Jul;Aug;Sep;Mean
1871;1083;1035;689;1286;1023.25
1872;811;1313;856;1143;1030.75
1873;773;960;1316;953;1000.5
1874;1433;1706;1011;2158;1577
1875;1166;1163;665;569;890.75
1876;695;1433;1003;492;905.75
1877;1428;452;951;1778;1152.25
1878;890;1241;2086;1485;1425.5
1879;1080;1873;1269;741;1240.75
1880;1279;1395;1225;814;1178.25
1881;502;686;1496;1176;965
1882;1428;3208;1466;1246;1837
1883;736;1910;2335;385;1341.5
1884;708;710;1383;698;874.75
1885;1193;968;795;1430;1096.5
1886;1169;1808;1333;1750;1515
1887;1296;1321;963;1063;1160.75
1888;935;1620;925;1495;1243.75
1889;1155;1583;1651;3142;1882.75
1890;715;1491;1058;935;1049.75
1891;1165;1525;810;312;953
1892;1446;1870;1583;758;1414.25
1893;1661;1543;813;710;1181.75
1894;740;1045;1285;490;890
1895;1436;1296;1190;1565;1371.75
1896;1893;1975;1453;1258;1644.75
1897;1431;1530;1911;2890;1940.5
1898;1074;1270;795;2676;1453.75
1899;1024;390;645;2086;1036.25
1900;1321;1741;1431;1298;1447.75
1901;816;1311;760;1621;1127
1902;775;1426;688;1161;1012.5
1903;1170;1928;1386;2388;1718
1904;1098;1625;517;873;1028.25
1905;795;993;1313;402;875.75
1906;1060;1675;2738;1170;1660.75
1907;1090;1771;1473;1441;1443.75
1908;665;1606;876;865;1003
1909;985;1486;1928;1033;1358
1910;890;2051;2153;1151;1561.25
1911;1280;1666;615;567;1032
1912;1063;1956;1321;1863;1550.75
1913;803;1836;572;1616;1206.75
1914;482;1858;1171;1080;1147.75
1915;1933;1403;584;1658;1394.5
1916;1168;1773;1650;1373;1491
1917;1045;693;1558;2393;1422.25
1918;395;427;694;1124;660
1919;1236;1303;789;2181;1377.25
1920;948;1355;906;1425;1158.5
1921;830;1571;1216;685;1075.5
1922;826;1270;910;507;878.25
1923;570;2587;1199;955;1327.75
1924;905;2710;1205;1371;1547.75
1925;829;1448;1010;1195;1120.5
1926;780;1791;1134;1391;1274
1927;856;1671;759;1575;1215.25
1928;976;1336;1336;369;1004.25
1929;1070;1195;637;1706;1152
1930;844;733;612;1601;947.5
1931;876;1113;1476;1741;1301.5
1932;530;1591;2188;1018;1331.75
1933;865;1711;2471;1613;1665
1934;1060;1054;1011;334;864.75
1935;1331;1341;1913;1040;1406.25
1936;1495;1235;924;1831;1371.25
1937;617;1571;650;1115;988.25
1938;806;1079;2201;1646;1433
1939;639;1206;1463;930;1059.5
1940;1470;1360;1218;1170;1304.5
1941;1283;1255;1376;1356;1317.5
1942;1273;1568;1231;775;1211.75
1943;630;1505;545;1423;1025.75
1944;895;1766;632;1291;1146
1945;517;1958;789;739;1000.75
1946;828;1199;1795;1616;1359.5
1947;930;1521;1936;1215;1400.5
1948;1251;1215;2150;605;1305.25
1949;750;1596;1306;1016;1167
1950;664;1906;1490;1476;1384
1951;818;1783;602;1965;1292
1952;540;1274;1190;610;903.5
1953;1216;2745;983;1291;1558.75
1954;1000;2193;1833;404;1357.5
1955;908;663;1158;1938;1166.75
1956;1341;1571;810;1335;1264.25
1957;1346;1298;818;475;984.25
1958;1063;1435;1655;1296;1362.25
1959;1918;2348;1200;1903;1842.25
1960;674;1546;694;1610;1131
1961;1391;3147;1224;605;1591.75
1962;487;1503;1428;1481;1224.75
1963;700;1206;1613;1075;1148.5
1964;950;2225;2066;1896;1784.25
1965;713;1173;1326;809;1005.25
1966;719;1521;763;2400;1350.75
1967;1051;2161;849;382;1110.75
1968;935;1395;630;2271;1307.75
1969;599;1463;1606;666;1083.5
1970;710;1071;1106;1021;977
1971;1119;759;1726;1738;1335.5
1972;1029;1180;569;1740;1129.5
1973;1223;1508;1716;1055;1375.5
1974;349;1726;904;2271;1312.5
1975;1239;1711;1551;1671;1543
1976;547;980;1056;580;790.75
1977;1150;1255;1261;1401;1266.75
1978;1005;1691;1288;1545;1382.25
1979;1543;1053;1481;2208;1571.25
1980;1128;1735;820;2008;1422.75
1981;660;988;1801;2231;1420
1982;885;830;1044;1001;940
1983;1673;1216;1636;1466;1497.75
1984;840;1698;754;1701;1248.25
1985;983;743;1004;1326;1014
1986;1258;759;1341;2203;1390.25
1987;1105;715;1371;1366;1139.25
1988;462;2021;2196;2015;1673.5
1989;1055;2440;968;1626;1522.25
1990;795;944;1366;639;936
1991;1855;1416;1164;1351;1446.5
1992;1911;1094;1393;1493;1472.75
1993;1483;1328;1140;1353;1326
1994;1233;1936;445;830;1111
1995;622;1165;1298;1190;1068.75
1996;1079;770;1993;2176;1504.5
1997;1185;938;1245;1445;1203.25
1998;735;1908;2323;1833;1699.75
1999;815;1411;739;1403;1092
2000;811;866;1901;1416;1248.5
2001;497;1011;818;1650;994
2002;1076;365;733;696;717.5
2003;639;855;1055;268;704.25
2004;1333;1591;1066;1148;1284.5
2005;1319;3023;2031;1023;1849
2006;2109;809;839;620;1094.25
2007;1667;1536;1767;1296;1566.5
2008;819;1710;2561;886;1494
2009;723;2110;1165;2404;1600.5
2010;986;1438;1691;1460;1393.75
2011;1164;1292;1411;945;1203
