Year,Mean,MovingAvg
1871,1023.25,
1872,1030.75,1018.1666666667
1873,1000.5,1202.75
1874,1577,1156.0833333333
1875,890.75,1124.5
1876,905.75,982.9166666667
1877,1152.25,1161.1666666667
1878,1425.5,1272.8333333333
1879,1240.75,1281.5
1880,1178.25,1128
1881,965,1326.75
1882,1837,1381.1666666667
1883,1341.5,1351.0833333333
1884,874.75,1104.25
1885,1096.5,1162.0833333333
1886,1515,1257.4166666667
1887,1160.75,1306.5
1888,1243.75,1429.0833333333
1889,1882.75,1392.0833333333
1890,1049.75,1295.1666666667
1891,953,1139
1892,1414.25,1183
1893,1181.75,1162
1894,890,1147.8333333333
1895,1371.75,1302.1666666667
1896,1644.75,1652.3333333333
1897,1940.5,1679.6666666667
1898,1453.75,1476.8333333333
1899,1036.25,1312.5833333333
1900,1447.75,1203.6666666667
1901,1127,1195.75
1902,1012.5,1285.8333333333
1903,1718,1252.9166666667
1904,1028.25,1207.3333333333
1905,875.75,1188.25
1906,1660.75,1326.75
1907,1443.75,1369.1666666667
1908,1003,1268.25
1909,1358,1307.4166666667
1910,1561.25,1317.0833333333
1911,1032,1381.3333333333
1912,1550.75,1263.1666666667
1913,1206.75,1301.75
1914,1147.75,1249.6666666667
1915,1394.5,1344.4166666667
1916,1491,1435.9166666667
1917,1422.25,1191.0833333333
1918,660,1153.1666666667
1919,1377.25,1065.25
1920,1158.5,1203.75
1921,1075.5,1037.4166666667
1922,878.25,1093.8333333333
1923,1327.75,1251.25
1924,1547.75,1332
1925,1120.5,1314.0833333333
1926,1274,1203.25
1927,1215.25,1164.5
1928,1004.25,1123.8333333333
1929,1152,1034.5833333333
1930,947.5,1133.6666666667
1931,1301.5,1193.5833333333
1932,1331.75,1432.75
1933,1665,1287.1666666667
1934,864.75,1312
1935,1406.25,1214.0833333333
1936,1371.25,1255.25
1937,988.25,1264.1666666667
1938,1433,1160.25
1939,1059.5,1265.6666666667
1940,1304.5,1227.1666666667
1941,1317.5,1277.9166666667
1942,1211.75,1185
1943,1025.75,1127.8333333333
1944,1146,1057.5
1945,1000.75,1168.75
1946,1359.5,1253.5833333333
1947,1400.5,1355.0833333333
1948,1305.25,1290.9166666667
1949,1167,1285.4166666667
1950,1384,1281
1951,1292,1193.1666666667
1952,903.5,1251.4166666667
1953,1558.75,1273.25
1954,1357.5,1361
1955,1166.75,1262.8333333333
1956,1264.25,1138.4166666667
1957,984.25,1203.5833333333
1958,1362.25,1396.25
1959,1842.25,1445.1666666667
1960,1131,1521.6666666667
1961,1591.75,1315.8333333333
1962,1224.75,1321.6666666667
1963,1148.5,1385.8333333333
1964,1784.25,1312.6666666667
1965,1005.25,1380.0833333333
1966,1350.75,1155.5833333333
1967,1110.75,1256.4166666667
1968,1307.75,1167.3333333333
1969,1083.5,1122.75
1970,977,1132
1971,1335.5,1147.3333333333
1972,1129.5,1280.1666666667
1973,1375.5,1272.5
1974,1312.5,1410.3333333333
1975,1543,1215.4166666667
1976,790.75,1200.1666666667
1977,1266.75,1146.5833333333
1978,1382.25,1406.75
1979,1571.25,1458.75
1980,1422.75,1471.3333333333
1981,1420,1260.9166666667
1982,940,1285.9166666667
1983,1497.75,1228.6666666667
1984,1248.25,1253.3333333333
1985,1014,1217.5
1986,1390.25,1181.1666666667
1987,1139.25,1401
1988,1673.5,1445
1989,1522.25,1377.25
1990,936,1301.5833333333
1991,1446.5,1285.0833333333
1992,1472.75,1415.0833333333
1993,1326,1303.25
1994,1111,1168.5833333333
1995,1068.75,1228.0833333333
1996,1504.5,1258.8333333333
1997,1203.25,1469.1666666667
1998,1699.75,1331.6666666667
1999,1092,1346.75
2000,1248.5,1111.5
2001,994,986.6666666667
2002,717.5,805.25
2003,704.25,902.0833333333
2004,1284.5,1279.25
2005,1849,1409.25
2006,1094.25,1503.25
2007,1566.5,1384.9166666667
2008,1494,1553.6666666667
2009,1600.5,1496.0833333333
2010,1393.75,1399.0833333333
2011,1203,
