Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;855;6;293;265;1291;1083;1035;689;1286;870;693;5;697.5833333333
1872;0;24;1;192;975;811;1313;856;1143;850;313;454;577.6666666667
1873;0;105;1;500;845;773;960;1316;953;2391;51;35;660.8333333333
1874;0;0;0;121;2030;1433;1706;1011;2158;2055;217;93;902
1875;6;0;296;70;715;1166;1163;665;569;637;55;63;450.4166666667
1876;0;0;305;292;703;695;1433;1003;492;158;73;0;429.5
1877;0;0;167;472;490;1428;452;951;1778;2405;447;216;733.8333333333
1878;0;0;151;575;965;890;1241;2086;1485;1296;297;48;752.8333333333
1879;18;140;156;252;2003;1080;1873;1269;741;1235;253;22;753.5
1880;22;0;138;570;1393;1279;1395;1225;814;2343;1130;55;863.6666666667
1881;10;3;211;365;775;502;686;1496;1176;385;1074;22;558.75
1882;265;0;86;120;1483;1428;3208;1466;1246;1129;1291;5;977.25
1883;0;0;251;502;1070;736;1910;2335;385;2585;880;544;933.1666666667
1884;96;0;4;265;527;708;710;1383;698;1713;520;141;563.75
1885;0;0;171;181;1084;1193;968;795;1430;2381;310;525;753.1666666667
1886;0;0;50;100;1341;1169;1808;1333;1750;1090;814;115;797.5
1887;0;0;12;405;904;1296;1321;963;1063;2093;1195;202;787.8333333333
1888;12;12;11;380;1049;935;1620;925;1495;602;1488;30;713.25
1889;22;4;16;525;710;1155;1583;1651;3142;1790;158;215;914.25
1890;2;13;167;843;1096;715;1491;1058;935;1473;1045;172;750.8333333333
1891;10;34;258;532;617;1165;1525;810;312;1568;131;17;581.5833333333
1892;0;35;32;760;1070;1446;1870;1583;758;1185;116;58;742.75
1893;0;76;375;377;1090;1661;1543;813;710;2161;905;0;809.25
1894;0;17;207;855;1144;740;1045;1285;490;1946;400;6;677.9166666667
1895;0;18;6;909;861;1436;1296;1190;1565;1790;510;75;804.6666666667
1896;0;0;37;282;1106;1893;1975;1453;1258;497;890;37;785.6666666667
1897;0;100;17;340;1003;1431;1530;1911;2890;950;65;6;853.5833333333
1898;0;15;3;470;830;1074;1270;795;2676;1448;1801;60;870.1666666667
1899;0;11;10;950;819;1024;390;645;2086;780;22;17;562.8333333333
1900;0;0;13;504;557;1321;1741;1431;1298;1443;113;50;705.9166666667
1901;22;387;25;186;995;816;1311;760;1621;1721;721;178;728.5833333333
1902;22;3;37;519;968;775;1426;688;1161;2468;419;743;769.0833333333
1903;1;0;0;105;1296;1170;1928;1386;2388;1953;1831;261;1026.5833333333
1904;6;8;46;445;1918;1098;1625;517;873;1616;30;4;682.1666666667
1905;20;153;126;188;974;795;993;1313;402;1466;247;10;557.25
1906;215;20;32;34;530;1060;1675;2738;1170;1656;178;517;818.75
1907;32;0;123;911;565;1090;1771;1473;1441;432;600;138;714.6666666667
1908;207;16;115;397;970;665;1606;876;865;554;10;6;523.9166666667
1909;217;18;115;559;1955;985;1486;1928;1033;1246;322;136;833.3333333333
1910;0;13;96;339;765;890;2051;2153;1151;2118;830;0;867.1666666667
1911;1;0;95;296;1251;1280;1666;615;567;1648;375;79;656.0833333333
1912;4;53;86;364;750;1063;1956;1321;1863;1840;547;0;820.5833333333
1913;0;0;11;197;969;803;1836;572;1616;1030;12;30;589.6666666667
1914;1;12;22;222;555;482;1858;1171;1080;1211;673;178;622.0833333333
1915;155;12;420;400;801;1933;1403;584;1658;920;1060;126;789.3333333333
1916;0;0;0;202;1521;1168;1773;1650;1373;1791;1393;74;912.0833333333
1917;4;410;177;165;714;1045;693;1558;2393;1488;779;29;787.9166666667
1918;220;6;211;394;933;395;427;694;1124;440;1833;133;567.5
1919;61;0;56;248;1084;1236;1303;789;2181;709;1661;60;782.3333333333
1920;83;15;20;392;656;948;1355;906;1425;1103;362;0;605.4166666667
1921;156;0;27;884;532;830;1571;1216;685;1761;775;3;703.3333333333
1922;93;8;2;292;1075;826;1270;910;507;1766;1511;15;689.5833333333
1923;43;40;342;347;904;570;2587;1199;955;405;98;13;625.25
1924;3;1;43;380;965;905;2710;1205;1371;579;484;131;731.4166666667
1925;0;0;70;630;1270;829;1448;1010;1195;595;764;467;689.8333333333
1926;266;1;96;454;685;780;1791;1134;1391;994;68;8;639
1927;0;39;103;111;810;856;1671;759;1575;212;675;0;567.5833333333
1928;8;440;162;359;704;976;1336;1336;369;2425;261;108;707
1929;45;143;2;1176;1015;1070;1195;637;1706;1125;803;61;748.1666666667
1930;73;81;113;227;1733;844;733;612;1601;2606;445;156;768.6666666667
1931;0;0;25;400;955;876;1113;1476;1741;347;895;268;674.6666666667
1932;0;228;20;211;1483;530;1591;2188;1018;2186;1225;45;893.75
1933;0;30;116;435;1941;865;1711;2471;1613;2396;121;439;1011.5
1934;81;32;8;572;565;1060;1054;1011;334;2118;390;11;603
1935;63;20;69;402;620;1331;1341;1913;1040;2103;80;71;754.4166666667
1936;1;37;257;153;1173;1495;1235;924;1831;765;915;41;735.5833333333
1937;1;150;263;895;1035;617;1571;650;1115;1311;248;108;663.6666666667
1938;0;29;183;327;395;806;1079;2201;1646;245;166;30;592.25
1939;46;0;136;815;477;639;1206;1463;930;2226;775;0;726.0833333333
1940;0;0;29;514;1356;1470;1360;1218;1170;1613;1631;195;879.6666666667
1941;10;73;1;635;920;1283;1255;1376;1356;1203;195;695;750.1666666667
1942;0;40;6;545;1115;1273;1568;1231;775;1176;357;250;694.6666666667
1943;256;0;75;577;1631;630;1505;545;1423;2847;650;0;844.9166666667
1944;0;402;415;218;805;895;1766;632;1291;1681;796;83;748.6666666667
1945;0;0;0;535;1088;517;1958;789;739;700;302;0;552.3333333333
1946;0;18;177;480;868;828;1199;1795;1616;1165;1520;402;839
1947;88;55;133;237;605;930;1521;1936;1215;1286;126;167;691.5833333333
1948;55;0;45;592;1476;1251;1215;2150;605;1075;939;50;787.75
