Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1871,567,182,340,359,410,429,535,509,1313,1416,2585,285,744.1666666667
1872,15,83,108,537,1076,575,776,1018,1175,1425,3010,873,889.25
1873,3,866,68,785,485,136,432,930,838,2206,811,285,653.75
1874,0,190,27,360,1301,637,671,709,1501,1671,1558,425,754.1666666667
1875,37,41,136,540,620,520,350,1154,815,2146,800,324,623.5833333333
1876,6,0,178,305,725,324,585,843,673,435,770,430,439.5
1877,8,0,148,135,838,624,140,335,1703,2765,1908,1978,881.8333333333
1878,206,0,4,725,869,615,635,1356,1129,935,931,340,645.4166666667
1879,178,106,768,168,605,509,1368,961,844,1675,858,500,711.6666666667
1880,111,96,27,440,547,250,389,1250,595,2008,3392,965,839.1666666667
1881,151,1,86,20,715,258,318,1401,1311,865,1623,880,635.75
1882,380,35,73,325,900,420,482,1185,698,1453,2661,524,761.3333333333
1883,16,362,158,106,921,524,535,970,587,2470,1848,899,783
1884,120,0,68,98,507,417,183,951,547,2900,3142,2543,956.3333333333
1885,40,0,162,60,500,688,311,427,1124,1833,1981,1366,707.6666666667
1886,146,3,153,120,1791,730,1101,1471,1230,1430,1175,325,806.25
1887,1,51,272,420,552,779,412,1093,844,2992,2126,1768,942.5
1888,18,0,15,202,1180,560,417,721,915,2355,2108,1378,822.4166666667
1889,64,8,162,629,520,349,1166,1149,1279,1483,582,711,675.1666666667
1890,100,48,170,470,550,825,783,918,961,2173,1149,235,698.5
1891,98,530,195,397,332,385,170,532,695,3406,1176,1150,755.5
1892,20,163,5,575,427,901,728,1963,643,1288,247,327,607.25
1893,80,161,620,400,587,780,1220,397,592,1673,3695,258,871.9166666667
1894,146,225,395,420,432,222,575,1215,1040,1711,1361,500,686.8333333333
1895,13,0,2,585,449,293,577,1250,1541,3170,1039,1293,851
1896,88,0,65,27,492,445,382,544,1293,1315,2977,1860,790.6666666667
1897,50,582,55,352,617,585,417,1358,2173,924,833,215,680.0833333333
1898,131,135,5,552,663,301,392,889,1793,2396,2995,1386,969.8333333333
1899,66,113,20,1785,409,191,257,282,1170,2491,530,339,637.75
1900,247,11,6,1145,554,347,809,612,1400,1816,1175,854,748
1901,207,542,131,475,620,405,352,670,1865,1214,2246,1184,825.9166666667
1902,720,123,292,167,764,629,570,1210,1148,2912,1920,1553,1000.6666666667
1903,240,32,1,165,1264,532,614,1018,2138,1290,1943,2021,938.1666666667
1904,311,0,2,108,950,369,840,301,684,1543,237,519,488.6666666667
1905,60,55,83,637,654,490,397,1124,570,2575,1169,35,654.0833333333
1906,532,182,217,44,262,485,602,1893,710,1591,2078,1591,848.9166666667
1907,141,10,145,734,440,405,690,459,1159,1530,2240,569,710.1666666667
1908,121,301,262,255,442,320,414,559,1851,2775,417,153,655.8333333333
1909,1224,118,29,779,1250,332,397,2491,1406,1475,756,160,868.0833333333
1910,78,212,6,222,425,535,1631,1711,781,2740,1391,12,812
1911,17,6,121,280,530,600,545,347,1366,1259,1670,1466,683.9166666667
1912,76,25,25,308,490,510,315,854,1161,2695,2747,290,791.3333333333
1913,34,35,8,225,630,196,482,520,1166,2373,2318,1426,784.4166666667
1914,54,5,18,330,335,370,377,939,1226,2910,1476,1451,790.9166666667
1915,313,156,327,354,442,622,1091,989,1390,920,2478,555,803.0833333333
1916,0,44,8,210,580,257,1873,1125,1020,2268,1558,460,783.5833333333
1917,96,173,258,60,661,637,480,1863,1453,1009,1675,397,730.1666666667
1918,703,71,227,45,760,409,359,495,430,487,3312,1080,698.1666666667
1919,145,3,141,257,780,512,874,487,1496,1511,2390,1283,823.25
1920,1500,20,8,550,400,395,305,758,1496,1606,4496,30,963.6666666667
1921,1623,0,6,495,316,555,1208,1361,876,2231,1070,720,871.75
1922,419,243,34,277,875,517,497,825,640,2593,3198,719,903.0833333333
1923,1693,11,345,186,265,340,395,422,1421,2822,514,1671,840.4166666667
1924,282,5,290,344,549,532,1313,829,1701,1230,1648,482,767.0833333333
1925,238,17,615,302,750,445,445,1100,694,1653,2430,1791,873.3333333333
1926,710,34,217,207,595,337,527,630,1168,1521,1330,257,627.75
1927,177,243,261,600,675,830,429,587,976,988,1518,369,637.75
1928,277,485,86,372,479,270,565,785,522,1866,1941,1059,725.5833333333
1929,151,385,202,1048,395,462,360,557,1180,1516,1916,986,763.1666666667
1930,532,607,140,185,1668,535,275,595,786,4290,2158,604,1031.25
1931,342,0,4,627,455,362,655,597,995,1178,1860,3532,883.9166666667
1932,16,277,68,552,1074,402,350,1331,730,2148,2408,796,846
1933,16,32,487,445,913,286,462,1460,708,2028,960,1020,734.75
1934,919,0,79,205,502,615,490,522,267,3221,1180,210,684.1666666667
1935,472,12,75,529,118,565,320,1388,639,1673,1276,838,658.75
1936,22,455,529,236,617,445,656,472,1166,819,2535,575,710.5833333333
1937,123,86,193,930,405,337,357,1094,1006,1901,2832,265,794.0833333333
1938,3,477,505,340,316,450,859,1156,1148,928,505,512,599.9166666667
1939,435,60,168,1366,585,470,210,824,996,2526,2977,95,892.6666666667
1940,6,6,91,668,1156,856,377,544,1386,1481,3772,841,932
1941,257,22,0,575,658,452,499,607,1501,1728,1958,1069,777.1666666667
1942,2,8,71,769,480,327,263,1078,1415,1311,678,1836,686.5
1943,1351,177,60,634,2298,330,419,760,630,3067,1220,560,958.8333333333
1944,148,207,575,262,432,773,560,1169,1335,1771,2888,1286,950.5
1945,25,25,60,661,374,222,505,894,627,1453,1800,98,562
1946,180,0,425,390,685,355,409,674,1491,1708,3323,2985,1052.0833333333
1947,714,183,480,965,365,417,929,928,1320,1978,300,113,724.3333333333
1948,484,68,140,202,749,320,567,645,754,1423,2251,317,660
1949,110,12,1,640,840,690,1094,1693,725,1276,1015,63,679.9166666667
1950,13,635,86,91,464,180,375,1333,620,1306,993,460,546.3333333333
1951,116,3,192,1238,656,306,865,884,1010,893,2511,65,728.25
1952,156,417,51,118,477,243,736,719,330,1033,335,1658,522.75
1953,151,113,48,1138,460,698,914,609,1268,2708,1069,196,781
1954,798,22,670,505,731,292,919,1366,395,2638,242,1218,816.3333333333
1955,334,37,44,1115,1606,303,684,664,1245,1578,1165,1856,885.9166666667
1956,222,3,8,242,344,865,362,969,1258,2303,2176,535,773.9166666667
1957,10,56,131,136,788,510,580,464,738,2190,2256,806,722.0833333333
1958,120,86,246,544,1094,237,297,1333,686,1573,1551,247,667.8333333333
1959,44,365,0,592,564,740,422,557,938,1686,2108,649,722.0833333333
1960,55,101,79,462,560,335,1506,529,961,1224,3800,238,820.8333333333
1961,815,133,45,188,810,773,818,1218,1150,1528,1296,557,777.5833333333
1962,146,165,165,412,1010,612,394,1189,1230,2932,661,614,794.1666666667
1963,909,30,360,390,322,562,1073,821,1303,1478,2315,1413,914.6666666667
1964,17,3,135,80,577,311,1606,960,834,2133,1843,778,773.0833333333
1965,58,101,40,534,322,232,447,1408,956,1358,1426,2106,749
1966,183,45,103,318,765,640,575,1678,1503,3003,2221,1230,1022
1967,385,6,312,215,570,725,830,695,770,2138,1678,1741,838.75
1968,20,49,367,995,303,487,352,542,1125,1238,1416,703,633.0833333333
1969,18,131,12,286,465,150,385,1248,278,2923,1808,1185,740.75
1970,116,108,65,685,825,389,640,825,761,1623,2446,158,720.0833333333
1971,201,86,387,450,815,271,597,1293,1121,2033,710,1893,821.4166666667
1972,46,1,0,100,1536,565,447,372,1823,2543,1256,1933,885.1666666667
1973,0,6,20,101,505,442,793,650,1406,2211,756,1511,700.0833333333
1974,12,270,131,327,790,530,614,389,1805,1428,670,236,600.1666666667
1975,37,20,487,131,665,252,1283,1020,1356,1558,1638,449,741.3333333333
1976,11,0,207,432,394,520,635,1335,719,1630,2596,492,747.5833333333
1977,12,190,136,389,945,485,497,1353,986,3705,3581,222,1041.75
1978,17,146,10,425,555,248,695,617,1588,1546,2617,1953,868.0833333333
1979,6,384,133,222,394,372,610,535,1771,1593,4037,661,893.1666666667
1980,8,0,35,335,422,232,560,665,524,1341,1988,851,580.0833333333
1981,182,25,210,227,766,365,1049,750,1816,2587,1325,755,838.0833333333
1982,4,0,73,283,470,442,375,325,709,1145,2435,470,560.9166666667
1983,2,0,11,17,881,532,740,1124,1618,1346,1100,3248,884.9166666667
1984,467,1898,820,535,227,175,1390,405,1251,1561,1219,748,891.3333333333
1985,899,108,95,258,215,585,582,1058,1478,823,2111,1124,778
1986,520,222,227,178,407,301,447,840,964,1346,941,605,583.1666666667
1987,111,4,183,158,390,497,162,679,1210,2153,1336,1665,712.3333333333
1988,3,12,302,775,644,399,1058,1228,1526,816,1283,247,691.0833333333
1989,51,0,303,291,394,355,1235,716,1378,1335,1418,365,653.4166666667
1990,820,41,263,215,781,141,414,784,1085,2033,1430,422,702.4166666667
1991,252,50,96,329,237,1219,627,650,1230,2323,1960,256,769.0833333333
1992,51,0,0,217,555,522,602,365,1503,1250,3027,600,724.3333333333
1993,8,83,91,60,497,680,525,808,763,2078,2877,2488,913.1666666667
1994,61,392,66,412,755,162,597,480,664,1906,2125,450,672.5
1995,355,55,161,340,1693,595,721,799,659,1331,1105,69,656.9166666667
1996,70,50,12,1024,276,1838,362,1383,1961,1698,1456,2106,1019.6666666667
1997,61,0,66,399,447,517,650,544,1020,2023,2930,1733,865.8333333333
1998,61,12,2,76,978,213,681,1450,1320,1076,1883,1870,801.8333333333
1999,100,359,4,469,624,377,399,592,617,2128,1673,525,655.5833333333
2000,352,1113,50,303,452,400,487,868,1756,1181,1468,879,775.75
2001,88,63,16,901,477,285,864,422,1488,1751,1186,899,703.3333333333
2002,141,1303,13,140,721,572,247,552,610,2111,1406,530,695.5
2003,22,60,258,435,542,444,676,1038,584,1603,1738,158,629.8333333333
2004,90,22,20,387,2732,355,460,340,1953,2852,1760,271,936.8333333333
2005,39,84,146,1750,655,229,441,767,1005,2826,3361,1105,1034
2006,228,0,402,300,597,477,256,675,1087,3105,2286,280,807.75
2007,94,170,22,686,370,564,823,1508,885,2532,806,1635,841.25
2008,236,424,1669,410,514,485,469,1378,552,2943,3461,516,1088.0833333333
2009,87,0,264,349,635,367,519,976,1221,634,3370,1093,792.9166666667
2010,133,0,18,210,974,765,711,1107,1178,1572,3521,1326,959.5833333333
2011,105,282,80,941,382,347,589,1195,810,2264,2633,638,855.5
