Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1871,751,1325,535,2133,1186,895.0536347518,364201.362588653,603.4909797078
1872,696,1673,1204,1863,1359,3962.810283688,,
1873,1105,848,1498,1803,1313.5,1875.5536347518,,
1874,691,1813,1229,3336,1767.25,495.2344858156,,
1875,1565,1793,1121,625,1276,2699.9219858156,,
1876,739,1558,1493,765,1138.75,3369.2593085106,,
1877,726,582,906,1496,927.5,4924.1529255319,,
1878,1105,2977,3831,1716,2407.25,5993.0536347518,,
1879,1170,1725,2877,738,1627.5,6972.1436170213,,
1880,1556,1816,860,2016,1562,585.1954787234,,
1881,1038,1033,1440,1828,1334.75,939.6879432624,,
1882,1068,2058,1663,2737,1881.5,2717.4539007092,,
1883,2048,2193,2896,2388,2381.25,2961.9791666667,,
1884,783,3362,1683,2136,1991,661.9166666667,,
1885,1015,2055,1143,1786,1499.75,599.5429964539,,
1886,2060,3027,3081,775,2235.75,477.5904255319,,
1887,1558,1973,1755,1370,1664,0.7092198582,,
1888,1045,2276,1233,654,1302,6505.5678191489,,
1889,1066,2451,2717,2281,2128.75,1826.640070922,,
1890,1903,2208,1641,2303,2013.75,67.7664007092,,
1891,382,1610,2268,1550,1452.5,974.8621453901,,
1892,1538,1826,4015,3200,2644.75,7483.9898049645,,
1893,1821,2642,3672,3225,2840,17022.5217198582,,
1894,1381,1781,2511,2967,2160,77.8195921986,,
1895,785,2368,2023,2303,1869.75,930.6742021277,,
1896,1050,2200,1815,510,1393.75,7313.7606382979,,
1897,844,1943,2193,2170,1787.5,1442.560283688,,
1898,1024,3526,1431,1836,1954.25,150.1436170213,,
1899,1059,602,1353,1160,1043.5,4064.1773049645,,
1900,1140,3091,1341,2456,2007,1879.202570922,,
1901,1010,2113,1831,721,1418.75,366.2593085106,,
1902,880,1228,1923,1630,1415.25,2810.4273049645,,
1903,955,3681,2952,1980,2392,541.2344858156,,
1904,1473,1563,678,1766,1370,3017.2344858156,,
1905,1054,850,2558,1738,1550,1540.1134751773,,
1906,2503,2133,2116,1243,1998.75,0.0536347518,,
1907,2015,1371,2343,1051,1695,193.6706560284,,
1908,865,2010,1990,5107,2493,1071.8195921986,,
1909,1191,2406,1403,1306,1576.5,140.0017730496,,
1910,2325,1515,1441,2278,1889.75,39.3634751773,,
1911,1281,1528,1566,1303,1419.5,4965.6068262411,,
1912,497,2691,1930,1133,1562.75,516.0642730496,,
1913,869,2996,1124,980,1492.25,1117.7943262411,,
1914,2036,2668,2048,2166,2229.5,1107.9614361702,,
1915,1893,2018,2006,1913,1957.5,2548.9379432624,,
1916,1821,2623,1656,2478,2144.5,23.8581560284,,
1917,1843,2580,1813,2856,2273,209.8156028369,,
1918,853,1288,940,1303,1096,668.4326241135,,
1919,1613,1406,968,1230,1304.25,13325.9259751773,,
1920,773,1433,974,996,1044,1193.6529255319,,
1921,1846,2231,1155,1943,1793.75,112.1493794326,,
1922,1121,1728,1383,1581,1453.25,4947.8195921986,,
1923,253,2485,1001,2243,1495.5,743.3621453901,,
1924,656,1526,1823,2657,1665.5,7704.1493794326,,
1925,1200,2446,2081,1283,1752.5,700.3763297872,,
1926,387,2130,1925,1050,1373,1.2925531915,,
1927,1991,2488,1406,1388,1818.25,12.9614361702,,
1928,1758,1875,1586,2608,1956.75,1846.4898049645,,
1929,1438,1035,1316,2313,1525.5,14691.0678191489,,
1930,1798,1275,1274,1818,1541.25,8488.1985815603,,
1931,1920,2647,1356,2503,2106.5,64.3444148936,,
1932,1110,2485,1748,1968,1827.75,246.0217198582,,
1933,2398,2111,1686,1931,2031.5,2094.9804964539,,
1934,1240,2931,1963,1438,1893,1112.170212766,,
1935,1191,2665,1508,1948,1828,1426.6117021277,,
1936,1686,2051,1915,1391,1760.75,2116.2344858156,,
1937,629,2652,1235,1436,1488,446.8156028369,,
1938,2503,2768,2757,2448,2619,14195.1600177305,,
1939,793,1481,1586,1239,1274.75,2748.2712765958,,
1940,1025,2611,2208,951,1698.75,24.4791666667,,
1941,1049,775,1456,1770,1262.5,3989.3617021277,,
1942,1341,2203,2681,715,1735,1047.1493794326,,
1943,1453,1638,1083,2568,1685.5,2153.1985815603,,
1944,1053,2343,1511,2255,1790.5,127.3475177305,,
1945,1500,2731,2141,1533,1976.25,3354.6103723404,,
1946,1626,2526,1788,756,1674,728.5124113475,,
1947,914,2740,2743,2642,2259.75,2546.8125,,
1948,535,2218,1491,2241,1621.25,376.8102836879,,
1949,1218,2887,1458,2101,1916,4.5217198582,,
1950,689,2335,1458,2811,1823.25,2914.0496453901,,
1951,1143,2807,1311,1209,1617.5,4150.5319148936,,
1952,575,1851,1371,1366,1290.75,17022.5217198582,,
1953,2041,1883,2757,2378,2264.75,77.8195921986,,
1954,1104,2850,2131,2843,2232,930.6742021277,,
1955,1753,2206,3245,2433,2409.25,7313.7606382979,,
1956,1941,3906,1411,1696,2238.5,1442.560283688,,
1957,1580,1988,2746,921,1808.75,150.1436170213,,
1958,868,3193,2123,1018,1800.5,4064.1773049645,,
1959,1921,3393,3302,1471,2521.75,1879.202570922,,
1960,1478,1896,919,2291,1646,366.2593085106,,
1961,1631,3292,2023,1233,2044.75,2810.4273049645,,
1962,989,2151,2476,2847,2115.75,541.2344858156,,
