Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;0;0;34;46;66;751;1325;535;2133;302;39;0;435.9166666667
1872;0;0;0;86;6;696;1673;1204;1863;1346;70;372;609.6666666667
1873;0;0;49;0;205;1105;848;1498;1803;325;18;11;488.5
1874;1;0;20;61;145;691;1813;1229;3336;280;103;46;643.75
1875;6;0;76;227;242;1565;1793;1121;625;587;0;46;524
1876;0;0;93;60;58;739;1558;1493;765;76;45;0;407.25
1877;96;200;487;490;397;726;582;906;1496;1448;136;447;617.5833333333
1878;0;0;68;143;316;1105;2977;3831;1716;1398;172;0;977.1666666667
1879;0;108;2;41;656;1170;1725;2877;738;1160;380;0;738.0833333333
1880;0;4;12;98;210;1556;1816;860;2016;474;452;115;634.4166666667
1881;0;0;193;187;148;1038;1033;1440;1828;525;397;0;565.75
1882;22;0;0;130;198;1068;2058;1663;2737;98;610;0;715.3333333333
1883;0;0;427;40;113;2048;2193;2896;2388;658;88;0;904.25
1884;268;0;96;148;258;783;3362;1683;2136;547;5;327;801.0833333333
1885;0;3;90;81;470;1015;2055;1143;1786;1098;738;542;751.75
1886;0;0;202;18;233;2060;3027;3081;775;1898;123;76;957.75
1887;0;0;1;70;95;1558;1973;1755;1370;519;247;6;632.8333333333
1888;86;83;17;151;569;1045;2276;1233;654;54;769;48;582.0833333333
1889;0;0;68;113;35;1066;2451;2717;2281;1263;45;27;838.8333333333
1890;0;0;12;171;141;1903;2208;1641;2303;225;414;120;761.5
1891;3;126;161;128;58;382;1610;2268;1550;265;0;0;545.9166666667
1892;0;0;0;146;133;1538;1826;4015;3200;1753;141;10;1063.5
1893;141;110;1240;50;195;1821;2642;3672;3225;1251;494;0;1236.75
1894;146;10;56;141;60;1381;1781;2511;2967;683;470;0;850.5
1895;0;80;50;222;103;785;2368;2023;2303;748;48;0;727.5
1896;0;0;63;81;4;1050;2200;1815;510;101;629;0;537.75
1897;0;100;0;186;125;844;1943;2193;2170;500;0;0;671.75
1898;0;198;27;335;60;1024;3526;1431;1836;489;550;0;789.6666666667
1899;0;0;20;350;318;1059;602;1353;1160;20;0;0;406.8333333333
1900;12;2;64;260;66;1140;3091;1341;2456;357;61;0;737.5
1901;69;791;116;452;222;1010;2113;1831;721;700;95;0;676.6666666667
1902;2;0;17;302;156;880;1228;1923;1630;502;412;125;598.0833333333
1903;98;22;0;125;359;955;3681;2952;1980;2013;352;95;1052.6666666667
1904;1;0;73;24;382;1473;1563;678;1766;906;0;0;572.1666666667
1905;0;53;133;410;280;1054;850;2558;1738;410;0;0;623.8333333333
1906;267;6;161;22;60;2503;2133;2116;1243;344;106;419;781.6666666667
1907;8;29;86;663;43;2015;1371;2343;1051;4;66;93;647.6666666667
1908;146;58;50;88;83;865;2010;1990;5107;39;0;2;869.8333333333
1909;32;22;3;414;65;1191;2406;1403;1306;25;0;1;572.3333333333
1910;0;0;1;81;213;2325;1515;1441;2278;1280;369;0;791.9166666667
1911;0;0;43;128;108;1281;1528;1566;1303;187;143;76;530.25
1912;0;310;0;235;151;497;2691;1930;1133;233;330;12;626.8333333333
1913;0;103;0;141;312;869;2996;1124;980;587;58;40;600.8333333333
1914;0;0;4;156;387;2036;2668;2048;2166;225;40;30;813.3333333333
1915;178;93;635;172;296;1893;2018;2006;1913;1433;243;2;906.8333333333
1916;51;182;0;108;227;1821;2623;1656;2478;1736;951;0;986.0833333333
1917;0;447;151;215;519;1843;2580;1813;2856;1146;197;0;980.5833333333
1918;113;24;173;190;780;853;1288;940;1303;108;251;283;525.5
1919;162;162;306;226;313;1613;1406;968;1230;891;843;121;686.75
1920;64;0;20;163;236;773;1433;974;996;203;22;0;407
1921;108;0;2;141;64;1846;2231;1155;1943;624;360;35;709.0833333333
1922;559;0;0;39;305;1121;1728;1383;1581;402;257;0;614.5833333333
1923;6;220;111;145;121;253;2485;1001;2243;482;2;0;589.0833333333
1924;96;0;13;182;162;656;1526;1823;2657;560;875;0;712.5
1925;0;0;0;306;800;1200;2446;2081;1283;1801;101;55;839.4166666667
1926;352;59;138;317;445;387;2130;1925;1050;201;4;0;584
1927;30;123;125;55;141;1991;2488;1406;1388;557;665;0;747.4166666667
1928;0;238;282;25;158;1758;1875;1586;2608;950;0;70;795.8333333333
1929;16;455;0;207;83;1438;1035;1316;2313;572;0;91;627.1666666667
1930;0;56;81;178;35;1798;1275;1274;1818;958;497;0;664.1666666667
1931;0;45;50;50;445;1920;2647;1356;2503;1065;370;6;871.4166666667
1932;0;400;0;136;218;1110;2485;1748;1968;305;509;0;739.9166666667
1933;113;198;98;186;467;2398;2111;1686;1931;1400;302;430;943.3333333333
1934;0;0;48;195;32;1240;2931;1963;1438;167;375;0;699.0833333333
1935;186;40;6;624;46;1191;2665;1508;1948;595;0;10;734.9166666667
1936;8;963;221;76;810;1686;2051;1915;1391;1371;644;83;934.9166666667
1937;0;530;310;1356;51;629;2652;1235;1436;923;8;12;761.8333333333
1938;0;460;166;88;402;2503;2768;2757;2448;635;0;1;1019
1939;0;0;181;43;6;793;1481;1586;1239;1453;133;0;576.25
1940;0;3;32;390;1131;1025;2611;2208;951;670;136;110;772.25
1941;207;66;49;88;177;1049;775;1456;1770;577;13;6;519.4166666667
