Year,Jun,Jul,Aug,Sep,Mean
1871,2015,2640,475,2386,1879
1872,1791,3820,1976,2463,2512.5
1873,1101,2206,2251,2145,1925.75
1874,2201,3168,1508,2001,2219.5
1875,2460,3518,2218,2291,2621.75
1876,734,2580,2935,1498,1936.75
1877,1375,2348,2083,1000,1701.5
1878,963,3708,4787,2408,2966.5
1879,2021,1636,4805,1701,2540.75
1880,1451,2566,1015,2817,1962.25
1881,3222,3262,2762,1868,2778.5
1882,1756,4466,964,2118,2326
1883,2843,4147,3347,3377,3428.5
1884,1244,4702,3100,3682,3182
1885,2336,3776,1943,856,2227.75
1886,2633,3650,1803,758,2211
1887,2665,5637,3281,1721,3326
1888,1791,4380,1808,1023,2250.5
1889,1676,3477,3267,1546,2491.5
1890,1983,4163,1758,2677,2645.25
1891,385,3972,1865,5700,2980.5
1892,1681,3301,2997,3556,2883.75
1893,1538,2010,3243,1878,2167.25
1894,2053,3787,1938,2635,2603.25
1895,2218,2693,2406,1323,2160
1896,2178,4077,3911,354,2630
1897,641,2872,3292,2116,2230.25
1898,2173,4248,1555,1506,2370.5
1899,1188,560,1488,592,957
1900,840,3417,3823,3256,2834
1901,1191,2690,4086,1438,2351.25
1902,485,2930,1960,1366,1685.25
1903,1331,4547,3275,1751,2726
1904,1616,1683,1341,1916,1639
1905,860,2113,2191,3521,2171.25
1906,3178,3627,3247,970,2755.5
1907,1913,3215,2807,637,2143
1908,2328,3738,3642,2130,2959.5
1909,1881,4122,1700,1541,2311
1910,2835,2301,3276,3183,2898.75
1911,2146,1570,2981,1274,1992.75
1912,706,3767,3631,1121,2306.25
1913,2460,3625,2568,1728,2595.25
1914,2228,2438,2046,2743,2363.75
1915,2120,2771,2073,2178,2285.5
1916,2450,3517,3265,2533,2941.25
1917,2291,2837,1745,3468,2585.25
1918,2633,1633,1833,465,1641
1919,3240,2463,2090,1239,2258
1920,1173,2511,1144,944,1443
1921,2556,2950,2300,1723,2382.25
1922,1873,3616,1386,3156,2507.75
1923,307,3941,2040,2698,2246.5
1924,477,2926,1683,2013,1774.75
1925,1470,2396,3141,550,1889.25
1926,439,3772,4232,908,2337.75
1927,3577,3702,1806,1215,2575
1928,1706,2336,1691,2131,1966
1929,1811,2558,1258,2043,1917.5
1930,1831,2742,1746,2582,2225.25
1931,1226,3662,3257,2518,2665.75
1932,1678,4668,1951,1651,2487
1933,2418,3246,4028,3401,3273.25
1934,1781,2891,3517,2366,2638.75
1935,1686,4902,1608,2015,2552.75
1936,4121,2518,3341,2078,3014.5
1937,1633,4622,1491,1983,2432.25
1938,3291,3742,3055,1616,2926
1939,960,2198,3953,564,1918.75
1940,2888,5969,2811,542,3052.5
1941,1180,3747,1733,1126,1946.5
1942,1723,4135,3337,1858,2763.25
1943,1350,2326,1098,2677,1862.75
1944,1000,4375,3612,2193,2795
1945,1468,4058,2937,2862,2831.25
1946,2215,4295,2231,1019,2440
1947,1149,3722,3315,1698,2471
1948,1326,3757,2371,2115,2392.25
1949,1756,4240,2041,3561,2899.5
1950,919,3192,1388,1333,1708
1951,1015,2676,3197,1418,2076.5
1952,1100,1996,2245,1398,1684.75
1953,1271,2860,3901,1723,2438.75
1954,1313,4047,2455,2841,2664
1955,2533,2590,3413,2123,2664.75
1956,2391,3182,1485,2567,2406.25
1957,1553,2145,3902,1413,2253.25
1958,1220,2820,4528,2201,2692.25
1959,1818,3841,2980,4783,3355.5
1960,2061,3197,1890,1160,2077
1961,1253,3633,3870,3000,2939
1962,625,3223,2413,2901,2290.5
1963,1988,2722,3607,865,2295.5
1964,1766,2686,3886,1971,2577.25
1965,1473,2525,1686,1701,1846.25
1966,648,4645,2140,2116,2387.25
1967,1483,3677,1755,786,1925.25
1968,975,2817,2098,2311,2050.25
1969,1140,3723,1601,2790,2313.5
1970,3488,2521,4487,2391,3221.75
1971,2063,999,2471,1411,1736
1972,1356,1538,2316,562,1443
1973,910,3957,3901,1823,2647.75
1974,940,2226,2783,627,1644
1975,2470,2792,3097,2837,2799
1976,846,3997,2293,1711,2211.75
1977,2063,2521,3902,1120,2401.5
1978,2038,3801,3542,462,2460.75
1979,2511,2223,3625,1308,2416.75
1980,2421,2713,3893,781,2452
1981,1868,2911,3452,3127,2839.5
1982,999,2801,1678,1778,1814
1983,1286,3386,2821,2881,2593.5
1984,930,2632,2130,432,1531
1985,2333,2513,1726,709,1820.25
1986,1830,3202,4393,597,2505.5
1987,1163,1570,3157,407,1574.25
1988,1643,4166,3095,2730,2908.5
1989,1888,1755,2941,1481,2016.25
1990,3165,3332,4887,1210,3148.5
1991,1938,3293,2393,170,1948.5
1992,1740,2153,4912,1059,2466
1993,1523,2957,2036,1811,2081.75
1994,2095,4691,3352,1756,2973.5
1995,1363,3062,1736,1756,1979.25
1996,460,2346,2572,1320,1674.5
1997,1050,2196,2338,1451,1758.75
1998,1411,2298,2370,2628,2176.75
1999,1996,2278,2466,1988,2182
2000,2461,3872,2026,512,2217.75
2001,2451,2228,3472,492,2160.75
2002,3658,870,3738,1220,2371.5
2003,1636,3577,2820,1295,2332
2004,1471,2366,1568,1945,1837.5
2005,1620,3644,2336,2470,2517.5
2006,1272,3866,3851,1825,2703.5
2007,2183,3377,1573,1976,2277.25
2008,1570,2835,2515,2033,2238.25
2009,826,3061,1555,971,1603.25
2010,1515,4354,3443,2475,2946.75
2011,1510,2569,2748,2087,2228.5
