Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;303;61;30;12;188;2015;2640;475;2386;6;101;12;685.75
1872;0;0;22;375;12;1791;3820;1976;2463;604;0;81;928.6666666667
1873;10;105;49;12;405;1101;2206;2251;2145;0;37;1;693.5
1874;45;78;13;40;217;2201;3168;1508;2001;123;60;8;788.5
1875;13;148;3;55;138;2460;3518;2218;2291;1030;3;16;991.0833333333
1876;0;0;6;0;74;734;2580;2935;1498;70;0;0;658.0833333333
1877;520;121;130;590;188;1375;2348;2083;1000;535;20;464;781.1666666667
1878;18;81;121;237;217;963;3708;4787;2408;865;0;0;1117.0833333333
1879;0;121;0;0;1020;2021;1636;4805;1701;785;140;1;1019.1666666667
1880;0;29;27;2;88;1451;2566;1015;2817;656;469;0;760
1881;1;2;525;61;108;3222;3262;2762;1868;262;500;0;1047.75
1882;192;3;1;51;198;1756;4466;964;2118;50;485;0;857
1883;48;0;55;0;64;2843;4147;3347;3377;1641;85;0;1300.5833333333
1884;96;11;37;41;29;1244;4702;3100;3682;315;0;1076;1194.4166666667
1885;0;53;198;266;322;2336;3776;1943;856;515;186;1074;960.4166666667
1886;8;8;13;22;387;2633;3650;1803;758;1438;6;111;903.0833333333
1887;18;0;0;37;186;2665;5637;3281;1721;1228;345;65;1265.25
1888;382;148;105;22;17;1791;4380;1808;1023;126;390;2;849.5
1889;0;12;0;202;65;1676;3477;3267;1546;939;0;0;932
1890;0;0;32;113;3;1983;4163;1758;2677;65;660;313;980.5833333333
1891;247;181;303;138;56;385;3972;1865;5700;332;0;0;1098.25
1892;0;51;0;17;48;1681;3301;2997;3556;1155;32;6;1070.3333333333
1893;562;203;1806;22;469;1538;2010;3243;1878;914;529;0;1097.8333333333
1894;45;118;40;44;20;2053;3787;1938;2635;709;295;4;974
1895;6;207;91;285;75;2218;2693;2406;1323;412;32;0;812.3333333333
1896;0;0;8;4;66;2178;4077;3911;354;6;335;63;916.8333333333
1897;138;20;136;190;59;641;2872;3292;2116;410;2;0;823
1898;0;645;2;85;35;2173;4248;1555;1506;35;6;30;860
1899;0;86;13;330;183;1188;560;1488;592;3;0;0;370.25
1900;22;66;27;133;30;840;3417;3823;3256;0;0;3;968.0833333333
1901;340;265;277;208;85;1191;2690;4086;1438;417;0;0;916.4166666667
1902;13;0;0;30;40;485;2930;1960;1366;330;180;268;633.5
1903;20;27;2;27;447;1331;4547;3275;1751;923;0;1;1029.25
1904;10;44;148;0;96;1616;1683;1341;1916;715;0;1;630.8333333333
1905;51;106;145;175;53;860;2113;2191;3521;37;5;0;771.4166666667
1906;123;58;223;0;105;3178;3627;3247;970;18;153;115;984.75
1907;30;599;10;425;17;1913;3215;2807;637;2;105;17;814.75
1908;17;148;118;55;16;2328;3738;3642;2130;12;0;63;1022.25
1909;15;162;76;295;242;1881;4122;1700;1541;37;0;946;918.0833333333
1910;0;0;0;0;115;2835;2301;3276;3183;649;640;0;1083.25
1911;191;0;56;0;48;2146;1570;2981;1274;382;419;0;755.5833333333
1912;0;599;0;79;25;706;3767;3631;1121;54;156;6;845.3333333333
1913;0;447;61;30;172;2460;3625;2568;1728;131;8;281;959.25
1914;0;111;145;412;290;2228;2438;2046;2743;73;27;146;888.25
1915;315;29;695;275;60;2120;2771;2073;2178;894;58;146;967.8333333333
1916;0;121;6;20;222;2450;3517;3265;2533;1351;380;0;1155.4166666667
1917;0;804;123;73;469;2291;2837;1745;3468;1109;0;0;1076.5833333333
1918;25;27;22;1;1035;2633;1633;1833;465;22;266;111;672.75
1919;467;437;167;45;246;3240;2463;2090;1239;715;212;6;943.9166666667
1920;270;1;53;118;32;1173;2511;1144;944;2;0;0;520.6666666667
1921;95;0;0;29;2;2556;2950;2300;1723;12;0;0;805.5833333333
1922;392;22;0;45;27;1873;3616;1386;3156;43;715;4;939.9166666667
1923;6;91;402;55;5;307;3941;2040;2698;50;0;8;800.25
1924;242;3;70;118;16;477;2926;1683;2013;1663;322;96;802.4166666667
1925;0;0;75;0;350;1470;2396;3141;550;362;643;123;759.1666666667
1926;627;75;195;247;372;439;3772;4232;908;369;11;30;939.75
1927;0;162;118;71;11;3577;3702;1806;1215;805;610;53;1010.8333333333
1928;3;487;93;8;56;1706;2336;1691;2131;1018;0;207;811.3333333333
1929;22;644;8;237;2;1811;2558;1258;2043;227;0;302;759.3333333333
1930;0;56;1;352;34;1831;2742;1746;2582;350;201;48;828.5833333333
1931;25;15;133;65;24;1226;3662;3257;2518;2168;439;17;1129.0833333333
1932;0;257;128;30;78;1678;4668;1951;1651;172;93;0;892.1666666667
1933;79;525;126;162;714;2418;3246;4028;3401;746;83;128;1304.6666666667
1934;27;0;2;151;0;1781;2891;3517;2366;79;402;0;934.6666666667
1935;153;37;0;409;11;1686;4902;1608;2015;187;0;25;919.4166666667
1936;58;537;191;69;440;4121;2518;3341;2078;944;955;68;1276.6666666667
1937;0;278;537;1145;16;1633;4622;1491;1983;1220;0;76;1083.4166666667
1938;13;91;24;81;287;3291;3742;3055;1616;1260;0;0;1121.6666666667
1939;17;0;357;141;0;960;2198;3953;564;295;68;0;712.75
1940;0;133;1;113;101;2888;5969;2811;542;1059;238;125;1165
1941;51;108;153;50;6;1180;3747;1733;1126;70;0;0;685.3333333333
1942;8;970;0;105;2;1723;4135;3337;1858;25;0;212;1031.25
1943;615;193;2;37;335;1350;2326;1098;2677;745;0;0;781.5
1944;61;517;669;20;27;1000;4375;3612;2193;580;290;0;1112
1945;130;0;0;292;25;1468;4058;2937;2862;387;5;20;1015.3333333333
