Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1871,3226,2871,2757,2927,2945.25,5297.3621453901,355394.376329787,596.1496257902
1872,1189,3192,3287,1641,2327.25,304.6281028369,,
1873,624,2608,2727,3051,2252.5,99.1706560284,,
1874,2366,4101,3132,1291,2722.5,142.0017730496,,
1875,1541,4275,2275,2805,2724,96.2570921986,,
1876,668,4357,2553,2896,2618.5,1897.5004432624,,
1877,1260,1801,1498,430,1247.25,3332.6968085106,,
1878,665,3632,3225,1956,2369.5,17.202570922,,
1879,1645,1496,3400,1893,2108.5,238.1600177305,,
1880,1134,2168,2023,2795,2030,14.8444148936,,
1881,1933,4145,2645,1078,2450.25,0.7092198582,,
1882,2238,4515,1571,2036,2590,4445.872783688,,
1883,1881,2363,1586,2940,2192.5,2964.2712765958,,
1884,1300,3351,2987,3277,2728.75,2355.0642730497,,
1885,2161,2927,2555,325,1992,9140.372783688,,
1886,1625,2932,2001,365,1730.75,4370.390070922,,
1887,1406,4152,3125,1921,2651,74.5124113475,,
1888,719,2731,2982,1451,1970.75,2662.8550531915,,
1889,1903,2592,4288,650,2358.25,2212.2145390071,,
1890,2196,2921,2333,1643,2273.25,252.6706560284,,
1891,311,2718,3156,3551,2434,803.0656028369,,
1892,1011,3120,2748,2993,2468,6839.1773049645,,
1893,2286,1323,2912,1976,2124.25,1.1529255319,,
1894,2428,3031,2120,2063,2410.5,1535.1600177305,,
1895,1816,1858,2305,824,1700.75,5285.1103723404,,
1896,1876,3038,3045,75,2008.5,1070.4414893617,,
1897,1341,2572,3147,1458,2129.5,73.4259751773,,
1898,1293,3312,2911,1358,2218.5,494.2978723404,,
1899,3101,1638,359,303,1350.25,10651.420212766,,
1900,472,2630,4022,2446,2392.5,402.5749113475,,
1901,407,2223,3307,369,1576.5,1342.0212765958,,
1902,367,3672,1861,1838,1934.5,10821.5784574468,,
1903,550,2830,2577,2513,2117.5,23.8581560284,,
1904,894,2612,1535,1235,1569,1903.0070921986,,
1905,347,3355,1470,1780,1738,1982.8125,,
1906,1631,3352,2048,2560,2397.75,4739.7606382979,,
1907,560,2123,3120,150,1488.25,6.5975177305,,
1908,991,3355,3147,467,1990,292.2624113475,,
1909,1603,2677,2423,981,1921,161.7092198582,,
1910,1836,1933,2727,2635,2282.75,484.0536347518,,
1911,1224,1190,1501,2146,1515.25,7524.1134751773,,
1912,509,3078,2737,969,1823.25,4032.0283687943,,
1913,1696,2967,2018,644,1831.25,0.0110815603,,
1914,1370,3703,1746,1573,2098,10375.1081560284,,
1915,1373,1731,1943,839,1471.5,1242.1436170213,,
1916,1836,2341,4722,1526,2606.25,307.5749113475,,
1917,1893,3110,3208,2637,2712,594.3989361702,,
1918,1061,1069,2093,405,1157,12432.4539007092,,
1919,1553,3446,5415,795,2802.25,555.0359042553,,
1920,1260,3100,1293,635,1572,115.7451241135,,
1921,1311,1953,2086,2398,1937,120.3195921986,,
1922,1313,3043,1698,2255,2077.25,112.5957446809,,
1923,108,5322,2602,1793,2456.25,1136.1706560284,,
1924,475,3257,3060,2113,2226.25,642.5602836879,,
1925,1626,2890,1421,460,1599.25,2308.2996453901,,
1926,220,2673,4310,1486,2172.25,417.0656028369,,
1927,795,3406,2181,778,1790,988.0536347518,,
1928,730,3865,2170,492,1814.25,557.0217198582,,
1929,1104,2750,2038,983,1718.75,1326.640070922,,
1930,1000,3791,1860,1673,2081,830.7451241135,,
1931,462,2908,4630,2138,2534.5,175.3727836879,,
1932,535,4653,1255,3040,2370.75,1652.8195921986,,
1933,2163,2768,3663,2862,2864,9408.0004432624,,
1934,1321,2276,4262,3503,2840.5,1103.7606382979,,
1935,970,3746,1603,2086,2101.25,4684.8408687943,,
1936,1711,1525,2365,2130,1932.75,92.5749113475,,
1937,1738,4466,1708,1763,2418.75,947.4485815603,,
1938,2980,3537,2305,345,2291.75,607.8195921986,,
1939,648,3152,3132,1371,2075.75,12.8102836879,,
1940,1773,3988,3440,640,2460.25,580.1134751773,,
1941,525,1821,3777,1070,1798.25,1299.1773049645,,
1942,1448,5360,2940,1608,2839,9808.3404255319,,
1943,1358,3586,1870,1796,2152.5,2481.3634751773,,
1944,1136,5083,5105,1185,3127.25,9265.5957446809,,
1945,2020,3650,2318,2075,2515.75,6280.0070921986,,
1946,2656,3318,3996,1044,2753.5,9265.5957446809,,
1947,549,3282,3667,2836,2583.5,14.3617021277,,
1948,1478,4101,3827,2261,2916.75,4998.2996453901,,
1949,800,3116,1436,2986,2084.5,661.9166666667,,
1950,359,3870,1753,2408,2097.5,1806.897606383,,
1951,888,2183,2020,853,1486,714.9379432624,,
1952,1726,3975,2413,332,2111.5,1.1529255319,,
1953,874,2732,3000,1175,1945.25,1535.1600177305,,
1954,645,3235,1703,4673,2564,5285.1103723404,,
1955,1638,940,4562,2448,2397,1070.4414893617,,
1956,1130,4032,2553,1210,2231.25,73.4259751773,,
1957,985,2190,3442,1201,1954.5,494.2978723404,,
1958,850,3952,2758,2743,2575.75,10651.420212766,,
1959,753,4000,2988,2782,2630.75,402.5749113475,,
1960,1216,2263,4095,472,2011.5,1342.0212765958,,
1961,625,3147,3342,5565,3169.75,10821.5784574468,,
1962,135,3122,1975,3006,2059.5,23.8581560284,,
1963,705,2353,3727,1563,2087,1903.0070921986,,
1964,1043,3176,3072,1776,2266.75,1982.8125,,
1965,320,3237,1496,1268,1580.25,4739.7606382979,,
1966,594,2261,2325,895,1518.75,6.5975177305,,
1967,1438,2223,2668,2443,2193,292.2624113475,,
1968,339,4332,2713,904,2072,161.7092198582,,
1969,400,3646,4022,2108,2544,484.0536347518,,
1970,2558,1801,3220,2602,2545.25,7524.1134751773,,
1971,1766,4357,1983,2203,2577.25,4032.0283687943,,
1972,964,1578,4117,661,1830,0.0110815603,,
1973,711,4923,4875,2721,3307.5,10375.1081560284,,
1974,425,2852,3681,602,1890,1242.1436170213,,
1975,1241,2660,3455,2236,2398,307.5749113475,,
1976,1660,2727,3508,1795,2422.5,594.3989361702,,
1977,1606,3013,3227,2078,2481,12432.4539007092,,
1978,1503,3602,4197,788,2522.5,555.0359042553,,
1979,1054,1971,2490,262,1444.25,115.7451241135,,
1980,1995,1921,3821,532,2067.25,120.3195921986,,
1981,1151,2671,2773,1210,1951.25,112.5957446809,,
1982,572,2665,3992,995,2056,1136.1706560284,,
1983,925,2610,3727,2847,2527.25,642.5602836879,,
1984,676,1721,5642,640,2169.75,2308.2996453901,,
1985,668,2206,3252,1593,1929.75,417.0656028369,,
1986,1428,4537,2358,330,2163.25,988.0536347518,,
1987,780,1428,3331,597,1534,557.0217198582,,
1988,1316,2892,2486,1911,2151.25,1326.640070922,,
1989,1248,1360,3368,979,1738.75,830.7451241135,,
1990,1611,2638,4097,2421,2691.75,175.3727836879,,
1991,1144,3350,2818,240,1888,1652.8195921986,,
1992,587,2016,3232,1014,1712.25,9408.0004432624,,
1993,1378,3312,2383,2711,2446,1103.7606382979,,
1994,2562,3345,4033,1716,2914,4684.8408687943,,
1995,859,3177,2587,1565,2047,92.5749113475,,
1996,552,3637,3108,916,2053.25,947.4485815603,,
1997,1001,2877,3223,895,1999,607.8195921986,,
1998,1030,2755,2205,2483,2118.25,12.8102836879,,
1999,1578,2376,1733,3010,2174.25,580.1134751773,,
2000,868,2842,1455,316,1370.25,1299.1773049645,,
2001,2213,2426,1811,202,1663,9808.3404255319,,
2002,1236,425,3450,1133,1561,2481.3634751773,,
2003,1254,2925,1613,2145,1984.25,9265.5957446809,,
2004,592,1963,3290,454,1574.75,6280.0070921986,,
2005,854,2841,1188,1559,1610.5,9265.5957446809,,
2006,1118,2762,4286,1988,2538.5,14.3617021277,,
2007,1115,3758,2173,1263,2077.25,4998.2996453901,,
2008,2206,2143,1656,1111,1779,661.9166666667,,
2009,590,3127,1488,1166,1592.75,1806.897606383,,
2010,691,2531,2702,1290,1803.5,714.9379432624,,
2011,2621,3175,3208,1735,2684.75,2330.6068262411,,
