Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;261;40;3;6;202;3226;2871;2757;2927;0;128;29;1037.5
1872;15;5;51;120;41;1189;3192;3287;1641;113;5;95;812.8333333333
1873;115;241;12;3;70;624;2608;2727;3051;10;1;12;789.5
1874;15;0;0;1;70;2366;4101;3132;1291;1;0;1;914.8333333333
1875;8;98;0;6;50;1541;4275;2275;2805;101;0;53;934.3333333333
1876;0;5;11;0;34;668;4357;2553;2896;17;0;0;878.4166666667
1877;385;170;37;60;93;1260;1801;1498;430;713;113;469;585.75
1878;46;74;8;34;278;665;3632;3225;1956;116;4;1;836.5833333333
1879;11;75;0;0;220;1645;1496;3400;1893;716;0;0;788
1880;0;0;0;0;73;1134;2168;2023;2795;400;233;5;735.9166666667
1881;1;35;217;1;59;1933;4145;2645;1078;205;41;45;867.0833333333
1882;2;6;0;13;85;2238;4515;1571;2036;17;126;10;884.9166666667
1883;125;0;15;0;273;1881;2363;1586;2940;515;0;0;808.1666666667
1884;227;12;6;3;27;1300;3351;2987;3277;183;0;136;959.0833333333
1885;75;27;24;58;125;2161;2927;2555;325;369;22;865;794.4166666667
1886;17;8;18;2;196;1625;2932;2001;365;1074;8;223;705.75
1887;150;0;5;16;55;1406;4152;3125;1921;450;397;69;978.8333333333
1888;206;215;34;25;1;719;2731;2982;1451;71;64;0;708.25
1889;8;55;2;79;176;1903;2592;4288;650;293;0;0;837.1666666667
1890;0;0;39;70;4;2196;2921;2333;1643;53;70;79;784
1891;73;27;25;53;10;311;2718;3156;3551;307;0;0;852.5833333333
1892;96;55;0;6;48;1011;3120;2748;2993;260;25;108;872.5
1893;257;90;242;22;462;2286;1323;2912;1976;123;477;16;848.8333333333
1894;65;55;45;18;1;2428;3031;2120;2063;889;43;221;914.9166666667
1895;178;83;71;86;0;1816;1858;2305;824;126;0;73;618.3333333333
1896;4;1;0;1;6;1876;3038;3045;75;0;61;182;690.75
1897;217;3;2;6;11;1341;2572;3147;1458;68;0;0;735.4166666667
1898;0;242;0;3;12;1293;3312;2911;1358;8;2;65;767.1666666667
1899;0;30;0;20;131;3101;1638;359;303;1;0;6;465.75
1900;44;2;0;34;22;472;2630;4022;2446;0;4;148;818.6666666667
1901;292;54;65;25;44;407;2223;3307;369;59;4;24;572.75
1902;136;35;0;37;54;367;3672;1861;1838;337;176;126;719.9166666667
1903;37;1;0;0;167;550;2830;2577;2513;390;0;0;755.4166666667
1904;30;170;183;0;136;894;2612;1535;1235;41;10;93;578.25
1905;32;30;12;11;35;347;3355;1470;1780;1;0;2;589.5833333333
1906;0;105;76;0;8;1631;3352;2048;2560;17;0;12;817.4166666667
1907;66;277;8;121;45;560;2123;3120;150;0;70;1;545.0833333333
1908;116;4;96;32;3;991;3355;3147;467;8;2;30;687.5833333333
1909;34;12;3;252;85;1603;2677;2423;981;24;0;262;696.3333333333
1910;18;0;8;6;12;1836;1933;2727;2635;410;364;0;829.0833333333
1911;123;3;46;0;3;1224;1190;1501;2146;110;465;0;567.5833333333
1912;25;88;3;6;17;509;3078;2737;969;20;632;16;675
1913;0;91;24;0;275;1696;2967;2018;644;2;6;218;661.75
1914;0;20;103;35;148;1370;3703;1746;1573;75;113;10;741.3333333333
1915;118;272;350;48;74;1373;1731;1943;839;851;15;58;639.3333333333
1916;0;61;0;0;183;1836;2341;4722;1526;715;205;0;965.75
1917;95;182;40;11;691;1893;3110;3208;2637;995;0;0;1071.8333333333
1918;6;22;29;1;153;1061;1069;2093;405;2;103;22;413.8333333333
1919;415;13;8;40;128;1553;3446;5415;795;365;233;24;1036.25
1920;560;6;11;2;255;1260;3100;1293;635;0;0;0;593.5
1921;311;0;0;0;0;1311;1953;2086;2398;24;0;0;673.5833333333
1922;251;39;0;0;108;1313;3043;1698;2255;6;330;133;764.6666666667
1923;13;22;125;22;35;108;5322;2602;1793;10;12;80;845.3333333333
1924;151;32;4;1;43;475;3257;3060;2113;779;0;207;843.5
1925;0;0;0;0;277;1626;2890;1421;460;12;457;15;596.5
1926;192;6;93;41;123;220;2673;4310;1486;116;0;16;773
