Year,Jun,Jul,Aug,Sep,Mean
1871,2106,3595,2825,979,2376.25
1872,1051,3157,2947,1070,2056.25
1873,150,3878,2033,2657,2179.5
1874,1661,3940,2908,2183,2673
1875,231,3088,2478,2270,2016.75
1876,302,3402,1398,1483,1646.25
1877,340,694,342,267,410.75
1878,332,2218,2725,1681,1739
1879,1228,4311,4340,1378,2814.25
1880,850,2647,395,2205,1524.25
1881,981,3150,3953,158,2060.5
1882,1471,4140,2113,689,2103.25
1883,745,2095,725,1080,1161.25
1884,904,1708,3672,3335,2404.75
1885,1866,3273,4298,236,2418.25
1886,1511,2735,3032,1243,2130.25
1887,765,3197,3336,1956,2313.5
1888,312,4262,2483,2742,2449.75
1889,945,3077,3322,367,1927.75
1890,1865,4211,1918,1361,2338.75
1891,292,1146,4802,3343,2395.75
1892,619,2760,3972,1116,2116.75
1893,1433,3307,1551,2070,2090.25
1894,1583,2263,3957,2103,2476.5
1895,2510,2848,2872,660,2222.5
1896,1256,2151,1991,86,1371
1897,800,3980,3092,1370,2310.5
1898,669,2258,2842,1318,1771.75
1899,2562,2741,650,191,1536
1900,362,2378,2486,2425,1912.75
1901,243,2046,3837,644,1692.5
1902,655,3278,2031,1296,1815
1903,339,1428,2697,1541,1501.25
1904,729,3388,3066,924,2026.75
1905,236,1423,898,900,864.25
1906,2053,2278,1748,2381,2115
1907,151,1975,2300,4,1107.5
1908,599,3476,4007,317,2099.75
1909,1738,3715,1436,1085,1993.5
1910,1003,1210,2856,2228,1824.25
1911,452,534,1234,3296,1379
1912,327,2388,2113,2621,1862.25
1913,1340,1491,1004,228,1015.75
1914,434,3102,2040,2261,1959.25
1915,668,2063,2213,1361,1576.25
1916,1223,3432,3116,2486,2564.25
1917,1013,2905,2293,3111,2330.5
1918,900,688,1576,202,841.5
1919,201,2905,3302,1179,1896.75
1920,1361,3650,816,281,1527
1921,1465,1778,3687,2316,2311.5
1922,730,3411,3310,1996,2361.75
1923,70,1870,3071,2183,1798.5
1924,185,2971,2471,3683,2327.5
1925,2150,4005,2216,604,2243.75
1926,182,2782,3086,1206,1814
1927,736,2800,3457,629,1905.5
1928,439,2747,720,465,1092.75
1929,801,1898,2261,370,1332.5
1930,585,3307,2118,415,1606.25
1931,158,2151,2253,3632,2048.5
1932,313,1763,2055,3265,1849
1933,2545,2170,2288,1955,2239.5
1934,1085,2011,3175,1286,1889.25
1935,98,3065,1956,1793,1728
1936,3007,3442,2932,1928,2827.25
1937,686,2140,1758,1300,1471
1938,1563,2968,1673,291,1623.75
1939,1240,2388,985,2311,1731
1940,407,2473,3850,570,1825
1941,1040,445,2356,681,1130.5
1942,1396,3597,3225,2188,2601.5
1943,864,1971,4027,1575,2109.25
1944,765,2408,1533,946,1413
1945,263,2901,2491,2637,2073
1946,878,3893,2620,390,1945.25
1947,460,2403,1956,2747,1891.5
1948,54,3308,4277,1778,2354.25
1949,148,3188,2952,2101,2097.25
1950,560,2688,3661,1363,2068
1951,395,1273,2348,2178,1548.5
1952,1785,1668,3622,307,1845.5
1953,820,3888,1981,833,1880.5
1954,562,2475,2008,1858,1725.75
1955,1039,1911,2867,2118,1983.75
1956,774,3656,2831,795,2014
1957,442,2648,2283,2920,2073.25
1958,385,3501,3667,2343,2474
1959,225,2005,2892,1085,1551.75
1960,900,3545,3637,1075,2289.25
1961,753,4007,4948,1115,2705.75
1962,472,2176,2190,2251,1772.25
1963,788,1516,4022,3120,2361.5
1964,235,4136,2171,2501,2260.75
1965,39,2088,2121,1366,1403.5
1966,1543,1508,4047,617,1928.75
1967,554,2857,4847,2318,2644
1968,532,3042,2008,805,1596.75
1969,165,2895,3007,2508,2143.75
1970,1165,1321,3057,1305,1712
1971,1293,2997,2852,1483,2156.25
1972,515,1545,2513,1395,1492
1973,980,2143,2987,723,1708.25
1974,350,3467,2138,288,1560.75
1975,1708,2975,2293,2663,2409.75
1976,919,2971,3837,885,2153
1977,743,3837,2063,1928,2142.75
1978,2196,2842,3795,1648,2620.25
1979,497,2121,881,241,935
1980,1185,3161,2923,855,2031
1981,1076,3248,1090,968,1595.5
1982,670,1825,3695,620,1702.5
1983,776,3278,3671,2860,2646.25
1984,1691,2572,2813,1056,2033
1985,380,3542,2450,1906,2069.5
1986,828,2175,1776,940,1429.75
1987,267,1306,1796,1100,1117.25
1988,1105,3471,3752,1020,2337
1989,945,1476,2810,1478,1677.25
1990,415,2466,1741,2383,1751.25
1991,620,1241,3000,704,1391.25
1992,268,2123,3035,1043,1617.25
1993,864,1615,1418,2737,1658.5
1994,517,3677,2326,100,1655
1995,906,1633,3497,1245,1820.25
1996,1280,2371,3863,1896,2352.5
1997,988,3562,1986,1188,1931
1998,1070,2911,3800,1158,2234.75
1999,955,2631,2081,2331,1999.5
2000,1771,3302,2556,1055,2171
2001,2305,3582,1250,290,1856.75
2002,405,201,2483,2380,1367.25
2003,1015,4320,1893,3732,2740
2004,1030,1666,2758,1090,1636
2005,758,3100,1027,2702,1896.75
2006,1259,2827,953,733,1443
2007,1479,2212,2282,946,1729.75
2008,2825,3518,2505,1318,2541.5
2009,177,1232,1707,1190,1076.5
2010,161,2723,2193,2497,1893.5
2011,2063,2403,2045,974,1871.25
