Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;126;312;0;83;510;2106;3595;2825;979;0;0;307;903.5833333333
1872;500;116;60;27;115;1051;3157;2947;1070;0;0;40;756.9166666667
1873;113;22;131;0;240;150;3878;2033;2657;35;11;20;774.1666666667
1874;135;98;143;2;50;1661;3940;2908;2183;0;0;1;926.75
1875;40;465;0;0;176;231;3088;2478;2270;32;0;46;735.5
1876;6;1;75;86;131;302;3402;1398;1483;252;0;0;594.6666666667
1877;479;400;193;78;158;340;694;342;267;1149;30;808;411.5
1878;345;123;81;286;272;332;2218;2725;1681;0;0;45;675.6666666667
1879;50;98;75;6;5;1228;4311;4340;1378;300;0;111;991.8333333333
1880;35;276;0;18;141;850;2647;395;2205;15;126;116;568.6666666667
1881;10;108;704;11;121;981;3150;3953;158;20;0;0;768
1882;121;162;4;30;263;1471;4140;2113;689;8;0;0;750.0833333333
1883;679;2;205;8;273;745;2095;725;1080;11;24;2;487.4166666667
1884;13;20;22;2;41;904;1708;3672;3335;909;5;13;887
1885;392;18;35;32;251;1866;3273;4298;236;35;0;504;911.6666666667
1886;210;4;347;0;367;1511;2735;3032;1243;280;0;48;814.75
1887;375;0;17;25;4;765;3197;3336;1956;17;10;25;810.5833333333
1888;267;172;86;29;93;312;4262;2483;2742;44;68;0;879.8333333333
1889;268;555;15;22;93;945;3077;3322;367;8;4;0;723
1890;54;5;81;65;100;1865;4211;1918;1361;8;0;91;813.25
1891;255;17;462;16;187;292;1146;4802;3343;230;22;0;897.6666666667
1892;123;202;0;0;105;619;2760;3972;1116;11;0;116;752
1893;447;535;172;53;316;1433;3307;1551;2070;655;81;6;885.5
1894;509;151;192;5;32;1583;2263;3957;2103;726;296;510;1027.25
1895;600;135;55;131;63;2510;2848;2872;660;1;2;48;827.0833333333
1896;30;95;2;4;76;1256;2151;1991;86;2;123;140;496.3333333333
1897;153;18;39;10;50;800;3980;3092;1370;12;17;1;795.1666666667
1898;1;979;0;41;98;669;2258;2842;1318;30;24;156;701.3333333333
1899;37;66;8;91;158;2562;2741;650;191;30;0;0;544.5
1900;352;65;15;192;158;362;2378;2486;2425;11;0;405;737.4166666667
1901;559;297;103;12;59;243;2046;3837;644;69;0;86;662.9166666667
1902;45;27;4;59;83;655;3278;2031;1296;100;0;0;631.5
1903;156;8;24;1;96;339;1428;2697;1541;1806;0;6;675.1666666667
1904;81;6;324;5;327;729;3388;3066;924;11;158;295;776.1666666667
1905;337;283;168;30;73;236;1423;898;900;0;0;35;365.25
1906;41;610;258;3;60;2053;2278;1748;2381;0;0;75;792.25
1907;161;663;178;287;150;151;1975;2300;4;0;0;0;489.0833333333
1908;247;148;17;22;141;599;3476;4007;317;6;12;13;750.4166666667
1909;185;76;0;641;34;1738;3715;1436;1085;17;0;325;771
1910;130;27;0;12;185;1003;1210;2856;2228;1511;27;10;766.5833333333
1911;701;3;362;4;4;452;534;1234;3296;183;429;6;600.6666666667
1912;310;64;93;43;65;327;2388;2113;2621;0;76;12;676
1913;4;395;267;17;637;1340;1491;1004;228;16;10;75;457
1914;0;110;240;198;307;434;3102;2040;2261;123;78;0;741.0833333333
1915;251;669;552;86;128;668;2063;2213;1361;131;0;27;679.0833333333
1916;0;193;1;20;86;1223;3432;3116;2486;444;37;0;919.8333333333
1917;105;287;113;167;485;1013;2905;2293;3111;839;0;37;946.25
1918;86;4;115;110;51;900;688;1576;202;4;45;6;315.5833333333
1919;695;43;37;65;121;201;2905;3302;1179;60;43;167;734.8333333333
1920;56;105;118;0;193;1361;3650;816;281;15;0;0;549.5833333333
1921;502;12;32;44;0;1465;1778;3687;2316;133;0;8;831.4166666667
1922;400;37;1;11;13;730;3411;3310;1996;56;0;231;849.6666666667
1923;46;417;1;0;96;70;1870;3071;2183;470;8;400;719.3333333333
1924;311;202;30;0;113;185;2971;2471;3683;482;8;258;892.8333333333
1925;37;0;0;58;141;2150;4005;2216;604;68;190;0;789.0833333333
1926;172;111;614;155;245;182;2782;3086;1206;83;24;2;721.8333333333
1927;0;275;270;29;212;736;2800;3457;629;1230;325;111;839.5
1928;248;925;22;79;79;439;2747;720;465;417;111;170;535.1666666667
1929;272;6;20;61;22;801;1898;2261;370;222;8;350;524.25
1930;286;207;6;18;55;585;3307;2118;415;340;3;35;614.5833333333
1931;5;281;71;4;48;158;2151;2253;3632;669;0;0;772.6666666667
1932;0;20;163;55;32;313;1763;2055;3265;0;76;116;654.8333333333
1933;69;123;76;148;362;2545;2170;2288;1955;944;12;12;892
1934;285;13;256;12;8;1085;2011;3175;1286;0;0;121;687.6666666667
1935;297;226;30;166;1;98;3065;1956;1793;20;39;282;664.4166666667
1936;45;198;118;16;166;3007;3442;2932;1928;22;78;247;1016.5833333333
1937;3;703;18;103;136;686;2140;1758;1300;25;6;128;583.8333333333
1938;345;65;0;6;111;1563;2968;1673;291;120;0;0;595.1666666667
1939;83;267;83;5;25;1240;2388;985;2311;37;0;0;618.6666666667
1940;241;384;222;56;83;407;2473;3850;570;8;4;223;710.0833333333
1941;347;65;20;0;192;1040;445;2356;681;93;0;27;438.8333333333
1942;350;525;29;45;74;1396;3597;3225;2188;0;0;131;963.3333333333
1943;315;6;37;161;153;864;1971;4027;1575;6;0;0;759.5833333333
1944;377;462;462;250;4;765;2408;1533;946;181;2;18;617.3333333333
1945;397;0;5;44;44;263;2901;2491;2637;504;0;0;773.8333333333
1946;0;170;2;145;227;878;3893;2620;390;278;81;54;728.1666666667
1947;206;128;153;2;32;460;2403;1956;2747;116;0;60;688.5833333333
