,asmmeg,chattisgarh,coastalkar,gnbwl,gujarat,kerala,kngoa,marathwada,mpmah,nwest,orissa,pen,saurashtra,shwbl,southkar,telangana,vidarbha,wmp,westup,India
asmmeg,1.0	,-0.17725448236083316	,-0.04586049699438953	,-0.07032513579882069	,-0.11312965588597952	,-0.1018755950708932	,0.03404057655634461	,0.09210379967277448	,-0.1026754296489883	,-0.18038261720226997	,-0.20697869785982126	,0.06304012112803259	,-0.23472707046217967	,0.4485615127487539	,-0.016491734943343477	,0.08159035945709818	,-0.11994965223539161	,-0.1284772487256484	,-0.0608413288799656	,0.00885437862806004	
chattisgarh,-0.17725448236083313	,1.0	,0.16987818341184593	,-0.024457196983418236	,0.2693073350576138	,0.08788163298044961	,0.1012542531515053	,0.029945929487316683	,-0.003912308164744779	,0.3107129533184709	,0.4994307297210275	,0.02825329338155399	,0.14278344309631447	,-0.18956766342306294	,-0.048972640777172845	,0.09042134847624604	,0.3691545141578057	,0.47089271790812287	,0.3362914847914343	,0.5193478776855285	
coastalkar,-0.045860496994389544	,0.16987818341184602	,1.0	,-0.010190076944386688	,0.2962589930134299	,0.5750098067265486	,0.5586762946408694	,0.38833097232952035	,0.4040317870827449	,0.4501342940393613	,0.05125133435908281	,0.6844259579153656	,0.35210403039573873	,0.01636021693218478	,0.3590129622686857	,0.4447696193845983	,0.3691666205189251	,0.38562194144645157	,0.2731622994819854	,0.5553919069965423	
gnbwl,-0.0703251357988207	,-0.024457196983418247	,-0.010190076944386686	,1.0	,0.04324199880567193	,0.016048025349461873	,-0.11717256559226263	,-0.24320205072194415	,-0.14290174981210146	,0.0688652977535299	,0.14845656832489007	,-0.15038017528096648	,0.05481809088269202	,0.001280518722600836	,-0.1369270531574365	,-0.22034036801686274	,-0.12204512027045132	,0.1231043697457601	,-0.04936694607498307	,0.07663227722709809	
gujarat,-0.11312965588597929	,0.26930733505761334	,0.29625899301342923	,0.04324199880567184	,1.0000000000000018	,0.13306658850585354	,0.4764427903464847	,0.3799904895711825	,0.5529198332523294	,0.8592777864308586	,0.3091773115464424	,0.3220115106292399	,0.7212428468086087	,-0.05743823590222002	,0.18093592666792416	,0.4086128754291423	,0.5206516070759736	,0.4848723276544144	,0.2349005822124743	,0.6906444970230784	
kerala,-0.10187559507089321	,0.08788163298044964	,0.5750098067265486	,0.01604802534946187	,0.13306658850585376	,1.0	,0.22614463674396057	,0.0804194936211423	,0.3015884088711214	,0.21494221958174986	,-0.05567330167644429	,0.6430562408265572	,0.19818761391692913	,-0.09848608082412931	,0.4144317680688167	,0.06459707068413335	,0.09967693066950892	,0.2208384989656086	,0.1458557389059771	,0.294366405035236	
kngoa,0.034040576556344605	,0.10125425315150532	,0.5586762946408693	,-0.1171725655922626	,0.4764427903464856	,0.22614463674396054	,1.0	,0.6261152433543521	,0.6022711389376628	,0.5027186862024399	,0.039966801280811294	,0.531796864406273	,0.37532656212805016	,0.03816243701448985	,0.3191353308126559	,0.5953829535986328	,0.4968708559629996	,0.43382638494195797	,0.37990415026621543	,0.6544712455547648	
marathwada,0.09210379967277449	,0.029945929487316694	,0.38833097232952024	,-0.24320205072194412	,0.3799904895711832	,0.08041949362114229	,0.6261152433543522	,1.0	,0.6906340074840543	,0.449019078809726	,0.035871602693393914	,0.49879333565900724	,0.33804653318523226	,0.1258034598186736	,0.34389769995064434	,0.6990072903657137	,0.5694271750286399	,0.3063235132252042	,0.2513685308714652	,0.5878512940217192	
mpmah,-0.10267542964898876	,-0.003912308164744798	,0.4040317870827466	,-0.1429017498121021	,0.552919833252333	,0.3015884088711228	,0.6022711389376655	,0.6906340074840575	,0.9999999999999957	,0.4966941525105506	,0.12059630575715692	,0.5301996903821348	,0.49072727956507195	,-0.0422523612524148	,0.43822586900093924	,0.5170151692023739	,0.5240731357942225	,0.3566680418421838	,0.09821710442057598	,0.5440749561979007	
nwest,-0.18038261720227003	,0.31071295331847093	,0.4501342940393612	,0.0688652977535299	,0.8592777864308604	,0.21494221958174983	,0.50271868620244	,0.44901907880972614	,0.4966941525105483	,1.0	,0.2419559531378994	,0.44134870942287296	,0.7365659643538542	,-0.10482519497490142	,0.24496378974073119	,0.47826902216175177	,0.5550768809727484	,0.619111074355832	,0.4177643376869621	,0.8105439602442291	
orissa,-0.20697869785982131	,0.49943072972102764	,0.0512513343590828	,0.1484565683248901	,0.309177311546443	,-0.0556733016764443	,0.0399668012808113	,0.03587160269339393	,0.12059630575715638	,0.24195595313789942	,1.0	,-0.07552833370515762	,0.17850079925239878	,-0.1830103262216118	,-0.008648654716415839	,0.058510759320707484	,0.23958757830340227	,0.173790141268551	,0.09527922215292652	,0.3465597958247245	
