Region\Year,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
assam-meghalaya,3687.25,4226.75,3083.75,3939,4229.75,3714,3763,4873.75,4555.25,4262.25,3865.25,3271.5,3332.75,2783.25,3761.75,4542.25,3722.75,3443.75,4345.25,4032.75,3075,3744.75,3746.25,3575.75,3966,2876.25,3949.25,3647,4188.25,2972,3763.25,4514,4244,3528,4132.25,4156.75,3707.25,3613.5,3535.5,4182.5,3907.25,3725.5,3422.5,3396.5,4416.25,3591.5,3743.5,5198.5,3288.5,3538,4207.5,3566.25,3606.25,4114.75,3192,3617.5,4238.5,3627.5,3680.5,3765.5,4275.75,3815,3657.25,4439.75,4296.25,3516.5,3617.25,4113.75,3725.25,3547.25,3539.75,4049,3880,3569.5,4113.5,3688,4543.25,4203,4044.75,3910.75,4329.75,4204.75,4053.75,3655,4101,4086.5,3314.5,3248.75,3052.75,4411.75,3146.5,3259.25,4138,3867.5,3720.5,4649.75,3201,3869.25,3630,4130.5,3112.75,3306.5,3867,4930,3054.5,3926.25,3720.5,3254,4139,3244.25,3340.75,3485.5,3983,3751.25,3625.75,2951,4384.25,4740,4327.75,3220.25,3656.25,3201.25,5381,3320.75,4094.25,2981.5,3665.5,4089,3822.5,4023.5,2874.5,3483,3277.5,3380.5,3235.5,2683,3683.25,3523.5,2660.25,2990.25,2666,
chattisgarh,2956.25,3457.75,2420.75,4054.5,3159.5,2907.25,2528.75,2228.5,3086.5,3128.75,3132.75,3088.75,2486.25,4703,3397.5,2007,3388.75,2969.5,3247,3082.25,3188,3424.75,3490.25,3766.25,3279.25,3956,3013.75,3294.5,2061.75,3128.75,2857.25,2564.5,2933.75,3026.5,2820.75,2998.25,2738,3073.75,2612.25,3538.25,3507.25,2713.75,2550.5,2841.75,2689.25,2653.5,3256.25,3119,3468.75,2580,2903.25,2845,2851.75,2374,4029.75,2818.75,3156.25,2665.75,3885,2862.5,2542.25,3033.75,3324.25,3498.75,3003.75,3939,3637.75,3268.75,3464,3289.75,2119.75,3566,3469.25,3357.5,3841.5,3491.25,3945.75,3245.25,3038.75,2734,2789,3133.75,2863.75,2805.75,3102.25,3467.75,2592.25,2962.5,3546,2848.75,4691,2236.25,3005.5,3162,2253.25,2179.5,2882.25,2438,2516,3338.5,3233.5,2667,3039,1833.5,3075,2644.75,3484.75,2715.25,1897,3485.5,2392.5,2262,2894,2634,2878.25,2930,2349,2152.25,2543.5,3018.25,2578.75,2633,2631,4049.5,2531.25,3086.75,2632.25,2203.5,2953,2264.75,3135.5,2111.5,3120.75,2674.25,2876,2389.75,2620.75,2813.5,1968,2563,3204.5,
coastal-karnataka,6066.25,8766,5295.75,8513.75,6577.25,6363.75,5758,10661,6511.25,5927.5,5200.5,7393.75,7664.75,5922.75,6759.75,6952.25,7611,7173.75,9707.75,6533.75,5065.5,7613.25,5751.75,6293,6865.25,6799,6163.5,7404.5,4003.75,8729,7009.75,8770.5,7597.5,7296.25,6060.5,6387.5,6609,8828.5,6961.25,6602.75,5194.5,7151.5,5436.75,8845.25,5782.25,7440,7815.25,4003.25,6248.75,5742,6663.25,7000.5,8123.75,7471.25,7173.75,6266.5,6930.75,7703.75,7995.75,5980.25,8086.5,6136.5,9062.75,6842.75,6048.25,7257.25,7028,6814.25,6219.75,8319,4926.75,7226.25,6982,6379.75,8467,8415.75,7348.5,7808.5,7708.5,8525,7291,5797.25,7397,6950.5,8120.5,6482.25,6372.25,7242.75,8487.25,6390,11173.25,7133.25,6471.75,6879.5,5748,5490.5,7204.25,7174,6547.25,9598,7529.25,5534.5,7454,8004,11557,6317.75,6890,8525,6418.25,7534.75,8178,8439.75,9135.75,6226,6077.25,6174.75,7063.25,8988.5,7729.75,6756.75,7874.5,7673.5,6752,8629.75,7474.25,7067,7915,8279,7424.5,6706.25,6676.75,5180,7657.25,5713.25,6758.25,6617,8409.75,5934.5,7047.25,7250.25,8786.25,
West Bengal,3328.5,2245.5,2265.75,2365.75,2834,3159,2685.5,2654,2327.75,3344.75,3583.25,2615.5,2837,2653.5,3722,2890.5,2574,3139.5,2359.75,2837.25,2720.25,2092,3379.5,2977.25,2218.75,2725,2661.25,3434,3272.75,3535.75,2620,2565.75,2325.5,2926.25,2908.75,2448.5,2708.5,3003.5,3492.25,2523.5,2643.5,2413,3643.5,2534.75,2473,3110.25,2988.75,2979,3059,2499.75,2893.25,3621.5,2698.25,2577,2198,3487.5,2799,3468.25,2901.75,3076.75,2777,2402,3686.25,2256.5,2471.5,3140.25,2925,2482.5,3429.75,3000.75,3503.25,3301,3109.5,2962.75,2202,3130.5,2710.25,2691.75,2913.75,3300,2449,2840.75,3147.75,2350,2510.75,3390.75,2697,2400.5,2925,2664.25,3096.5,2363.25,2534.75,2401.25,2529.75,2301,3030.5,3299.75,2841.75,3302.5,3970.25,2817.75,3152.75,3224.75,2770,2164,3114,3506.5,2258.25,2710.75,2895.5,2262,2453,3798,2711,2911.75,3179,2989,3059.25,3018.75,2839.25,2335.5,4002.75,3277.5,3865.5,2993,3632,2425.75,3559.75,2997.75,2737.5,3463.75,2808.25,2866,2580.25,3462.25,4238,2876,2423.75,1973,3445,
gujarat,1676,2282.25,2092.75,2264.5,2541.25,2025.75,772,3943.25,2286.75,2483.75,2825,2591.75,2297.25,3243.5,1750.75,2385.25,2262.25,1415.75,2083.5,2026.75,2156.5,3154.25,2885,3091.25,1763.25,2565.25,2091.75,2110.75,527,1943,1143.5,2098,2119.75,892.75,1833.5,2298,2634,2572.25,2233.5,2246,842,2599.75,2851.5,2559,922.25,2326.75,2905.5,942.5,2515.75,1434.75,2938.75,2118.5,1109.75,1988.75,1408.25,3193,3266.75,1923.75,1856.75,2056.25,2324.75,2170.75,2811.25,2458.5,1837,1422.25,2969,1876.75,1501.75,1638,2522,2676.75,2034.75,3265.5,3162.75,2698,2050.25,968.5,1951.75,2770.75,1184.75,2073,2523.25,3405.75,2195,3110.75,1543.25,2754.25,3405,1643.25,2427.25,1598.75,2586.5,2521,1570.25,1715.75,2231.25,1377.75,1564.5,2936.75,1901.5,1085.25,2719.25,744.75,2803.25,2929.75,2664.25,1954,1725.75,1942.5,2383.25,1450.5,2775.5,2579.5,1168.5,1155.5,929.5,2740.5,1972.75,2405.75,1923.5,2287.25,2024.5,3404.25,1544.25,2139.75,3225.75,2530.5,1156.75,1236.75,1873,1492,2762,2349.75,3221.25,2934,2780.75,2345.5,1433.25,2354.25,2108.75,
kerala,5742,5928.5,5012,5751,4861.75,4339.5,5222.5,7312.75,3942.5,4059.5,3347.75,6631.75,4805.75,4240.75,5932.75,3728.25,4321.5,5381.5,5082,3656.5,4128.75,4946.5,3809,4131.25,3852,5341,6417,3939.5,2964,5068.25,4612.5,5363,5185,5446.5,4216.5,4309,6486,5124.5,4570.25,4334.25,4379.5,5942,3884.75,5050,5670.25,5074.25,4788.75,2875,4881.75,5985.75,4549,5795.25,6664,7788.25,4863.25,5561.5,5319.25,3857.75,5759.25,4025.5,5902.5,3928,5758.25,3839.5,3911.75,4636.25,4729,4398,4667,5322.25,4664.25,4860.5,4984.5,3434.75,4229.25,6112.5,6089.25,5245.5,5170.75,5579,4319.25,3580,4229.5,5018.75,4435.75,3806.75,5136.75,4360.75,5871.25,4669.25,7357.75,4871.75,4554.75,4597.5,3660.5,3512.25,5026.75,6522.75,4624.25,4723.5,5596,3933.5,4301.5,5526,6303.75,3151.5,4473.75,5118.75,4671,4938,6315.75,4373.25,5134.5,4054.75,4119,3821.5,3641.25,5127,4408.25,3792.75,5617.25,5380.75,4384.75,5606.5,4308.75,4722,5758,5080.5,3790,4050.5,4216.25,3230.5,3951.5,3475.25,4339.75,4947,6176.75,4033.25,4357.25,4397,5312.25,
Konkan-Goa,3641.5,5005.25,5303.75,7520.5,6747.5,4222.5,4122.25,9385.75,5247.5,5544.25,4970.75,6160.5,6178,5895,5159.75,6827.5,6787,5342.5,6109.5,6714.75,5731,8162.25,5235,5759,5031.75,6122.75,7227.5,6873,3049.5,5710.25,5425.25,5473.75,6007.25,5338.75,3207,5211.75,5825,5370.5,6165.25,5267.75,4282,5142.75,5210.75,7601,5682.75,7192.25,6490.75,2629.25,5436,3644.25,6159.5,5767.25,5981.5,5429.75,4230,6574.25,5104.5,6311.5,4912.25,5718.5,7165.5,5641.5,6210.25,7137,5895.75,6322.5,6877,6367,5694.5,6208.25,3120.25,6660,5657.75,5613.75,6247.5,6026.25,6087.75,6846,7239.5,5582,6297.5,4568.25,7210.75,8494.5,8144.75,7058.25,6048.75,8773.75,6624.25,6045.5,7096,6235.75,7702.5,6206.75,5214.25,4809,6080.5,4042.75,6603,7188.5,5599.5,3997.75,6181.75,6217.25,7488.75,6083,6480.25,6514.25,5535.5,5696,6494.75,5957,8888.25,5970.75,6142.25,3875.25,6353.5,7178.5,6390.5,6739.5,5812.75,5538,6564.25,5900,4386.75,5359,5992.75,6534.75,5530,6138.75,4538.5,4695.75,5817.5,5500.5,6507.75,6103.75,7361.75,6121,4885.25,7272.25,7586.25,
marathwada,608.5,2704.25,1970,1983,2531.25,1197,1116.5,2217.75,1919.25,1766.5,1503.25,2265.25,2663.5,1577.25,1264.25,1927,2008,1308.5,2005.5,1864.5,1534.75,3250.25,2324,2289.75,2103.5,1364,1818.5,1517.25,757.25,1578.5,1752.25,1332.5,2046.75,1517.75,1135.75,1841.75,1212,1635.75,2117.5,2462.75,1455.5,1061.5,1413.25,2258.5,1863.25,2459.75,2274.25,798.25,1516.25,793.5,1260.75,1441.75,1678.25,1425,1133,1591,1439.5,1816.5,1220.25,1374,1866.25,1750,2191,2055.25,2063.75,1090.75,1276.5,2379.75,1280.5,1798.25,1193.25,2007,1718.25,1438.75,1384.25,1534.25,1895.25,1779.25,2219.75,1573.5,1422.25,1375.5,2088.5,2257.25,2519.25,1845.75,1738.5,2162.5,2306.75,1474.75,1829.25,1855,2258.75,1730,1643.25,1468.25,1557.25,1451.5,1818.25,2285.75,1190.25,795.75,1968,1394.5,2291.25,1447.25,1301.75,1574.5,1895.75,1868.5,1891.5,1538.75,2634.75,915.75,1224.25,1285.25,1340.5,3143.75,2634.75,2287.75,1294,1539.25,1497.25,1196.25,1434.5,1950,1269.25,2470.75,1778.25,1923.5,1364.75,1740,1531.25,1334.5,2431.75,2256.5,2034.75,1459.5,1310,2161.5,1560,
madhya maharahtra,970.5,1666,1475,1812.25,1923.5,1013.25,1335,2353,1501,1227.75,1109.5,2085.5,2127.25,1421,1323.75,1457.25,1670.75,1225.75,1387,1317,1382,1911.75,1390.5,1497.5,1560,1629.75,1433,1439.75,645.25,1491.25,1217.75,1347.5,1593.5,970.5,990,1396.75,1728.25,1488.75,1619.25,1807.5,900.25,1165.25,1564,2128,1756,1684.75,1263.25,525.5,1589,1007.5,1299,1007,1356.25,1461.5,1105.75,1495.75,1407.25,1523,1221.75,1512.5,1589.5,1653.5,1916.25,1585.5,1273.25,1007,1345.25,1887.75,1209,1371,1247.75,1569,1366.25,1710,1294,1745,1584.25,1445,1614.5,1389.75,973.5,1048,1392.5,1656.75,1544.25,1722.5,1337.5,1650.75,1716,1436.75,1490.25,1352,1492.5,1712.5,1404.5,1144.25,1766,1345.5,1955.25,1555.75,1317,851.75,1636.25,1397.25,1831.5,1645.5,1102.25,1195.75,1704.5,1448,1812.5,1037,1828.5,1248.75,889,1186.75,1105,1906.5,1608.25,1585.75,1619,1374.25,1393,1608.75,1202.25,1465.25,1405.75,1667.25,1257.5,1312.5,1250,1273.5,1154,1642,2337.75,2301.75,1864.5,1529,1402.75,1730.25,1490,
orissa,2371.5,3383.5,2200.75,2964.25,3301.25,2539.25,2334.75,2307,2695.25,3643.75,2977.25,2883,3429.5,3266.25,2234.25,2876.75,2734.25,2579.75,3059.75,3445.75,2976.5,2984.75,3307.75,2946.5,3520.5,3844.75,2776.5,2505.5,2105.75,3362.5,2329,2743.75,2718.75,3180.5,2772.25,2724.25,3008.5,3392.75,2934.5,3372.25,3035.75,2834.75,2975.75,3398,2345.5,2620.5,2986,2866,3266.75,2958.25,2780.75,3393.5,2320.25,2124.75,3504.75,3044.5,3239.75,2999.5,3346.5,2991.25,2719,2770.25,3740.5,3282,3003.75,3744.75,3035.25,2561,3241.75,3634.5,2832.25,3228.25,3598,3232.5,3135.5,2912.75,2965.5,2807.5,2578.5,2907.75,2743,3136.5,3060,2524.25,2859.25,3957.5,2624.25,2915.75,2903.25,3067.75,3202.75,2833,2989.5,3139,2469.5,2591.75,2908.25,2605.25,2869.5,2233.5,2819,2822.75,2903.75,1887,2738,2426.5,2787.25,2513,2175.5,3139,2734.75,2684.75,2522.5,3219,2909.5,3130.25,2271.75,2739.75,3159,3002.75,3058.5,2861.5,3212.25,3864.5,2227.5,2181.25,3326.25,2326,2938.75,2364,3627.25,2271.75,3161.75,2637,2978,3769.5,3492,3925.25,2935,2471.5,2801.5,
