Year,annual_Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1885.1666666667,1884.1804669541,-1884.920100614,-960.1317638329,15.2449680821,-1532.2685958549,933.7678952303,-410.9915089428,-1338.3931908774,60.9699029032,-30.4889391825,1622.3440933385,-1885.1050241457,1098.1831865714,1637.6601842105,-1839.8204642541,1327.613282445
1872,2059.5,1626.5500368396,-1948.2582029689,-1394.3358487523,338.4541926063,-1811.0721944934,827.6187435935,-267.1124364184,-1571.3985267386,1263.2795524575,-667.7051928542,1515.7070267318,-2031.4992024382,980.5905140949,1885.8916896929,-2042.1045997477,1331.2576460489
1873,1492.4166666667,415.9487938,-1193.3307209847,-1216.5951898747,472.4197551445,-1391.0703130619,453.6742052338,-60.2024110172,-1210.8580889569,1433.2808893866,-896.2529203851,864.4094232008,-1415.6719541948,540.5838427687,1421.7901471209,-1491.2019235007,872.4277593888
1874,2187.1666666667,-740.8269786667,-1257.6537588444,-2007.2753875955,1008.2161594186,-2121.8260114717,443.5381658937,107.9244596632,-1869.3360859478,2057.8808069122,-1789.4147229311,868.6446604518,-1940.9271505302,530.6151192909,2141.7217193589,-2184.5023091735,1135.4649380547
1875,2074.0833333333,-1715.0346540014,-610.2036060438,-2033.1172897601,1232.113741579,-2059.304336965,206.1152447149,287.5318656365,-1851.6652302443,1166.3952199771,-1982.2898962518,410.1899068597,-1668.4476022408,247.1584944281,2063.8164112893,-2054.0562552799,934.4289960802
1876,1939.25,-1938.3329388009,29.8195483731,-1939.1480971717,1381.7594077267,-1939.2133147762,-9.9401976797,439.8261169086,-1794.473111241,-59.6320455751,-1939.0207211463,-19.8801341911,-1360.6731795912,-11.9282142328,1939.2245241256,-1888.7147877287,735.225690202
1877,1999,-1580.7192617863,646.5845635681,-1950.9998871975,1626.1186215299,-1981.6754404319,-219.0345012689,625.985460104,-1903.49837463,-1223.653388594,-1891.5415412186,-435.4313265665,-1162.6432078302,-262.6089274741,1986.9637357672,-1898.4581121896,610.4874591512
1878,2310.25,-647.4184825591,1385.9214467581,-2100.9786522769,2066.2865344469,-2234.1679181437,-491.6650948955,917.117719518,-2248.4320679871,-2217.6799523243,-1848.3713928527,-960.8037079324,-1033.3029662512,-588.0040612425,2257.3259616106,-2120.4127312969,530.8561934715
1879,2107.3333333333,710.6274370519,1723.1341595271,-1692.4808426975,2008.9887792064,-1954.6907811345,-661.1476695615,1006.4899886156,-2082.6020741481,-1983.9008098911,-1213.1209527695,-1255.5327056193,-636.2529864767,-787.4247442934,2000.9341660362,-1851.4404339849,321.9043002691
1880,2188.4166666667,1807.6131562601,2091.0497680579,-1448.2844897787,2163.9380386453,-1911.4746589227,-899.9215497581,1213.2733529789,-2182.2884291897,-1233.5729343091,-645.5062931138,-1640.62169424,-326.4041541533,-1065.5665794501,1994.8204709261,-1821.3004359237,163.6603762967
1881,2035.3333333333,2034.4679334435,2035.1169718609,-1000.4845719681,2035.2792422465,-1639.6137016379,-1026.2217545359,1275.6279065331,-2035.3198105167,59.3464874094,29.6763983866,-1772.459420983,14.8385935443,-1205.9223387843,1757.6833299247,-1585.9871442895,-7.4193460665
1882,1949.6666666667,1543.6074853955,1845.3617764281,-584.6248047975,1923.4136911432,-1413.5230395837,-1153.5546403814,1353.1370468783,-1943.0923383802,1190.9979186138,629.1581877471,-1859.9499855444,318.8728333274,-1342.8152246967,1571.7861822671,-1403.645341059,-159.9758595524
