Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1319.4166666667,1318.7264314952,-1319.2440965884,-671.9903729452,10.6698602972,-1072.4254565543,653.5384619035,-287.650453589,-936.7332415862,42.6724636489,-21.339022813,1135.4687485558,-1319.3735234418,768.6117227913,1146.1883872604,-1287.6791358207,929.1884493392
1872,886.75,700.3366084814,-838.853100987,-600.353150707,145.7267566369,-779.7855151576,356.3442198988,-115.0094454936,-676.5902615127,543.9248085175,-287.490934578,652.6114134277,-874.6938178015,422.2086129515,812.0002213329,-879.2601378132,573.1938420169
1873,742.25,206.8711768595,-593.500292133,-605.0708222801,234.9568797293,-691.8456239009,225.6338235534,-29.9415307907,-602.2174883209,712.8389570477,-445.7493306086,429.9120404517,-704.0811935905,268.8581320867,707.1240627844,-741.6458502776,433.8999415308
1874,1136.8333333333,-385.0629293214,-653.6962805058,-1043.3304441658,524.0449914954,-1102.8709307512,230.5398026031,56.0963757802,-971.6331206469,1069.6338477442,-930.0920387954,451.499293526,-1008.8443262795,275.8001774505,1113.2122112129,-1135.4484684045,590.1856543832
1875,853.5833333333,-705.8178296009,-251.1276281372,-836.723869943,507.0730465263,-847.5010777264,84.8261662427,118.3329543057,-762.0477702355,480.0267683806,-815.8059949097,168.8125362997,-686.6450556371,101.7174036091,849.358009596,-845.3412440368,384.5617022319
1876,962.8333333333,-962.3780144775,14.805339775,-962.7827388046,686.0404880269,-962.8151192009,-4.9352861498,218.3726936858,-890.9519284637,-29.607178659,-962.7194968899,-9.8704426301,-675.5712224226,-5.9223319688,962.820684618,-937.7427122778,365.0379280905
1877,835.5,-660.675809516,270.2458243427,-815.4379218377,679.6508795839,-828.2590447628,-91.5474366234,261.6362440805,-795.5842381208,-511.4369215459,-790.5867722302,-181.9924328896,-485.9371686554,-109.759759332,830.4693352844,-793.4776151748,255.1587154181
1878,930.5,-260.7609124646,558.2079455506,-846.2117242479,832.2387708269,-899.8563998843,-198.0280795586,369.3877450542,-905.6015752676,-893.2155375556,-744.4690319443,-386.9831620955,-416.1837074329,-236.8305503673,909.1837711411,-854.0391933651,213.8130886377
1879,1287.5,434.1661619128,1052.7690115744,-1034.0410083706,1227.4152419622,-1194.2412436147,-403.9359180135,614.9268555881,-1272.3901473263,-1212.0874530536,-741.1704650542,-767.0824225648,-388.7262195929,-481.0863769113,1222.4941816379,-1131.159233829,196.6712052814
1880,1037.6666666667,857.1036526313,991.498865689,-686.7232194785,1026.0598018816,-906.3509559006,-426.7096888004,575.2895849851,-1034.7608819264,-584.9148995856,-306.075334597,-777.9224453249,-154.7688407721,-505.2524674351,945.8704734767,-863.5936570626,77.6017290144
