Year,annual_Mean_coastalap,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,665.5833333333,665.2351423199,-665.496279887,-338.9873750214,5.3824401057,-540.9879442619,329.679258209,-145.1060552527,-472.5376366164,21.5262405838,-10.7645282137,572.7903047252,-665.5615696159,387.7282782754,578.1978556842,-649.5732494031,468.7316456055
1872,957.75,756.4109239054,-906.018108227,-648.422024347,157.3947574502,-842.2211188522,384.8758687432,-124.2179829957,-730.7632624345,587.4755966818,-310.5096617898,704.8644840264,-944.7285074704,456.0138698103,877.0151812592,-949.6604420531,619.0881332864
1873,796.25,221.9214207805,-636.6784878557,-649.0907945308,252.0504081973,-742.1786164111,242.0490831989,-32.1198301005,-646.0298754807,764.6992516661,-478.1783826165,461.188901596,-755.3043454314,288.4180366103,758.5685887397,-795.6018973169,465.4669295304
1874,915.5,-310.0939262223,-526.4262818968,-840.2014557694,422.0171731834,-888.1498347187,185.6553490249,45.1748119279,-782.4630892411,861.3837744699,-749.0097594346,363.595604653,-812.4295388145,222.1038520357,896.4777417083,-914.3847583853,475.2807212325
1875,687,-568.0720674831,-202.1181456959,-673.4307901797,408.1138529301,-682.1047432175,68.2716893981,95.2393708187,-613.3283039951,386.345863373,-656.595198871,135.8674752763,-552.6410073877,81.8664722594,683.5992805926,-680.3664176354,309.5115369716
1876,484.6666666667,-484.4374703307,7.4526446366,-484.6411986228,345.3359423892,-484.6574981195,-2.4843019082,109.92345391,-448.4833318284,-14.9035270106,-484.6093641953,-4.9685385439,-340.0659710585,-2.9811565458,484.6602996139,-472.036663892,183.7511329214
1877,769.5,-608.4859789618,248.8978597627,-751.0227179582,625.962120694,-762.8310412268,-84.3156822043,240.96838997,-732.7373683231,-471.0361593412,-728.1346753215,-167.6160109019,-447.5507495875,-101.0893295104,764.8667307018,-730.7971572436,235.002551184
1878,1216,-340.7686937742,729.4797010098,-1105.8500340521,1087.5898391462,-1175.9541990965,-258.7879040766,482.7248769327,-1183.4621338264,-1167.2757589119,-972.8902126215,-505.7189952801,-543.8789771503,-309.4959153645,1188.1434343983,-1116.0791608082,279.4161373277
1879,871.75,293.9684284641,712.8166103612,-700.1361157647,831.0673686839,-808.6056731038,-273.4999118666,416.3592127059,-861.5193094615,-820.6891162714,-501.8371673095,-519.3818266958,-263.2016170331,-325.7375138427,827.7353808488,-765.8936404586,133.1635908381
1880,786.0833333333,649.2980047599,751.1089624192,-520.2264800305,777.2905646601,-686.6052495189,-323.2534929693,435.8100429782,-783.8820590436,-443.101690314,-231.8670600107,-589.3143612873,-117.2449787186,-382.7534954477,716.5432200695,-654.2145010497,58.7871112908
1881,683,682.7095964012,682.9273952413,-335.7341775242,682.9818485691,-550.2077423282,-344.3708442588,428.0644579899,-682.9954621272,19.9149938916,9.9585555673,-594.786988797,4.9794101166,-404.673251256,589.8285527376,-532.2121943415,-2.4897216001
1882,942.25,746.0065753704,891.8407251698,-282.5420015321,929.5622587517,-683.1383573505,-557.4988168402,653.954547318,-939.0727077306,575.5946942112,304.0644395989,-898.8910278061,154.1073314427,-648.9661371878,759.6249941397,-678.3645867394,-77.3143718567
1883,811.0833333333,228.5356202748,649.3141020681,-77.1077234548,769.579112209,-513.4302142216,-545.5801427131,612.9732475853,-800.6400455902,778.2208194829,486.052847401,-807.4097922336,256.1330975542,-627.8897902781,600.1653784485,-531.149669449,-129.7370070892
1884,784.75,-263.453634858,452.2650343246,89.362949764,696.6877163357,-416.7455369685,-585.6450022528,636.7296026807,-762.4166340966,739.2054821091,641.3180967565,-779.6453204564,361.190792251,-664.9479076716,522.3528441929,-458.7024913494,-185.885552297
1885,784.3333333333,-647.1475621736,231.9475944902,249.2960964193,631.3093567035,-329.9893541207,-636.6749626258,674.9073628011,-745.0958830532,443.1464888166,749.2523548097,-743.6600258773,465.4323516004,-711.5376335407,458.0652461638,-399.5983351,-244.9712285861
1886,1170.1666666667,-1169.7219831382,-16.1300006551,594.3714513768,821.7101796491,-355.4595091893,-1016.0717710372,1056.2752024106,-1079.5433964561,-32.2569363254,1170.0554905032,-1007.9745064068,833.1160834115,-1114.8715464594,580.4206955986,-503.5600505901,-451.5263923027
1887,864.8333333333,-685.5540963096,-278.4301170425,584.500552058,503.5578657027,-157.4211864068,-791.6540454061,810.8639956351,-769.2302392542,-527.2117937579,818.787740729,-637.4133659473,703.1117765571,-850.3853623591,348.1674408047,-300.7262459898,-395.2486982411
1888,609.1666666667,-172.5730545665,-364.6630467782,496.0207633716,272.8950852575,-34.974546735,-580.1910645634,587.8332244164,-518.3254851992,-584.2110651258,487.9599267279,-353.6204604969,544.6212447381,-608.1618278538,185.6403953309,-159.8002755004,-320.0354967357
1889,853.1666666667,285.1419473616,-696.8382042729,782.4543015736,258.2384878031,58.1022731638,-835.3015292108,840.0290508762,-688.5542211602,-804.1066042298,492.2498127749,-340.0862053365,813.1458937536,-851.1859297265,173.6799251765,-149.1460854171,-503.7722160199
