Year,annual_Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2486.6666666667,2485.3658002789,-2486.3414288004,-1266.4809403578,20.1091790102,-2021.1694324247,1231.7051539948,-542.1265417228,-1765.4342151791,80.4235656719,-40.2170429319,2139.9853127584,-2486.5853558707,1448.5804211515,2160.1883077023,-2426.8518545373,1751.214762097
1872,3144.0833333333,2483.1312753872,-2974.2588710776,-2128.6273868082,516.6924914155,-2764.8273377859,1263.4631211879,-407.7804124638,-2398.9356241532,1928.5536228319,-1019.3351631139,2313.915611053,-3101.3366273688,1496.9935868854,2879.0486186139,-3117.5270876378,2032.3306517674
1873,1994.0833333333,555.7674178814,-1594.46148989,-1625.5461666487,631.2207449245,-1858.6700274307,606.1739939158,-80.4390805311,-1617.8805746077,1915.0694288978,-1197.5228171251,1154.9753245726,-1891.5413586424,722.2977705964,1899.7161444221,-1992.460261737,1165.6889750636
1874,3401.0833333333,-1151.9992181788,-1955.6741164259,-3121.3491729761,1567.7941825173,-3299.4774444179,689.7097906202,167.8244674326,-2906.8510887672,3200.0415062297,-2782.5719380852,1350.7580022487,-3018.1764762092,825.1160124827,3330.4156264647,-3396.9402097194,1765.6683120027
1875,2313.0833333333,-1912.6608899962,-680.5183612422,-2267.3967058488,1374.0922144324,-2296.601329147,229.8662400077,320.6646307394,-2065.0356300329,1300.8008405683,-2210.7123890177,457.4567577928,-1860.7055363976,275.6389702214,2301.6333371432,-2290.7485024631,1042.104770951
1876,2182.3333333333,-2181.3013192951,33.5574033259,-2182.2186570724,1554.9617708542,-2182.292049648,-11.1861929799,494.9579454945,-2019.4087850621,-67.1068716222,-2182.0753145709,-22.3720920544,-1531.2324020082,-13.4234057121,2182.3046640798,-2125.46357531,827.3856033264
1877,2281.25,-1803.9098629065,737.8794575486,-2226.4724825759,1855.7194123888,-2261.4792888871,-249.9612086142,714.3718513568,-2172.2639655452,-1396.4278602952,-2158.6188798924,-496.9123130214,-1326.8033105866,-299.6881519762,2267.5142682436,-2166.5120402363,696.6856008948
1878,3986,-1117.0263267961,2391.2056646586,-3624.9327596476,3565.0765615432,-3854.7314453936,-848.296534251,1582.3530916562,-3879.3421590723,-3826.2838610386,-3189.0957134123,-1657.7269039361,-1782.8138181917,-1014.5153936209,3894.6872775587,-3658.4634333728,915.9150685759
1879,2994.6666666667,1009.8508216505,2448.6930226498,-2405.1325357157,2854.9122417575,-2777.7510246303,-939.5366439957,1430.2920053342,-2959.5218339366,-2819.260499219,-1723.9289211771,-1784.1989603423,-904.1595745818,-1118.985115902,2843.466078404,-2631.0251279533,457.4483128152
1880,2243,1852.6985154372,2143.2045831098,-1484.4074988341,2217.9108277741,-1959.1505243351,-922.3673292444,1243.5347309235,-2236.7189124583,-1264.3406229718,-661.6064653079,-1681.5419642117,-334.545303423,-1092.1438655222,2044.5751416719,-1866.7271822597,167.7423817982
1881,2033.8333333333,2032.9685712259,2033.617131315,-999.7472348286,2033.7792821105,-1638.4053390998,-1025.465449607,1274.6877942535,-2033.8198204827,59.302750234,29.654527474,-1771.1531538041,14.8276577973,-1205.0335981154,1756.3879524296,-1584.8183034528,-7.4138781567
1882,2761.9166666667,2186.6893010968,2614.1573498101,-828.1851558131,2724.7264474935,-2002.41041635,-1634.1366663601,1916.8670347362,-2752.6034095971,1687.1791766378,891.2715770432,-2634.8231480124,451.7183413818,-1902.2450415508,2226.6075157667,-1988.4175730346,-226.6233507071
1883,2900,817.1210917047,2321.5997895787,-275.695959748,2751.6031136211,-1835.7517163169,-1950.7026575994,2191.6643394604,-2862.6603910961,2782.5012347691,1737.8649018345,-2886.8653826908,915.7949034096,-2244.9979144845,2145.8702527494,-1899.1070067633,-463.8701167886
1884,2123.3333333333,-712.8383366445,1223.7138233609,241.7933481985,1885.0592558388,-1127.6071234955,-1584.6059952639,1722.8278938413,-2062.9049417842,2000.1014849887,1735.2431884205,-2109.521372542,977.290154673,-1799.1794294863,1413.3535595236,-1241.1319400639,-502.9588905732
1885,2551.6666666667,-2105.3610660601,754.5936403835,811.0334118528,2053.8347324972,-1073.5522761555,-2071.2906242674,2195.6718496568,-2424.0157181352,1441.6856659121,2437.5379413807,-2419.3444530774,1514.1881221851,-2314.8408774988,1490.2207647191,-1300.0107331876,-796.9633467176
1886,2711.6666666667,-2710.6361865344,-37.3785943112,1377.3570024071,1904.1767017363,-823.7183043027,-2354.5773700007,2447.7421369064,-2501.6623074121,-74.7500860296,2711.409034395,-2335.8133056885,1930.6079870538,-2583.5294204379,1345.0284457185,-1166.9166818261,-1046.3373312583
1887,2938,-2328.9550221135,-945.8789946474,1985.6573003812,1710.6799106972,-534.7891065676,-2689.3963215302,2754.6561023425,-2613.2184732269,-1791.0367123463,2781.5745410621,-2165.4119897707,2388.6017338889,-2888.9175501382,1182.789679419,-1021.6230996934,-1342.7334847936
