Year,annual_Mean_eastmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1100.3333333333,1099.7577086756,-1100.1894177573,-560.4093276302,8.898176932,-894.3539271359,545.0212752462,-239.8873611564,-781.1928075477,35.5868887779,-17.7957719461,946.9291578305,-1100.2973538511,640.9871273755,955.8688476843,-1073.8656798696,774.9007948635
1872,1167.4166666667,922.001273209,-1104.3598432221,-790.3718906358,191.8509664248,-1026.5966809363,469.1313012463,-151.4112697979,-890.7389318233,716.0833232329,-378.4851520067,859.1705000197,-1151.5445628777,555.8425391258,1069.0077155017,-1157.55617617,754.6163455329
1873,931.0833333333,259.5005792131,-744.4907111263,-759.0048610458,294.7314715634,-867.8557489441,283.036567931,-37.5588552289,-755.4256199629,894.1899255746,-559.1509229696,539.2845209348,-883.2041288859,337.2574278438,887.021124227,-930.325483906,544.2869705539
1874,1284.25,-434.9952209187,-738.4630830432,-1178.6223042838,591.9995135563,-1245.8835884626,260.43460621,63.3705649573,-1097.6277688235,1208.3365509153,-1050.699927421,510.0465923273,-1139.6642656717,311.5640327438,1257.5658544936,-1282.6855553864,666.7168391511
1875,1236.1666666667,-1022.1714033291,-363.6851738541,-1211.7506479289,734.3475126596,-1227.358292199,122.8459777453,171.37079412,-1103.604083147,695.1788618723,-1181.4572028206,244.4757554886,-994.4052284801,147.3080118264,1230.0475167772,-1224.2304026206,556.9255385052
1876,1057.4166666667,-1056.9166198464,16.2597331145,-1057.3611020159,753.4332484485,-1057.3966632803,-5.4201009135,239.8243993577,-978.4740367212,-32.5156214302,-1057.2916475711,-10.8400594195,-741.9355410525,-6.5041085643,1057.4027754128,-1029.8612840656,400.8972017951
1877,915.75,-724.1338989399,296.203008548,-893.7609538275,744.9315295978,-907.8135490623,-100.3405925648,286.766475783,-872.0003184429,-560.5605755903,-866.5228446077,-199.4728550792,-532.6115645675,-120.3022137741,910.2361385837,-869.6913537957,279.6667787482
1878,897.1666666667,-251.4196653765,538.2112432203,-815.8978527004,802.4254528679,-867.6208132863,-190.9341128898,356.155155226,-873.1601790553,-861.2178467959,-717.799892344,-373.1202510407,-401.2747442435,-228.3465614593,876.6140498035,-823.4449181237,206.1536550487
1879,1030.5833333333,347.5296391182,842.6921919832,-827.7013042407,982.4883040353,-955.9340750668,-323.3317474481,492.2200921073,-1018.4886053064,-970.2191282792,-593.272177432,-614.013483486,-311.1570975861,-385.0870694668,978.5492261693,-905.4398863924,157.4260709201
1880,970.1666666667,801.3492389925,927.0020715026,-642.0520174405,959.3148260123,-847.393015467,-398.9523126417,537.8671176033,-967.449902617,-546.8663074988,-286.1651979906,-727.3187526881,-144.7011599959,-472.385899926,884.3417966765,-807.4170699906,72.5537527454
1881,1015.25,1014.8183275935,1015.1420761621,-499.054353926,1015.223018682,-817.8600445076,-511.8923859937,636.2993279272,-1015.2432546481,29.6027782554,14.8029627229,-884.1251689255,7.4016780687,-601.5293094255,876.754667887,-791.1104396855,-3.700863623
1882,1198.3333333333,948.7551564364,1134.2238991723,-359.3308554021,1182.1973362386,-868.8007056426,-709.0150337102,831.6853622033,-1194.2925211962,732.0289822904,386.7026303558,-1143.1903227957,195.9903976427,-825.3412092297,966.074769234,-862.729526604,-98.3267592906
1883,928.8333333333,261.7135542569,743.5790590415,-88.3019300963,881.3036869086,-587.9680640824,-624.7853971725,701.9623772306,-916.8739287114,891.1999644464,556.6161550531,-924.626481479,293.317528546,-719.0444469783,687.2951102627,-608.2599625685,-148.5717333829
1884,1433.9166666667,-481.3896883298,826.3910423301,163.2864263129,1273.0068530306,-761.4888451329,-1070.1065683088,1163.4497476188,-1393.1085295637,1350.696477716,1171.8339695115,-1424.5892565671,659.9776958971,-1215.0110064039,954.4574057584,-838.1537399011,-339.6551660162
1885,1172.0833333333,-967.0771846549,346.6152694969,372.5403310813,943.4090631147,-493.1258250858,-951.4272576851,1008.5605671268,-1113.4481082812,662.2243269449,1119.6594103697,-1111.302407986,695.5276269932,-1063.2997041809,684.5184538136,-597.14732078,-366.0773831346
1886,914.4166666667,-914.069172552,-12.6046501345,464.4664532088,642.1183450569,-277.7707729906,-794.0005372163,825.4171625161,-843.5998924165,-25.206905163,914.329789011,-787.6729994874,651.0313903486,-871.2067710653,453.5647552203,-393.5026659397,-352.8414116748
1887,1325.0833333333,-1050.3946507439,-426.6060214967,895.5620811596,771.5430355115,-241.1981388567,-1212.9592383892,1242.3924064939,-1178.6018533804,-807.7851929606,1254.5330377078,-976.6342196887,1077.2962381032,-1302.9463911036,533.45639586,-460.7677816038,-605.5935200165
1888,1121.4166666667,-317.6902319153,-671.3092504095,913.1260482478,502.3733464173,-64.3847435586,-1068.0753975143,1082.143871542,-954.1868747366,-1075.4758280982,898.2868309134,-650.9809216015,1002.5948140138,-1119.5668560094,341.7459370682,-294.1767862392,-589.1542653314
1889,1138.0833333333,380.3656549245,-929.5486770613,1043.7564364709,344.4777327531,77.5056402225,-1114.2520984988,1120.5583852135,-918.4982416864,-1072.6395676857,656.6375945562,-453.6586546474,1084.6975455159,-1135.4411254419,231.6806737776,-198.9537105431,-672.0079267614
1890,1118.75,922.0643780791,-1068.4477257863,1096.2993522342,167.7433594461,215.4093173463,-1113.1231878844,1114.6150952022,-848.3113950314,-633.5604510839,331.6941660054,-223.0006564807,1106.1029463218,-1097.8161906715,112.0639598354,-96.0976172823,-729.3622827922
1891,1213.6666666667,1213.2571976069,-1213.5642950843,1213.6211678303,-7.8817820701,381.0353952505,-1213.6552919043,1213.6583096949,-855.4007603473,31.523804227,-15.7632317265,10.5089853057,1213.6410735013,-1152.3015253588,-5.2545418996,4.5038967898,-860.9740512786
1892,1102.8333333333,875.2865230219,-1044.3985146765,1076.7332591502,-179.504687741,474.6781597452,-1096.288896781,1098.0239125889,-713.5396302872,670.9060021548,-354.2218283118,238.5096428886,1088.1265680931,-995.4506546142,-119.9667283284,102.882692879,-840.8939036054
1893,1293.3333333333,368.3681153904,-1036.6132050294,1177.0333819898,-407.4461309628,698.5279487195,-1263.9239728885,1271.7046228367,-756.8842211327,1239.7645109757,-773.3978111359,536.0070230816,1227.476582862,-1088.4713206919,-274.2394972808,235.5386663943,-1048.7313225567
1894,1355.8333333333,-451.1054128871,-783.1539670264,1090.2073051018,-623.0801610351,869.4577481976,-1287.7156969375,1305.6753115819,-704.8018076408,1278.5882582918,-1106.7763512601,806.0595881697,1204.1823535919,-1040.349581572,-424.3492802381,365.3710559187,-1158.2480044118
