Year,annual_Mean_eastrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,674.75,674.3970135676,-674.6617476205,-343.6560380053,5.4565691168,-548.4386358694,334.21972627,-147.104511003,-479.0456045679,21.8227081517,-10.9127813881,580.6789905296,-674.7279365444,393.0682195062,586.161016336,-658.5194191082,475.187196002
1872,613.4166666667,484.4636570841,-580.2835895466,-415.2992709665,100.8076924729,-539.4230971784,246.5040694178,-79.5587377388,-468.0369246307,376.2644972744,-198.8742382698,451.4493576019,-605.0767026442,292.0663095514,561.7078873444,-608.2354923826,396.5115939373
1873,688.4166666667,191.8673843085,-550.4553624465,-561.1867141412,217.9161090652,-641.6679801331,209.2692282895,-27.7699546269,-558.5403245783,661.1387250669,-413.4203682674,398.7317128294,-653.0161378973,249.3585976387,655.8383162302,-687.8563342476,402.4303825066
1874,538.1666666667,-182.2853245534,-309.4539348707,-493.9032406116,248.0781817239,-522.0891710007,109.1354673223,26.5555193365,-459.9623730493,506.3550350926,-440.2971988375,213.7357013335,-477.5778228349,130.5613213587,526.9846400831,-537.5110840754,279.3885761624
1875,691.4166666667,-571.7241562236,-203.4175466811,-677.7602215091,410.7375834257,-686.4899386797,68.7106024911,95.8516569242,-617.2713413692,388.8296492487,-660.8163955644,136.7409561338,-556.1938911082,82.3927850966,687.9940843131,-684.740437545,311.5013612631
1876,576.6666666667,-576.3939640111,8.8673144576,-576.6363642486,410.8880194865,-576.655757735,-2.9558750352,130.7892539645,-533.6149684065,-17.7325321378,-576.5984869723,-5.9116724078,-404.6176959637,-3.5470432079,576.6590910124,-561.6392218247,218.6309903398
1877,305.9166666667,-241.9051363189,98.9499721885,-298.5709765676,248.8528205618,-303.2654052787,-33.5199122127,95.7975914642,-291.301589681,-187.2616137039,-289.4717774643,-66.6361680768,-177.9249297959,-40.1883180239,304.0746987661,-290.5302538706,93.4258572013
1878,622.25,-174.3777300173,373.2884407511,-565.8841971126,556.5401130006,-601.7578128189,-132.4266227892,247.0193706179,-605.599763794,-597.3168922557,-497.8461634899,-258.785892116,-278.3130703386,-158.3748629404,607.995273071,-571.1186330698,142.9824765232
1879,725.8333333333,244.762930114,593.5027890494,-582.9448014827,691.9603079282,-673.2583321607,-227.7205078251,346.6675024059,-717.3150927645,-683.3192049253,-417.8378479367,-432.4458188051,-219.1459788125,-271.214391126,689.1860402632,-637.6955939579,110.8741875729
1880,584.4166666667,482.7230899377,558.4148365786,-386.7643702379,577.8796491002,-510.459304026,-240.3240481495,324.004646603,-582.7801208601,-329.4256497586,-172.382454347,-438.1280203231,-87.1662287452,-284.5595530133,532.7168029628,-486.3782779458,43.7055031784
1881,622.75,622.4852139954,622.6837999802,-306.1178024205,622.7334497751,-501.6718470496,-313.9925962843,390.3032814249,-622.74586243,18.158217344,9.0800739086,-542.3185904441,4.5401576137,-368.9755010537,537.7975566872,-485.2637540647,-2.2700938894
1882,675.3333333333,534.6809309986,639.2037885182,-202.5046767857,666.2397227314,-489.6217606764,-399.5728673983,468.7050191444,-673.0560912221,412.5426197831,217.9303279835,-644.2569107049,110.452446627,-465.129705118,544.4415806587,-486.2002839777,-55.4130776976
1883,507.6666666667,143.0431520306,406.4133884516,-48.2626375513,481.6886829937,-321.3620533277,-341.4850744281,383.6672171263,-501.130089154,487.0976299487,304.2262351143,-505.3673537745,160.3167399877,-393.0036579035,375.6506201078,-332.4528702645,-81.2039296401
1884,646.9166666667,-217.1806910272,372.8292939855,73.6672591077,574.3216249246,-343.548434054,-482.7824309747,524.8945423819,-628.505928692,609.3715788057,528.6771142743,-642.708572019,297.7513136078,-548.1565899177,430.6068949208,-378.1360773437,-153.2366510016
1885,637.3333333333,-525.8589625482,188.4759033851,202.5729436267,512.9891585283,-268.1426455923,-517.3491409012,548.4160126118,-605.4497783245,360.0918345165,608.8272428373,-604.2830299521,378.2008738887,-578.1810264895,372.2145136699,-324.705489465,-199.0586438829
1886,563.3333333333,-563.1192569444,-7.7651904592,286.138086548,395.5818839501,-171.1227946247,-489.1500621144,508.5045127685,-519.7061216381,-15.5289053952,563.2798116936,-485.2519344331,401.0728332048,-536.7135489293,279.4220126938,-242.4203063658,-217.3706318164
1887,763.8333333333,-605.4913130443,-245.9135144355,516.2393582736,444.7496046474,-139.036673213,-699.2003257075,716.166832144,-679.395295144,-465.6410967031,723.1651986435,-562.9727223235,620.9985106882,-751.0726759861,307.5065294291,-265.6057786416,-349.0893783077
1888,510.4166666667,-144.5978056388,-305.5487225057,415.6124727293,228.6569626816,-29.3049382698,-486.138203892,492.5415184064,-434.3014496368,-489.5065354166,408.8583517385,-296.2962134807,456.3344902902,-509.574718961,155.5468428731,-133.8955796771,-268.1555974701
1889,700.5,234.1183052863,-572.1451401756,642.4409903328,212.0289830507,47.7053827129,-685.8316716688,689.713244937,-565.3435029374,-660.2188039808,404.1660408464,-279.2307718362,667.640592195,-698.8736985037,142.6014310445,-122.4577059988,-413.6266114342
1890,498.9166666667,411.2029371739,-476.4839131682,488.904597529,74.8066661455,96.0637305737,-496.4073389843,497.0726685271,-378.3121282721,-282.5420052618,147.9220090782,-99.4491568231,493.276598855,-489.5810453296,49.9759350119,-42.8556003478,-325.2656973614
1891,482.5833333333,482.4205184936,-482.5426279066,482.5652418913,-3.1339879132,151.5089243268,-482.5788104516,482.5800103984,-340.1281106269,12.5346299285,-6.2678436507,4.1786277057,482.5731568693,-458.1830632623,-2.0893334345,1.7908587139,-342.3441864154
1892,816.0833333333,647.7014447599,-772.8422740084,796.7695939895,-132.8312987039,351.2560993188,-811.2405294073,812.5244201287,-528.0106996677,496.4623302933,-262.1198703837,176.4942521391,805.2005048614,-736.6214493454,-88.7739285567,76.1319488714,-622.251322201
1893,801.9166666667,228.4024725774,-642.740262371,729.8062007016,-252.6323529804,433.1143331526,-783.6817262311,788.5060299973,-469.2974780902,768.7019258454,-479.5365423042,332.3450762316,761.0829353661,-674.8942989059,-170.0390903565,146.0430790408,-650.2539637219
1894,673.75,-224.1663960167,-389.1702411437,541.7532920558,-309.6252674843,432.0569080625,-639.9005168863,648.8251317849,-350.2349486648,635.3648474671,-549.986896124,400.5526595177,598.3905549349,-516.9776500928,-210.8705550538,181.5626912786,-575.5645430651
1895,445.5,-366.7750894186,-132.4234640538,295.3614807095,-264.0791517368,326.2582566342,-406.2350241277,416.537622094,-201.0261026599,252.8760245297,-425.3636986956,333.5143860662,358.7930484527,-303.357544785,-182.8752448309,158.0084155362,-397.5660398593
1896,495.75,-495.6026224208,6.0441060083,244.377197735,-352.6786271194,402.4864896196,-428.3211752162,445.9033208585,-188.3183914353,-12.0873135811,-495.713154236,431.3326416203,348.4047193613,-289.4351191091,-249.6177745302,216.6524658235,-458.5894088912
1897,522.0833333333,-414.8675677993,167.2954934478,157.344344457,-424.2129157718,458.7103910727,-421.1400401171,447.2585555848,-159.8382210787,-316.9478003279,-494.55356112,497.8089635712,304.3261556895,-249.3106176365,-308.5645370981,269.3154124825,-497.0138328324
1898,442.5,-126.7085621311,264.32717535,42.7689043837,-395.4560816907,412.1951132746,-327.6671254412,357.1055995945,-102.0218943459,-423.9707422484,-354.8765903402,440.4282811285,198.5465624326,-160.9392388218,-297.3894835146,261.3079423559,-430.5784284821
1899,285.6666666667,94.6162750785,233.0602501056,-32.0780758854,-272.1975286668,277.0217705005,-190.3179017239,214.4971472747,-43.8616219223,-269.5425846406,-165.1919013305,283.8598976466,86.6830423563,-69.745129674,-213.0364774583,188.6701307984,-282.2792988634
1900,697.9166666667,573.9552000133,666.2058892041,-220.7748484864,-689.9434277962,692.8102869898,-408.0473178883,480.6360954383,-52.7477786029,-397.0681326786,-207.9841022793,662.0771404353,105.1938213587,-84.2708719086,-566.2023136436,506.0401341524,-695.9205022584
1901,336.8333333333,336.7458516233,336.8114621957,-170.6279390761,-336.8278655045,336.8298339195,-167.3073772516,209.1535927633,0.9596215375,7.6763180565,3.8384082624,290.4183204467,-1.9192352862,1.5353912199,-292.3438659552,264.0292958719,-336.8319663733
1902,465.3333333333,370.2212762611,440.9146241987,-313.950490254,-459.1880785173,461.3972446414,-187.6745627137,255.1026187159,37.8126427779,281.9065762175,148.7595552521,343.4679035665,-75.3751925944,60.3961401784,-425.80907649,389.1757508316,-463.7944751258
1903,547.0833333333,157.4903191014,439.0105365209,-444.9623541223,-519.3628410367,529.2876605551,-167.1357019162,257.7196131768,87.0787555242,523.924587131,326.4504900206,318.290240229,-171.9372355291,138.4006719464,-520.9278556154,482.5772213802,-540.1087519634
1904,552.4166666667,-182.1367395866,319.80369217,-506.279787059,-490.8304509846,512.7310244201,-112.8866272933,215.5279683154,130.4247905495,521.5269712142,450.4328718972,221.0089383411,-253.475130925,205.5992952524,-540.7594502082,508.637266119,-536.7993550865
1905,229.5833333333,-188.5972933012,68.5919517535,-224.902972942,-185.00821045,200.7075684698,-23.1790070952,70.2736348576,71.5321791059,130.9181725503,219.0973552991,46.1211416412,-135.9428887824,111.4673894167,-228.4102462117,218.5637737328,-218.1551152203
1906,524.1666666667,-524.048891653,-5.5557959086,-524.1535801184,-368.672301253,422.7496632957,1.8519627941,115.0899231649,201.8724389365,-11.1109676338,524.1372220863,-3.7039024697,-372.6008973866,309.8925888559,-524.1633950194,511.3755997605,-483.7336176475
1907,447.6666666667,-356.5970792735,-142.7739798125,-437.2256579006,-261.2377201086,325.0523552983,48.343001515,58.7682239679,204.2768037197,-270.6362272462,424.2888581297,-96.12059362,-363.5385784713,307.8090491839,-445.0487598556,443.7924518242,-398.3421041097
1908,727.0833333333,-210.4160995221,-433.3936631883,-662.1811553744,-326.7543911982,461.1525767279,153.6054880058,30.4867361565,381.4921373223,-695.9707168215,583.7980012978,-300.2770238932,-649.5242423834,562.1285214151,-710.6725882328,726.4438949634,-618.9619719921
1909,671.3333333333,220.3349385016,-547.0862058024,-540.4450514787,-204.2195366296,357.4205525527,209.6063769923,-32.0586100719,395.972891867,-634.1458501953,389.082417831,-398.255685178,-639.5176505017,568.2772149729,-637.7723819424,670.5674387895,-542.1198330175
1910,565.0833333333,463.6888335836,-539.1391310793,-375.3171609318,-85.6172771418,238.5613495356,231.5531270082,-77.4465729268,368.0613245458,-322.9734342341,169.2577057333,-422.4407678257,-558.5596257034,512.2574119706,-515.4632120567,559.7510178222,-428.7773722862
1911,348.0833333333,348.0164324457,-348.0666077096,-172.0678610819,1.7061522301,106.2647188645,175.0257870994,-78.4060274151,246.7345639547,6.8241990154,-3.4122634691,-302.580002854,-348.0791519022,331.4661618764,-300.8786811901,339.1378802337,-245.5281285199
1912,561.1666666667,447.5473267801,-532.0040739142,-169.9751692635,90.4573793736,103.0249801322,331.3032060109,-174.8799367062,427.5919163386,338.5401277098,-178.548853585,-534.805076277,-553.8280331427,551.6283905371,-452.9306938868,533.2213757113,-363.4187403804
1913,422.9166666667,123.03560833,-339.7736866656,-41.5464727123,132.5944040275,24.9536521771,283.978706238,-167.2700586093,342.7352406118,404.6242034621,-251.8180867097,-420.8709987035,-401.5933651906,422.1798457855,-313.3920888406,388.4317629099,-247.7721973654
1914,573.8333333333,-187.4714225004,-332.9469501034,63.5286629623,262.8960215023,-38.16729661,427.6327623524,-273.2670242638,489.9710168893,542.345978311,-467.3660480408,-570.3058858425,-510.0689917283,572.5626183344,-382.6420193958,504.5887710744,-298.6856157448
1915,353.5833333333,-289.8166482635,-106.1763558016,111.3161103479,209.1398859682,-67.5278914512,286.688589729,-195.5601325142,315.4120730288,202.5524228451,-337.2651109732,-335.6037800564,-285.0994242511,347.0751467438,-206.9560971083,294.5800539448,-159.8011195166
1916,722,-721.8828613784,6.5028487917,364.747941844,512.8250465937,-225.5826807714,626.3513446985,-451.6107735521,667.6614724696,-13.0051700556,-721.9707147507,-623.0914370464,-508.226791488,685.8545429871,-359.1211397207,563.3220297589,-274.7947564632
