Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1284.3333333333,1283.6614515381,-1284.1653518991,-654.1221264341,10.3861483547,-1043.9096277657,636.1608523246,-280.0018183992,-911.8254733358,41.5378014121,-20.7716174821,1105.2765965225,-1284.2913372882,748.1743113534,1115.7111996752,-1253.4397044949,904.4812973672
1872,913,721.0683096065,-863.6852339454,-618.125093426,150.040630177,-802.8691010306,366.892892887,-118.4140104152,-696.6190118535,560.0263323106,-296.0013794979,671.9303303744,-900.5869248974,434.7070353817,836.0374424324,-905.2884193103,590.1618018173
1873,664.3333333333,185.1551613252,-531.1984202183,-541.5543499738,210.2926063997,-619.2200868685,201.9482251451,-26.7984600273,-539.0005407987,638.0096739175,-398.9574114305,384.7826188931,-630.1712445608,240.6351217015,632.8946927716,-663.792603392,388.3518955747
1874,1014.6666666667,-343.6832009543,-583.4486080808,-931.2118082513,467.7299381651,-984.3539402454,205.7654769459,50.0681330816,-867.2192403604,954.6885889264,-830.142256588,402.9801640502,-900.4316461501,246.1620701245,993.5839234517,-1013.4306224376,526.7629766728
1875,851.1666666667,-703.8195168938,-250.4166351453,-834.3549358195,505.6374204062,-845.1016311528,84.5860062485,117.9979298329,-759.8902592196,478.6677157317,-813.4962835115,168.3345939437,-684.7010249222,101.4294211133,846.9533056736,-842.9479123882,383.4729304498
1876,687.4166666667,-687.0915909144,10.5703001388,-687.3805446079,489.7998949052,-687.4036626526,-3.5235568158,155.9075947909,-636.0968026569,-21.13810081,-687.3353929241,-7.0470210538,-482.3253430642,-4.2282600321,687.4076360927,-669.5031706405,260.6195143516
1877,474.1666666667,-374.9496664818,153.3711091672,-462.7809470633,385.718482429,-470.0572476262,-51.9554073795,148.4849619807,-451.5134964001,-290.2529506879,-448.6773123868,-103.2851529166,-275.7812177987,-62.2913455614,471.3116415089,-450.3179363998,144.8088061769
1878,729,-204.2930738169,437.3278799639,-662.9643707434,652.0172637644,-704.9922788991,-155.1450510459,289.3967395427,-709.493335164,-699.7894969135,-583.2540830601,-303.181864769,-326.0590249528,-185.5448374184,712.2998056549,-669.0967995306,167.511812592
1879,1048.6666666667,353.6276363438,857.4786564177,-842.2247281124,999.7277284694,-972.707560495,-329.005151604,500.8569288492,-1036.3597161136,-987.2432692056,-603.6821444817,-624.7873919454,-316.6168768516,-391.8440755374,995.7195327982,-921.327365599,160.1883784635
1880,552.25,456.1537026974,527.6793272503,-365.4766122297,546.0727840563,-482.363297844,-227.0964590171,306.1712238754,-550.7035307201,-311.2938515543,-162.8944139395,-414.0131742024,-82.3685438321,-268.897213435,503.3957298209,-459.6077068225,41.2999243638
1881,733.5833333333,733.2714222937,733.5053514286,-360.5988243955,733.5638375981,-590.9564123615,-369.8751271364,459.7671331973,-733.5784593833,21.3899086417,10.6960913445,-638.8372208857,5.3481878059,-434.6435615918,633.5115604867,-571.6281047814,-2.6741116698
