Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1575.9166666667,1575.0922469529,-1575.7105482589,-802.6280517127,12.7441248077,-1280.9093544431,780.589013646,-343.5708790389,-1118.8380175353,50.9681652286,-25.4874161825,1356.2085204281,-1575.8651362223,918.0329874128,1369.0121007694,-1538.0092299315,1109.8264867968
1872,1098.1666666667,867.3090711933,-1038.8503115127,-743.4878131771,180.4705571808,-965.6999829665,441.3028972678,-142.4297032905,-837.9011809243,673.6059699881,-356.0337877896,808.2053572174,-1083.2360803485,522.870510429,1005.595236982,-1088.8910906966,709.8532515834
1873,956.5,266.5844131574,-764.813781644,-779.7241381083,302.7770366603,-891.5464321472,290.7628861284,-38.5841349967,-776.0471910798,918.5994778256,-574.41459714,554.0058830475,-907.3137914036,346.4638643865,911.2349828943,-955.7214628366,559.1448892883
1874,1215.5,-411.7085388567,-698.9307980837,-1115.5268918489,560.3078907749,-1179.1874648832,246.4927108026,59.9781364264,-1038.8682522912,1143.6504400526,-994.4526079659,482.7421708965,-1078.6544013424,294.8850160016,1190.2443419404,-1214.0193050981,631.0253595392
1875,1229.0833333333,-1016.3142798773,-361.6012288778,-1204.8072203251,730.1396429969,-1220.325431552,122.1420605207,170.3888258377,-1097.2803439621,691.1954316944,-1174.687359067,243.0748899624,-988.7072074189,146.4639252007,1222.9992466594,-1217.2154650297,553.7343108677
1876,1333.8333333333,-1333.2025705147,20.5101495965,-1333.763243665,950.3863641474,-1333.8081009113,-6.8369560423,302.5163004271,-1234.2545064038,-41.015449335,-1333.6756333062,-13.6737324508,-935.8830695946,-8.204331443,1333.8158108011,-1299.07476655,505.6947444189
1877,1236.5833333333,-977.834464134,399.9778363676,-1206.8904171303,1005.9185519794,-1225.866344029,-135.4949543242,387.2352110423,-1177.505935515,-756.9531696409,-1170.1094268026,-269.3582397415,-719.2122128144,-162.4501365178,1229.137688638,-1174.3880242947,377.648132664
1878,1240.9166666667,-347.7512759726,744.4272360017,-1128.5096530338,1109.8752943206,-1200.0503000786,-264.0906441615,492.6162378293,-1207.7120774951,-1191.1940327548,-992.8253944728,-516.0815212936,-555.0234271344,-315.8376970733,1212.4893010982,-1138.9483815512,285.1415639355
1879,951.3333333333,320.8052365305,777.8906819504,-764.0525664439,906.9367250641,-882.424468421,-298.4681190966,454.3692545886,-940.1686680827,-895.6110267999,-547.6506167675,-566.7969537864,-287.2296778558,-355.4745682084,903.300555183,-835.8131918053,145.3202899348
1880,1512.9166666667,1249.6560242147,1445.6040721637,-1001.2415716055,1495.993872724,-1321.4585291018,-622.1421779772,838.7714756991,-1508.6800362491,-852.8051720186,-446.2574445558,-1134.2099257046,-225.652770978,-736.6574483042,1379.0779349477,-1259.1184423364,113.1432211899
1881,1503,1502.3609420074,1502.8402270097,-738.8118137904,1502.9600562217,-1210.7792631322,-757.8175386836,941.9925041857,-1502.9900140222,43.8246498082,21.9146544915,-1308.8797132677,10.9576184558,-890.5181502749,1297.9682500214,-1171.1785184411,-5.4788456295
1882,1284.9166666667,1017.3056854724,1216.175125267,-385.2936341756,1267.6147932868,-931.5742754036,-760.2435886494,891.7772322541,-1280.5838932076,784.9203670331,414.6431055254,-1225.7894010562,210.1513171942,-884.974694375,1035.8766944938,-925.0644346807,-105.4311753478
1883,1186,334.1743499178,949.4542587725,-112.7501407797,1125.310790605,-750.7591501903,-797.7701213493,896.3151402069,-1170.729387531,1137.9470567021,710.7268184744,-1180.6283944384,374.5285363599,-918.126733303,877.5869378485,-776.6692793177,-189.7068822453
1884,1169.6666666667,-392.676565665,674.0991846426,133.1951112761,1038.4101928946,-621.1575190496,-872.9014815355,949.0428696215,-1136.3788760944,1101.7827489523,955.8820012822,-1162.0581626766,538.3533991754,-991.1021378442,778.5647787078,-683.6941880195,-277.0616557334
1885,1466.9166666667,-1210.3419610012,433.8050898652,466.2515071471,1180.7202088879,-617.1698470662,-1190.755351371,1262.2603386515,-1393.5319623232,828.8044669187,1401.30569504,-1390.8465188609,870.4850919276,-1330.7689081192,856.7066009586,-747.3575746669,-458.1628279644
1886,1263.25,-1262.7699431984,-17.4130949958,641.6519606481,887.0748193491,-383.7352727389,-1096.8973064487,1140.2988031151,-1165.4179138924,-34.8228811962,1263.1299800981,-1088.1559281171,899.3880293715,-1203.5563148254,626.5914630807,-543.6167787278,-487.4439952226
1887,1228.8333333333,-974.0971963945,-395.6186650519,830.5111910433,715.5005095059,-223.6782438577,-1124.8535896665,1152.148822474,-1092.991820008,-749.1101474999,1163.4075953739,-905.6944974234,999.0447347381,-1208.3043508718,494.707755069,-427.2990194032,-561.6050591889
1888,1280.8333333333,-362.8519628846,-766.7402228427,1042.9328499345,573.788982272,-73.5374532582,-1219.9092561339,1235.9776551683,-1089.8307397415,-1228.3617060168,1025.9841414237,-743.5220899914,1145.1201821647,-1278.7205600701,390.3273428504,-335.995928104,-672.9063727534
1889,1122.1666666667,375.0460503195,-916.5484722347,1029.1589788034,339.6600387533,76.4216849408,-1098.6687236132,1104.8868137428,-905.652582745,-1057.6381649305,647.4541882034,-447.3140106526,1069.5275058884,-1119.5614113789,228.440503265,-196.1712430383,-662.6095585977
1890,1262.1666666667,1040.2671933249,-1205.4159593862,1236.837988003,189.2469960649,243.0234279722,-1255.8185328639,1257.5016932539,-957.0595448154,-714.7788895432,374.2152579753,-251.5879287194,1247.8983407814,-1238.5492755241,126.4298499566,-108.4167233786,-822.8619095099
1891,1254.0833333333,1253.6602284252,-1253.977552645,1254.0363193269,-8.1442555873,393.7243657734,-1254.0715797766,1254.0746980636,-883.8867098644,32.5735876004,-16.288167691,10.8589480819,1254.0568878824,-1190.6746536064,-5.4295249277,4.6538823668,-889.6455985781
1892,957,759.5428767103,-906.2923184635,934.3512730906,-155.7678580941,411.9090211965,-951.3209680091,952.8265537382,-619.1846089027,582.1886450616,-307.3812510452,206.9702840361,944.237986095,-863.8170861108,-104.1029097871,89.2779843601,-729.6981705459
1893,1697.6666666667,483.5306215678,-1360.688415777,1545.0079934212,-534.8255528334,916.9079491826,-1659.0630912168,1669.276196935,-993.5080768631,1627.3506841236,-1015.1842917823,703.5782908646,1611.2211949784,-1428.758875331,-359.9746803225,309.1748525635,-1376.5950066447
1894,1251.75,-416.4753784251,-723.033542637,1006.5152999345,-575.2481314634,802.7120366119,-1188.8615540073,1205.4424619098,-650.6962478533,1180.4348019546,-1021.8123891996,744.1807666809,1111.7408195024,-960.4850070555,-391.7732353077,337.3225956333,-1069.332715075
1895,961.3333333333,-791.4548132311,-285.7532886876,637.3531689983,-569.8498119034,704.0245507917,-876.6044216867,898.8361407551,-433.789210678,545.6748632575,-917.8817112144,719.6823714289,774.2305662084,-654.6076761392,-394.6219274914,340.9624170642,-857.897836853
1896,1033.5833333333,-1033.2760675551,12.601285396,509.4991399408,-735.295513895,839.1393395111,-893.0017710886,929.6585793591,-392.622795255,-25.2006976544,-1033.506514034,899.280341909,726.3848939717,-603.4398692739,-520.4251567488,451.6961730726,-956.1076548122
1897,1274,-1012.3695732668,408.2383884804,383.9553612224,-1035.1743106656,1119.3558593329,-1027.6758073919,1091.4108216729,-390.0409774703,-773.4234591242,-1206.8212038952,1214.7651133403,742.6238257274,-608.373618903,-752.9664234887,657.1897886724,-1212.8248166549
1898,1422,-407.1854810179,849.4310584128,137.4404113754,-1270.8215777722,1324.6134487604,-1052.9777454856,1147.5800285274,-327.8534096268,-1362.455131022,-1140.4169750594,1415.3424085079,638.0411565632,-517.1877911969,-955.6787470233,839.7285740792,-1383.6893227152
1899,1405.0833333333,465.3806925606,1146.3328112688,-157.7795908702,-1338.8338771442,1362.5624481937,-936.09980775,1055.0281214114,-215.738275155,-1325.7752390971,-812.5147748931,1396.1965385704,426.3602033751,-343.0491923669,-1047.8436541495,927.9950628328,-1388.4221873206
