Year,Annual_mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,602.9166666667,602.6012588813,-602.8378095634,-307.0706971679,4.8756672299,-490.0523070909,298.6389674649,-131.4438850323,-428.0468011669,19.4994804838,-9.7510156036,518.8603799533,-602.8969520686,351.2224982249,523.7587937744,-588.4139801467,424.5991556224
1872,763.0833333333,602.6672609589,-721.8661634938,-516.6275538976,125.40361907,-671.0361772669,306.6482493763,-98.970161863,-582.2325932405,468.0687408697,-247.3972829556,561.5978491455,-752.7085132607,363.3271561692,698.7582019308,-756.6380116488,493.2558980687
1873,712.3333333333,198.5331559217,-569.5790386385,-580.6832141967,225.4868539268,-663.9605246553,216.5395670522,-28.7347260805,-577.9448849407,684.1077135784,-427.7832354376,412.5842732436,-675.7029350861,258.0217035003,678.6231602875,-711.7535340937,416.4114404632
1874,757.5833333333,-256.6051231829,-435.6218212929,-695.2732053886,349.2224760068,-734.9508599515,153.6312377558,37.3825063933,-647.4942603578,712.8017380034,-619.8113711105,300.8781760332,-672.2917292337,183.7926560037,741.8422674194,-756.6604622683,393.2984741238
1875,883.5833333333,-730.6244701023,-259.9537480366,-866.1313280295,524.8946121565,-877.2873110547,87.807462723,122.4918787956,-788.8306656065,496.8977667812,-844.4782743364,174.7456138227,-710.7778507196,105.2923587296,879.2095065652,-875.051567951,398.0774898726
1876,677.4166666667,-677.0963198622,10.41653168,-677.3810700833,482.6746691337,-677.4038518249,-3.4722988672,153.6395730459,-626.8433638984,-20.8306002527,-677.3365752309,-6.9445065034,-475.3088512267,-4.1667506123,677.4077674624,-659.7637621695,256.8282255018
1877,379.8333333333,-300.3551106896,122.8586143381,-370.7127516194,308.981518965,-376.5414647944,-41.6191119219,118.9445442369,-361.68690977,-232.5084269306,-359.4149718557,-82.7370346211,-220.915780444,-49.8987615236,377.5463026357,-360.7292010738,115.9997431554
1878,1345.25,-376.9893793584,807.0169142955,-1223.3920709774,1203.1909795324,-1300.9476861304,-286.2947598347,534.0342439916,-1309.2536476397,-1291.3468048325,-1076.299801422,-559.4724328951,-601.6884819173,-342.3925823554,1314.4325288851,-1234.7084630569,309.1155910692
1879,792,267.0754176582,647.6062579937,-636.0858086443,755.0391235993,-734.6322834507,-248.4794151974,378.2695686414,-782.7052401417,-745.6103012182,-455.9277734547,-471.8674009098,-239.1232356641,-295.9381829233,752.0119548406,-695.8276607321,120.9814326858
1880,868.4166666667,717.3046228775,829.7791261922,-574.7143165905,858.7029549797,-758.5193793319,-357.1106382099,481.4562130686,-865.9848338062,-489.5115779458,-256.1525105875,-651.0383715653,-129.5250634184,-422.8425926069,791.5930134999,-722.7360665154,64.9443959251
1881,962.25,961.8408625726,962.1477102063,-473.0017749966,962.2244272118,-775.164568163,-485.1696118419,603.0820273804,-962.2436067817,28.0573980559,14.0301904754,-837.9703952707,7.015281676,-570.1271391231,830.9846630626,-749.8113967864,-3.507664143
1882,865.4166666667,685.1754033096,819.1178854593,-259.5028465474,853.7635143838,-627.4336111334,-512.0390212157,600.6295192269,-862.4984584578,528.6593171826,279.270293202,-825.593289446,141.5410486453,-596.0478760675,697.6833434281,-623.04910527,-71.0099718521
1883,829.5833333333,233.748289308,664.1243076223,-78.8664735428,787.1324424166,-525.141044136,-558.0242803564,626.9545545784,-818.9018446368,795.9712583944,497.1392269472,-825.8260024335,261.9752374552,-642.2113286981,613.8545507505,-543.2646624232,-132.6961785239
1884,1094.5833333333,-367.4698411235,630.8273575292,124.6450403684,971.7524852999,-581.2841274377,-816.8681219698,888.1218361697,-1063.4323551937,1031.0570253268,894.5219497607,-1087.4632350211,503.7953760451,-927.4812325864,728.5870880825,-639.8064377056,-259.2764924521
1885,624.5,-515.2702752794,184.680755749,198.4939382242,502.6596174178,-262.7433297684,-506.9318072586,537.3731169604,-593.2584517213,352.8410313633,596.5679076652,-592.1151969746,370.5854274218,-566.5387830168,364.7196084522,-318.1672251635,-195.0504023613
1886,856.5833333333,-856.2578168834,-11.807454546,435.0907384063,601.5068321188,-260.2028411164,-743.7830604252,773.2127051401,-790.2454473844,-23.6126654671,856.5019503548,-737.8557150944,609.8561616142,-816.106297255,424.8785308402,-368.6151374459,-330.5255509528
1887,778.1666666667,-616.8533581943,-250.5280818022,525.9265903948,453.0953314639,-141.6456965376,-712.3208205823,729.6057035306,-692.1441485986,-474.3788523908,736.735394385,-573.5369060722,632.6515484189,-765.1665555705,313.2768897894,-270.5898713676,-355.6400408726
1888,510.1666666667,-144.5269822238,-305.3990659885,415.4089074365,228.5449674346,-29.2905848306,-485.900095384,492.300273581,-434.0887305594,-489.2667771136,408.6580945866,-296.1510888047,456.1109795194,-509.3251313435,155.4706566643,-133.8299981687,-268.024255953
1889,751.5,251.1633210888,-613.8002467408,689.213996053,227.4657826732,51.1785797413,-735.763741983,739.9279137333,-606.5034153568,-708.2861258981,433.5914057046,-299.5602070448,716.2482584362,-749.7552953969,152.9835480799,-131.3732563285,-443.7407544508
1890,681.4166666667,561.6179083466,-650.7781790507,667.7422572231,102.1703873513,131.2031275933,-677.9894456113,678.8981477444,-516.6958865678,-385.8937659973,202.0307780578,-135.8269175451,673.7135040651,-668.66614459,68.2567597448,-58.5318597033,-444.2454663979
1891,728.9166666667,728.6707434405,-728.8551832671,728.8893404979,-4.7337234117,228.8462374524,-728.9098350925,728.9116475489,-513.7455678905,18.9328972517,-9.4672471788,6.3115967089,728.9012956547,-692.061345943,-3.1558279316,2.704997612,-517.0928334616
1892,1069,848.4339970776,-1012.3578771551,1043.7006383844,-173.997743263,460.1157196019,-1062.6563373059,1064.3381253356,-691.649265326,650.3235753092,-343.354814386,231.1925116349,1054.7444170696,-964.9116667215,-116.2863224268,99.7264005026,-815.0964935356
