Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,412.5833333333,412.367495884,-412.529370442,-210.1322766659,3.3364793994,-335.3488558959,204.3623397261,-89.9486765439,-292.9177211579,13.3437357119,-6.6727406017,355.0625765237,-412.5698423899,240.3459003056,358.4146216968,-402.6589655433,290.5584546629
1872,599.3333333333,473.3409348932,-566.9609531339,-405.7644826506,98.4932650815,-527.0385701544,240.84462264,-77.732161638,-457.2913411145,367.6259019695,-194.3083170271,441.0846053352,-591.1848451863,285.3608067237,548.8117274529,-594.2711127856,387.408148838
1873,494.5,137.8212151661,-395.4003293496,-403.1088199629,156.5324042117,-460.9197184493,150.3212202723,-19.9475742351,-401.207878713,474.9058460897,-296.9660410724,286.4149599237,-469.0712700984,179.1180145731,471.0984830541,-494.0975048329,289.0717697366
1874,403.25,-136.5869751493,-231.8748205078,-370.0832736636,185.8857728959,-391.2030812128,81.7755537895,19.8981353467,-344.6512733331,379.4134429874,-329.9160955675,160.1528427923,-357.850586048,97.8300145641,394.871271812,-402.7587698731,209.3467513239
1875,643.5,-532.102438756,-189.3202718418,-630.7899759543,382.2725827664,-638.9147048915,63.9488095017,89.2089303084,-574.4931057072,361.8829156922,-615.0203937023,127.264512868,-517.6484545182,76.6827873347,640.3146099874,-637.2864479598,289.9136448926
1876,392.0833333333,-391.8979191723,6.0290049889,-392.0627303164,279.3682271219,-392.0759162056,-2.0097387342,88.9253525871,-362.8119113226,-12.0565843509,-392.0369770527,-4.0194246646,-275.1049507961,-2.4116818343,392.0781825452,-381.8659737984,148.6501169868
1877,344.0833333333,-272.0856191394,111.2951335239,-335.8211828513,279.9001078996,-341.1012962124,-37.7019116116,107.7494565937,-327.6448552963,-210.6246807364,-325.5867526968,-74.9498060444,-200.1231367822,-45.2022787035,342.0115584868,-326.7772863611,105.0818208619
1878,511.25,-143.2713772139,306.6994219911,-464.9390048595,457.2617641969,-494.4133094474,-108.8037137822,202.95484649,-497.5699144069,-490.7645820261,-409.0379286207,-212.6223983034,-228.6662229178,-130.1231798767,499.5381010165,-469.2396965158,117.4765626717
1879,364.5833333333,122.943492451,298.1142023066,-292.8109651535,347.5690410087,-338.1751094378,-114.3831483048,174.1297730225,-360.3046533691,-343.2286477093,-209.878367936,-217.2158963573,-110.0761948685,-136.2299610995,346.1755368716,-320.3120807768,55.6916843434
1880,446.4166666667,368.7362887204,426.5547240199,-295.4365794046,441.4232539897,-389.9230702505,-183.5756346694,247.4964910669,-445.1665631609,-251.6374170479,-131.6772861738,-334.6715820435,-66.5834147138,-217.3656816616,406.9248415046,-371.5283665985,33.3851961396
