Year,annual_Mean_jharkhand,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1238.25,1237.6022260839,-1238.0880459298,-630.6514843424,10.0134815989,-1006.4529690482,613.3346810727,-269.9550363089,-879.1081435438,40.0473780938,-20.026308342,1065.618021524,-1238.2095108205,721.3289704387,1075.6782193079,-1208.4648695231,872.0274849195
1872,913.25,721.2657543791,-863.9217304498,-618.2943500233,150.0817146869,-803.0889447056,366.9933564393,-118.446434843,-696.8097618568,560.1796801563,-296.0824313543,672.1143200596,-900.8335259173,434.8260679763,836.2663683477,-905.5363077055,590.3234014344
1873,1040.25,289.9262266461,-831.779964825,-847.9958543305,329.2878331269,-969.6091751606,316.2217378934,-41.9625158707,-843.9969582025,999.0309532756,-624.7096546522,602.5139778779,-986.7571056013,376.7998274209,991.0216319454,-1039.4032950505,608.1029493802
1874,1307.8333333333,-442.983258523,-752.0238547323,-1200.2659427312,602.8707005225,-1268.762379945,265.2170988164,64.5342707443,-1117.7840635854,1230.5258471264,-1069.9944624583,519.4128362848,-1160.5924979204,317.2854409111,1280.6591733452,-1306.2401600308,678.960098218
1875,1002.75,-829.1619587608,-295.0130576369,-982.9442865396,595.6858311873,-995.6048489976,99.6498348529,139.012051075,-895.2182777745,563.913121539,-958.3709398368,198.3131162057,-806.6386756304,119.4928749027,997.7862861925,-993.0675768325,451.7652018897
1876,1143.6666666667,-1143.1258326718,17.5859860716,-1143.6065697901,814.8883207272,-1143.6450316699,-5.86220072,259.3860869088,-1058.2849460132,-35.167813737,-1143.5314501746,-11.7242474169,-802.4527831511,-7.03462731,1143.6516423489,-1113.8636821275,433.5970681248
1877,1201.4166666667,-950.0262463388,388.6030370586,-1172.5681746593,977.3116627729,-1191.0044532561,-131.6416710353,376.2227938269,-1144.0193457997,-735.4265008905,-1136.8331832478,-261.6980755006,-698.7588430585,-157.8302862846,1194.1827654893,-1140.9901035283,366.9083582868
1878,1016.0833333333,-284.7445643633,609.5494787837,-924.042589446,908.7844646867,-982.6212684747,-216.2418389807,403.3624194381,-988.8948600428,-975.3696085809,-812.9420478683,-422.5761862287,-454.4624704217,-258.6131918887,992.8065306755,-932.5899950475,233.4786843775
1879,1045.5,352.5597842951,854.8893216319,-839.6814557293,996.7088430846,-969.7702681158,-328.0116522587,499.3444873921,-1033.2302128386,-984.2620832369,-601.859200943,-622.9007167313,-315.6607864733,-390.6608210181,992.7127509922,-918.5452263831,159.7046564052
1880,1159.9166666667,958.0810906662,1108.3097262709,-767.6277298363,1146.9423692892,-1013.1303369082,-476.9813811768,643.0658314654,-1156.6685444534,-653.825127476,-342.1348042287,-869.5713553226,-173.0025292891,-564.7774730347,1057.3057436815,-965.3356980931,86.7441749238
1881,1206.1666666667,1205.65381873,1206.0384478675,-592.900986516,1206.134611541,-971.6577431014,-608.1531966571,755.9547297396,-1206.1586528587,35.1695487538,17.586643885,-1050.3839526412,8.7935556403,-714.6462467886,1041.627436838,-939.8779039653,-4.3968070327
1882,1114.5833333333,882.4478593419,1054.9544263859,-334.217676704,1099.5750606531,-808.08132392,-659.4628703668,773.5599248588,-1110.8249284422,680.8684032082,359.6764729491,-1063.2941980106,182.292876806,-767.659156707,898.5570263216,-802.4344519005,-91.4548265307
1883,1097.6666666667,309.2850293085,878.7388628831,-104.3525052241,1041.4975923166,-694.8425749232,-738.3521668362,829.5575482579,-1083.5334101011,1053.1927087465,657.7918530737,-1092.6951385289,346.6336341296,-849.7446129193,812.2242232533,-718.822916468,-175.5775051247
1884,869.1666666667,-291.7937147254,500.9158232989,98.9758485758,771.6313986813,-461.5754434089,-648.6436628965,705.2235059955,-844.4308690271,818.7228606136,710.3055908645,-863.5128695296,400.044596281,-736.4772939381,578.5430779369,-508.0457666745,-205.8815238885
1885,1222.75,-1008.8818720542,361.5987095149,388.6444563069,984.1906280186,-514.4426044425,-992.5554320664,1052.1584928156,-1161.5800990267,690.8508744588,1168.0599024781,-1159.3416446768,725.5938052522,-1109.2638862031,714.108728959,-622.9607278923,-381.9021288827
1886,1208.25,-1207.7908441476,-16.6549550989,613.7154019023,848.4529194368,-367.0280176424,-1049.1400518635,1090.6519128152,-1114.6773753893,-33.3067454623,1208.1352055837,-1040.7792599624,860.2300308633,-1151.1552878589,599.3106156875,-519.9485239642,-466.2214187435
1887,1102,-873.5563084987,-354.7851096329,744.7904509939,641.6505315141,-200.5914211836,-1008.7524664147,1033.230437298,-980.1792911831,-671.7911698454,1043.3271423589,-812.2137551829,895.9289008664,-1083.589904783,443.6467756023,-383.1955942349,-503.63931254
1888,1117.25,-316.5098416652,-668.8149751238,909.7332933684,500.5067589668,-64.1455195727,-1064.1069223804,1078.1231244529,-950.6415567804,-1071.4798563805,894.9492117155,-648.5621770016,998.8696345012,-1115.4070623852,340.4761669223,-293.083761099,-586.9652400459
1889,1078,360.2848438239,-880.4746054379,988.6529444379,326.291568492,73.4138509129,-1055.4268980143,1061.4002541643,-870.0075605517,-1016.0112358192,621.9714375909,-429.7084540177,1027.4326315292,-1075.4972833504,219.4494541984,-188.4502599096,-636.5303170964
1890,1073.0833333333,884.4262939683,-1024.8343661043,1051.5491067948,160.8961817197,206.616445398,-1067.6862041257,1069.1172127314,-813.6838609921,-607.6989146076,318.1546201602,-213.8979108754,1060.9525243788,-1053.0040288474,107.4895799479,-92.1749733887,-699.5901762022
1891,1060.9166666667,1060.5587326788,-1060.8271793956,1060.8768942356,-6.88979453,333.0789355214,-1060.9067235123,1060.909361489,-747.7414913472,27.5562724261,-13.7792984833,9.1863424833,1060.8942946131,-1007.2748365382,-4.5932142903,3.9370440834,-752.6133374642
1892,1010.8333333333,802.2688170058,-957.2732343226,986.9105662303,-164.5301392095,435.0798003408,-1004.83484343,1006.4251216339,-654.0150910823,614.9380237372,-324.6721155676,218.6128130754,997.353428364,-912.408677684,-109.9589250886,94.3000653334,-770.7452811496
1893,1546.8333333333,440.5701648116,-1239.7947365822,1407.7379920421,-487.3076728693,835.443027328,-1511.6595866467,1520.9652840912,-905.2374299397,1482.7647456657,-924.9877687052,641.0671625284,1468.0683203018,-1301.8173102244,-327.9918523535,281.7054591244,-1254.2880676093
1894,1312.5833333333,-436.7155106567,-758.1719812312,1055.4305631628,-603.2044017495,841.7227407412,-1246.6385951114,1264.0253123987,-682.3191931254,1237.8023144655,-1071.4710699875,780.3469313621,1165.769898674,-1007.1632611764,-410.8128772606,353.7160111724,-1121.3008185304
1895,938.0833333333,-772.3133523355,-278.8422998229,621.9386809478,-556.0679033111,686.9976047384,-855.4036039292,877.0976453259,-423.2979494281,532.4776296541,-895.6825956259,702.2767384861,755.5056764743,-638.7758850814,-385.0779332326,332.7161866238,-837.1494408334
1896,1140,-1139.6610984564,13.8987006545,561.9566422954,-811.0007764318,925.5362544959,-984.9443060947,1025.3752612781,-433.046830532,-27.795335315,-1139.9152714654,991.8693120467,801.1727283345,-665.5694115671,-574.0075904477,498.2023419845,-1054.5475060737
1897,1085.5833333333,-862.6464175135,347.8624729679,327.1707542284,-882.0784762585,953.8100980853,-875.6889549251,929.9979574786,-332.3563457291,-659.0389457098,-1028.3398628429,1035.1089175486,632.7943862997,-518.3989490744,-641.6073782566,559.9955113184,-1033.4555786606
1898,1133.1666666667,-324.4789129677,676.8965970639,109.5238346157,-1012.6952540171,1055.5610452558,-839.0993543784,914.4862416735,-261.2605874417,-1085.7164130121,-908.7781309692,1127.8613496772,508.4437205196,-412.1378096986,-761.5635022283,669.1648587863,-1102.6375650658
1899,976.4166666667,323.4010779155,796.6064616356,-109.643761712,-930.3787757843,946.8681694731,-650.5119178819,733.1572563062,-149.9202520604,-921.304102752,-564.6305448919,970.2410795581,296.2850663037,-238.390806415,-728.1646459683,644.8797907131,-964.8385486529
1900,1161.3333333333,955.061452822,1108.5665996355,-367.3693478814,-1148.0658638527,1152.836317551,-678.9907369661,799.7784628093,-87.7723035951,-660.7213727772,-346.0855461928,1101.6963616842,175.0425187409,-140.226730856,-942.1606499028,842.0507832296,-1158.0117157579
1901,980.75,980.4952814832,980.6863183033,-496.813511872,-980.7340794466,980.7398108359,-487.1451070941,608.9877865492,2.7941083312,22.3509617038,11.1762065412,845.6044565406,-5.588193984,4.4705638957,-851.2110238562,768.7681304099,-980.7460198536
1902,967.0833333333,769.415815009,916.3349236795,-652.4705299782,-954.3119002854,958.9031203552,-390.0364076455,530.1693929438,78.5844769767,585.8749672286,309.1609309994,713.8153690704,-156.6491959274,125.5188407539,-884.9416784862,808.8081282954,-963.8851869333
1903,941.6666666667,271.0800618196,755.6464680407,-765.8910284207,-893.9527956916,911.035881839,-287.682167807,443.5996388269,149.8842250454,901.8046968136,561.9025951612,547.8567729761,-295.9468029671,238.2220248277,-896.6465755453,830.6355828784,-929.6616751236
1904,1227.25,-404.6353543358,710.4765386314,-1124.7522136095,-1090.4299368908,1139.0842957662,-250.7891627919,478.8173765848,289.7519822631,1158.6253892098,1000.682592311,490.9939108386,-563.1208708903,456.7598161386,-1201.352304,1129.9895939258,-1192.5545485531
1905,1119.8333333333,-919.9166705558,334.5693820921,-1097.0040473302,-902.4102838576,978.9866806161,-113.0597086555,342.772089008,348.9108612797,638.5765527154,1068.6861199674,224.9640295373,-663.0854952662,543.7019161457,-1114.111393319,1066.0834814598,-1064.0901772526
1906,1109.1666666667,-1108.917447997,-11.7563821214,-1109.1389747816,-780.1316899328,894.5624830629,3.918859267,243.5368644395,427.1736346971,-23.5114434349,1109.1043602493,-7.8376696139,-788.4448241996,655.7504543199,-1109.1597436738,1082.100037013,-1023.6080208088
1907,1234.0833333333,-983.0316729265,-393.5852321376,-1205.3005896965,-720.1543926075,896.0722877163,133.2672206693,162.0064461543,563.1301538132,-746.0632705303,1169.6376954657,-264.9757764181,-1002.1673135855,848.5376413559,-1226.8665459235,1223.403279796,-1098.1102419509
1908,1017.3333333333,-294.4137241221,-606.4034200806,-926.5223547061,-457.1939951573,645.2436282744,214.9244467134,42.6569713466,533.7829240608,-973.8006316282,816.848825197,-420.1469235172,-908.8128310621,786.5289386172,-994.3714564065,1016.4386326319,-866.0501723874
1909,1164.5833333333,382.2220414051,-949.0478805968,-937.5272584924,-354.2661400694,620.0288259588,363.6108637622,-55.6130928197,686.9067978949,-1100.0730209135,674.9536729379,-690.8668322197,-1109.3916541412,985.8085997078,-1106.3640811378,1163.2547116538,-940.4325554145
1910,1073.5,880.8788606731,-1024.2132851444,-712.9974439056,-162.6488370654,453.199720501,439.8860613655,-147.1267884447,699.2133878189,-613.5590296127,321.5422157878,-802.5190932209,-1061.1067834112,973.1455509521,-979.2356728675,1063.3700946152,-814.5568662131
1911,1261,1260.7576384411,-1260.9394081546,-623.3495029665,6.1808703725,384.9647416466,634.0651688743,-284.0411795175,893.8442474894,24.7219965289,-12.3615922468,-1096.1552796714,-1260.9848519477,1200.8010441738,-1089.9919089702,1228.5933453907,-889.4736990098
1912,983.3333333333,784.2379649547,-932.2316709514,-297.8477869481,158.508624385,180.5308532164,580.5431884359,-306.4424195326,749.2700642702,593.2244590103,-312.8714690084,-937.1398723,-970.4738329496,966.6193953575,-793.671248569,934.3647510236,-636.8192955878
1913,1369.75,398.4899101713,-1100.4650419157,-134.5614526052,429.449107192,80.820331199,919.7552698392,-541.7572321892,1110.0569753567,1310.5040457746,-815.5928849747,-1363.1244543228,-1300.6877130319,1367.3635714633,-1015.019855029,1258.0596821577,-802.4889868166
1914,990.9166666667,-323.7326001964,-574.9451326865,109.7036496202,453.9785930415,-65.9087022931,738.4521024009,-471.8876249668,846.1001106348,936.5431350706,-807.0650126712,-984.82533961,-880.8060384318,988.7223489129,-660.7604200749,871.3425903059,-515.781390767
1915,900.1666666667,-737.8268759232,-270.308035675,283.393029455,532.436730669,-171.9152211775,729.863338735,-497.8648483192,802.9887374164,515.6661021855,-858.6230800691,-854.3935970231,-725.8175773652,883.5978635699,-526.877153185,749.953745631,-406.828115253
1916,1148.25,-1148.0637057863,10.3419613921,580.0856291168,815.5836007634,-358.7608216008,996.132869183,-718.2300148631,1061.8314207247,-20.6830838176,-1148.203425502,-990.9483969371,-808.2706555763,1090.7652063503,-571.1369095351,895.8926879095,-437.0264253586
1917,1459.8333333333,-1165.6622257831,463.3793200529,983.2010971205,1184.8143184697,-626.2375917773,1335.3694425247,-1011.5003798553,1389.3784216375,-878.8315745884,-1384.3384582024,-1079.08709738,-852.8355010553,1318.6886818942,-589.8320210724,1052.606451939,-448.0412510017
1918,923.0833333333,-269.951135148,549.0425514512,749.9202631416,824.2860149284,-497.3184061495,878.7268450755,-696.6532011843,898.0444094136,-882.7282848703,-742.0479209415,-538.2401315467,-415.4941706825,777.6613936558,-282.7047435424,605.6047866037,-213.5394085381
1919,1378.5833333333,448.3076503196,1122.167871105,1262.5664377286,1312.9154449644,-882.3608437807,1349.2674040425,-1117.268653009,1362.0674281122,-1303.6534269541,-800.769177731,-553.5503565763,-420.4105628055,1059.2126076983,-282.788753901,807.5907156152,-212.7541497135
1920,1262.75,1033.8670300857,1204.170493481,1236.6015838851,1248.0192012031,-923.3939436225,1256.1958869044,-1085.5519128534,1259.0619144465,-725.021742158,-380.1460050161,-255.6444508159,-192.3164993661,861.3252506349,-128.4891288186,645.069459051,-96.4399195894
1921,1124.5833333333,1124.4317148218,1124.5454280666,1124.5664864955,1124.5738569767,-911.973021147,1124.579121616,-1014.356419088,1124.5809642417,18.4659771994,9.2332998178,6.1555716343,4.6166888117,658.0219466788,3.0777973439,485.5602214619,2.3083492687
1922,1221.6666666667,976.6586238712,1158.7969472562,1193.5897742376,1205.8468079202,-1072.4445055617,1214.6271619935,-1144.7513639997,1217.7052793651,733.8987510976,386.8579577497,260.4090921605,195.9666305095,585.0916397754,130.9591607796,426.6307057227,98.3020704309
1923,1282.4166666667,376.9890614727,1031.5157687908,1168.7853829643,1218.0774853784,-1193.8452051508,1253.687034673,-1236.9681831655,1266.2297136549,1225.7535455688,761.9499495902,527.7624802062,401.0981757112,468.3226805131,269.9283720496,338.3817678022,203.1128238244
1924,1130.8333333333,-366.0371244756,657.5929767657,911.4246857789,1005.5874118321,-1096.170742517,1074.5821148892,-1113.1037676452,1099.075928373,1069.9536678209,919.9758174464,669.3945547511,517.2794070351,277.8375982972,352.2176970824,199.4593448093,266.1130050351
1925,1082.6666666667,-885.4340033791,326.7546710602,720.3738988257,873.4796796851,-1074.5356562779,987.9503830928,-1078.5156441981,1029.0418952397,623.0359032762,1032.1814259381,808.2255607204,639.6877052815,132.4395503565,442.8556781367,94.7159771695,336.5113504069
1926,1141.3333333333,-1141.2078571631,-8.461977772,565.7741456436,804.0472126936,-1141.3283141982,987.0103011972,-1141.3307725492,1053.6431234528,-16.9234903902,1141.3019638597,991.2322603199,810.030775673,-3.3848171577,573.1077063766,-2.4177282771,438.7230859875
1927,1081,-865.2361439955,-341.4972388914,329.0710001839,632.2192992777,-1072.07830308,873.0082334087,-1076.4450411722,962.2863561641,-648.0180669734,1025.6415727873,1029.6957205107,876.8464846373,-138.5969410383,637.5089210361,-99.1315960523,492.5098666427
1928,1126.9166666667,-332.9921510598,-668.8373377409,112.4919653363,508.0439107115,-1090.7126813204,835.6764458254,-1108.3964371761,959.8083985855,-1076.5952818695,906.9717687199,1121.2879787753,1005.8988808027,-283.3496434055,756.0331021217,-203.4662420809,590.515885998
1929,1222.25,393.7852746422,-993.7804371267,-133.3795660203,373.6622293074,-1135.1665533175,815.7425721181,-1177.556875876,987.5737244052,-1157.0774476996,711.5444506735,1214.9505972953,1163.7317564151,-453.091556674,910.1972964881,-327.4978878974,720.1341551159
1930,1154.1666666667,942.8496241039,-1100.0696119484,-361.6128548881,176.6876018864,-1009.892948281,676.2910583079,-1079.7837892423,876.3639754563,-665.6840697896,349.2098843279,1096.0551252671,1140.5622235477,-558.763749233,935.2706019636,-407.6366800646,751.0571729016
1931,1172.5,1172.3972998007,-1172.4743246691,-590.7241931735,-3.8797116861,-946.7447513615,584.0086187309,-1055.4221972953,827.7098791389,15.5184219574,-7.7593808931,1012.8184326914,1172.4935811497,-691.686797452,1016.7055538591,-510.7252054251,830.4532533358
