Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2658.6666666667,2657.2758207808,-2658.3189324547,-1354.0820348919,21.5001088184,-2160.9715004047,1316.9008456116,-579.6248387106,-1887.5473592853,85.9863753082,-42.9988115851,2288.0057445792,-2658.5797316924,1548.7771366092,2309.6061584764,-2594.7145297305,1872.3443622635
1872,2399.75,1895.2723723747,-2270.1299454113,-1624.6940777099,394.3702105885,-2110.2794361425,964.3496382319,-311.2420826876,-1831.0092811561,1471.985970386,-778.0167693867,1766.1169882979,-2367.1231906051,1142.5938753092,2197.4598603256,-2379.4807056298,1551.1947249846
1873,2281.8333333333,635.9657084053,-1824.5453013569,-1860.1155558182,722.3070933814,-2126.8796310379,693.6460487861,-92.0465921309,-1851.343804334,2191.4175729065,-1370.3276266672,1321.6404503927,-2164.4943575722,826.5267062757,2173.8487804156,-2279.976049433,1333.9001009315
1874,2788.1666666667,-944.3949193107,-1603.237806272,-2558.8440112081,1285.2585636602,-2704.8713972346,565.415680655,137.5804530752,-2383.0010959247,2623.3550269629,-2281.1185628221,1107.3349481596,-2474.2642917945,676.4200511025,2730.2341418239,-2784.7701844215,1447.4733634624
1875,1990.5833333333,-1645.9895046057,-585.6375723238,-1951.2665314195,1182.5103839085,-1976.399320868,197.8173028449,275.956192473,-1777.1195047951,1119.4376077622,-1902.4853851809,393.6761744207,-1601.2779892614,237.208202676,1980.7297447253,-1971.3625203854,896.8100538137
1876,1654.9166666667,-1654.1340652163,25.4473985279,-1654.8297048573,1179.1654882921,-1654.8853602398,-8.4827633415,375.3386986244,-1531.3670025412,-50.8887797291,-1654.7210047375,-16.9653038074,-1161.1709283444,-10.1792963967,1654.8949260715,-1611.7909402048,627.426710572
1877,2503.0833333333,-1979.3256822693,809.6323384982,-2442.9791400596,2036.1732964354,-2481.3900785498,-274.267938745,783.8388054504,-2383.4992779207,-1532.2193110388,-2368.5273167242,-545.2330647022,-1455.8243302316,-328.8304299875,2488.011911424,-2377.1880238385,764.4327084594
1878,3097,-867.8952669562,1857.8936135092,-2816.4618054763,2769.9553715753,-2995.0083508239,-659.1004431951,1229.4399209381,-3014.130122089,-2972.9054484788,-2477.8297602704,-1288.0030661039,-1385.1917699297,-788.247409444,3026.052809483,-2842.5141126833,711.6379747565
1879,2226.3333333333,750.7561929879,1820.43863516,-1788.0543417236,2122.4353141916,-2065.071136855,-698.4823291682,1063.3259465302,-2200.2055130078,-2095.9306405035,-1281.6252520639,-1326.4319741904,-672.1818564817,-831.8902035963,2113.9258612711,-1955.9902971505,340.0820660388
1880,2026.3333333333,1673.7337309173,1936.1778363389,-1341.0184552552,2003.6676953542,-1769.9028143012,-833.2695786115,1123.4132306856,-2020.6589788726,-1142.2093397304,-597.6973848427,-1519.1103582171,-302.2292910549,-986.6462414191,1847.0756852761,-1686.4072731396,151.5390011816
1881,1546.1666666667,1545.5092547131,1546.0023049423,-760.0307381386,1546.1255756896,-1245.5532517274,-779.5823138576,969.046846455,-1546.1563938883,45.0833085242,22.544050756,-1346.4711798608,11.2723249517,-916.0941317476,1335.2463357117,-1204.8151602993,-5.6361999229
1882,2904.6666666667,2299.7086045026,2749.2703914848,-870.9900066687,2865.5542664766,-2105.905243107,-1718.5972194023,2015.9405413742,-2894.8720527688,1774.3812382972,937.3370572796,-2771.0043039894,475.065458987,-2000.5628086864,2341.6899969696,-2091.1891779771,-238.3364062471
1883,2266.25,638.5519565778,1814.2501803906,-215.4468857858,2150.2829504289,-1434.5766645183,-1524.4068613051,1712.7101066559,-2237.0703832143,2174.4287666536,1358.0814944077,-2255.9857494907,715.66213788,-1754.3884564485,1676.9236069977,-1484.086639337,-362.498500749
1884,1938.5833333333,-650.8146870236,1117.2391943817,220.7550494169,1721.0413449207,-1029.4946826481,-1446.7303480308,1572.9256394988,-1883.4127810332,1826.0738165343,1584.2606865081,-1925.9731432278,892.2567059716,-1642.633872376,1290.3784872527,-1133.1417708676,-459.196729647
1885,2608.5833333333,-2152.3225816746,771.425366588,829.1240656835,2099.6469180718,-1097.4985924394,-2117.4921754226,2244.647808942,-2478.0850432654,1473.8434487278,2491.9088889301,-2473.309582452,1547.9631217752,-2366.4749832901,1523.4611560419,-1329.0083599272,-814.7401581418
1886,1954.0833333333,-1953.3407479423,-26.9357915797,992.5520697432,1372.1892894595,-593.58852236,-1696.7573678287,1763.893834306,-1802.7498293333,-53.8664648835,1953.8976781661,-1683.2355932725,1391.2362227543,-1861.7449717224,969.255440186,-840.9044029545,-754.0124179679
1887,2031.5833333333,-1610.4377831888,-654.0612664656,1373.0525109483,1182.9097328933,-369.7987187716,-1859.6775845979,1904.8037530919,-1807.0017347061,-1238.4752669132,1923.4174533853,-1497.3502070178,1651.6825978692,-1997.6435487525,817.8814838483,-706.4371893415,-928.4802480651
1888,2491.25,-705.7553305422,-1491.3271933561,2028.5281424068,1116.0326366311,-143.0320211551,-2372.7512825063,2404.0046845319,-2119.745606023,-2389.1914900048,1995.5625184034,-1446.1673962456,2227.2848305671,-2487.1406078918,759.1955702351,-653.5197313384,-1308.8182181825
1889,2313,773.0415990396,-1889.1815977532,2121.2933770732,700.1042652337,157.519700521,-2264.5662477802,2277.3829201132,-1866.7230867868,-2179.9944234227,1334.52684151,-921.9996791678,2204.5006277617,-2307.6300708623,470.8595431919,-404.3464296577,-1365.7649568126
1890,1793.8333333333,1478.4624061475,-1713.1773367059,1757.8353710386,268.9641382076,345.3929955453,-1784.8111539963,1787.2033176404,-1360.2049228638,-1015.8675806355,531.8471968292,-357.5651494528,1773.554713037,-1760.267509899,179.6863165301,-154.0854606792,-1169.4787709039
1891,2293.9166666667,2293.1427409039,-2293.7231770657,2293.8306706168,-14.8971309424,720.1841063623,-2293.8951675535,2293.9008713933,-1616.7685203295,59.5822410709,-29.793633599,19.8627326634,2293.8682937564,-2177.9321675742,-9.9314594116,8.5126865513,-1627.3024381727
1892,2613.3333333333,2074.1261419047,-2474.8630361384,2551.4851901882,-425.3639872721,1124.8229627937,-2597.8252835916,2601.9366706051,-1690.8419832103,1589.8150391094,-839.3831446168,565.1853106384,2578.4833894061,-2358.8735475822,-284.2796282588,243.7963766574,-1992.6275364263
1893,2111.8333333333,601.4938647051,-1692.645092903,1921.931698865,-665.3028254419,1140.5989224516,-2063.8119407822,2076.5166592737,-1235.8865935531,2024.362901878,-1262.8509877452,875.2248697767,2004.2984254438,-1777.3221784133,-447.7949317069,384.6018610673,-1712.4322922829
1894,1971.6666666667,-656.002093971,-1138.8704892345,1585.390586276,-906.0895273566,1264.3743283562,-1872.6093048274,1898.7263596822,-1024.9299796425,1859.3360904232,-1609.4854622504,1172.1800772032,1751.134264658,-1512.8869760291,-617.0930528847,531.3263173347,-1684.3360654201
1895,1908.9166666667,-1571.589407653,-567.419433423,1265.590242913,-1131.5490327039,1397.9794023046,-1740.6707253449,1784.8161820629,-861.3739120147,1083.5449109431,-1822.6349132099,1429.071088967,1537.3872728967,-1299.8524650937,-783.5995573029,677.0480311798,-1703.5251169203
1896,2362,-2361.2978197841,28.7971324086,1164.3347272822,-1680.3366964316,1917.6461694028,-2040.7354833296,2124.5055852096,-897.2426436111,-57.5899842228,-2361.8244484223,2055.0836096969,1659.9736704615,-1379.0131141417,-1189.3034461733,1032.240291024,-2184.9484292508
1897,2684.9166666667,-2133.5384145135,860.3501202544,809.1743709592,-2181.5987124108,2359.0087932919,-2165.7958423837,2300.1154672605,-821.9996240919,-1629.9666685978,-2543.3393752157,2560.0809253474,1565.0573679429,-1282.1290965095,-1586.8540815268,1385.0077054708,-2555.9918084645
1898,1972.1666666667,-564.7240737089,1178.0728685184,190.615610385,-1762.4978586239,1837.101610312,-1460.3710340285,1591.5745988707,-454.6987102806,-1889.5841028345,-1581.6401858742,1962.9332770598,884.8969767478,-717.2858805946,-1325.4274043047,1164.6165280215,-1919.0337266396
1899,1776,588.2328046884,1448.9440053237,-199.4305581298,-1692.2618818396,1722.2543678254,-1183.2132793291,1333.5365235467,-272.6892900838,-1675.7559987923,-1027.004026008,1764.7672516465,538.9116098885,-433.6079940527,-1324.455486462,1172.9690278805,-1754.9406118367
1900,2225.4166666667,1830.1461034452,2124.3018831277,-703.9752034423,-2199.9927449905,2209.1341748134,-1301.1228208008,1532.5835138721,-168.1945585181,-1266.1139681412,-663.1899046411,2111.1367206357,335.4269850012,-268.7108817099,-1805.4248102509,1613.5882725421,-2219.0515836192
1901,2451.4166666667,2450.7799894123,2451.2574921854,-1241.8016041073,-2451.3768727234,2451.3911985182,-1217.6351104927,1522.184868461,6.983965059,55.8669589975,27.9352933829,2113.6159655074,-13.9678734325,11.1743205133,-2127.6297636823,1921.5610580567,-2451.4067181607
1902,2546.0833333333,2025.6752603162,2412.4757365945,-1717.7882035694,-2512.4594131341,2524.5469225516,-1026.8662096332,1395.8005568817,206.8928500705,1542.4591015714,813.9417427681,1879.2934917025,-412.4173100534,330.4590384794,-2329.8253427652,2129.3851567263,-2537.663430967
1903,2527.8333333333,727.6940349766,2028.4761027915,-2055.9768545233,-2399.749035797,2445.6072955489,-772.2611396688,1190.8098623163,402.3529276573,2420.8268737294,1508.3852497007,1470.6802965891,-794.4469310799,639.4891062942,-2406.9802851848,2229.7787407994,-2495.6068365663
1904,2455.5,-809.6004176586,1421.5319947928,-2250.4209089575,-2181.7483887027,2279.09675148,-501.7826760934,958.0249078867,579.7400631061,2318.1948610346,2002.1805707229,982.3878981985,-1126.700589506,913.8918138344,-2403.6835057829,2260.8999371641,-2386.0808262148
1905,2069.3333333333,-1699.9085253195,618.2487644077,-2027.1472319767,-1667.5585778205,1809.0636443712,-208.9223608672,633.4064975627,644.7502982064,1180.0218006421,1974.8187030086,415.7096875628,-1225.3117293088,1004.7035259511,-2058.7597945302,1970.0093028434,-1966.3258878953
1906,2043.0833333333,-2042.6242729182,-21.6552382022,-2043.0323249225,-1437.0014006072,1647.7827496058,7.2185328811,448.5945383519,786.8531932283,-43.3080434782,2042.968565006,-14.4369756517,-1452.314181435,1207.8913515072,-2043.0705811908,1993.2266421823,-1885.4844362261
1907,2846.5833333333,-2267.4980697885,-907.8585957586,-2780.1919672795,-1661.1353836911,2066.9142599839,307.3992160741,373.6902015117,1298.9373302792,-1720.8977822975,2697.9305854151,-611.2031566389,-2311.6370629189,1957.269045248,-2829.9368182997,2821.9483175468,-2532.9426534405
