Year,annual_Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1430,1429.2519146376,-1429.8129664281,-728.3114254873,11.5641257311,-1162.3078907643,708.3130175118,-311.7590970497,-1015.243000418,46.2489405808,-23.1274951981,1230.6349854871,-1429.9532408425,833.0308320027,1242.253061668,-1395.6024739899,1007.0658618493
1872,1700.25,1342.8218985853,-1608.4127261946,-1151.1141183982,279.4157518713,-1495.1568335457,683.2526189827,-220.5185336346,-1297.2907720745,1042.9186982597,-551.2336752369,1251.3138490899,-1677.1335367544,809.5406756931,1556.9251495025,-1685.8889758296,1099.0389962101
1873,1812.75,505.2283271835,-1449.4680425249,-1477.7260129178,573.8202542665,-1689.6505957917,551.0511467112,-73.1242976636,-1470.7574967379,1740.9212790679,-1088.6252597653,1049.9468525817,-1719.5327499916,656.6151282454,1726.9641560288,-1811.2745235307,1059.6862499293
1874,2566.0833333333,-869.17187968,-1475.5365463726,-2355.0267092214,1182.8850185543,-2489.4227071266,520.3791336723,126.6218809118,-2193.1900516112,2414.3992870245,-2099.4226763398,1019.133392871,-2277.1839421731,622.5417727778,2512.7652558187,-2562.9573880354,1332.1790687159
1875,2260,-1868.7669177756,-664.9010324203,-2215.3618425125,1342.5579441369,-2243.8962440634,224.5910015135,313.3056449059,-2017.6447846127,1270.9485461762,-2159.9783834767,446.9585067313,-1818.0038962101,269.3132857443,2248.8127716729,-2238.1777348705,1018.1893355979
1876,1407.75,-1407.0842823757,21.6467547878,-1407.6760261923,1003.0536579746,-1407.72336928,-7.2158377123,319.2807611593,-1302.6528412271,-43.2883909544,-1407.5835607548,-14.4314858361,-987.7466384269,-8.6589885709,1407.7315064266,-1371.0652274978,533.7186878339
1877,1538.9166666667,-1216.9060616729,497.7687650247,-1501.9641035883,1251.856452551,-1525.579471338,-168.6222334056,481.9106841646,-1465.3953845378,-942.0213076191,-1456.1904969853,-335.2138697559,-895.0530314741,-202.1677115085,1529.6506298321,-1461.5151724948,469.9796526657
1878,3311.9166666667,-928.1229575568,1986.8223517839,-3011.9104922787,2962.1767391163,-3202.8472954148,-704.8387932919,1314.7570438554,-3223.2960241682,-3179.2105596517,-2649.7790378438,-1377.3841851299,-1481.3173100936,-842.9479279285,3236.0460878077,-3039.7707023026,761.0221728218
1879,1969.4166666667,664.1196701933,1610.3618155689,-1581.7146375937,1877.5083762649,-1826.7639683072,-617.8781586028,940.6191830494,-1946.303970988,-1854.0623157292,-1133.7269644418,-1173.3630351116,-594.612734475,-735.8908961518,1869.9809058026,-1730.270949714,300.8369316774
1880,1905.0833333333,1573.5822841956,1820.322483819,-1260.7757404832,1883.7739424039,-1663.996884263,-783.4091066227,1056.1913911295,-1899.7485160391,-1073.8627946856,-561.9328801978,-1428.2111325548,-284.1447533643,-927.6081479307,1736.5519510239,-1585.4974778436,142.4713401058
1881,1745.0833333333,1744.3413443433,1744.8978262258,-857.8098354726,1745.0369559402,-1405.795550524,-879.876750808,1093.7161804254,-1745.0717389465,50.8833439584,25.4443767857,-1519.696721864,12.7225265071,-1033.951019345,1507.0277846361,-1359.816442375,-6.3613055183
1882,2136,1691.1329742544,2021.7264939906,-640.4985038711,2107.2379779185,-1548.6161117546,-1263.8020406162,1482.4589154379,-2128.7973507164,1304.8238438155,689.2880265146,-2037.7089258623,349.3481135172,-1471.150617175,1722.0047625179,-1537.794382887,-175.2650552251
1883,2252.8333333333,634.7715975041,1803.5094457319,-214.1713958571,2137.5528325756,-1426.083675256,-1515.38205878,1702.5705101429,-2223.8264658877,2161.5557005961,1350.0413723044,-2242.6298493007,711.4252706544,-1744.0021155222,1666.9958739318,-1475.3005408287,-360.3524349788
1884,2103.5,-706.179956577,1212.2835294065,239.5348389022,1867.4515594931,-1117.0745294848,-1569.804730473,1706.7355453823,-2043.6360494709,1981.4192183708,1719.0348729243,-2089.8170520292,968.1616202612,-1782.3739073428,1400.1519053962,-1229.538949415,-498.260922914
1885,1847.8333333333,-1524.6334513003,546.4519719747,587.3238038675,1487.3197700324,-777.4313576575,-1499.9607544906,1590.0335595783,-1755.3927019572,1044.0214877836,1765.185052651,-1752.0099249685,1096.5253893315,-1676.331862105,1079.169014921,-941.4251468877,-577.1347240404
1886,2476.0833333333,-2475.1423789335,-34.1312284195,1257.6954091125,1738.7462304453,-752.1555616394,-2150.0171295276,2235.0879567885,-2284.3236674903,-68.2559713029,2475.8480835579,-2132.8832437591,1762.8812267772,-2359.0783549314,1228.1754827177,-1065.5376572556,-955.4339620061
1887,2369.0833333333,-1877.9743114268,-762.7182306226,1601.1530347327,1379.4224864196,-431.2321168201,-2168.6194697294,2221.2422944604,-2107.192760817,-1444.2189328141,2242.9482252057,-1746.0998824935,1926.0709862925,-2329.5052482664,953.7533411675,-823.7951866684,-1082.7255003176
1888,1899.25,-538.0454838063,-1136.9405607553,1546.4855291384,850.8278916695,-109.0430772419,-1808.9103354943,1832.7369381223,-1616.0268308035,-1821.4438283559,1521.3535827708,-1102.5121635,1698.0113254208,-1896.1171297696,578.7866279052,-498.2227194157,-997.8015056229
1889,2165.8333333333,723.8561449431,-1768.9807510306,1986.3242135081,655.5595133817,147.4973705339,-2120.4812213505,2132.4824215932,-1747.9511826484,-2041.2903539687,1249.6163932427,-863.336635739,2064.2373294252,-2160.805070677,440.9006891324,-378.6195311574,-1278.8669558855
1890,2293.5,1890.2834870386,-2190.3775276791,2247.474917854,343.8832580019,441.6011345999,-2281.9647208161,2285.0232141643,-1739.0857515125,-1298.8343191606,679.9915707114,-457.1638039228,2267.5728334204,-2250.58452139,229.737378219,-197.0054840106,-1495.2334262202
1891,1946.4166666667,1945.7599810838,-1946.2524883468,1946.3436979546,-12.6403998772,611.0851226906,-1946.3984244032,1946.4032641818,-1371.8480883982,50.5562685615,-25.2802666463,16.8537743604,1946.375621654,-1848.0023844963,-8.4269661597,7.2231198379,-1380.7862479892
1892,2918.0833333333,2315.9972930828,-2763.4655273106,2849.0228604853,-474.9671792827,1255.992528321,-2900.7668353166,2905.3576656435,-1888.0170193264,1775.2089676178,-937.2665680818,631.0935593949,2879.1694147587,-2633.9500961635,-317.4304764904,272.2263304022,-2224.9948483112
1893,1926.6666666667,548.7545636485,-1544.2330734717,1753.4157082219,-606.9687208673,1040.5906040203,-1882.8558152824,1894.4465773187,-1127.5234015843,1846.8656890309,-1152.1235433932,798.4846890237,1828.5604765316,-1621.4856272164,-408.5320346091,350.8797659173,-1562.2853207159
1894,2066.4166666667,-687.5267930769,-1193.5998107163,1661.5777839343,-949.6323757338,1325.1348360206,-1962.5990250129,1989.9711555807,-1074.1837998814,1948.6879557998,-1686.8305582174,1228.5101172616,1835.2864057787,-1585.5899553928,-646.7479472689,556.8596234552,-1765.2781662815
1895,1808.9166666667,-1489.260543586,-537.6947501338,1199.2913695775,-1072.2720065003,1324.7452257312,-1649.4844124094,1691.3172769912,-816.2502077139,1026.7826158748,-1727.1548461627,1354.2081515785,1456.8501127502,-1231.7587401139,-742.5501196304,641.5803733715,-1614.2847039329
1896,2071.9166666667,-2071.3007230205,25.2604820447,1021.3397658911,-1473.9701976919,1682.1350800827,-1790.107476786,1863.5895556403,-787.049952304,-50.5172092059,-2071.7626750326,1802.6934726183,1456.1080076448,-1209.6529444293,-1043.2420117911,905.4681892368,-1916.6092575665
1897,2571.8333333333,-2043.6780331082,824.1138896704,775.093560835,-2089.714127143,2259.6520493675,-2074.5768424732,2203.2391927308,-787.3786398933,-1561.3157244565,-2436.218994938,2452.255424379,1499.1402740449,-1228.1283769352,-1520.0189535392,1326.6739441398,-2448.3385329411
1898,2362.1666666667,-676.3994166041,1411.0391925557,228.3102379774,-2111.0354221479,2200.3922186218,-1749.1623988241,1906.3117374964,-544.616312077,-2263.2532315958,-1894.4127739707,2351.1073553426,1059.8871673664,-859.1306334546,-1587.5333897752,1394.9218331487,-2298.5265788611
1899,1085.4166666667,359.5032038789,885.5337682686,-121.8835876333,-1034.2394430819,1052.5695918227,-723.1303004534,815.0015587085,-166.6562501568,-1024.1517400653,-627.6617604521,1078.5516822774,329.3601594781,-265.0030087527,-809.4516099459,716.8694438882,-1072.5460524199
1900,1917.0833333333,1576.5778359767,1829.9780873002,-606.4388524692,-1895.181917188,1903.0567942925,-1120.8511699128,1320.2427911113,-144.8910622995,-1090.6928229577,-571.3043907983,1818.6369690403,288.9532967591,-231.4807651652,-1555.2816985516,1390.0242729762,-1911.6001378453
1901,1882.6666666667,1882.177704076,1882.5444220503,-953.6928252369,-1882.6361052645,1882.6471073503,-935.1331684486,1169.0247322389,5.3636243877,42.9053383306,21.4540622125,1623.2386678704,-10.7272052414,8.5817809102,-1634.0011429143,1475.7421702966,-1882.6590263007
1902,1945.5,1547.848480586,1843.4084556848,-1312.5874186015,-1919.8074643743,1929.0437094194,-784.6436857296,1066.5518869165,158.0898922445,1178.6158539353,621.9449457227,1435.9960022678,-315.1341773478,252.5086476726,-1780.2540651392,1627.0947490896,-1939.0662278453
1903,2319.1666666667,667.6246124283,1861.0301951833,-1886.2608248627,-2201.6554251412,2243.728193945,-708.5128079707,1092.5113228808,369.1396445145,2220.9933373736,1383.8716126845,1349.2791143296,-728.867214741,586.70079212,-2208.2897519844,2045.7157762395,-2289.6003910346
