Year,Annual_mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,236.3333333333,236.2096987128,-236.3024226567,-120.3666202029,1.9111806861,-192.0923763524,117.0615220083,-51.5238227991,-167.787246456,7.6434729305,-3.8222363859,203.3846631026,-236.3256055378,137.6733939137,205.3047600752,-230.6485207596,166.4358265853
1872,994.0833333333,785.1062308594,-940.3889335282,-673.0206498246,163.3657062232,-874.1717329494,399.476571673,-128.9303331729,-758.4855962396,609.7621502495,-322.2891982503,731.6043182764,-980.5678557047,473.313273555,910.2857476064,-985.6868888237,642.5739443116
1873,755.6666666667,210.6105121547,-604.2282080456,-616.0078832868,239.2038829444,-704.3511976573,229.7123062739,-30.4827440451,-613.1029734023,725.7239993834,-453.8065487773,437.6829889768,-716.807933477,273.7179231798,719.9058045727,-755.0515965327,441.7429740431
1874,677.4166666667,-229.4514405845,-389.5247811341,-621.7001305252,312.2681231393,-657.1791376687,137.3741427475,33.4267291245,-578.9771028983,637.3738123672,-554.2235876974,269.0395658315,-601.1505298583,164.3439116329,663.3413036908,-676.5914528413,351.6800457764
1875,937.0833333333,-774.8629789965,-275.6936618571,-918.5746282837,556.6764041969,-930.4060938234,93.1241081128,129.9086274693,-836.5934956847,526.9843805955,-895.6105059806,185.3262687387,-753.8146686166,111.6676953611,932.4446761601,-928.0349789313,422.1806444985
1876,410.75,-410.5557584698,6.3160394453,-410.7284160955,292.6686485619,-410.7422297508,-2.1054202382,93.1589931779,-380.0849970052,-12.6305853912,-410.7014367466,-4.2107851587,-288.2024022262,-2.5264994179,410.7446039884,-400.0462029442,155.7271895065
1877,505.8333333333,-399.9902417476,163.6138194455,-493.6872317529,411.4782404822,-501.449471545,-55.4251885402,158.4013566296,-481.6672975656,-309.6371547759,-478.6417023177,-110.182931143,-294.1989441191,-66.4514002738,502.7876386571,-480.391893488,154.4796930568
1878,859.75,-240.93411552,515.7649448546,-781.8705318884,768.9600034588,-831.4363673299,-182.9711353041,341.3015731439,-836.7447118069,-825.3004389182,-687.8637831426,-357.5591333816,-384.5394330633,-218.8232839101,840.0545376019,-789.1028441652,197.555940845
1879,751.0833333333,253.277645134,614.1493269463,-603.2240523265,716.031946654,-696.6793740258,-235.6423578677,358.7272329718,-742.268763615,-707.0902404124,-432.3734240474,-447.48957117,-226.7695415657,-280.6492890033,713.1611688739,-659.8794934952,114.7312345114
1880,714.5833333333,590.2396258684,682.7901359848,-472.9080956495,706.5903309616,-624.1535052078,-293.8512352605,396.1699478997,-712.5822809604,-402.7983668444,-210.7770634572,-535.7119313091,-106.5806946371,-347.9392794937,651.3683994589,-594.7089310401,53.4399956873
1881,635.8333333333,635.5629844486,635.7657425196,-312.549020804,635.8164354053,-512.2114536315,-320.5892559412,398.5031496416,-635.8291088373,18.5397027077,9.2708368691,-553.7121430601,4.6355416288,-376.7272946661,549.0961270605,-495.4586435854,-2.3177862139
1882,816.5,646.4466636136,772.8182033443,-244.8347511286,805.5055285442,-591.9686588238,-483.0966133722,566.6796369172,-813.7467401029,498.7774665147,263.4848659406,-778.927592681,133.5406061268,-562.3569657881,658.2476070205,-587.8319820352,-66.9962161008
1883,973.1666666667,274.2051755439,779.0701822615,-92.5165924695,923.3684241629,-616.0318546882,-654.6064837772,735.4671309258,-960.6364381386,933.7370522883,583.1835150467,-968.7590212375,307.3176115522,-753.3645300388,720.099793437,-637.2922880742,-155.6630811453
1884,674.1666666667,-226.3289695233,388.5339415616,76.7703370065,598.5137119206,-358.0196871695,-503.1186225151,547.0046177856,-654.9804151898,635.0400711758,550.9465225401,-669.7813149084,310.2934596273,-571.2465300057,448.7453020623,-394.0642619748,-159.691421693
1885,582.4166666667,-480.5476319626,172.2356287603,185.1179789497,468.7867715684,-245.0377811251,-472.7710703137,501.1610240775,-553.2804001975,329.0640469974,556.3668410291,-552.2141862364,345.6126971245,-528.3612963044,340.1421595239,-296.7268130061,-181.9064934752
1886,933.5833333333,-933.2285555545,-12.8688504016,474.2019206505,655.577491996,-283.5929982515,-810.6432168444,842.71835156,-861.2822012888,-25.7352554945,933.494634675,-804.183050511,664.6773595256,-889.4677350081,463.0717171907,-401.7506941148,-360.2371580236
1887,788,-624.6482496343,-253.6938896468,532.5724821989,458.8208882333,-143.4356078881,-721.3220903219,738.8253943655,-700.8904550384,-480.3733591998,746.0451798356,-580.784427481,640.6460743038,-774.8356124945,317.2356253853,-274.0091907959,-360.134100074
1888,592.5,-167.851493566,-354.6859456351,482.4497438539,265.4287354557,-34.0176507915,-564.3171640281,571.7502360603,-504.1442133743,-568.227178255,474.6094499364,-343.9454820975,529.7205266878,-591.5226533571,180.5613147473,-155.4281749395,-311.2793955938
1889,826.6666666667,276.2852234642,-675.1938841949,758.1506809543,250.2174056463,56.2975727471,-809.3564338514,813.9371151291,-667.1672078443,-779.130446763,476.9601624074,-329.5228713556,787.8889691381,-824.7474529094,168.2852957366,-144.5134955399,-488.1246711191
1890,749.75,617.9376692423,-716.0390457281,734.7043033185,112.4161642411,144.3603447422,-745.9790928414,746.9789207847,-568.5108097652,-424.591685542,222.2906824246,-149.4478142538,741.2743544177,-735.7208392902,75.101634759,-64.401509325,-488.7949689595
1891,568,567.8083671305,-567.952089762,567.9787063946,-3.6886999856,178.3258207929,-567.9946765737,567.9960889097,-400.3303750705,14.7532442743,-7.3772444004,4.9182397585,567.9880223142,-539.2809116208,-2.4591429269,2.1078385416,-402.9386935948
1892,1250.4166666667,992.4190930893,-1184.1619852442,1220.8238290426,-203.5263593437,538.2005279566,-1242.9964406982,1244.9636397459,-809.0269119283,760.6879675331,-401.6244925056,270.4274740475,1233.7418130752,-1128.6638259398,-136.0209126921,116.6506579,-953.4239854617
1893,1082.8333333333,308.4133564035,-867.8963908603,985.4620982973,-341.1311227919,584.8371240761,-1058.2105736928,1064.7248627023,-633.6954619457,1037.9832510063,-647.5213374935,448.7677356909,1027.6952782029,-911.3141972339,-229.6048986899,197.2029272634,-878.0421910632
1894,823.5833333333,-274.0181189652,-475.7166967499,662.2322554592,-378.4819441617,528.1408067263,-782.206160592,793.1154950439,-428.1226960611,776.6618166378,-672.2969071606,489.6304185545,731.4649170589,-631.9468294207,-257.7654540008,221.9398983186,-703.5626937678
1895,827.3333333333,-681.1341353812,-245.92221308,548.5126787287,-490.4185967906,605.8907541834,-754.4147623531,773.5476079591,-373.323446915,469.6133878658,-789.9384213711,619.3660353282,666.3107716121,-563.3620846662,-339.6156810103,293.435755601,-738.3156834498
1896,481.4166666667,-481.2735501303,5.8693562632,237.3116610044,-342.4818337315,390.8496302795,-415.9373725372,433.0111757605,-182.8736505836,-11.7378400669,-481.3808862029,418.8617701531,338.3314949992,-281.0668487298,-242.4007200305,210.3885182489,-445.3304782593
1897,664.5833333333,-528.1035679489,212.957950558,200.290685881,-539.9996812898,583.9130676465,-536.0880797979,569.3355116981,-203.4652534881,-403.4570961876,-629.5394493108,633.6833973632,387.3904376096,-317.3586872548,-392.7856637442,342.8236894729,-632.6712397189
1898,554.3333333333,-158.7317053288,331.1307665589,53.5779193899,-495.3999727696,516.3694714694,-410.4786663719,447.3571466106,-127.8059587926,-531.121163359,-444.5647982944,551.7380275079,248.7253735032,-201.6135247915,-372.5489349038,327.3484807064,-539.3988147387
1899,295.5833333333,97.9007957127,241.1507313665,-33.1916380296,-281.6466260738,286.6383372126,-196.9246200159,221.9432267746,-45.3842394861,-278.8995180047,-170.9263926544,293.7138439184,89.6921678057,-72.1662704066,-220.4318510923,195.2196481744,-292.0783760409
1900,545.1666666667,448.3361096701,520.3962898117,-172.4548129908,-538.9384960767,541.1778982075,-318.7397675971,375.4413535949,-41.2031006113,-310.1635491324,-162.4635220432,517.1711824152,82.1705049945,-65.8268709285,-442.2800639828,395.2853203134,-543.6073941224
1901,784.25,784.0463160879,784.1990773687,-397.2735117875,-784.2372692389,784.2418523049,-389.5422383264,486.9728999247,2.2342895323,17.8727929811,8.936976783,676.1817945878,-4.4685609298,3.5748557076,-680.665047626,614.7401542432,-784.2468173033
1902,622.75,495.4626786353,590.0707354293,-420.1561629062,-614.5258794341,617.482379872,-251.162608732,341.4007646247,50.6042047778,377.27217838,199.0831225643,459.6589619184,-100.8737131551,80.8274275704,-569.8551627167,520.8292238476,-620.6905645801
1903,835.25,240.4456158954,670.2517300152,-679.3385644125,-792.9282186917,808.0807649267,-255.1715369849,393.4689539789,132.9459812062,799.8927855011,498.4026293186,485.9441093398,-262.5021952335,211.3008278627,-795.3175775832,736.7664112558,-824.6016787402
1904,582.8333333333,-192.1653879422,337.412433706,-534.1561066058,-517.8561131672,540.9625561613,-119.1022886241,227.3951742944,137.6061223567,550.2428174192,475.2341991324,233.1779325324,-267.4317492366,216.9198176189,-570.5342577698,536.6433910448,-566.3561154736
1905,407.4166666667,-334.6831821959,121.7227049448,-399.11093819,-328.3140257315,356.173975408,-41.1332724823,124.707005742,126.9404078581,232.326296043,388.808337589,81.8461929162,-241.2431155199,197.8090986781,-405.3349160542,387.861448196,-387.1362462114
1906,665.6666666667,-665.5170980165,-7.0555958216,-665.6500473746,-468.1962388568,536.8719094445,2.3519044196,146.1587132339,256.3683691931,-14.1103989601,665.6292734539,-4.7037794798,-473.185368573,393.5488075964,-665.6625118307,649.4226217626,-614.3186228566
1907,473.4166666667,-377.1087132079,-150.9864071696,-462.3750861008,-276.2642382608,343.7495216771,51.1237139997,62.1486002163,216.0269028167,-286.2033520078,448.694155442,-101.6494959708,-384.4494907475,325.5143723778,-470.6481766083,469.3196051402,-421.2549317661
1908,561.25,-162.4243473102,-334.5451371431,-511.1507256672,-252.228174753,355.9727913195,118.571113091,23.5333143856,294.4813231938,-537.233556194,450.6452193399,-231.7897714522,-501.3806042926,433.9181193961,-548.5822214038,560.7564048801,-477.7889835378
1909,778.9166666667,255.6443235072,-634.7585359527,-627.053115215,-236.9463764743,414.6983496413,243.1964753907,-37.1961058022,459.4288257549,-735.7697693366,451.4341310162,-462.0774440614,-742.0024179791,659.3454727349,-739.9774645006,778.0280350504,-628.9962859005
1910,907,744.2544262976,-865.3576615053,-602.4114407288,-137.4219797097,382.9083805257,371.6596717825,-124.3074029989,590.7652936672,-518.3959383872,271.67097319,-678.0482697265,-896.5289730358,822.2105400219,-827.3560831773,898.4412443558,-688.2189824455
1911,530.1666666667,530.0647697438,-530.1411918239,-262.0770247075,2.5986450773,161.8520807795,266.5822498268,-119.420432467,375.8020818483,10.3939559818,-5.197227721,-460.8604209139,-530.1602979178,504.8570078664,-458.269133285,516.5418228507,-373.9645567738
1912,412.5833333333,329.0476410585,-391.1422883797,-124.9698638288,66.5064575703,75.7464622266,243.5821462666,-128.5759677209,314.3759396781,248.9029064881,-131.2734443272,-393.2016531998,-407.187792113,405.5705615606,-333.0056230224,392.0372781625,-267.1942654623
1913,555.8333333333,161.7039423765,-446.5597024747,-54.6039355647,174.2669310075,32.7962285756,373.2291567699,-219.8406484579,450.4520305183,531.7918102644,-330.9609139613,-553.144741153,-527.8084228218,554.8649401752,-411.8867453333,510.5103169673,-325.6434593944
1914,835,-272.7946054973,-484.4798780186,92.4422310314,382.5469264381,-55.53823875,622.2596977594,-397.638045763,712.9697341318,789.181920226,-680.0766484707,-829.8671182316,-742.214826767,833.1509491302,-556.7924824783,734.2404133265,-434.6253078366
1915,839.25,-687.8961736181,-252.0155737162,264.2150712499,496.4053244369,-160.2812620328,680.4715501204,-464.1730130922,748.6483590557,480.7696088789,-800.5177781314,-796.5745154249,-676.6995761567,823.8024517693,-491.221978312,699.2023858776,-379.2969772924
1916,993.8333333333,-993.6720919665,8.951174364,502.0757103452,705.9039133975,-310.514664229,862.1729151517,-621.6424382943,919.0363251007,-17.9016225857,-993.7930221741,-857.6856507636,-699.5744131216,944.0790950673,-494.3304146248,775.4130340379,-378.255109139
1917,957.8333333333,-764.8202776088,304.0348158858,645.1029461299,777.3864468827,-410.8902203384,876.1694469904,-663.670816649,911.6060953477,-576.6234797533,-908.2992486916,-708.0161603657,-559.5668026675,865.2247807793,-387.0036105837,690.6415434745,-293.9711233596
1918,402.1666666667,-117.6116437866,239.2055026906,326.7234079554,359.1228950117,-216.6704548233,382.8415414223,-303.5161459706,391.2577701391,-384.5848788286,-323.2936053502,-234.4991310684,-181.0214740195,338.8095951777,-123.1681043907,263.8483975941,-93.0343220732
1919,568.4166666667,184.8459458883,462.6915945601,520.5806487183,541.340521677,-363.8145025345,556.3291399972,-460.6715518452,561.6068383699,-537.5216118754,-330.1726749262,-228.2395564412,-173.3434352231,436.7339174945,-116.5992921694,332.985327402,-87.7226654897
1920,295.8333333333,242.2113084408,282.1094998916,289.707359783,292.3822453818,-216.3300006507,294.2978551119,-254.3198898323,294.9692995634,-169.8559483047,-89.0594811461,-59.8916254469,-45.0553403781,201.7887309281,-30.102052881,151.1249640092,-22.5936589812
1921,457.5,457.4383189605,457.4845794802,457.4931464143,457.4961448538,-371.0064383918,457.4982866004,-412.6577799773,457.4990362124,7.5122797203,3.7562664691,2.5041932769,1.8781490608,267.6947378486,1.2521013278,197.5343175862,0.9390765087
1922,682.25,545.4232028399,647.1398777071,666.5702238529,673.4152671516,-598.9156321305,678.3187295526,-639.2960038926,680.0377300247,409.8519150911,216.0440723122,145.4276423955,109.4392090028,326.7493352552,73.1352421079,238.2554971181,54.8976160039
1923,617.75,181.5985387417,496.8891022189,563.0129341682,586.7573201059,-575.0844438094,603.9107146683,-595.8571149396,609.9526198794,590.4549375074,367.0371678674,254.2272575066,193.2120850313,225.5946475173,130.0265788552,163.001107591,97.8410139067
1924,556.9166666667,-180.2672146552,323.8536377101,448.8615456935,495.2351269915,-539.8459154194,529.2138742671,-548.1851495338,541.2766712835,526.9344408289,453.072836256,329.6657191895,254.7515311139,136.8304104215,173.4613757997,98.2304201445,131.0562426418
