Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,479.75,479.499025208,-479.6872521985,-244.3408436206,3.8796428808,-389.9421053106,237.6315875184,-104.5919068599,-340.6033772381,15.5160344361,-7.7590320429,412.8651288723,-479.7343127932,279.4731060512,416.7628715631,-468.2099908368,337.8600330225
1872,628.5833333333,496.4419732896,-594.6310441448,-425.5675045374,103.3001527405,-552.7602801272,252.5988582555,-81.5258196935,-479.6090914943,385.5675999104,-203.7913842235,462.6113985044,-620.0371645218,299.2876202888,575.5960595352,-623.2740550253,406.3153040441
1873,618.1666666667,172.2881318001,-494.2837281961,-503.9199909817,195.6786947156,-576.1884852473,187.9141914358,-24.9361485804,-501.5436542455,593.6723232716,-371.2325737571,358.0428332851,-586.3786116599,223.9126107353,588.9127986679,-617.6635137936,361.3640694146
1874,735.0833333333,-248.9840272353,-422.6839825789,-674.6237976826,338.8506721874,-713.1230376892,149.0684356225,36.2722570559,-628.263873129,691.6317380847,-601.4031574706,291.9421835649,-652.3248645441,178.3340687063,719.809772402,-734.1878712649,381.6176262508
1875,708.1666666667,-585.5745305036,-208.3454636249,-694.1793856074,420.6879575692,-703.1205856214,70.3751596925,98.1737230977,-632.225124618,398.2492900223,-676.825084911,140.0535910842,-569.6680350293,84.3888017056,704.6611701208,-701.3287017305,319.0476760292
1876,352.25,-352.0834228143,5.4164939613,-352.231490127,250.986077799,-352.2433364084,-1.805561239,79.8910659693,-325.952380268,-10.831707131,-352.2083532416,-3.6110750387,-247.1559249767,-2.1666693121,352.2453725013,-343.0706633892,133.548149735
1877,576.75,-456.0679510932,186.5520995687,-562.9010429921,469.1665407541,-571.7515309,-63.1956721395,180.6088614882,-549.1959417548,-353.0475697207,-545.7461650314,-125.6303239606,-335.4449575368,-75.767733327,573.2773059548,-547.7417289671,176.1373897276
1878,922.9166666667,-258.635778752,553.6586957705,-839.3153184709,825.4562409912,-892.5228039333,-196.4142021415,366.3773308683,-898.2211576294,-885.9360629078,-738.4018026853,-383.8293498305,-412.7919183073,-234.9004428908,901.7741595368,-847.0789957477,212.0705674962
1879,645,217.504601502,527.4066116237,-518.0244274944,614.8992862645,-598.2800793254,-202.3601298009,308.0604441587,-637.4304039033,-607.2205104618,-371.3048155029,-384.2859514985,-194.7405138931,-241.010262608,612.433978374,-566.6778297629,98.5265455585
1880,534.5833333333,441.561189498,510.7986848212,-353.7848902148,528.6037286436,-466.9323307181,-219.8315655039,296.3767015483,-533.0863361354,-301.335454613,-157.68336584,-400.7687509443,-79.7335459005,-260.2950994696,487.2919279917,-444.9046988481,39.9787256366
1881,467.75,467.5511181796,467.700276902,-229.9262980043,467.7375690603,-376.8077181172,-235.8410869722,293.1583458635,-467.7468922548,13.6387092134,6.8200795997,-407.3376486234,3.4101304276,-277.1389652635,403.9418822006,-364.4835342654,-1.7050765424
