Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1481.5,1480.7249731018,-1481.3062306036,-754.5408229786,11.9805959934,-1204.1672308862,733.822192618,-322.9867848106,-1051.8059476358,47.91454928,-23.9604084867,1274.9550566427,-1481.4515568589,863.0315927356,1286.9915460567,-1445.8636819693,1043.3343177131
1872,1720.1666666667,1358.5516654707,-1627.2536143758,-1164.5982273184,282.6888178271,-1512.6710463192,691.2562153135,-223.1016797179,-1312.4871889997,1055.1354099631,-557.6908064618,1265.9716940114,-1696.7794180113,819.0236057274,1575.1629140828,-1705.6374179814,1111.9130990427
1873,1322.5,368.5916219557,-1057.4659970979,-1078.0817278079,418.6331740546,-1232.6922702714,402.0218681702,-53.348163652,-1072.9978151626,1270.0970302398,-794.2115051935,765.9934974703,-1254.4929316584,479.0365506024,1259.9145477027,-1321.4235594369,773.098919063
1874,1768.3333333333,-598.9616889166,-1016.8182870791,-1622.8904871132,815.1469520255,-1715.5051422475,358.6024491452,87.2573738495,-1511.3659888673,1663.8051787958,-1446.7492349538,702.3028154685,-1569.2476619008,429.0045275986,1731.5909047015,-1766.1791892349,918.0281180187
1875,2020.4166666667,-1670.6583304377,-594.4146582238,-1980.5106147389,1200.2329408407,-2006.0200751223,200.7820365669,280.0920118268,-1803.7536063029,1136.2148783939,-1930.9983741664,399.5762904019,-1625.2767132601,240.7632969347,2010.4154000446,-2000.9077869446,910.2507537453
1876,1782.8333333333,-1781.9902407591,27.4143533967,-1782.739649817,1270.3090012851,-1782.7996070784,-9.1384379339,404.3504767798,-1649.7339066602,-54.8222243579,-1782.6225477291,-18.2766357649,-1250.9235530993,-10.9661043915,1782.8099123004,-1736.3742068956,675.923613776
1877,1542.9166666667,-1220.0690817065,499.0625810599,-1505.8680553386,1255.1103167262,-1529.5448048857,-169.0605215522,483.1632813835,-1469.2042857377,-944.4698386618,-1459.9754725555,-336.0851680581,-897.3794811146,-202.6931921037,1533.6265452614,-1465.313988127,471.2012383769
1878,1908.5,-534.8331020297,1144.911191922,-1735.6207154509,1706.9615197454,-1845.6485106708,-406.1650616202,757.6319306136,-1857.4321401379,-1832.0277844436,-1526.9415878192,-793.7209724441,-853.6126874107,-485.7507849286,1864.7793951884,-1751.6752289493,438.5408701398
1879,1775.1666666667,598.6153774154,1451.5265685799,-1425.70495536,1692.3235912154,-1646.5842699987,-556.934817186,847.842839983,-1754.3336516729,-1671.1900922296,-1021.9037700055,-1057.6304055324,-535.964137849,-663.307572878,1685.5385797574,-1559.6086730761,271.1644022593
1880,1801.9166666667,1488.3675137205,1721.7459020874,-1192.5004958869,1781.7612508902,-1573.8858592546,-740.9848699752,998.9950767855,-1796.8707476626,-1015.7095144345,-531.5023257301,-1350.8686986235,-268.7573597828,-877.3750484539,1642.5118252479,-1499.637459578,134.7560381046
1881,1795.0833333333,1794.320084929,1794.8925110898,-882.387740123,1795.0356271385,-1446.0743017926,-905.0869151022,1125.0532564129,-1795.071406745,52.341249807,26.1734072079,-1563.238961161,13.0870514059,-1063.5757083095,1550.2070344705,-1398.7778036006,-6.5435691786
1882,1869.5833333333,1480.2031943429,1769.5628079229,-560.6111085498,1844.4087092151,-1355.4620188519,-1106.1719249853,1297.5564048006,-1863.2790481945,1142.0772056804,603.3152650926,-1783.5518005509,305.7750049453,-1287.658555568,1507.2244400394,-1345.9900507205,-153.4047875302
1883,1857.5,523.3801475315,1487.0246928077,-176.5880155972,1762.4492357073,-1175.8306251926,-1249.4586849969,1403.7987967406,-1833.5833367107,1782.2400150288,1113.132432813,-1849.0870511546,586.5824252011,-1437.9598710879,1374.4668946489,-1216.4107810562,-297.1168075637
1884,1627.6666666667,-546.4347877293,938.0525273896,185.3495948593,1445.01481103,-864.380782422,-1214.6987558672,1320.6544121864,-1581.3445574149,1533.2018133753,1330.1715053466,-1617.0789422485,749.1535047517,-1379.1825987727,1083.4231446082,-951.4045939297,-385.549177813
1885,1547.5833333333,-1276.8994238341,457.6603035781,491.8909696773,1245.6487530112,-651.1084036735,-1256.2357342674,1331.6728256033,-1470.1631581152,874.3809438815,1478.3643732652,-1467.3300404343,918.3536125767,-1403.9487242335,903.8174337557,-788.4552359904,-483.3574889579
1886,1857.1666666667,-1856.4609112817,-25.5998571856,943.3244669836,1304.1328203717,-564.1483137582,-1612.6032964916,1676.4099957928,-1713.3388501225,-51.1948499464,1856.9902194384,-1599.7521613575,1322.2350829589,-1769.4080105679,921.1832803099,-799.1980691818,-716.6156657782
