Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,507.5,507.2345081668,-507.4336227009,-258.4741597446,4.1040516143,-412.4973808132,251.3768226484,-110.6417774495,-360.3047711274,16.4135226187,-8.2078348343,436.746332262,-507.4834054039,295.6385645044,440.8695306269,-495.2924863985,357.4027446773
1872,649.5833333333,513.0273341897,-614.4967505115,-439.7850587126,106.7512515726,-571.2271488256,261.0377966461,-84.2494716307,-495.6320917669,398.448818945,-210.5997401594,478.0665320617,-640.7516501985,309.286358233,594.8258364148,-644.096680223,419.8896718844
1873,548.1666666667,152.7785563469,-438.311993,-446.85706399,173.5204170719,-510.9420134749,166.6351511546,-22.1124272528,-444.7498190384,526.4460154328,-329.1949137469,317.4987540239,-519.978229644,198.5571789454,522.2254502072,-547.7204898536,320.4438997856
1874,932.5,-315.852087605,-536.2015378141,-855.8032304806,429.8536471803,-904.6419670947,189.1027995257,46.0136669828,-796.9927151473,877.3788855196,-762.918187518,370.3472434068,-827.5156143577,226.2281179938,913.1245157215,-931.3640493657,484.1062507365
1875,725.8333333333,-600.1828854655,-213.5430675656,-711.4971109249,431.1828795513,-720.6613674702,72.1308120642,100.6228675196,-647.9972741141,408.1844335249,-693.7098716844,143.5475145144,-583.8795699111,86.4940530543,722.2403850026,-718.8247813688,327.0069731953
1876,343.9166666667,-343.7540302708,5.288353579,-343.8985946899,245.0483896562,-343.9101607186,-1.7628462818,78.0010478485,-318.2411813026,-10.5754566666,-343.876005164,-3.5256462467,-241.3088484454,-2.1154114623,343.9121486428,-334.9544896634,130.3887423602
1877,736.5833333333,-582.4569599353,238.2508319734,-718.8964483466,599.185530086,-730.1996505743,-80.7089359978,230.6605586901,-701.3932855325,-450.8867893022,-696.9874805248,-160.445951956,-428.4060077543,-96.765062112,732.1482599819,-699.5360702703,224.9499187693
1878,888.9166666667,-249.1077067222,533.2620593936,-808.3951694924,795.046656673,-859.6425056033,-189.1783561393,352.8800892435,-865.1309334928,-853.2984183329,-711.1992802929,-369.6891805546,-397.5847758541,-226.2467742046,868.5530437724,-815.8728350015,204.2579452354
1879,747.5,252.0692862368,611.2192902151,-600.3461388404,712.6158395081,-693.3555958074,-234.5181349243,357.0157860599,-738.7274835934,-703.7167931321,-430.3106195169,-445.3546492172,-225.6876498219,-279.3103431,709.758757883,-656.7312833298,114.1838648139
1880,670,553.414179823,640.1904015531,-443.4030424516,662.505686406,-585.2121494893,-275.5176596495,371.4526391969,-668.1237946264,-377.6675066389,-197.6265411307,-502.288504691,-99.9310536306,-326.231114534,610.729088239,-557.6046420481,50.105838522
1881,599.0833333333,598.8286101181,599.0196491446,-294.4842608859,599.0674120746,-482.6065714492,-302.059785185,375.4703987908,-599.0793530054,17.468141909,8.7349995087,-521.7085971768,4.3676158283,-354.9531482771,517.3593784322,-466.8220430845,-2.1838224235
1882,878.6666666667,695.6658115067,831.65902593,-263.4759763115,866.8350982824,-637.0399610776,-519.8786172073,609.8254839411,-875.7037791025,536.7533789479,283.546073329,-838.2335718747,143.708119106,-605.1736933323,708.3652549933,-632.588326044,-72.0971731544
1883,769.4166666667,216.7953747043,615.9577832523,-73.1465746078,730.0445847145,-487.0544711711,-517.5528056786,581.4838174207,-759.5098675572,738.2423534662,461.0835240988,-765.9318413329,242.975124804,-595.634073116,569.3339092999,-503.863649237,-123.0722065606
1884,569.4166666667,-191.1626512674,328.1646999618,64.8419916892,505.5184417248,-302.3916591383,-424.9455559513,462.0126765549,-553.2115175515,536.369444542,465.3420999403,-565.7126977465,262.080990066,-482.4879529702,379.0205993809,-332.8357357322,-134.8790462828
1885,731.8333333333,-603.8302051646,216.4219905241,232.6092561362,589.0521430695,-307.901243932,-594.0585977242,629.7318805906,-695.2222742215,413.4841122808,699.1005291053,-693.8825273326,434.2782524176,-663.9102738796,427.4042702731,-372.8508902303,-228.5738769064
