Year,Annual_mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1028.1666666667,1027.6287950349,-1028.0321899645,-523.6542172297,8.3145794446,-835.6966641171,509.2754085117,-224.1540640676,-729.9573507668,33.2528804712,-16.6286151372,884.8236859522,-1028.1330469415,598.9472264131,893.1770556445,-1003.4349256462,724.0780071968
1872,1462.8333333333,1155.315179521,-1383.8198792148,-990.3767698065,240.3991622971,-1286.3786235387,587.8457321777,-189.7261353439,-1116.1418523254,897.2893608416,-474.2614289618,1076.5849780387,-1442.9447681314,696.4993883799,1339.5218386691,-1450.4776298442,945.5732264604
1873,989.5,275.7817844425,-791.2004568078,-806.6252322615,313.2230818352,-922.3054831256,300.7944336895,-39.9153179082,-802.8214276774,950.2918800925,-594.2323511448,573.1195204135,-938.6168286397,358.4171393732,942.6733043114,-988.694602694,578.4358263991
1874,1318.0833333333,-446.4550911213,-757.9177590353,-1209.6728951305,607.5956333736,-1278.7061656422,267.2957086771,65.040050998,-1126.544573323,1240.1699582005,-1078.3804264497,523.4836772981,-1169.6885140568,319.7721306799,1290.6961988531,-1316.4776737101,684.2813733601
1875,1349.75,-1116.0921005609,-397.1018444731,-1323.0905517395,801.8219403092,-1340.1322811613,134.1334974747,187.1169443415,-1205.0071008987,759.0543363723,-1290.0136385388,266.9390462215,-1085.7746720839,160.8431891298,1343.0686011352,-1336.7169901069,608.0978122669
1876,1064,-1063.4968399557,16.3609640165,-1063.9440894112,758.1240220813,-1063.9798720752,-5.4538457296,241.3175136732,-984.5658839038,-32.7180592971,-1063.8742025524,-10.9075481652,-746.5547315122,-6.5446022656,1063.986022261,-1036.2730613089,403.3931336212
1877,1079,-853.2246540608,349.0068754827,-1053.0909846354,877.729861246,-1069.6487244752,-118.2282275484,337.888099776,-1027.4510986622,-660.4912487709,-1020.9971600674,-235.0327170411,-627.5597905196,-141.7483905676,1072.5031870399,-1024.7305167847,329.5227455849
1878,1123.9166666667,-314.9634986933,674.2388108223,-1022.1079639022,1005.2305482843,-1086.9033911194,-239.1908211541,446.1698475324,-1093.8427767898,-1078.8821381884,-899.2167144755,-467.4227034911,-502.6929663395,-286.0588960061,1098.169579203,-1031.5624754537,258.256952038
1879,1148.75,387.3773813572,939.3152637251,-922.6055210608,1095.1403954983,-1065.5414591086,-360.4049598587,548.6580391121,-1135.2684906727,-1081.4644362682,-661.2967547425,-684.4162585797,-346.83436486,-429.2411460015,1090.7496630342,-1009.2576076591,175.4765414113
1880,1524.0833333333,1258.8795938784,1456.2739121896,-1008.631622313,1507.0356341641,-1331.2120649266,-626.7341389713,844.962353019,-1519.8154328262,-859.0996304626,-449.5512202413,-1142.5814007827,-227.3182885385,-742.0946335464,1389.256753085,-1268.4118530371,113.9783184986
