Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,373.25,373.0547392577,-373.2011816219,-190.099468226,3.0183985518,-303.3786155439,184.8796040463,-81.3734845971,-264.9926223119,12.0716203299,-6.0365997082,321.2129428902,-373.2377952059,217.4326979336,324.245423264,-364.2717646271,262.8582747799
1872,624.1666666667,492.9537823067,-590.4529392344,-422.5773046514,102.5743263989,-548.8763752026,250.8240021654,-80.9529881352,-476.2391747703,382.8584546373,-202.3594680941,459.3609140658,-615.6805465025,297.184711118,571.5517016995,-618.8946933767,403.4603774746
1873,392,109.2536225381,-313.4417170982,-319.5523911536,124.0863548048,-365.3802419254,119.1626255748,-15.8128394341,-318.0454771597,376.4673238972,-235.4108960574,227.0468438627,-371.8421392893,141.9904180235,373.4491513796,-391.6809340637,229.1529499226
1874,353.9166666667,-119.8770166272,-203.5074111793,-324.8075352861,163.1446326698,-343.343559808,71.7711876305,17.4638108736,-302.4868687427,332.9962579805,-289.5543826979,140.5598518989,-314.0713864323,85.8615564897,346.5629864405,-353.4855333026,183.7354108024
1875,849.1666666667,-702.1657408604,-249.828227152,-832.3944386137,504.4493160308,-843.1158822643,84.3872531498,117.7206682003,-758.1047328615,477.542982505,-811.5847982164,167.9390554422,-683.0921719167,101.1910907719,844.9632058757,-840.9672241273,382.5718779404
1876,451.25,-451.0366062312,6.9388017034,-451.2262879199,321.5258129363,-451.2414636033,-2.31301493,102.3444812453,-417.5614239771,-13.8759626483,-451.1966484039,-4.6259690879,-316.6191941681,-2.775612568,451.244071941,-439.4908072516,171.0819093483
1877,582.6666666667,-460.7465848929,188.4658691207,-568.6756382894,473.9795481798,-577.6169201059,-63.8439733564,182.4616615411,-554.8299414463,-356.6693552214,-551.3447747291,-126.9191193661,-338.8861642967,-76.5450067075,579.1583475273,-553.3608104231,177.944318592
1878,611.8333333333,-171.4585903022,367.0394712728,-556.411112254,547.2234511383,-591.684192007,-130.2097582052,242.8841862966,-595.4618274776,-587.3176138933,-489.5120573648,-254.4537324113,-273.6540193419,-155.7236164067,597.8172351529,-561.5579220568,140.5889035266
1879,340,114.6535883886,278.0127875226,-273.0671400746,324.1329571007,-315.3724449157,-106.6704560191,162.3884511844,-336.0098253134,-320.0852303209,-195.7265694124,-202.5693387744,-102.6539143003,-127.0441694368,322.8334149568,-298.7138947587,51.9364736277
1880,486.5833333333,401.9136064659,464.9342978443,-322.0187020988,481.1406346921,-425.0066841875,-200.0929869021,269.7651691879,-485.2207508487,-274.278678018,-143.5250464754,-364.7839028471,-72.5743062374,-236.9233181299,443.5382022671,-404.9569035969,36.3890536231
1881,640.75,640.4775606063,640.6818865312,-314.9658480946,640.7329714065,-516.1721975063,-323.0682554302,401.5846287804,-640.7457428375,18.6830634495,9.3425248606,-557.993796591,4.6713865772,-379.6403890809,553.3420866275,-499.2898441059,-2.3357088071
1882,517.4166666667,409.6537389648,489.735479135,-155.1519667032,510.4494618015,-375.1309861846,-306.1386887557,359.1053139027,-515.6719237905,316.0756572351,166.9705585451,-493.6070037718,84.6247829599,-356.3660339435,417.1320057145,-372.5095709795,-42.4555527424
1883,427.25,120.3844780796,342.0356931371,-40.6176202767,405.3870449292,-270.4568692401,-287.3923139515,322.8926169084,-421.7488455503,409.9391905362,256.035441141,-425.3149085361,134.9218525799,-330.7501237805,316.1458846507,-279.790851255,-68.34086462
1884,487.6666666667,-163.7178157788,281.0507572335,55.5327579929,432.9421807366,-258.9778997918,-363.9369813299,395.6824503438,-473.7880580582,459.3639674315,398.5338751428,-484.4944690784,224.4545520073,-413.2181327062,324.6053779565,-285.0511818389,-115.5147342086
