Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,569.25,568.9522044807,-569.1755462512,-289.9239712997,4.6034115891,-462.6879488235,281.9630665864,-124.1041020948,-404.1448097818,18.410635962,-9.2065221269,489.8873884535,-569.2313862585,331.6103504318,494.5122764717,-555.5571386844,400.8896796208
1872,710.0833333333,560.8089691636,-671.7289045681,-480.745155265,116.6937029699,-624.429318171,285.3499762952,-92.0961831642,-541.7935925524,435.558997592,-230.2142894032,522.5920358817,-700.429097029,338.0922461197,650.2259079013,-704.0856718641,458.9967792337
1873,550.5,153.4288755286,-440.1777175065,-448.7591615563,174.2590263267,-513.1168958672,167.3444524973,-22.2065512971,-446.6429468786,528.6868923607,-330.5961690806,318.8502233326,-522.1915757111,199.402360005,524.4483618226,-550.0519239849,321.8079054398
1874,1022.8333333333,-346.4493765204,-588.1445643548,-938.7067784556,471.4945188106,-992.2766312887,207.4216051276,50.4711124707,-874.1991586879,962.3725148228,-836.8237563535,406.2235983535,-907.6788785189,248.1433351435,1001.5809031247,-1021.5873406536,531.0026918266
1875,570.6666666667,-471.8774282053,-167.8924140861,-559.3952027112,339.0057817644,-566.6003495334,56.710884158,79.1119858524,-509.470187501,320.9238806864,-545.410470872,112.8603191038,-459.0593909014,68.0035907366,567.8418090124,-565.1563837903,257.1003160094
1876,187.5833333333,-187.4946261544,2.8844400064,-187.5734762895,133.6573600959,-187.5797847776,-0.9615136856,42.5443079009,-173.5790887114,-5.7681979541,-187.5611552275,-1.9230021084,-131.6176927188,-1.1538141996,187.5808690562,-182.6950705675,71.1182600079
1877,565.0833333333,-446.8424759952,182.7784694662,-551.5145170537,459.6761035765,-560.1859747194,-61.9173317119,176.9554529334,-538.0866465885,-345.9060208461,-534.7066529516,-123.0890372456,-328.6594794187,-74.2350815909,561.6808859528,-536.6618500399,172.5744314034
1878,899.6666666667,-252.1202589081,539.7109958951,-818.1713930665,804.6614517148,-870.0384822811,-191.46616039,357.1475994631,-875.5932837712,-863.6176736029,-719.800077814,-374.1599693698,-402.3929164827,-228.9828606274,879.0567789038,-825.7394887668,206.7281125679
1879,572.9166666667,193.1969167088,468.4651750534,-460.1315166698,546.1799215851,-531.4180291166,-179.7449473361,273.632500464,-566.1930267229,-539.3593035433,-329.8088638995,-341.3392657044,-172.9768776506,-214.0756531563,543.9901293697,-503.3475555065,87.5155039683
1880,603.1666666667,498.2104270596,576.3306127415,-399.1730374707,596.419920175,-526.836509702,-248.0344304158,334.3997764313,-601.4776151127,-339.994703116,-177.9130478488,-452.1846016111,-89.9628067386,-293.6891550992,549.8081020739,-501.9828854658,45.1077188087
1881,550.1666666667,549.9327422451,550.1081824528,-270.438877503,550.1520454189,-443.2005264582,-277.3958411172,344.812292783,-550.1630113426,16.0418240205,8.0217647457,-479.1097730646,4.010988969,-325.9703275735,475.115679011,-428.7048446856,-2.0055078092
1882,642.75,508.8837636714,608.363625474,-192.7342759191,634.0951359116,-465.9985982351,-380.2943640478,446.0910430233,-640.5826297626,392.6383546875,207.4156737089,-613.1729457388,105.123361406,-442.6882299575,518.173483665,-462.7422001875,-52.7395197781
1883,638.1666666667,179.8136011573,510.8853789826,-60.6689557399,605.5108231066,-403.9708805619,-429.26669402,482.292112402,-629.9498067533,612.3101855133,382.4301556968,-635.2762959956,201.5275106411,-494.0285640553,472.2147814815,-417.9126855688,-102.0780848956
1884,497.4166666667,-166.9910530389,286.6698513203,56.6430335713,441.5980650747,-264.1556876038,-371.2132333489,403.5933947543,-483.26058075,468.5481069034,406.501828559,-494.1810468094,228.94210884,-421.4796709028,331.0952667503,-290.7502570739,-117.8242393184
1885,578.5,-477.3160196143,171.0773694168,183.8730876905,465.6342492814,-243.389937984,-469.591754202,497.7907896903,-549.5596706497,326.8511395415,552.6253556194,-548.5006268211,343.2885024235,-524.8081440756,337.854753386,-294.7313687063,-180.6831989848
1886,678.8333333333,-678.5753649511,-9.3572842428,344.8048599142,476.6878737659,-206.2080303273,-589.4402967432,612.7629823982,-626.2612524947,-18.7127904363,678.7688381739,-584.742937558,483.3046300719,-646.7557055589,336.7117922195,-292.1236413692,-261.9380424226
1887,653.5,-518.0299887513,-210.3920772642,441.670199387,380.506916828,-118.9532611103,-598.203027951,612.7187756572,-581.2587720401,-398.3806982704,618.7062500286,-481.6530753285,531.2972202506,-642.5825796512,263.0881740981,-227.2398555649,-298.6645106578
1888,563.3333333333,-159.5887618152,-337.2260186348,458.7004596979,252.3626233024,-32.3430828904,-536.5378380914,543.605006437,-479.3269876807,-540.2553762312,451.2461155513,-327.0142698986,503.6442700998,-562.4040979879,171.672923726,-147.7769989579,-295.9562185955
1889,722.4166666667,241.4432058681,-590.0459457747,662.5411545557,218.6627711238,49.1979494097,-707.2894077679,711.2924245014,-583.0315045163,-680.8751857851,416.8112548296,-287.9671140909,688.5291807921,-720.7394827895,147.0630270908,-126.2890617777,-426.5678199528
