Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,314,313.8357351022,-313.9589310898,-159.9229283937,2.5392555801,-255.2200543357,155.5316695795,-68.4561933382,-222.9274840079,10.1553617779,-5.0783450994,270.2233464636,-313.9897326046,182.9172596146,272.7744485061,-306.4469768062,221.13194449
1872,389.6666666667,307.7505855896,-368.6192181388,-263.8146163618,64.037056107,-342.6630080704,156.5891901369,-50.5388748358,-297.3156717258,239.0181754185,-126.3328268102,286.778589342,-384.3687897792,185.5321374083,356.8191932105,-386.3753786688,251.8799365916
1873,285.75,79.6408740823,-228.4846190327,-232.9390198269,90.4532548099,-266.3454186995,86.8640822908,-11.5268338477,-231.8405487204,274.4273923562,-171.6037335418,165.5067235555,-271.055845158,103.504494771,272.2272831804,-285.5174155834,167.0419781643
1874,342.25,-115.925337247,-196.7989022165,-314.1004349941,157.766660319,-332.025429746,69.405290228,16.888126032,-292.5155568463,322.0192209856,-280.0093830328,135.9263743228,-303.718197334,83.031177891,335.1387297648,-341.8330787082,177.6786748682
1875,225.0833333333,-186.1187110955,-66.2204162451,-220.6376230319,133.711246575,-223.4794894991,22.3680049811,31.2034862423,-200.9461122138,126.5793518887,-215.1217409207,44.5145621933,-181.0629986601,26.8220938346,223.9691480932,-222.9099580341,101.4059511596
1876,270.25,-270.1222001861,4.1555925991,-270.2357990257,192.5592264732,-270.2448876206,-1.3852460606,61.2932876599,-250.0741824483,-8.3102025611,-270.2180481577,-2.7704557252,-189.620691909,-1.6622920698,270.2464497331,-263.2075139274,102.4595811665
1877,278,-219.8298923345,89.9202144432,-271.3246466438,226.1435601727,-275.5906815608,-30.4610261895,87.0555067078,-264.7186333903,-170.1729074683,-263.0558021304,-60.5552320087,-161.6882500134,-36.5209013696,276.3261223328,-264.0176864376,84.9002069255
1878,906.5833333333,-254.0585676788,543.8603116286,-824.4615214125,810.8477151912,-876.7273665002,-192.9381584738,359.8933618525,-882.3248734852,-870.2571944355,-725.333924281,-377.0365234136,-405.4865263444,-230.7432883258,885.8149960813,-832.0878008794,208.3174450376
1879,306.6666666667,103.4130405074,250.7566318831,-246.295851832,292.3552162085,-284.4535777672,-96.2125681741,146.4680147938,-303.0676855768,-288.7043253875,-176.5376900582,-182.7095996789,-92.5898050551,-114.5888587077,291.1830801572,-269.428218802,46.8446624878
1880,344.5833333333,284.622839996,329.2521530375,-228.0437289225,340.7289817523,-300.9766465346,-141.699691872,191.0393859551,-343.6183943756,-194.2357139244,-101.6400183552,-258.328727226,-51.3948889008,-167.7817983331,314.1000969985,-286.778009312,25.7696072498
1881,503.6666666667,503.4525135004,503.6131255293,-247.5814261782,503.6532812045,-405.7412877784,-253.9503883236,315.6688121146,-503.66332029,14.6859715813,7.343766453,-438.6154905184,3.6719808132,-298.4193668364,434.958976665,-392.4707787458,-1.8360026051
1882,390.5,309.1701434674,369.6087059473,-117.0948809746,385.2417745211,-283.1154455244,-231.0462063954,271.0206959169,-389.1832235275,238.5457448549,126.014501102,-372.5305878039,63.8672464085,-268.9533314639,314.8140729229,-281.1370348864,-32.0416685699
1883,436.5833333333,123.0142930874,349.5075085518,-41.5049176184,414.2427790879,-276.3650356834,-293.6704374472,329.9462492653,-430.9620054296,418.894366924,261.6285695606,-434.6059695378,137.8692384759,-337.9754044248,323.05213374,-285.9029197825,-69.8337799384
1884,669.1666666667,-224.650386313,385.6523548504,76.200964915,594.0747968755,-355.3644113685,-499.3872112233,542.9477232161,-650.1227112452,630.330256062,546.8603925831,-664.8138391489,307.9921484311,-567.009843751,445.4171539629,-391.1416592902,-158.5070600982
1885,475.9166666667,-392.6752791728,140.7408321434,151.2675315183,383.0649953394,-200.2304718852,-386.3207300846,409.5193315934,-452.1082222819,268.8917974534,454.6302803144,-451.2369749029,282.4143816394,-431.7457952775,277.9441798599,-242.4677105563,-148.6432943535
1886,524.8333333333,-524.6338876089,-7.2344925314,266.5824954259,368.5465540115,-159.4277160571,-455.7199839048,473.7516895586,-484.1877446859,-14.4676103815,524.7834695334,-452.0882667248,373.662234249,-500.0328300527,260.3254195186,-225.8525280314,-202.514828281
1887,364.3333333333,-288.807333693,-117.2958635296,246.2359234532,212.1367304733,-66.3177324119,-333.5046720481,341.5973587316,-324.0580657178,-222.1015573626,344.9354405923,-268.5268101678,296.2039590584,-358.2467531542,146.6745086913,-126.6886825465,-166.5087019377
1888,319.5833333333,-90.5359321836,-191.3109144178,260.2242992517,143.1672574504,-18.3484797167,-304.3820427634,308.3913017287,-271.9258872419,-306.4910307465,255.9953924762,-185.5177108079,285.7212686143,-319.0561709739,97.3913701907,-83.835028255,-167.8982393955
1889,433,144.7155263226,-353.6600224069,397.1119897418,131.0614556188,29.4881237897,-423.9330675697,426.3323840938,-349.455727012,-408.1009880424,249.8271173255,-172.600891085,412.6886173026,-431.994734407,88.1462093394,-75.6947704461,-255.674978945
1890,283.25,233.4522771762,-270.5142510203,277.565847169,42.4699946933,54.5382696209,-281.8253791895,282.2031067853,-214.7791755465,-160.4075957716,83.9797743205,-56.4602779425,280.0479638397,-277.9498869343,28.3728416745,-24.3304134929,-184.663120984
1891,307.4166666667,307.3129498745,-307.3907363751,307.4051420026,-1.996422278,96.514664452,-307.4137854872,307.4145498809,-216.6694180803,7.9848471432,-3.992760357,2.6618818177,307.4101840254,-291.8731342385,-1.3309533828,1.1408181308,-218.0811092534
1892,409.25,324.8097411637,-387.5654454871,399.5645334507,-66.6123259405,176.1481368074,-406.8214275421,407.4652738948,-264.7871485825,248.9662518197,-131.448042832,88.5084521857,403.7924721101,-369.4014028117,-44.5184073463,38.1786991634,-312.0469971744
