Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1833.4166666667,1832.457539274,-1833.1768691366,-933.7750391693,14.8264761194,-1490.2060550528,908.134889177,-399.7093178433,-1301.6527536245,59.2962087248,-29.6519826255,1577.8088762064,-1833.356716304,1068.0367910776,1592.7045227131,-1789.3152698282,1291.1687661158
1872,2043.1666666667,1613.6503116951,-1932.807098017,-1383.2777510606,335.7700046258,-1796.7090743947,821.0551248453,-264.9940404672,-1558.9361931933,1253.2608265418,-662.4098049041,1503.6863672983,-2015.3879358008,972.8137179161,1870.9351965644,-2025.9092245939,1320.6998043954
1873,1478.6666666667,412.1165557645,-1182.3362729997,-1205.3864006442,468.0672363217,-1378.2540418209,449.49439375,-59.6477514707,-1199.7021570413,1420.0757217754,-887.9955228831,856.4454076316,-1402.6290220131,535.6033115242,1408.6908465304,-1477.4631152268,864.3898689259
1874,2433.5833333333,-824.2920924332,-1399.3470517234,-2233.4246416196,1121.8066182847,-2360.8810871373,493.5092988872,120.0837459249,-2079.9444379308,2289.7315097255,-1991.0187515719,966.5103261135,-2159.6012945566,590.3967586929,2383.0183407161,-2430.6187965706,1263.3918534637
1875,1766.6666666667,-1460.8354961963,-519.7603940749,-1731.7725317576,1049.4921982191,-1754.0781848873,175.5652371713,244.9144421831,-1577.2149496235,993.5143502557,-1688.4786773491,349.39234302,-1421.1534881878,210.5251348738,1757.9214881809,-1749.6079638369,795.9297166178
1876,1903.6666666667,-1902.7664326401,29.2723889406,-1903.5666336552,1356.4054793567,-1903.6306545807,-9.7578048126,431.7557395325,-1761.5462916588,-58.537856092,-1903.4415948549,-19.5153532492,-1335.7061628027,-11.709343214,1903.6416582496,-1854.0587259196,721.7350207114
1877,1805.1666666667,-1427.4445826587,583.8883948646,-1761.8208919657,1468.4417867093,-1789.5219856027,-197.7957881644,565.2866865422,-1718.9253706535,-1105.0016551494,-1708.1279333782,-393.2096630016,-1049.9073356686,-237.1450136295,1794.2975005915,-1714.3738380128,551.2914515647
1878,2457.8333333333,-688.7768540417,1474.4568463255,-2235.1933185534,2198.2849997105,-2376.8909778064,-523.0736323215,975.7050109823,-2392.0663497173,-2359.3497281626,-1966.4490084333,-1022.1817466276,-1099.3124007724,-625.5669221328,2401.5284028332,-2255.8688849284,564.7683356869
1879,2462.0833333333,830.254967878,2013.2077959201,-1977.3942778194,2347.1833866519,-2283.7448247635,-772.445740952,1175.9232329029,-2433.1887962949,-2317.8720906451,-1417.3386012961,-1466.8899789435,-743.3602691179,-919.9803887278,2337.7728541419,-2163.1132403545,376.0939003262
1880,2144.9166666667,1771.6825341373,2049.4851673601,-1419.4963817986,2120.9246097518,-1873.4795417544,-882.0334629002,1189.1566517774,-2138.9102425236,-1209.0527305198,-632.6753161896,-1608.0104256519,-319.9160932086,-1044.3859026109,1955.1686569881,-1785.0977464773,160.4072360345
1881,1946,1945.172583597,1945.7931349041,-956.5720489928,1945.9482830388,-1567.6489993715,-981.1795943302,1219.6389974354,-1945.9870707168,56.7416956266,28.3738640323,-1694.6639534391,14.1873090585,-1152.992894501,1680.5364035539,-1516.3761788998,-7.09370166
1882,2224.25,1761.0030514913,2105.2552220312,-666.9610473948,2194.2996593564,-1612.5980274205,-1316.0167082587,1543.7075106099,-2216.7497693497,1358.733349535,717.7663356624,-2121.8979767553,363.781620548,-1531.932003863,1793.1503244525,-1601.3291929477,-182.5062261631
1883,1996,562.4047238078,1597.9010965514,-189.7548743645,1893.8620050992,-1263.5035950926,-1342.6215532995,1508.4696626079,-1970.3000484924,1915.1284360686,1196.1304634695,-1986.9597599486,630.3195266226,-1545.1778749349,1476.9506980992,-1307.1095122413,-319.2706045207
1884,1843.3333333333,-618.8376768672,1062.3449675331,209.9085110735,1636.4800133106,-978.9116786389,-1375.6469629214,1495.6417979501,-1790.8735208896,1736.3518386166,1506.4199108266,-1831.3427300089,848.4167276831,-1561.9249992244,1226.9772659601,-1077.4661897258,-436.6346412669
1885,2200.75,-1815.8223511946,650.8185319689,699.496452437,1771.3821505721,-925.9125428149,-1786.4374296628,1893.713189993,-2090.6541835478,1243.4185744961,2102.3167698865,-2086.6253318524,1305.9501671713,-1996.493557605,1285.2789084085,-1121.227415178,-687.3613658872
1886,2174.5,-2173.6736524717,-29.9740946514,1104.509945323,1526.9694792596,-660.5441128603,-1888.1481835525,1962.8575083109,-2006.0963813648,-59.9424936957,2174.2934033037,-1873.1011800441,1548.1648682908,-2071.7460570653,1078.5855028451,-935.756726969,-839.0635009789
