Year,annual_Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,697.5833333333,697.2184019482,-697.4920945203,-355.2852530742,5.6412177444,-566.9976313279,345.52961944,-152.0824825992,-495.2563611013,22.5611819115,-11.2820665678,600.3289897151,-697.5605232571,406.3695276628,605.9965255957,-680.8035145553,491.2673851713
1872,577.6666666667,456.2290545995,-546.4645894222,-391.0955775492,94.9326075563,-507.9854516561,232.1377814433,-74.9220445599,-440.7596741666,354.3357553466,-187.2838228075,425.1388326174,-569.8127567898,275.0446485274,528.971481466,-572.7874518674,373.4028486854
1873,660.8333333333,184.1796825525,-528.3998334585,-538.7012036242,209.1846925175,-615.9577632799,200.884273131,-26.6572739609,-536.1608490383,634.6483585256,-396.85552843,382.75541493,-626.85122546,239.367350112,629.5603253486,-660.295452195,386.3058870932
1874,902,-305.5212686538,-518.6635786684,-827.8118111458,415.7940908918,-875.0531413613,182.9176677449,44.5086623255,-770.9248569038,848.6817745187,-737.9648312507,358.2340091721,-800.4494200007,218.8286996573,883.2582446979,-900.9012037832,468.2722125087
1875,450.4166666667,-372.4441441954,-132.5143834894,-441.5203082146,267.5710061969,-447.2071976093,44.7608540996,62.4416301887,-402.1154152224,253.2992954308,-430.4824175034,89.0785666992,-362.327103946,53.6739789619,448.1870586612,-446.0675021009,202.924533883
1876,429.5,-429.2968916927,6.6043553055,-429.4774308291,306.0284468834,-429.4918750529,-2.2015288918,97.4115339499,-397.4351946773,-13.2071489362,-429.4492199213,-4.4029999407,-301.3583244215,-2.64182958,429.4943576702,-418.3075938272,162.8358560999
1877,733.8333333333,-580.2823836622,237.3613334492,-716.2124815183,596.9484984656,-727.4734837603,-80.407612897,229.7993981022,-698.7746659576,-449.2034242104,-694.3853098203,-159.8469343732,-426.8065736265,-96.4037942028,729.4148181243,-696.9243845231,224.1100785928
1878,752.8333333333,-210.9720654849,451.6255221301,-684.6387888998,673.3337861051,-728.0407233167,-160.2172372141,298.8580412699,-732.6889334558,-722.6678458066,-602.3225178743,-313.0938461732,-336.7189336332,-191.6108894876,735.5871564113,-690.9717063282,172.9883076082
1879,753.5,254.0925848554,616.1253982302,-605.1649707241,718.3358328687,-698.9209918941,-236.4005547365,359.8814646102,-744.6570687459,-709.3653560201,-433.7646178006,-448.9294022544,-227.499189486,-281.5522990312,715.4558181469,-662.002705002,115.1003908191
1880,863.6666666667,713.38116414,825.2404628976,-571.5707875582,854.0060863075,-754.3704872273,-355.1573413691,478.8227801787,-861.2481352623,-486.8340844286,-254.7514269004,-647.4773709723,-128.8165969935,-420.5297600785,787.2632177251,-718.782899277,64.5891679654
