Year,annual_mean_tamilnadu,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,744.1666666667,743.7773658342,-744.0693350934,-379.0105495106,6.0179279008,-604.8606914059,368.6034525863,-162.2382713668,-528.3286709635,24.067776188,-12.0354622447,640.4178566667,-744.1423333756,433.5061380993,646.4638601804,-726.2663224202,524.0733185498
1872,889.25,702.3110562076,-841.2180660306,-602.0457166803,146.1376017359,-781.9839519074,357.3488554215,-115.3336897718,-678.4977615452,545.4582869739,-288.3014531418,654.4513102798,-877.1598280011,423.3989388973,814.2894804853,-881.7390217653,574.8098381884
1873,653.75,182.2054993222,-522.7360269208,-532.9269788691,206.9424858512,-609.3554417315,198.7310369121,-26.3715402552,-530.4138538091,627.8456964229,-392.6017175957,378.6527402429,-620.1321391847,236.8016218951,622.812200802,-653.2178842963,382.1651556427
1874,754.1666666667,-255.4478456501,-433.6571865253,-692.1375545889,347.6474983898,-731.6362647192,152.9383678023,37.2139129754,-644.5740904453,709.5870343121,-617.01604978,299.5212290288,-669.259723855,182.9637594141,738.4965922502,-753.2479577086,391.5247157432
1875,623.5833333333,-515.6335857564,-183.4607089086,-611.2666912803,370.4410433619,-619.139955543,61.969559894,86.4478665498,-556.7122390581,350.6824473096,-595.9851859718,123.3256086235,-501.6269600051,74.3094143519,620.4965328329,-617.5620940278,280.9406636533
1876,439.5,-439.2921627449,6.7581237643,-439.4769053536,313.1536726548,-439.4916858807,-2.2527868404,99.6795556949,-406.6886334358,-13.5146494935,-439.4480376144,-4.5055144912,-308.374816259,-2.7033389998,439.4942263005,-428.0470022982,166.6271449497
1877,881.8333333333,-697.3141249051,285.2325267499,-860.6586962783,717.341472946,-874.1908250229,-96.6242743216,276.1454951985,-839.7040103524,-539.7990727906,-834.4294059185,-192.0849715577,-512.8852103243,-115.8465762269,876.5236890065,-837.4805629143,269.3087499057
1878,645.4166666667,-180.8698967435,387.1861488707,-586.9523378381,577.2603689821,-624.1615455046,-137.356929624,256.2160205485,-628.1465341616,-619.5552873337,-516.3812155122,-268.4206152991,-288.6747997553,-164.2712352315,630.6312294007,-592.3816543626,148.3057828676
1879,711.6666666667,239.9856972645,581.9189229027,-571.5670039796,678.454768049,-660.1178136226,-223.275905491,339.90131694,-703.3146833765,-669.9823203287,-409.6825742112,-424.0054296896,-214.8687323834,-265.9208840662,675.7346479734,-625.2491816764,108.7101678384
1880,839.1666666667,693.1443769674,801.8305153781,-555.3567957074,829.7801321031,-732.9709384773,-345.0824418744,465.2398105365,-836.8167427722,-473.0238547082,-247.5247847247,-629.110104756,-125.1624017488,-408.600413353,764.9305868865,-698.3928787842,62.7569395418
1881,635.75,635.4796865477,635.6824180448,-312.5080576296,635.7331042867,-512.1443223794,-320.5472390007,398.4509211817,-635.7457760576,18.5372728647,9.2696218184,-553.6395726613,4.6349340873,-376.6779201845,549.0241616441,-495.3937079833,-2.3174824411
1882,761.3333333333,602.7696181643,720.6028889317,-228.2925378966,751.0817012431,-551.9724093707,-450.4562828913,528.3920354026,-758.7660969157,465.0776621839,245.6825612608,-726.2994985439,124.5179605607,-524.3614247234,613.7732330822,-548.1152263598,-62.4696295465
1883,783,220.6226947603,626.8319431862,-74.437909132,742.9328406777,-495.6529634055,-526.6897175518,591.7493716543,-772.918305596,751.2753333876,469.2235234953,-779.4536533265,247.2646239206,-606.1494369108,579.3849682423,-512.7588918261,-125.2449315329
1884,956.3333333333,-321.0570153584,551.1514849643,108.9019020379,849.0164843016,-507.8657515398,-713.6945997507,775.9487013235,-929.116841127,900.8306374305,781.5404564487,-950.1125302704,440.1641214689,-810.3368576446,636.5637931355,-558.9964734762,-226.5288943571
1885,707.6666666667,-583.8904693985,209.2752839366,224.9280121964,569.6004098095,-297.7337011467,-574.4415408648,608.9368173509,-672.2645812673,399.830002447,676.0147680668,-670.9690756216,419.9374766034,-641.9865686388,413.2904877203,-360.538574338,-221.0258896253
1886,806.25,-805.9436110854,-11.1136416706,409.524554342,566.1619418961,-244.9131713008,-700.0779365322,727.7782782597,-743.8101666937,-22.2251715531,806.1733991325,-694.4988854498,574.0206599492,-768.1514180312,399.9124220137,-346.9550982381,-311.1036779325
1887,942.5,-747.1205270054,-303.4346332387,636.9918330869,548.7800598475,-171.5584523281,-862.7488199599,883.6839266364,-838.3112358803,-574.5582373677,892.3192664912,-694.6565011433,766.2549810042,-926.7545238275,379.4347422915,-327.7330740167,-430.7441488829
